,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,-0.4847,51.4727,0.0,0.0,0.0035,190.0,0.224,GND
1,114.2161,-0.4847,51.4729,0.0,8.5126,0.0,190.0,0.224,GND
2,132.2864,-0.4847,51.4731,0.0,16.6432,0.0,190.0,0.224,GND
3,192.2864,-0.4828,51.4749,0.0,27.3216,0.0,190.0,0.224,GND
4,212.5729,-0.4811,51.4749,0.0,30.0955,0.0,190.0,0.224,GND
5,223.8693,-0.4799,51.4749,0.0,32.0,0.0,190.0,0.224,GND
6,258.4322,-0.4761,51.4749,0.0,15.6432,0.0,190.0,0.224,GND
7,283.8492,-0.4733,51.4749,0.0,16.0,0.0,190.0,0.224,GND
8,322.1457,-0.4687,51.4749,0.0,29.7538,0.0,190.0,0.224,GND
9,339.8241,-0.4665,51.4752,0.0,17.0,0.0,190.0,0.224,GND
10,402.4774,-0.4571,51.4751,0.0,15.0,0.0,190.0,0.224,GND
11,443.8141,-0.4513,51.4751,0.0,26.6633,0.0,190.0,0.224,GND
12,694.603,-0.4362,51.4747,0.0,10.4271,0.0,190.0,0.224,GND
13,1009.603,-0.4347,51.4777,0.0,0.0,0.0,190.0,0.224,GND
14,1069.1709,-0.4347,51.4777,0.0,0.0,0.0,190.0,0.224,GND
15,1123.4322,-0.4704,51.4774,1061.809,135.7839,3130.0251,190.0,0.2313,CL
16,1147.9095,-0.4947,51.4775,1913.191,144.6734,1663.5678,190.0,0.2436,CL
17,1164.1156,-0.5143,51.4774,2241.206,167.6734,1253.8945,190.0,0.2797,CL
18,1189.7186,-0.55,51.4743,2841.206,212.5075,1848.6181,182.5628,0.3409,CL
19,1203.5176,-0.5721,51.4704,3287.9397,234.2211,1796.4824,182.0,0.3908,CL
20,1218.9095,-0.5976,51.4661,3622.7387,242.4774,1343.2161,236.0,0.4,CL
21,1232.7538,-0.6221,51.4621,3975.1256,244.2513,1625.6281,236.0,0.4,CL
22,1246.1256,-0.646,51.4582,4303.1407,249.0251,1865.5779,254.0,0.4001,CL
23,1263.7889,-0.6788,51.4549,4719.7236,250.0,1424.6231,254.0,0.4104,CL
24,1293.8643,-0.7354,51.455,5514.5729,256.0,2015.5779,254.0,0.42,CL
25,1323.7337,-0.7917,51.4544,6652.0101,260.0,1930.6533,254.0,0.424,CL
26,1336.603,-0.817,51.454,7149.1206,260.3618,2268.0905,254.0,0.428,CL
27,1351.4724,-0.8446,51.4534,7681.5327,263.1055,2089.4472,268.3116,0.436,CL
28,1384.3869,-0.9073,51.4567,8952.1357,260.3317,2237.3811,273.3367,0.4453,CL
29,1407.2111,-0.9515,51.4613,9744.2211,262.5578,1534.6734,274.0,0.4498,CL
30,1426.5126,-0.9884,51.4655,9975.0,260.0,293.9698,274.0,0.4511,CL
31,1439.9598,-1.0142,51.4684,10000.0,259.0101,3.7688,274.0,0.448,CL
32,1465.3467,-1.06,51.4734,10333.6683,263.8744,1500.0,284.0,0.4621,CL
33,1482.9146,-1.0956,51.4774,10834.4221,285.5276,1542.2567,303.5276,0.4911,CL
34,1507.608,-1.1511,51.4839,11664.8241,308.804,2259.6315,310.0,0.5437,CL
35,1529.4271,-1.2038,51.491,12635.6784,311.9146,2871.8593,344.0,0.552,CL
36,1543.2965,-1.2339,51.4971,12935.9296,318.0151,1200.0,344.0,0.5589,CL
37,1562.5327,-1.2753,51.5067,12965.8291,328.6332,237.4372,346.0,0.58,LVL
38,1576.4422,-1.308,51.5145,13000.0,329.407,177.8894,346.0,0.584,LVL
39,1600.9045,-1.3629,51.5273,13000.0,334.0,0.0,362.0,0.588,LVL
40,1614.7286,-1.3954,51.5348,13000.0,334.0,0.0,364.0,0.588,LVL
41,1627.6432,-1.4273,51.5422,13000.0,336.0,0.0,364.0,0.588,CL
42,1641.5126,-1.46,51.5498,13000.0,336.0,0.0,364.0,0.588,CL
43,1655.3819,-1.4929,51.5573,13000.0,337.2764,0.0,364.0,0.588,CL
44,1670.2513,-1.5246,51.5646,13208.794,340.1508,1530.1508,370.1005,0.5886,CL
45,1684.1206,-1.5593,51.5728,14009.0452,340.3518,4394.4724,372.0,0.604,CL
46,1697.9899,-1.5899,51.5801,15069.3467,329.206,4261.809,362.804,0.6,CL
47,1711.2312,-1.6202,51.5871,15942.9648,324.3719,3520.7286,355.2563,0.58,CL
48,1724.7286,-1.6538,51.5948,16518.2161,329.4372,1756.2814,357.7085,0.584,CL
49,1738.598,-1.6857,51.6022,16910.9296,338.8392,2051.7588,369.196,0.6034,CL
50,1753.1608,-1.718,51.6097,17531.0302,339.3065,2939.6985,374.0,0.612,CL
51,1767.3367,-1.7516,51.6175,18328.5176,336.0,3619.598,372.1307,0.612,CL
52,1781.206,-1.7811,51.6245,18854.2714,338.2412,2017.0854,374.4824,0.62,CL
53,1805.0754,-1.838,51.6374,19854.5226,341.0,2319.598,372.2111,0.64,CL
54,1817.9447,-1.8732,51.6447,20641.9598,338.0,3474.1206,384.0,0.636,CL
55,1838.005,-1.9192,51.6531,21376.7588,340.6884,1974.8744,392.2513,0.6485,CL
56,1856.0201,-1.965,51.6609,22150.7538,341.0,2996.2312,398.6734,0.66,CL
57,1871.3317,-1.9995,51.6663,22819.3467,338.0,2483.4889,399.5578,0.66,CL
58,1917.804,-2.1151,51.6852,24149.8744,347.0754,1969.4966,406.6131,0.6786,CL
59,1935.6332,-2.1584,51.6925,24565.8291,352.6583,1329.1457,412.6332,0.6906,CL
60,1958.7286,-2.2183,51.7031,25300.6281,354.5678,2270.1005,418.0,0.7017,CL
61,1973.6181,-2.2554,51.71,25725.7538,355.0,1507.5377,420.0,0.704,CL
62,1991.9196,-2.3034,51.7189,26221.9849,358.0,2229.8995,424.0,0.712,CL
63,2013.0603,-2.357,51.7287,26776.5075,361.0151,1573.8693,425.5075,0.719,CL
64,2029.1106,-2.3991,51.7363,27152.7638,364.5276,1677.1357,431.0553,0.728,CL
65,2049.5075,-2.4511,51.7458,27702.7638,365.6985,1680.9045,434.0,0.736,CL
66,2063.3769,-2.4892,51.753,28134.4221,365.0,2193.4673,436.0,0.74,CL
67,2082.2462,-2.5368,51.7618,28584.9246,367.0,1245.2261,439.397,0.7474,CL
68,2096.8693,-2.5741,51.7684,28937.3116,370.0,1717.3367,443.2462,0.7545,CL
69,2120.5879,-2.638,51.7794,29679.397,368.603,2246.2312,448.0,0.764,CL
70,2134.7337,-2.6789,51.7862,30184.799,366.0,1965.4523,448.3417,0.768,CL
71,2157.7236,-2.738,51.7959,30718.0905,366.0,1500.0,448.0,0.7718,CL
72,2171.3116,-2.7742,51.8018,31064.8241,366.0,1425.8794,449.4372,0.772,CL
73,2194.4623,-2.8362,51.8119,31624.2462,366.0,1542.5879,450.0,0.776,CL
74,2209.0653,-2.873,51.8182,31989.9497,364.0,1516.3317,450.0,0.776,CL
75,2228.201,-2.9229,51.8268,32633.0402,359.9196,1928.8259,448.0,0.776,CL
76,2242.0704,-2.9552,51.8322,33230.2764,352.9296,3886.4322,449.6281,0.7793,CL
77,2255.3518,-2.9924,51.8382,33723.4925,349.0,1617.4623,450.0,0.776,CL
78,2269.809,-3.0234,51.8418,33909.0452,354.1709,300.0,442.0,0.772,CL
79,2304.5427,-3.1101,51.8403,34000.0,366.0,96.0357,438.0,0.764,CR
80,2317.5477,-3.1572,51.8378,34000.0,366.9095,0.0,438.0,0.7644,CR
