,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,-0.4823,51.4649,725.0,151.0,0.1028,0.0,0.0,CL
1,13.8894,-0.4975,51.4648,1306.2814,149.4724,2649.4975,0.0,0.2459,CL
2,44.9497,-0.5319,51.4623,2415.4523,149.8894,1985.1891,0.0,0.248,CL
3,63.6683,-0.5497,51.4564,2952.1357,152.8342,1831.2814,0.0,0.2537,CL
4,85.3417,-0.5732,51.448,3347.3618,172.3417,1000.0,145.8693,0.2885,CL
5,100.6181,-0.592,51.441,3579.2714,194.6181,1091.4573,164.0,0.3243,CL
6,147.5075,-0.6284,51.4001,4691.9598,266.5075,2164.9916,164.0,0.4073,CL
7,1191.9095,0.935,49.7106,34393.2161,474.0804,1130.3284,437.3869,0.764,CL
8,1253.3367,1.0625,49.6068,35000.0,471.0,0.0,436.0,0.764,CR
9,1569.2563,1.7125,49.0664,35000.0,474.0,0.0,437.4975,0.768,CR
10,1639.2362,1.8617,48.9405,35000.0,474.0,0.0,434.0,0.764,CR
11,1674.9598,1.9336,48.8793,34979.8995,475.0,-272.1106,434.0,0.764,CR
12,1694.3467,1.9744,48.8446,35000.0,475.0,0.0,436.0,0.764,CR
13,1714.7035,2.0147,48.8102,35000.0,476.0,0.0,436.0,0.764,CR
14,1744.5176,2.076,48.7578,35015.3266,476.0,102.1776,436.0,0.7655,CR
15,1753.3417,2.0946,48.7419,35025.0,476.0,0.0,436.0,0.768,CR
16,1770.9045,2.1303,48.7112,35025.0,476.0,0.0,436.0,0.768,CR
17,1786.1809,2.1596,48.686,35025.0,476.0,0.0,436.0,0.768,CR
18,1803.5276,2.1955,48.6552,35025.0,476.0,0.0,436.0,0.764,CR
19,1815.9246,2.2172,48.6365,35025.0,476.0,0.0,436.0,0.764,CR
20,1830.2362,2.2463,48.6116,35000.0,476.0,0.0,436.0,0.764,CR
21,1848.3568,2.2831,48.5799,35000.0,477.0,0.0,436.0,0.768,CR
22,1867.5276,2.3234,48.5453,35009.799,476.608,65.3266,438.0,0.768,CR
23,1887.3216,2.3639,48.5102,35025.0,475.0,0.0,436.2714,0.7645,CR
24,2110.0201,2.7637,48.1005,35000.0,470.6633,0.0,436.0,0.764,CR
25,2133.2362,2.7947,48.0557,35000.0,466.191,0.0,436.0,0.764,CR
26,2157.5327,2.8237,48.0078,35017.9648,467.0,-46.9012,436.0,0.764,CR
27,2182.2915,2.856,47.9585,35000.0,467.0,0.0,436.0,0.764,CR
28,2196.1307,2.8744,47.9304,35000.0,467.0,-232.1608,436.0,0.764,CR
29,2221.9849,2.9074,47.8791,35000.0,467.6985,0.0,436.0,0.764,CR
30,2240.8543,2.9315,47.8412,35000.0,467.0,0.0,436.0,0.764,CR
31,2252.8593,2.9462,47.8182,35000.0,467.0,0.0,436.0,0.764,CR
32,2270.5779,2.9697,47.7812,35000.0,467.0,0.0,436.0,0.764,CR
33,2285.4673,2.9869,47.754,35000.0,467.5879,0.0,436.0,0.764,CR
34,2299.4221,3.006,47.7237,35000.0,467.0,0.0,436.0,0.764,CR
35,2317.6633,3.0278,47.6893,35000.0,468.0653,0.0,436.0,0.764,CR
36,2334.0302,3.0536,47.6588,35000.0,473.0151,0.0,436.0,0.764,CR
37,2358.8643,3.1121,47.6196,35000.0,480.4774,0.0,436.0,0.764,CR
38,2370.6985,3.1395,47.6044,35000.0,480.0503,0.0,436.0,0.764,CR
39,2389.1106,3.1857,47.5784,35000.0,480.4221,0.0,436.0,0.764,CR
40,2405.4724,3.229,47.5537,35000.0,480.1055,0.0,436.0,0.764,CR
41,2419.9347,3.2667,47.5321,35000.0,481.0,0.0,434.7337,0.764,CR
42,2630.8894,3.7887,47.2293,35000.0,480.1608,0.0,436.0,0.764,CR
43,2683.7387,3.9204,47.1527,35000.0,480.3116,0.0,436.0,0.764,CR
44,2702.0553,3.9665,47.1256,35000.0,480.2161,0.0,434.4322,0.764,CR
45,2717.3317,4.0028,47.1043,35000.0,481.0,0.0,434.0,0.764,CR
46,2742.8291,4.0644,47.0682,35000.0,481.2714,0.0,434.0,0.7611,CR
47,2755.0151,4.0966,47.0492,35000.0,482.0,0.0,434.0,0.76,CR
48,2775.0201,4.1474,47.0192,35000.0,482.0,0.0,434.0,0.7627,CR
49,2790.1859,4.1848,46.997,35003.6432,481.8543,14.5729,436.0,0.764,CR
50,2810.2362,4.2341,46.9676,35025.0,481.0,0.0,436.0,0.7615,CR
51,2826.1809,4.2692,46.9466,35025.0,481.0,0.0,436.0,0.764,CR
52,2842.7538,4.3139,46.9201,35025.0,481.4372,0.0,436.0,0.764,CR
53,2858.0704,4.3495,46.8989,35025.0,481.0,0.0,436.0,0.764,CR
54,2880.0905,4.4038,46.8666,35012.3116,481.0,-63.4422,434.9849,0.764,CR
55,2890.9397,4.4325,46.8494,35000.0,481.0,0.0,434.0,0.7601,CR
56,2914.6181,4.4885,46.816,35000.0,481.0,0.0,434.0,0.76,CR
57,2928.3216,4.5216,46.7978,35000.0,480.0754,0.0,434.0,0.76,CR
58,2942.7789,4.5655,46.7756,35000.0,481.0,0.0,434.0,0.76,CR
59,2959.0854,4.6043,46.7564,35000.0,481.0,0.0,434.0,0.76,CR
60,2975.7588,4.6481,46.7346,34991.4573,481.0,200.2627,434.0,0.76,CR
61,2991.6281,4.6898,46.7136,34995.3518,482.0,610.5528,434.0,0.76,CR
62,3007.2915,4.7309,46.6926,35000.0,481.2864,0.0,434.0,0.7611,CR
63,3022.0704,4.7729,46.6711,35000.0,482.0,0.0,434.0,0.76,CR
64,3235.005,5.3178,46.3863,34975.0,483.0,-30.3491,434.0,0.76,CR
65,3253.6281,5.3633,46.3622,34992.5879,483.0,131.9095,434.0,0.76,CR
66,3272.0553,5.4145,46.3351,34975.0,484.0,-206.0302,432.3518,0.76,CR
67,3290.593,5.4621,46.3097,34975.0,484.6482,0.0,434.0,0.76,CR
68,3301.7236,5.4906,46.2945,34975.0,485.0,0.0,433.7588,0.7595,CR
69,3321.9296,5.5397,46.2685,34975.0,486.1859,0.0,434.0,0.76,CR
70,3340.5879,5.5907,46.2414,35000.0,487.0,0.0,434.0,0.76,CR
71,3353.6131,5.6249,46.2232,35000.0,487.0,0.0,434.0,0.76,CR
72,3373.1307,5.6737,46.1972,35000.0,488.0101,0.0,434.0,0.76,CR
73,3395.7538,5.7322,46.1659,35000.0,489.0,0.0,434.9648,0.7619,CR
74,3411.8191,5.7756,46.1426,35025.0,489.0,13.5678,436.0,0.764,CR
75,3424.1357,5.8057,46.1264,35025.0,490.4271,0.0,436.0,0.764,CR
76,3441.8945,5.8506,46.1022,35025.0,491.0,0.0,436.0,0.764,CR
77,3458.1156,5.8951,46.0781,35025.0,491.0,0.0,436.0,0.764,CR
78,3471.6884,5.9274,46.0607,35025.0,491.0,0.0,436.0,0.764,CR
79,3489.5829,5.9719,46.0367,35025.0,491.3166,0.0,436.0,0.764,CR
