,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,-0.4891,51.475,0.0,0.0,0.0,0.0,0.0,GND
1,84.7286,-0.4891,51.4749,0.0,0.0,0.0,0.0,0.0,GND
2,150.7286,-0.4891,51.4749,0.0,0.0,0.0,0.0,0.0,GND
3,238.2915,-0.4885,51.4749,0.0,16.7186,0.0,0.0,0.0,GND
4,301.0101,-0.4834,51.4749,0.0,31.3467,0.0,0.0,0.0,GND
5,362.4623,-0.4766,51.4749,0.0,17.7688,0.0,0.0,0.0,GND
6,388.4573,-0.4739,51.4749,0.0,23.5628,0.0,0.0,0.0,GND
7,494.3869,-0.4628,51.4752,0.0,22.0101,0.0,0.0,0.0,GND
8,522.1658,-0.4579,51.4751,0.0,24.9447,0.0,0.0,0.0,GND
9,551.4975,-0.4535,51.4751,0.0,19.1558,0.0,0.0,0.0,GND
10,579.5477,-0.449,51.4751,0.0,24.0,0.0,0.0,0.0,GND
11,628.9146,-0.4411,51.475,0.0,23.0,0.0,0.0,0.0,GND
12,694.9146,-0.4366,51.4745,0.0,14.4573,0.0,0.0,0.0,GND
13,748.7688,-0.4349,51.4754,0.0,20.6231,0.0,0.0,0.0,GND
14,917.0402,-0.4723,51.4778,959.6734,146.3266,2020.4146,0.0,0.1562,CL
15,962.3216,-0.5229,51.4768,2554.6482,166.4573,1789.4472,0.0,0.2858,CL
16,977.2764,-0.5409,51.4709,3087.4372,179.3317,2133.1658,9.6181,0.3204,CL
17,993.9849,-0.5502,51.4585,3880.402,195.9698,3092.3367,174.0,0.339,CL
18,1025.1859,-0.5381,51.4294,4890.5779,227.6834,1631.1558,228.1206,0.3602,CL
19,1042.7688,-0.5185,51.4146,5287.8141,261.397,1092.9648,258.2814,0.405,CL
20,1058.2764,-0.4964,51.4001,5556.9095,268.8191,1391.4573,265.6382,0.412,CL
21,1074.0603,-0.4745,51.3861,5825.7538,270.9899,1195.4774,268.0201,0.42,CL
22,1110.407,-0.4243,51.3537,6275.0,273.0,549.309,270.0,0.42,CL
23,1165.5829,-0.344,51.307,6275.0,280.0955,0.0,272.0,0.42,LVL
24,1212.7487,-0.2522,51.2796,6529.1457,288.5829,808.1407,272.3317,0.4223,CL
25,1254.0955,-0.1753,51.2587,8787.8141,296.0955,3927.1357,278.0,0.44,CL
26,1275.7889,-0.1224,51.2523,10015.3266,317.8241,2779.8995,288.0,0.4559,CL
27,1310.9347,-0.0388,51.2484,12010.0503,328.4673,3263.0653,298.0,0.4732,CL
28,1326.7337,0.0019,51.2463,12601.005,344.3869,2271.8593,310.0,0.4922,CL
29,1362.6884,0.0973,51.2411,13444.0955,385.6884,1822.6131,351.0754,0.5563,CL
30,1393.2161,0.1826,51.2335,14806.1558,393.4573,2970.603,359.8291,0.5767,CL
31,1419.598,0.2603,51.2263,16058.9196,399.598,2460.3015,367.8392,0.5917,CL
32,1464.5528,0.3958,51.2141,17847.1106,417.1106,2266.5829,376.0,0.608,CL
33,1479.5075,0.4461,51.2099,18420.2261,423.3015,1939.6985,376.603,0.6092,CL
34,1495.4623,0.4927,51.206,18811.5578,431.0,1500.0,380.9849,0.62,CL
35,1545.7337,0.6576,51.1905,20652.5126,447.6834,2148.2412,393.3668,0.6427,CL
36,1581.2462,0.7724,51.1784,21896.7337,454.8744,2268.8442,398.2513,0.656,CL
37,1613.5025,0.8782,51.1668,22819.0955,463.4573,1797.4437,406.1307,0.665,CL
38,1658.0704,1.0327,51.1526,24045.9799,476.0754,1299.4975,411.5377,0.6881,CL
39,1718.5226,1.2469,51.1421,25657.7889,490.5779,1430.0072,421.7889,0.7094,CL
40,1767.8291,1.4175,51.1234,27111.6834,498.6382,1768.0905,422.7236,0.716,CL
41,1804.3166,1.5563,51.105,28295.1005,502.0,2484.0452,422.0,0.72,CL
42,1844.1005,1.6999,51.0859,29477.5126,507.0201,1500.0,418.0,0.7161,CL
43,1881.2663,1.8328,51.068,30481.6583,512.0,1587.6605,416.0,0.72,CL
44,1897.0101,1.8926,51.0599,30900.2513,513.402,1350.5025,414.804,0.7176,CL
45,1932.9648,2.0263,51.0416,31809.2965,518.1859,1346.5327,414.0,0.72,CL
46,1948.3518,2.085,51.0335,32247.9899,519.0,2337.9397,416.0,0.724,CL
47,2023.4724,2.355,50.9959,33024.3719,509.0,88.4781,405.9497,0.7119,CR
48,2059.4975,2.4902,50.9768,33608.2915,516.1658,985.6177,410.3317,0.7207,CL
49,2074.4271,2.5456,50.9689,33867.8392,519.0,991.206,412.7136,0.724,CL
50,2088.5477,2.5941,50.962,34127.3869,521.5477,1982.4121,414.0,0.728,CL
51,2099.2161,2.6392,50.9556,34318.4673,523.7387,1153.2663,414.5226,0.732,CL
52,2114.7889,2.6881,50.9486,34571.4824,526.0,1008.794,414.2814,0.7397,CL
53,2147.2412,2.8164,50.9302,35278.0151,529.0,1849.2462,422.2412,0.748,CL
54,2176.5578,2.9244,50.9145,35896.7337,529.6884,1593.4673,428.6231,0.7612,CL
55,2210.5226,3.0566,50.8951,36875.2513,520.995,1578.727,430.995,0.768,CL
56,2276.7739,3.2946,50.8599,37017.3367,518.0,260.0503,430.0,0.764,CR
57,2330.0352,3.4959,50.8297,37000.0,518.1156,0.0,430.0,0.768,CR
58,2369.3769,3.6397,50.8079,37000.0,519.0,0.0,430.0,0.768,CR
59,2384.0653,3.6953,50.7993,37000.0,519.0,0.0,431.4673,0.768,CR
60,2399.9146,3.752,50.7907,37025.0,519.0,0.0,430.0,0.768,CR
61,2412.2412,3.7967,50.7838,37000.0,519.0,-105.5276,430.0,0.768,CR
62,2424.3568,3.8432,50.7766,37000.0,519.0,0.0,430.0,0.768,CR
63,2462.0603,3.9788,50.7556,37025.0,520.0,0.0,430.3015,0.768,CR
64,2518.6633,4.1883,50.7228,37025.0,519.0,41.7265,432.2111,0.768,CR
65,2539.4724,4.2643,50.7107,37000.0,520.0,0.0,430.0,0.768,CR
66,2557.6332,4.332,50.7,37000.0,520.0,0.0,430.0,0.768,CR
67,2581.3819,4.4177,50.6864,37000.0,519.0,0.0,430.0,0.768,CR
68,2592.9698,4.4619,50.6793,37000.0,519.0,0.0,428.0302,0.7641,CR
69,2615.3518,4.543,50.6662,37000.0,520.0,0.0,428.0,0.764,CR
70,2627.4673,4.5882,50.6589,36975.0,520.0,0.0,428.0,0.764,CR
71,2642.4623,4.6415,50.6503,37000.0,520.0,132.6633,428.0,0.764,CR
72,2658.995,4.7026,50.6404,37000.0,520.0,0.0,426.0,0.76,CR
73,2673.6985,4.7565,50.6316,36975.0,520.0,0.0,426.0,0.76,CR
74,2694.6533,4.8322,50.6192,36975.0,521.0,0.0,428.0,0.7635,CR
75,2710.6432,4.8901,50.6098,37000.0,521.0,203.5176,427.3568,0.7627,CR
76,2723.5377,4.9402,50.6015,37000.0,522.0,0.0,426.0,0.76,CR
77,2736.1106,4.9865,50.5939,36975.0,522.0,-74.1206,427.407,0.76,CR
