,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,-0.4417,51.4687,0.0,1.0,0.0,0.0,0.0,GND
1,88.2346,-0.4406,51.4689,0.0,0.2412,0.0,0.0,0.0,GND
2,157.8402,-0.4406,51.469,0.0,0.0,0.0,0.0,0.0,GND
3,232.826,-0.4406,51.469,0.0,0.0,0.0,0.0,0.0,GND
4,341.0223,-0.4406,51.469,0.0,0.0,0.0,0.0,0.0,GND
5,420.6009,-0.4405,51.4679,0.0,4.7638,0.0,0.0,0.0,GND
6,496.4628,-0.4405,51.465,0.0,0.0,0.0,0.0,0.0,GND
7,567.9414,-0.4639,51.4649,104.5226,139.8366,402.4229,0.0,0.0,CL
8,631.0874,-0.5246,51.4624,2708.794,142.0948,2481.8953,0.0,0.0172,CL
9,691.393,-0.5165,51.4119,4770.7286,234.0299,1105.59,36.5628,0.0567,CL
10,764.2776,-0.3981,51.3606,6669.0955,290.8757,1402.3566,159.9196,0.2469,CL
11,844.6366,-0.2234,51.3484,9133.6683,301.9668,1505.099,185.5276,0.2901,CL
12,916.3125,-0.0584,51.3362,10780.2764,338.2487,1850.5284,286.2312,0.4508,CL
13,980.7286,0.1058,51.3232,12246.608,355.0,874.8755,334.0,0.528,CL
14,1052.3116,0.2968,51.3081,14000.0,368.5738,415.071,130.402,0.2065,CL
15,1117.8361,0.4738,51.2888,15259.5477,370.0121,926.6075,134.4322,0.2139,CL
16,1177.1605,0.6341,51.2681,17160.5528,385.4848,2250.0411,50.6533,0.081,CL
17,1242.4848,0.8186,51.2435,19900.0,394.5657,247.4077,37.5879,0.0607,CL
18,1307.6636,1.0078,51.2168,22175.0,409.8618,880.6921,133.9497,0.2201,CL
19,1375.3038,1.2076,51.1873,24452.1357,417.7002,1734.5372,0.0,0.0,CL
20,1436.6458,1.3938,51.1587,26121.9849,427.676,1582.3015,73.1658,0.1224,CL
21,1505.7826,1.6081,51.1469,27968.4673,426.0033,1791.7581,396.3015,0.673,CL
22,1563.715,1.789,51.1384,29317.3367,432.902,1306.9147,131.809,0.2048,CL
23,1622.18,1.9736,51.0978,30600.0,464.1276,880.1372,238.8141,0.4097,CL
