,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,-0.4754,51.474,0.0,0.0,0.0,188.0,0.224,GND
1,1148.3367,-0.4744,51.4739,0.0,0.0,0.0,188.0,0.224,GND
2,1667.2513,-0.4736,51.4739,0.0,2.3266,0.0,188.0,0.224,GND
3,1700.1508,-0.4735,51.4729,0.0,25.0,0.0,188.0,0.224,GND
4,1758.402,-0.4735,51.4694,0.0,31.0,0.0,188.0,0.224,GND
5,1786.2513,-0.4733,51.4677,0.0,22.6834,0.0,188.0,0.224,GND
6,1844.8291,-0.4691,51.4675,0.0,18.5276,0.0,188.0,0.224,GND
7,1895.9397,-0.4666,51.4666,0.0,5.7085,0.0,188.0,0.224,GND
8,1925.603,-0.4658,51.4666,0.0,17.3015,0.0,188.0,0.224,GND
9,1948.4523,-0.4643,51.4666,0.0,25.6131,0.0,188.0,0.224,GND
10,1972.6281,-0.4624,51.4666,0.0,26.0,0.0,188.0,0.224,GND
11,1996.191,-0.4604,51.4666,0.0,28.0,0.0,188.0,0.224,GND
12,2017.5075,-0.4584,51.4666,0.0,17.1106,0.0,188.0,0.224,GND
13,2046.3166,-0.4555,51.4666,0.0,30.0,0.0,188.0,0.224,GND
14,2068.8794,-0.4538,51.4666,0.0,18.4724,0.0,188.0,0.224,GND
15,2110.3769,-0.453,51.4666,0.0,0.0,0.0,188.0,0.224,GND
16,2140.005,-0.453,51.4666,0.0,0.0,0.0,188.0,0.224,GND
17,2208.9698,-0.4524,51.4666,0.0,7.1357,0.0,188.0,0.224,GND
18,2256.4523,-0.4511,51.4666,0.0,11.7739,0.0,188.0,0.224,GND
19,2278.9548,-0.4508,51.4667,0.0,2.0,0.0,188.0,0.224,GND
20,2302.005,-0.4504,51.4667,0.0,3.7588,0.0,188.0,0.224,GND
21,2333.2915,-0.4496,51.4667,0.0,14.0,0.0,188.0,0.224,GND
22,2528.5678,-0.447,51.4667,0.0,15.2764,0.0,188.0,0.224,GND
23,2697.1608,-0.4457,51.4667,0.0,0.0,0.0,188.0,0.224,GND
24,2769.9196,-0.4453,51.4667,0.0,14.5075,0.0,188.0,0.224,GND
25,2819.1407,-0.4437,51.4667,0.0,0.3719,0.0,188.0,0.224,GND
26,2910.9598,-0.4432,51.4667,0.0,12.6533,0.0,188.0,0.224,GND
27,2941.196,-0.4421,51.4667,0.0,3.608,0.0,188.0,0.224,GND
28,3004.7588,-0.4421,51.4667,0.0,0.0,0.0,188.0,0.224,GND
29,3057.5075,-0.4418,51.4667,0.0,8.9146,0.0,188.0,0.224,GND
30,3081.8844,-0.4412,51.4667,0.0,7.608,0.0,188.0,0.224,GND
31,3102.7789,-0.4409,51.4667,0.0,11.0,0.0,188.0,0.224,GND
32,3128.206,-0.4404,51.4667,0.0,7.3819,0.0,188.0,0.224,GND
33,3152.4874,-0.4403,51.4667,0.0,0.0,0.0,188.0,0.224,GND
34,3237.5427,-0.4392,51.4667,0.0,18.7085,0.0,188.0,0.224,GND
35,3280.6382,-0.4374,51.4667,0.0,0.603,0.0,188.0,0.224,GND
36,3306.7136,-0.4374,51.4667,0.0,0.0,0.0,188.0,0.224,GND
37,3392.2965,-0.4361,51.4663,0.0,2.598,0.0,188.0,0.224,GND
38,3496.3869,-0.4367,51.465,0.0,0.0,0.0,188.0,0.224,GND
39,3515.9899,-0.4367,51.465,0.0,0.0,0.0,188.0,0.224,GND
40,3574.5477,-0.4441,51.4649,0.0,73.6834,0.0,188.0,0.224,LVL
41,3663.0754,-0.5363,51.4646,2201.1307,173.1055,1436.2367,168.0,0.3041,CL
42,3720.2462,-0.6263,51.4619,3653.392,241.804,1566.4433,168.0,0.4042,CL
43,3774.2412,-0.7215,51.4504,6213.0653,247.0402,4809.6734,168.0,0.4198,CL
44,3833.3719,-0.8288,51.4314,9229.7739,272.397,3471.2505,168.0,0.4466,CL
45,3886.6332,-0.9016,51.3776,11190.3266,316.9799,1558.794,168.0,0.5216,CL
46,3982.8894,-1.0339,51.2557,15747.2362,337.1558,2234.4724,243.1357,0.5663,CL
47,4076.4523,-1.1686,51.1199,18795.3518,381.0905,1975.8601,382.0,0.6404,CL
48,4123.0151,-1.233,51.0439,20550.3769,390.206,2095.4774,360.0,0.656,CL
49,4189.3518,-1.317,50.9428,24102.0101,363.0804,1655.3457,384.3116,0.6437,CL
50,4257.5126,-1.408,50.8364,25031.407,405.5126,750.0,412.0,0.713,CL
51,4315.7035,-1.4892,50.7379,26414.0704,417.2814,1396.4106,436.2814,0.7366,CL
52,4377.5578,-1.5773,50.6318,27766.9598,428.8794,1146.0713,447.9196,0.7546,CL
53,4458.4774,-1.6968,50.4869,29349.6231,435.6633,1166.8342,457.3367,0.78,CL
54,4528.392,-1.8003,50.3604,30517.8392,447.1055,1131.084,454.0,0.78,CL
