,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,-0.4656,51.4752,0.0,0.0,0.0,194.0,0.248,GND
1,117.6583,-0.4634,51.4752,0.0,28.0,0.0,194.0,0.248,GND
2,175.6884,-0.4582,51.4752,0.0,30.0,0.0,194.0,0.248,GND
3,260.9095,-0.4496,51.4751,0.0,17.9598,0.0,194.0,0.248,GND
4,612.7538,-0.4367,51.4777,0.0,50.6432,0.0,194.0,0.248,GND
5,684.6281,-0.5104,51.4777,1490.7035,168.4422,1500.0,194.0,0.2785,CL
6,756.4422,-0.5397,51.4275,3743.8442,229.6884,1200.0,174.0,0.3348,CL
7,794.8191,-0.4925,51.399,4646.9849,240.9397,1015.0754,225.9397,0.344,CL
8,833.2563,-0.4409,51.365,5275.1256,285.2513,675.8794,256.0,0.413,CL
9,883.598,-0.3611,51.3195,5525.0,281.9347,0.0,270.0,0.416,LVL
10,953.0704,-0.2217,51.3064,6780.2764,285.1859,4430.2764,278.0,0.4313,CL
11,989.4774,-0.1491,51.2925,8901.2563,290.0955,3300.0,285.809,0.4444,CL
12,1022.6382,-0.0801,51.2794,10665.9548,300.0151,2123.1156,296.2613,0.4695,CL
13,1052.9749,-0.0112,51.2732,11299.3719,333.6332,1500.0,333.9497,0.5253,CL
14,1086.5779,0.074,51.2723,12680.402,349.0,2768.4853,350.0,0.552,CL
15,1115.4422,0.1477,51.2714,14008.1658,354.2211,2942.2111,356.4422,0.568,CL
16,1145.0151,0.2254,51.2691,15225.6281,363.5025,2189.0704,362.0101,0.58,CL
17,1173.3518,0.3048,51.264,16472.9899,367.7839,2500.0,368.0,0.588,CL
18,1224.2613,0.4399,51.2555,18411.4322,378.1307,2134.2965,380.1307,0.62,CL
19,1262.7337,0.5455,51.2488,19818.3417,385.3467,1744.9749,386.6935,0.632,CL
20,1299.1407,0.6511,51.242,21034.9246,393.6281,2155.7789,394.0,0.648,CL
21,1337.4573,0.762,51.2347,22211.4322,400.9095,1527.1357,401.8191,0.66,CL
22,1374.1457,0.8723,51.2274,23369.0955,406.0,1647.2362,408.0,0.6768,CL
23,1411.3618,0.983,51.2199,24457.6633,411.0,2258.2915,414.0,0.692,CL
24,1448.5226,1.0932,51.2123,25444.2211,415.0,1163.8191,421.5075,0.707,CL
25,1485.2814,1.2134,51.2041,26407.0352,423.0,1500.0,426.0,0.7201,CL
26,1523.5327,1.3289,51.1929,27489.5729,425.3166,1321.9221,430.0,0.728,CL
27,1553.392,1.4207,51.1821,28154.8995,430.0,850.5025,432.0,0.736,CL
28,1589.6382,1.5376,51.1682,29040.9548,433.0,1572.3618,440.0,0.748,CL
29,1623.1608,1.6421,51.1558,29754.0201,437.0,1320.1723,444.0,0.7606,CL
30,1651.2111,1.7291,51.1454,30283.1658,440.4422,1234.6734,446.0,0.768,CL
31,1679.1709,1.8177,51.1347,30618.0905,447.7236,500.0,451.4472,0.7789,CL
32,1710.0151,1.9203,51.1221,31375.3769,446.0,1500.0,454.0,0.784,CL
33,1745.5729,2.0261,51.1091,32446.4824,437.7136,1982.4121,448.0,0.776,CL
34,1784.9497,2.1565,51.093,33041.9598,443.5678,886.2168,450.0,0.784,CL
