,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,-0.4847,51.4738,0.0,0.0,0.0,0.0,0.0,GND
1,248.2111,-0.4787,51.4747,0.0,16.2211,0.0,0.0,0.0,GND
2,346.1156,-0.4731,51.4749,0.0,17.8141,0.0,0.0,0.0,GND
3,405.3367,-0.4696,51.4749,0.0,32.7789,0.0,0.0,0.0,GND
4,441.4874,-0.4662,51.4752,0.0,26.6281,0.0,0.0,0.0,GND
5,506.8593,-0.4603,51.4752,0.0,32.0,0.0,0.0,0.0,GND
6,615.2513,-0.4463,51.4751,0.0,23.5176,0.0,0.0,0.0,GND
7,654.4121,-0.4419,51.475,0.0,18.9849,0.0,0.0,0.0,GND
8,750.2312,-0.439,51.475,0.0,17.2563,0.0,0.0,0.0,GND
9,919.6734,-0.438,51.475,0.0,13.3367,0.0,0.0,0.0,GND
10,1017.1005,-0.4368,51.4745,0.0,0.0,0.0,0.0,0.0,GND
11,1096.8141,-0.4368,51.4745,0.0,0.0,0.0,0.0,0.0,GND
12,1157.4623,-0.4365,51.4745,0.0,13.2312,0.0,0.0,0.0,GND
13,1408.6281,-0.4338,51.4774,0.0,0.0,0.0,0.0,0.0,GND
14,1446.3166,-0.4342,51.4777,0.0,16.3015,0.0,0.0,0.0,GND
15,1476.6834,-0.4408,51.4777,0.0,92.3116,0.0,0.0,0.0,GND
16,1512.4372,-0.4775,51.4777,1358.4171,149.0251,3566.8342,0.0,0.26,CL
17,1532.402,-0.4989,51.4778,2189.0704,162.2412,2237.9397,0.0,0.289,CL
18,1572.3668,-0.5539,51.4734,3676.5075,205.7136,2518.0187,170.0,0.348,CL
19,1600.2663,-0.5965,51.4663,4363.3166,232.5327,1841.5763,170.0,0.408,CL
20,1622.8894,-0.629,51.4511,5412.4372,242.8744,3066.3317,249.0553,0.4149,CL
21,1699.6181,-0.6032,51.3671,9496.3568,290.9045,3541.4573,280.9045,0.4516,CL
22,1739.0402,-0.5606,51.3117,11052.1357,330.2663,1502.9495,311.2764,0.51,CL
23,1775.8291,-0.5187,51.2566,12177.6382,365.9146,2361.809,296.0,0.5691,CL
24,1803.9246,-0.4856,51.2136,13596.2312,370.2312,3192.2111,362.0,0.584,CL
25,1831.2965,-0.4522,51.1694,14769.2211,379.4724,2690.9548,366.0,0.5953,CL
26,1875.9246,-0.3954,51.0999,16439.8241,395.9196,2068.8971,375.6683,0.6153,CL
27,1902.1809,-0.358,51.0554,16977.5126,400.0503,750.8375,378.0603,0.6161,CL
28,1932.6181,-0.3181,51.0077,17690.8291,409.0,2423.9052,384.0,0.632,CL
29,1964.9799,-0.2709,50.9512,18799.4975,416.9799,1672.29,390.392,0.6448,CL
30,1993.1558,-0.2293,50.9014,19838.0653,420.7889,2545.8543,398.0,0.6592,CL
31,2021.9095,-0.189,50.8525,20622.7387,437.7638,1500.0,400.7638,0.6655,CL
32,2054.4975,-0.1398,50.7934,21437.4372,451.6231,1493.7186,402.0,0.6798,CL
33,2080.9246,-0.0984,50.7434,22226.5075,454.4322,1905.2405,413.407,0.6908,CL
34,2107.4121,-0.0577,50.6941,23014.3216,456.4824,1767.8392,416.3216,0.7006,CL
35,2133.7688,-0.0123,50.6446,23781.9095,470.7839,1952.2613,421.5075,0.702,CL
36,2166.0804,0.0597,50.5901,24842.3367,477.3467,2133.1658,418.0,0.708,CL
37,2204.4322,0.1494,50.5257,26026.7588,478.9397,1861.4612,418.1206,0.708,CL
38,2229.5226,0.2009,50.4888,26664.6985,477.8693,1132.5377,416.0,0.708,CL
39,2275.6281,0.3152,50.4064,28090.7035,483.0,2811.5578,414.0,0.7115,CL
40,2309.7487,0.3929,50.35,28921.8593,477.1256,1007.9564,408.5628,0.7023,CL
41,2329.2965,0.4358,50.3188,28982.7889,472.6884,27.4904,405.3769,0.6988,CL
42,2353.5226,0.4907,50.2788,29000.0,473.0,0.0,404.0,0.696,CR
43,2379.4874,0.5484,50.2366,29000.0,474.0,0.0,406.995,0.704,CR
44,2414.2714,0.6274,50.1792,29000.0,474.0,0.0,406.0,0.704,CR
45,2433.5678,0.6727,50.1459,29000.0,473.0,0.0,407.3668,0.704,CR
46,2450.5528,0.7096,50.1188,29000.0,472.0,0.0,406.0,0.704,CR
47,2472.4322,0.7571,50.0836,29000.0,471.1307,0.0,406.0,0.704,CR
48,2496.0101,0.8101,50.0447,29000.0,470.0,0.0,407.0754,0.7022,CR
49,2515.3869,0.8553,50.0114,28998.6181,468.9447,-11.8449,407.7789,0.7,CR
50,2538.2412,0.9047,49.9748,28975.0,468.0,0.0,406.0,0.7026,CR
51,2559.4824,0.9495,49.9416,28975.0,467.0,0.0,408.0,0.704,CR
52,2581.005,0.9992,49.9051,29000.0,466.0,0.0,408.0,0.704,CR
53,2600.9799,1.042,49.8732,29000.0,466.0,0.0,408.0,0.704,CR
54,2625.1005,1.094,49.8349,29000.0,465.0,0.0,408.0,0.704,CR
55,2639.4523,1.1263,49.8115,29000.0,465.0,0.0,408.0,0.7055,CR
56,2662.4422,1.176,49.7752,29000.0,463.794,0.0,408.0,0.704,CR
57,2695.995,1.2505,49.7208,29000.0,461.0,0.0,408.0,0.704,CR
58,2708.7839,1.279,49.6997,29000.0,462.0,0.0,408.0,0.704,CR
59,2722.9548,1.3099,49.6768,29000.0,461.0,0.0,408.0,0.704,CR
60,2738.4673,1.3424,49.6528,29000.0,461.0,0.0,409.1558,0.704,CR
61,2755.8794,1.3806,49.6245,29000.0,461.0,0.0,410.3417,0.7087,CR
62,2774.8191,1.4215,49.5942,29000.0,460.2362,0.0,410.0,0.7089,CR
63,2805.0704,1.4864,49.5461,29025.0,460.0,0.0,412.0,0.712,CR
64,2819.799,1.5178,49.523,29025.0,460.0,0.0,412.0,0.712,CR
65,2847.2563,1.5779,49.4786,29025.0,458.4573,0.0,412.0,0.712,CR
66,2860.9497,1.6079,49.4565,29025.0,457.0,0.0,412.0,0.712,CR
67,2890.9146,1.6719,49.4095,29000.0,456.0,-27.1357,410.0,0.708,CR
68,2902.9296,1.6983,49.3901,29000.0,454.0,0.0,409.3568,0.708,CR
69,2926.8291,1.7486,49.3534,28975.0,454.0,-42.7136,408.0,0.704,CR
70,2943.5528,1.783,49.3281,28975.0,454.0,0.0,408.0,0.704,CR
71,2964.5025,1.8282,49.2948,28975.0,453.1005,0.0,408.0,0.708,CR
72,2983.3216,1.8699,49.2641,28975.0,453.3065,0.0,408.0,0.708,CR
73,3009.5829,1.9234,49.2244,28982.1608,454.0,26.853,412.0,0.712,CR
74,3033.5176,1.9739,49.1868,29000.0,454.0,0.0,412.0,0.712,CR
75,3053.4171,2.0175,49.1546,29025.0,454.0,65.9548,410.0,0.708,CR
76,3072.2613,2.0576,49.125,29000.0,454.0,0.0,410.0,0.712,CR
77,3097.608,2.1106,49.0856,29008.5427,454.0,-98.3489,410.0,0.7106,CR
78,3115.0151,2.1484,49.0564,29000.0,453.7487,0.0,410.0,0.711,CR
79,3168.0653,2.2515,48.9706,29000.0,452.0,0.0,410.0,0.708,CR
80,3196.1859,2.3075,48.9243,29000.0,453.0,0.0,410.0,0.708,CR
81,3217.1206,2.3477,48.8906,29000.0,453.0,0.0,410.0,0.708,CR
82,3244.7387,2.4025,48.8448,29000.0,453.0,0.0,410.0,0.708,CR
83,3263.6482,2.4397,48.8137,29000.0,452.7839,0.0,410.0,0.708,CR
84,3299.4171,2.5103,48.7545,29000.0,452.0,0.0,410.0,0.708,CR
85,3330.206,2.5691,48.7052,29000.0,452.0,0.0,410.0,0.712,CR
86,3351.9799,2.6117,48.669,29025.0,452.0,0.9422,410.0,0.712,CR
87,3366.5276,2.6388,48.6462,29000.0,453.0,0.0,410.0,0.708,CR
88,3406.9045,2.7292,48.5835,29000.0,459.8191,0.0,410.3618,0.712,CR
89,3424.8693,2.7798,48.5645,29025.0,460.0,0.0,412.0,0.712,CR
90,3458.9698,2.8831,48.5486,29040.8291,456.2663,-28.9606,410.5327,0.7091,CR
91,3486.799,2.9714,48.545,29000.0,455.0,-10.0503,411.8392,0.7118,CR
92,3514.3166,3.0592,48.5421,29000.0,454.0,0.0,412.0,0.712,CR
93,3540.7286,3.1431,48.5391,29025.0,452.0,0.0,410.0,0.7126,CR
94,3554.4774,3.1856,48.5375,29000.0,451.0,0.0,412.0,0.709,CR
95,3570.3266,3.2335,48.5358,29000.0,450.6683,0.0,410.0,0.7067,CR
96,3607.7186,3.3523,48.5315,28975.0,450.0754,0.0,411.6985,0.7083,CR
97,3627.5879,3.4115,48.5293,28975.0,450.0,0.0,412.0,0.712,CR
98,3641.5528,3.4554,48.5276,28977.7638,449.8894,33.1658,414.0,0.716,CR
99,3663.407,3.522,48.525,29025.0,448.0,0.0,412.593,0.7132,CR
100,3686.3367,3.5961,48.5221,29025.0,446.7035,0.0,413.407,0.712,CR
101,3708.6683,3.6657,48.5194,29000.0,446.0,0.0,414.0,0.7156,CR
102,3762.8844,3.8276,48.511,28987.9397,445.0,-20.6748,410.0,0.7101,CR
103,3800.4523,3.9304,48.4977,28975.0,444.0,0.0,410.0,0.7117,CR
104,3822.6784,3.9968,48.4829,28975.0,445.0,0.0,408.0,0.7067,CR
105,3844.5678,4.0502,48.4709,28975.0,446.0,0.0,410.5226,0.712,CR
106,3867.1256,4.1264,48.4537,28996.3568,446.0,213.5678,410.2915,0.712,CR
107,3888.6834,4.1894,48.4396,28988.8191,446.0,-111.809,410.8945,0.712,CR
108,3910.3216,4.2505,48.4259,29001.005,446.0,7.5377,414.0,0.72,CR
