,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,-3.5919,40.4945,0.0,0.0,0.0,0.0,0.0,GND
1,134.7604,-3.5923,40.4945,0.0,1.1759,0.0,0.0,0.0,GND
2,234.7111,-3.5929,40.4945,0.0,0.0,0.0,0.0,0.0,GND
3,375.9839,-3.5929,40.4961,0.0,9.8894,0.0,0.0,0.0,GND
4,448.2885,-3.5888,40.4975,0.0,8.2111,0.0,0.0,0.0,GND
5,513.0374,-3.5864,40.4937,0.0,0.7236,0.0,0.0,0.0,GND
6,574.3518,-3.5814,40.4924,0.0,21.3518,0.0,0.0,0.0,GND
7,633.3429,-3.5751,40.4929,0.0,3.0754,0.0,0.0,0.0,GND
8,706.643,-3.5749,40.5237,2291.9598,164.8227,648.1452,22.794,0.0353,CL
9,775.5829,-3.5933,40.5735,4602.7638,169.0,2965.0951,174.0,0.268,CL
10,841.8857,-3.646,40.6111,6418.9698,197.9095,2956.902,180.2412,0.2759,CL
11,903.2462,-3.676,40.6662,7890.5779,261.5578,2149.5556,250.0,0.384,CL
12,986.6329,-3.6581,40.7766,11198.1156,300.5451,1454.0671,0.0,0.0,CL
13,1052.4555,-3.6241,40.8716,13002.3869,356.6528,237.9005,32.8442,0.0516,CL
14,1114.8301,-3.5751,40.9777,14337.1859,406.9676,2092.0593,202.9749,0.3198,CL
15,1185.8615,-3.5156,41.1073,17065.9548,416.8989,3541.0412,362.3116,0.5769,CL
16,1252.334,-3.459,41.2299,19013.5678,434.291,1823.2316,115.0553,0.1856,CL
17,1319.9476,-3.3989,41.359,20991.3317,446.0405,992.9889,0.0,0.0,CL
18,1386.1559,-3.3365,41.4927,22676.3819,458.0436,2767.7317,425.1256,0.6915,CL
19,1453.8447,-3.2728,41.6286,24286.1809,466.8337,2610.3312,204.8342,0.3399,CL
20,1515.6686,-3.2138,41.7543,25691.9598,471.6319,1261.8815,75.2563,0.1248,CL
21,1580.4912,-3.1502,41.889,27311.5578,469.23,2149.2032,359.8191,0.6028,CL
22,1643.7868,-3.0892,42.0176,29193.4673,459.7486,1018.3186,289.1256,0.4885,CL
23,1707.5233,-3.0181,42.1367,30850.3769,443.2007,46.7212,6.9347,0.0118,CR
24,1771.7485,-2.9121,42.2439,32030.5276,448.9415,482.3962,188.0503,0.3191,CL
25,1837.4724,-2.8022,42.3562,33179.8995,452.2163,2004.9454,370.7337,0.6296,CL
26,1903.7735,-2.6951,42.4652,34754.7739,443.1657,188.9394,87.0754,0.1497,CR
27,1970.7968,-2.5847,42.5765,35875.0,444.9687,334.3817,191.8593,0.3253,CL
28,2033.9213,-2.4808,42.6814,36625.0,449.1181,25.1256,11.5578,0.0197,CR
29,2105.3668,-2.3578,42.8044,37325.0,454.0,0.0,456.0,0.78,CR
30,2169.4139,-2.2495,42.9126,37843.9698,460.0789,468.3913,349.0452,0.5979,CL
31,2232.8858,-2.1415,43.0195,38000.0,447.7176,0.0,69.9497,0.12,CR
32,2292.7893,-2.0421,43.1179,38000.0,430.9369,0.0,208.5226,0.3603,CR
33,2361.7387,-1.9297,43.2296,38000.0,430.9347,0.0,454.0,0.7843,CR
34,2427.5328,-1.8528,43.3469,38008.1658,437.6469,-2872.3823,149.598,0.2587,DE
35,2490.1443,-1.7787,43.4623,38000.0,440.7123,0.0,128.3216,0.2229,CR
36,2557.9093,-1.6984,43.587,38050.0,441.383,0.0,50.8543,0.0884,CR
37,2619.0101,-1.6243,43.7015,38050.0,438.0,0.0,458.0,0.794,CR
38,2682.3829,-1.5502,43.8154,38000.0,436.5337,0.0,47.9095,0.0832,CR
39,2747.5505,-1.4717,43.9356,37975.0,434.1773,0.0,323.9598,0.5623,CR
40,2814.5915,-1.3929,44.0561,37975.0,433.204,0.0,146.0101,0.2547,CR
41,2888.3199,-1.3035,44.191,38000.0,432.0606,0.0,420.201,0.7326,CR
42,2968.2816,-1.2071,44.3339,38000.0,432.2268,0.0,208.0402,0.3625,CR
43,3038.5295,-1.1205,44.459,37975.0,434.5289,0.0,65.2864,0.1137,CR
44,3098.6281,-1.0439,44.5672,38000.0,438.7641,0.0,111.2965,0.194,CR
45,3181.4589,-0.935,44.7173,38025.0,442.1976,0.0,164.2613,0.2866,CR
46,3243.5599,-0.8516,44.8287,38050.0,442.7264,0.0,13.7487,0.024,CR
47,3307.7474,-0.7625,44.9442,38025.0,439.5158,0.0,189.9497,0.3326,CR
48,3377.9269,-0.6653,45.0685,37975.0,438.4675,0.0,84.0402,0.1465,CR
49,3442.206,-0.5727,45.1846,37975.0,439.0,0.0,448.0,0.784,CR
50,3519.3872,-0.4637,45.3187,37975.0,441.9145,0.0,180.9045,0.3152,CR
51,3584.0243,-0.3693,45.4317,38000.0,444.7293,0.0,4.5427,0.0079,CR
52,3646.7638,-0.2986,45.5538,38025.0,445.0,0.0,454.0,0.7935,CR
53,3720.0955,-0.2275,45.6953,38050.0,442.0,0.0,456.0,0.796,CR
54,3787.1282,-0.1621,45.8233,38000.0,439.0387,-273.7979,378.7136,0.6607,DE
55,3856.0811,-0.0951,45.9541,37975.0,436.7245,0.0,248.7739,0.4351,CR
56,3926.4597,-0.0271,46.0869,37950.0,439.898,0.0,22.5126,0.0394,CR
57,4019.7337,0.0669,46.2685,38008.5427,445.3417,64.0704,450.6834,0.788,CR
58,4090.0058,0.1373,46.4038,38050.0,447.4277,0.0,120.9146,0.212,CR
59,4160.7538,0.2079,46.5447,38025.0,445.1256,0.0,454.0,0.792,CR
60,4237.5528,0.2768,46.6937,38000.0,444.0,0.0,452.0,0.788,CR
61,4316.5223,0.35,46.8484,37997.7387,445.0746,69.641,411.1156,0.7167,CR
62,4393.2344,0.421,46.9976,38000.0,444.2191,0.0,317.1156,0.5532,CR
63,4489.547,0.5105,47.1845,37975.0,442.9783,-65.6856,137.9397,0.2403,CR
64,4586.3417,0.6024,47.3754,37975.0,446.0,0.0,450.0,0.784,CR
65,4671.3683,0.6825,47.5396,38000.0,450.8789,0.0,0.0,0.0,CR
66,4744.46,0.7544,47.6865,38025.0,452.1406,0.0,396.4221,0.692,CR
67,4817.1166,0.8249,47.8296,38025.0,449.0891,-221.608,336.8442,0.585,CR
68,4897.3319,0.9024,47.9867,37991.3317,448.0147,1928.9364,156.7236,0.2732,CL
69,4987.5157,0.9906,48.1628,37975.0,448.0214,0.0,20.3518,0.0355,CR
70,5093.3116,1.0965,48.3742,37975.0,453.0,0.0,448.0,0.7823,CR
71,5202.9502,1.206,48.5901,38050.0,455.7733,0.0,77.5678,0.136,CR
72,5305.1783,1.3105,48.7939,38000.0,455.9475,0.0,100.8241,0.1751,CR
73,5391.6957,1.4282,48.9561,38025.0,447.4921,0.0,175.6683,0.3065,CR
74,5492.0452,1.6041,49.1292,38000.0,440.995,0.0,452.0,0.788,CR
75,5615.5222,1.8156,49.3357,37975.0,439.2732,0.0,178.6432,0.3112,CR
76,5717.1558,1.9944,49.5088,38025.0,440.0,0.0,452.4221,0.788,CR
77,5817.6798,2.1697,49.6768,38020.4774,440.2191,173.5209,370.2312,0.6454,CR
78,5906.7186,2.328,49.8273,38025.0,440.0,0.0,454.0,0.7897,CR
79,6003.661,2.4976,49.9873,38000.0,438.766,0.0,15.8995,0.0277,CR
80,6116.7839,2.7028,50.1792,38000.0,439.3568,0.0,452.0,0.788,CR
81,6217.2148,2.8832,50.3466,37975.0,443.8513,0.0,336.9347,0.587,CR
82,6310.0044,3.0551,50.5043,38000.0,449.9382,0.0,391.8392,0.6806,CR
83,6411.0653,3.2446,50.6771,38313.3166,447.4673,574.7487,452.0,0.792,CL
84,6525.6231,3.4795,50.8617,39000.0,444.0,0.0,450.1508,0.788,CR
85,6642.0258,3.718,51.0465,39000.0,451.9847,0.0,144.3618,0.2507,CR
86,6726.8342,3.919,51.1734,38975.0,451.7085,0.0,452.0,0.788,CR
87,6833.402,4.1674,51.3328,39000.0,453.1005,0.0,454.0,0.7884,CR
88,6953.2428,4.4482,51.5109,39000.0,453.4847,0.0,223.5779,0.39,CR
89,7040.3387,4.6531,51.6393,39000.0,454.4277,0.0,52.9347,0.092,CR
90,7156.6583,4.9328,51.8134,39000.0,450.0,0.0,454.0,0.7869,CR
91,7259.6734,5.1777,51.9641,38975.0,451.0,0.0,452.0,0.784,CR
92,7339.2765,5.3679,52.0802,39000.0,453.0046,0.0,430.3819,0.7442,CR
93,7450.2613,5.6379,52.2432,39025.0,452.4523,0.0,454.9045,0.792,CR
94,7536.3351,5.8442,52.3665,39025.0,448.9167,0.0,71.0352,0.124,CR
95,7616.8706,6.0389,52.482,38975.0,446.9238,0.0,0.0,0.0,CR
96,7736.7714,6.3323,52.6542,39025.0,445.6564,0.0,168.8241,0.2945,CR
97,7831.6213,6.5614,52.7872,39000.0,439.8926,-323.8267,0.0,0.0,DE
98,7940.3348,6.8271,52.9401,38975.0,437.9255,0.0,184.603,0.3231,CR
99,8082.3116,7.1731,53.1366,39000.0,440.6203,0.0,88.5829,0.1544,CR
100,8171.6369,7.3974,53.2623,39000.0,442.1899,0.0,361.809,0.6336,CR
101,8286.6753,7.6838,53.4217,39025.0,448.3195,0.0,0.0,0.0,CR
102,8369.9296,7.8998,53.5402,39025.0,448.027,0.0,444.8744,0.78,CR
103,8440.395,8.0773,53.6369,39000.0,448.6816,0.0,0.0,0.0,CR
104,8514.2915,8.2723,53.7424,39000.0,450.0,0.0,450.0,0.788,CR
105,8596.0779,8.4832,53.8555,39000.0,451.0838,0.0,379.8995,0.6652,CR
106,8685.1622,8.7134,53.9782,39025.0,448.9014,0.0,0.0,0.0,CR
107,8773.0958,8.9431,54.0993,39000.0,445.4228,0.0,27.1357,0.0475,CR
108,8844.1799,9.1303,54.1968,38975.0,446.1769,0.0,147.9196,0.26,CR
109,8902.8141,9.2847,54.2768,38975.0,448.1753,0.0,123.8191,0.2178,CR
110,8974.5779,9.4794,54.3772,39000.0,451.0,0.0,448.0,0.784,CR
111,9065.4226,9.7227,54.5012,39025.0,454.4107,415.1261,228.392,0.3999,CL
112,9145.7841,9.9427,54.6125,39025.0,453.0518,0.0,404.7739,0.7124,CR
113,9215.7106,10.1315,54.707,38975.0,455.0157,-329.3505,317.4271,0.5583,DE
114,9282.6068,10.316,54.7988,39000.0,455.2953,0.0,308.9045,0.5413,CR
115,9351.5401,10.5047,54.8918,39025.0,454.568,0.0,34.0704,0.06,CR
116,9422.5038,10.7021,54.9885,39000.0,451.4568,0.0,238.6332,0.4197,CR
117,9490.7998,10.8905,55.0799,38975.0,452.5471,0.0,63.3166,0.1109,CR
118,9554.7538,11.0719,55.1674,39000.0,453.7487,0.0,448.5025,0.785,CR
119,9619.9095,11.2536,55.2543,39000.0,455.8153,0.0,161.2663,0.2826,CR
120,9689.0443,11.4527,55.3486,39050.0,454.0139,268.106,438.0302,0.7641,CR
121,9751.9709,11.6284,55.4314,39025.0,451.3237,0.0,260.0804,0.456,CR
122,9827.2263,11.838,55.5294,39000.0,448.2422,0.0,0.0,0.0,CR
123,9896.795,12.034,55.6203,39000.0,446.4844,0.0,0.0,0.0,CR
124,9958.8992,12.2124,55.702,38975.0,445.1531,0.0,270.1508,0.4728,CR
125,10043.9786,12.4555,55.8131,39000.0,446.9996,0.0,447.7387,0.784,CR
126,10109.2513,12.6394,55.8962,39000.0,448.0087,0.0,275.8794,0.4831,CR
127,10176.5733,12.8338,55.9834,39000.0,448.9782,0.0,350.5025,0.6138,CR
128,10244.1668,13.0282,56.0698,39000.0,451.264,0.0,77.5678,0.1353,CR
129,10307.802,13.216,56.1526,39025.0,450.2882,0.0,255.5176,0.4457,CR
130,10377.9551,13.4234,56.2435,39000.0,450.0397,0.0,431.5578,0.7562,CR
131,10446.3467,13.6255,56.3311,39000.0,451.0,0.0,456.0,0.796,CR
132,10507.3287,13.8022,56.4071,39000.0,449.5764,0.0,118.6332,0.207,CR
133,10569.1001,13.9869,56.4861,39025.0,447.0188,0.0,392.9447,0.6885,CR
134,10631.0376,14.1684,56.563,38986.9347,444.1371,-388.849,235.1759,0.4118,DE
135,10693.6783,14.3561,56.642,38975.0,445.9851,0.0,409.7286,0.717,CR
