,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,-3.5749,40.4607,0.0,0.0,0.0,0.0,0.0,GND
1,83.1455,-3.5742,40.4601,0.0,0.3317,0.0,0.0,0.0,GND
2,151.6476,-3.5743,40.4597,0.0,0.0,0.0,0.0,0.0,GND
3,281.8171,-3.5743,40.4597,0.0,0.0,0.0,0.0,0.0,GND
4,389.5287,-3.5743,40.4597,0.0,0.0,0.0,0.0,0.0,GND
5,518.1992,-3.5743,40.4597,0.0,0.0,0.0,0.0,0.0,GND
6,624.0935,-3.5743,40.4597,0.0,0.0,0.0,0.0,0.0,GND
7,705.3456,-3.5743,40.4597,0.0,0.0,0.0,0.0,0.0,GND
8,832.8818,-3.5736,40.4602,0.0,0.0,0.0,0.0,0.0,GND
9,914.1078,-3.5687,40.4588,0.0,6.0905,0.0,0.0,0.0,GND
10,981.8413,-3.5668,40.4622,0.0,7.8995,0.0,0.0,0.0,GND
11,1048.7728,-3.5658,40.4666,0.0,3.3417,0.0,0.0,0.0,GND
12,1115.7816,-3.5667,40.4719,0.0,0.1809,0.0,0.0,0.0,GND
13,1188.7046,-3.5702,40.4753,0.0,1.402,0.0,0.0,0.0,GND
14,1280.7565,-3.5714,40.4765,0.0,2.5729,0.0,0.0,0.0,GND
15,1350.3315,-3.5741,40.4791,0.0,6.6633,0.0,0.0,0.0,GND
16,1418.5821,-3.578,40.483,0.0,5.8945,0.0,0.0,0.0,GND
17,1486.9003,-3.5805,40.486,0.0,1.809,0.0,0.0,0.0,GND
18,1561.201,-3.5777,40.4886,0.0,0.2412,0.0,0.0,0.0,GND
19,1625.1554,-3.5706,40.4886,0.0,0.1508,0.0,0.0,0.0,GND
20,1688.9276,-3.5668,40.4886,0.0,6.1508,0.0,0.0,0.0,GND
21,1776.4121,-3.5655,40.4942,0.0,19.0,0.0,0.0,0.0,GND
22,1865.9282,-3.5655,40.4991,0.0,3.2412,0.0,0.0,0.0,GND
23,1932.557,-3.5629,40.5003,0.0,2.2312,0.0,0.0,0.0,GND
24,1997.9783,-3.5601,40.5004,0.0,8.8191,0.0,0.0,0.0,GND
25,2085.6435,-3.5593,40.5126,1900.0,129.0192,0.0,0.0,0.0,LVL
26,2193.2584,-3.538,40.5934,5290.5779,168.7323,1264.0754,0.0,0.0,CL
27,2284.9095,-3.4565,40.6672,7908.5427,256.9548,3729.9803,257.8191,0.4036,CL
28,2368.7989,-3.3678,40.7462,11616.0804,288.4636,1847.1827,100.6131,0.1598,CL
29,2444.9507,-3.2761,40.8278,14920.2261,313.063,5032.6075,241.0955,0.3883,CL
30,2514.5099,-3.1539,40.8723,17700.0,346.2818,50.2513,8.0402,0.0131,LVL
31,2583.6773,-3.005,40.9017,19632.0352,384.6814,156.1637,48.6834,0.0794,CR
32,2653.9785,-2.8313,40.9357,20825.0,442.5194,700.708,120.1608,0.1986,CL
33,2726.3935,-2.6377,40.9729,23382.6633,457.898,1772.3436,0.0,0.0,CL
34,2792.6504,-2.4551,41.0052,25506.9095,467.4503,1389.5397,151.2362,0.2547,CL
35,2862.0722,-2.2536,41.0313,27175.5025,485.7055,1273.7961,347.3367,0.5885,CL
36,2939.6818,-2.0255,41.0628,29275.0,491.6953,54.2714,13.1457,0.0226,CR
37,3011.1463,-1.8166,41.0911,31531.7839,480.0437,1674.066,371.6583,0.6396,CL
38,3078.0567,-1.6202,41.1174,32500.0,492.8213,349.2462,310.1307,0.5336,CL
39,3144.6833,-1.4189,41.1441,33085.0503,511.2446,1243.6277,247.1558,0.4261,CL
40,3210.1115,-1.2177,41.1703,34406.6583,508.4059,997.7093,293.7889,0.5091,CL
41,3278.7431,-1.0076,41.1973,35600.0,505.8486,193.9579,92.8643,0.1608,CR
42,3344.1385,-0.8089,41.2225,36600.0,502.4965,34.4636,16.2513,0.0283,CR
43,3411.4083,-0.6035,41.2481,37278.2663,505.1059,62.7136,399.8995,0.692,CR
44,3483.0006,-0.3826,41.2708,37982.4121,507.0382,131.77,326.4322,0.5656,CR
45,3550.6387,-0.1737,41.2754,38000.0,505.0814,0.0,214.5126,0.3717,CR
46,3611.849,0.0154,41.2798,37975.0,506.0113,0.0,293.9698,0.5126,CR
47,3684.9485,0.2416,41.2845,37975.0,505.0312,0.0,363.6382,0.632,CR
48,3753.8552,0.4569,41.2886,38000.0,510.9592,0.0,439.5879,0.7678,CR
49,3822.1256,0.6728,41.2923,38000.0,514.0,0.0,460.0,0.8,CR
50,3889.9472,0.8852,41.2956,38000.0,515.0114,0.0,328.7638,0.5725,CR
51,3960.8934,1.1086,41.2987,37963.5678,513.9677,-336.4049,211.2663,0.3677,DE
52,4030.9793,1.3298,41.3013,37975.0,513.3544,0.0,287.8794,0.5035,CR
53,4097.9321,1.5384,41.3034,38000.0,510.8929,0.0,97.5075,0.1697,CR
54,4163.7008,1.7448,41.305,38000.0,510.9156,0.0,20.8945,0.0365,CR
55,4229.537,1.9471,41.2813,38000.0,507.095,0.0,404.5226,0.707,CR
56,4301.5998,2.1675,41.2492,38000.0,509.0305,0.0,329.6683,0.5737,CR
57,4383.6608,2.4192,41.2124,38000.0,507.1577,0.0,253.0553,0.4404,CR
58,4456.2362,2.6414,41.1794,38000.0,509.0,0.0,460.0,0.804,CR
59,4523.2864,2.8455,41.1487,38005.402,507.4455,-618.4929,100.6935,0.1763,DE
60,4604.6174,3.0917,41.1111,38000.0,503.1651,0.0,23.2161,0.0406,CR
61,4671.1156,3.2913,41.0802,38000.0,497.0,0.0,454.0,0.8,CR
62,4739.6706,3.4964,41.0478,38000.0,497.1297,0.0,327.6784,0.5749,CR
63,4806.3985,3.6934,41.0166,38000.0,495.2162,0.0,252.0603,0.4422,CR
64,4881.418,3.915,40.981,38000.0,493.4448,0.0,175.6683,0.3095,CR
65,4950.1746,4.1176,40.948,38000.0,496.1111,110.5528,101.2663,0.1778,CR
66,5018.9555,4.3217,40.9145,38000.0,494.0577,0.0,430.794,0.7558,CR
67,5095.2591,4.5459,40.8771,38000.0,494.0668,0.0,405.5879,0.7151,CR
68,5173.1063,4.7758,40.8468,38000.0,495.1908,0.0,125.4774,0.2211,CR
69,5243.7688,4.988,40.827,38000.0,493.5578,0.0,456.0,0.8022,CR
70,5310.4036,5.1859,40.8081,38000.0,492.5148,0.0,178.7337,0.3151,CR
71,5389.8693,5.4238,40.7851,38000.0,495.0,0.0,455.5477,0.8,CR
72,5465.6736,5.6492,40.7626,38000.0,497.2267,0.0,27.3769,0.0482,CR
73,5533.3166,5.8547,40.7419,38000.0,499.0,0.0,457.7889,0.804,CR
74,5622.5788,6.121,40.7145,38000.0,497.0645,0.0,124.2814,0.2182,CR
75,5699.4577,6.3496,40.6904,38000.0,495.3074,0.0,257.7688,0.4525,CR
76,5779.69,6.5898,40.6645,38000.0,493.3753,0.0,273.7688,0.4824,CR
77,5849.469,6.7981,40.6504,38000.0,494.9594,0.0,350.593,0.6182,CR
78,5922.8765,7.0191,40.648,38000.0,492.99,0.0,424.3417,0.7477,CR
79,6003.2756,7.2585,40.6452,38000.0,492.9846,0.0,410.1709,0.7196,CR
80,6068.3038,7.4529,40.6426,38000.0,493.0487,0.0,120.9146,0.2131,CR
81,6134.1042,7.6504,40.6394,38000.0,493.0287,0.0,258.9347,0.4565,CR
82,6209.4486,7.8755,40.6356,38000.0,489.3981,0.0,272.6834,0.4784,CR
83,6282.6403,8.0919,40.6311,38000.0,486.0083,0.0,348.3015,0.6111,CR
84,6346.9693,8.282,40.6273,38000.0,484.0041,0.0,425.7789,0.7474,CR
85,6417.0074,8.4865,40.6279,38000.0,480.9982,0.0,410.6533,0.72,CR
86,6490.8879,8.7019,40.6274,38000.0,481.9635,0.0,336.8442,0.591,CR
87,6554.9904,8.8887,40.6266,38000.0,480.9894,0.0,194.7739,0.3417,CR
88,6623.8204,9.0899,40.6339,38000.0,480.4517,0.0,184.794,0.3256,CR
89,6694.0653,9.2935,40.6474,38000.0,482.5609,0.0,108.5427,0.1901,CR
90,6767.2903,9.5083,40.6618,38001.8844,484.6628,-559.9252,34.0704,0.0597,DE
91,6835.2092,9.709,40.6748,38000.0,485.0539,0.0,414.7538,0.7276,CR
92,6901.1236,9.903,40.6871,38000.0,489.9222,0.0,117.3769,0.205,CR
93,6966.7787,10.0982,40.6989,38000.0,487.8392,0.0,193.3266,0.3377,CR
94,7032.3518,10.2921,40.7105,38000.0,486.0,0.0,457.1759,0.7984,CR
95,7101.2085,10.4942,40.7222,38000.0,486.1921,0.0,112.7739,0.197,CR
96,7165.8631,10.6855,40.7329,38000.0,486.0205,0.0,424.8543,0.743,CR
97,7233.7708,10.8845,40.7436,38000.0,484.0527,0.0,39.1256,0.0687,CR
98,7300.5552,11.0802,40.754,38000.0,481.8954,0.0,115.5779,0.203,CR
99,7367.4502,11.2757,40.764,38000.0,481.3588,0.0,264.6432,0.4663,CR
100,7430.6939,11.4613,40.7731,38000.0,484.3906,0.0,264.6432,0.464,CR
101,7501.3033,11.6713,40.7831,38000.0,487.1992,0.0,342.9246,0.602,CR
102,7565.9974,11.8632,40.7919,38000.0,484.0612,0.0,420.7035,0.7317,CR
103,7632.8358,12.0574,40.8005,38000.0,485.6282,0.0,36.6633,0.0643,CR
104,7698.8869,12.2543,40.8088,38000.0,487.1411,0.0,343.7186,0.603,CR
105,7764.0689,12.4467,40.8166,38000.0,487.2362,0.0,268.1005,0.4727,CR
106,7833.393,12.6519,40.8246,38000.0,487.3313,0.0,194.1709,0.336,CR
107,7902.2732,12.8577,40.8322,38000.0,490.1101,0.0,339.1357,0.595,CR
108,7970.7181,13.0628,40.8395,38000.0,493.0458,0.0,418.392,0.724,CR
109,8034.1084,13.2533,40.8458,38000.0,494.029,0.0,421.6281,0.7434,CR
110,8099.2694,13.4491,40.8521,38000.0,493.069,0.0,346.0101,0.601,CR
111,8167.8141,13.6549,40.8583,38360.1759,500.1292,523.3851,270.392,0.4767,CL
112,8237.0723,13.8663,40.8644,38950.0,502.126,773.7965,262.3719,0.4606,CL
113,8309.6935,14.0889,40.8703,39000.0,500.0,0.0,460.0,0.804,CR
114,8378.6382,14.298,40.8754,39000.0,500.0093,0.0,416.0804,0.7272,CR
115,8447.2507,14.5079,40.8801,39000.0,503.0122,0.0,425.7789,0.7474,CR
116,8512.1407,14.706,40.8843,39000.0,504.0403,0.0,108.6432,0.1899,CR
117,8579.0797,14.9119,40.8882,39010.0503,500.986,391.8227,184.9246,0.3232,CL
118,8650.0801,15.1273,40.892,39000.0,498.9994,0.0,201.3869,0.3509,CR
119,8721.9826,15.3452,40.8954,39000.0,498.9997,0.0,338.9548,0.5928,CR
120,8791.6252,15.5575,40.8983,39000.0,499.8902,-37.6884,46.6332,0.0816,CR
121,8859.6557,15.7634,40.9008,39000.0,493.8835,0.0,29.5276,0.0517,CR
122,8930.2488,15.9768,40.9028,38975.0,499.2304,-286.6682,106.3317,0.1868,CR
123,9000.191,16.1886,40.9046,39000.0,499.0,0.0,458.0,0.8,CR
124,9063.3079,16.382,40.9058,39000.0,501.9187,0.0,203.7286,0.3585,CR
125,9129.682,16.5841,40.9068,38981.7839,494.9523,-932.5639,333.7186,0.5858,DE
126,9193.7708,16.7768,40.9074,39025.0,492.9838,0.0,409.6683,0.7192,CR
127,9261.3038,16.9784,40.9076,39025.0,489.9908,0.0,27.3769,0.0482,CR
128,9330.1748,17.1851,40.9075,39000.0,490.9704,0.0,351.3367,0.616,CR
129,9400.7531,17.3964,40.907,39000.0,491.9804,0.0,179.5176,0.3167,CR
130,9467.5578,17.5957,40.9062,39013.9447,492.0,836.6834,452.8844,0.7982,CL
131,9535.1411,17.8003,40.9051,39000.0,494.8728,0.0,126.5829,0.2233,CR
132,9602.759,18.0044,40.9036,39050.0,491.875,43.4108,400.2513,0.7044,CR
133,9666.9849,18.1963,40.9016,39001.3819,493.893,19.5093,25.3166,0.0444,CR
134,9731.1421,18.3889,40.8998,39025.0,488.9156,0.0,101.2663,0.1787,CR
135,9798.3244,18.5826,40.9348,39025.0,486.291,317.3216,173.3467,0.3049,CL
136,9865.7728,18.776,40.9766,39000.0,492.3787,0.0,249.8492,0.44,CR
137,9932.1562,18.9689,41.018,39000.0,494.2765,-125.367,128.8844,0.2274,CR
138,10001.6777,19.1703,41.0609,39000.0,491.9455,0.0,399.7588,0.7075,CR
139,10067.2903,19.3601,41.1008,39000.0,489.7318,0.0,22.9146,0.0404,CR
140,10138.0076,19.5642,41.1435,39000.0,490.3369,0.0,98.1005,0.1737,CR
141,10202.0197,19.7498,41.182,38984.5477,488.6869,89.632,171.8593,0.3025,CR
142,10268.3737,19.9419,41.2214,39000.0,489.9946,0.0,205.3266,0.3618,CR
143,10333.2011,20.1307,41.2598,38992.8392,488.7589,383.7762,331.0955,0.5851,CL
144,10406.8304,20.3406,41.302,39000.0,481.0243,0.0,395.7286,0.7,CR
145,10471.4797,20.5273,41.3308,39001.1307,483.5902,-1072.3551,20.2613,0.036,DE
146,10537.8888,20.7247,41.3345,39000.0,484.9499,0.0,95.8191,0.1697,CR
147,10606.3328,20.929,41.336,39025.0,480.993,0.0,277.9095,0.4935,CR
148,10672.6853,21.1238,41.3369,39000.0,482.9812,0.0,244.2211,0.4342,CR
149,10740.5427,21.3261,41.343,39042.7136,481.0,212.5628,448.8342,0.7977,CR
150,10809.9038,21.5248,41.3818,39000.0,480.9977,0.0,398.7136,0.703,CR
151,10883.0679,21.7141,41.4567,38975.0,477.0011,0.0,433.8291,0.7678,CR
152,10951.8178,21.8878,41.5336,39005.1508,479.9069,77.1071,92.7136,0.1648,CR
153,11021.8028,22.0665,41.6124,39000.0,478.9066,0.0,171.0553,0.3034,CR
154,11086.6845,22.2511,41.6494,39000.0,484.9659,0.0,208.0402,0.368,CR
155,11151.7923,22.4442,41.6668,39000.0,488.1635,0.0,135.196,0.2407,CR
156,11217.8929,22.6405,41.684,39000.0,485.0204,0.0,392.9447,0.6955,CR
157,11281.1605,22.8321,41.7005,39000.0,486.0012,0.0,434.1709,0.7719,CR
158,11347.5041,23.0271,41.717,39000.0,488.0026,0.0,361.1457,0.6424,CR
159,11415.6554,23.2315,41.7341,39000.0,487.5021,0.0,165.0754,0.2935,CR
160,11482.8949,23.4329,41.7507,39000.0,487.3053,0.0,210.3015,0.372,CR
161,11548.397,23.6307,41.7665,39000.0,488.0,0.0,450.603,0.7972,CR
162,11613.8124,23.826,41.7818,39000.0,491.0717,0.0,388.9447,0.6915,CR
163,11682.881,24.0349,41.7977,39000.7538,492.3807,11.0903,0.0,0.0,CR
164,11750.9437,24.2411,41.8131,38975.0,491.2481,0.0,89.3668,0.1591,CR
165,11817.373,24.4414,41.8278,39000.0,491.0322,244.0812,0.0,0.508,CR
166,11885.8153,24.6484,41.8424,39000.0,491.9848,0.0,237.4372,0.42,CR
167,11953.9234,24.855,41.8567,39000.0,493.0204,0.0,312.0603,0.5548,CR
168,12022.7901,25.066,41.8709,38428.5176,491.2598,-1032.2096,395.2764,0.7012,DE
169,12088.9284,25.2598,41.8835,37423.7437,471.734,-815.371,11.2563,0.02,DE
170,12154.7638,25.454,41.8961,36315.4523,478.809,-143.2161,454.0,0.8,CR
171,12223.1735,25.6554,41.9085,35216.0804,472.147,-1047.8766,293.3065,0.5146,DE
172,12291.0656,25.8518,41.9204,34111.9347,471.2787,-742.503,218.6432,0.3819,DE
173,12360.8731,26.0564,41.9324,32948.3668,468.7624,-856.5081,311.1759,0.5397,DE
174,12426.8543,26.2472,41.9432,31682.2864,460.0,-2863.6301,444.0,0.768,DE
