,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,-3.5707,40.4616,0.0,0.0,0.0,0.0,0.0,GND
1,104.4874,-3.5706,40.4611,0.0,2.7437,0.0,0.0,0.152,GND
2,167.4623,-3.5698,40.4612,0.0,1.0,0.0,0.0,0.152,GND
3,283.8379,-3.5697,40.4613,0.0,0.0,0.0,0.0,0.0,GND
4,401.2817,-3.5709,40.4605,0.0,0.2261,0.0,0.0,0.0038,GND
5,482.7186,-3.5676,40.4603,0.0,13.0,0.0,100.0,0.152,GND
6,553.8277,-3.566,40.4639,0.0,0.0,0.0,0.0,0.0,GND
7,617.206,-3.5655,40.4699,0.0,21.0,0.0,100.0,0.152,GND
8,675.8995,-3.5692,40.4743,0.0,17.9497,0.0,100.0,0.152,GND
9,725.6935,-3.5731,40.4782,0.0,21.0,0.0,100.0,0.152,GND
10,781.4372,-3.5773,40.4823,0.0,20.5628,0.0,100.0,0.152,GND
11,844.0961,-3.5805,40.4875,0.0,15.5628,0.0,81.9095,0.1245,GND
12,898.9246,-3.5806,40.492,0.0,15.0754,0.0,100.0,0.152,GND
13,971.6002,-3.5748,40.493,0.0,3.3166,0.0,33.1658,0.0504,GND
14,1092.37,-3.5719,40.5649,4105.9045,186.8137,3534.7394,109.3568,0.167,CL
15,1217.4479,-3.5379,40.6873,8836.6834,234.3784,4310.5284,39.2563,0.0604,CL
16,1331.6522,-3.3719,40.7616,12024.8744,348.3336,2015.7276,35.1759,0.0547,CL
17,1448.6432,-3.1284,40.8264,16857.1608,383.0,2643.2161,380.0,0.604,CL
18,1543.1608,-2.9177,40.8821,20858.0402,392.0,2540.201,398.7739,0.6455,CL
19,1615.4308,-2.7465,40.927,23103.2663,411.4159,3382.2669,54.0905,0.0883,CL
20,1688.4619,-2.5693,40.9731,25087.4372,426.6199,3137.6982,53.7688,0.0889,CL
21,1752.8307,-2.4086,41.0146,26755.9045,438.0833,1952.5304,168.0402,0.2796,CL
22,1825.7236,-2.2201,41.0526,28509.0452,448.0,1228.6432,448.0,0.756,CL
23,1898.1055,-2.0262,41.089,30052.6382,455.0,1500.0,454.0,0.7716,CL
24,1967.8881,-1.8371,41.124,31825.0,451.1142,876.4758,382.1608,0.6522,CL
25,2038.593,-1.6476,41.1583,33275.0,452.0,610.5528,448.0,0.776,CL
26,2111.3367,-1.4544,41.1937,34700.0,447.0,342.3864,445.3266,0.7747,CL
27,2180.2312,-1.2664,41.2277,35772.9899,446.93,2225.8359,35.6985,0.0627,CL
28,2231.9423,-1.1326,41.2514,36000.0,445.1065,0.0,364.2613,0.6395,CR
29,2301.5678,-0.9475,41.2842,36000.0,445.0,0.0,442.0,0.776,CR
30,2371.3116,-0.7636,41.3165,36000.0,444.0,0.0,439.3769,0.772,CR
31,2444.7487,-0.5622,41.345,36000.0,448.2288,0.0,24.2111,0.0425,CR
32,2522.3206,-0.3488,41.3443,36000.0,448.0434,0.0,87.6382,0.1536,CR
33,2622.6361,-0.0744,41.3427,36000.0,447.8929,0.0,200.2915,0.353,CR
34,2710.2864,0.1646,41.3409,36000.0,447.0,0.0,436.0,0.768,CR
35,2784.0495,0.3658,41.339,36000.0,446.9977,0.0,424.794,0.7487,CR
36,2843.9842,0.5313,41.3371,36000.0,446.9828,0.0,340.5025,0.5974,CR
37,2916.2577,0.7306,41.3344,36000.0,446.0233,0.0,212.2613,0.3724,CR
38,2999.288,0.9564,41.3311,36000.0,444.986,0.0,325.0251,0.5703,CR
39,3083.0101,1.184,41.3272,36000.0,444.0,0.0,438.0,0.768,CR
40,3139.6683,1.3383,41.3244,36000.0,440.9978,0.0,329.4472,0.578,CR
41,3225.9849,1.569,41.3333,36000.0,432.0,0.0,436.0,0.764,CR
42,3323.7085,1.822,41.3695,36000.0,432.0,0.0,442.0,0.776,CR
43,3417.0725,2.0702,41.4044,36000.0,433.0794,0.0,8.8442,0.0156,CR
44,3515.7236,2.3245,41.4394,36000.0,431.2764,0.0,442.0,0.776,CR
45,3601.8088,2.5512,41.4699,36000.0,431.2892,0.0,204.6935,0.3589,CR
46,3703.9877,2.8177,41.5054,36000.0,429.073,0.0,347.1357,0.6091,CR
47,3781.9548,3.0192,41.5318,36000.0,429.0,0.0,438.0,0.772,CR
48,3852.6985,3.2029,41.5555,36000.0,429.0,0.0,436.0,0.764,CR
49,3935.8707,3.4219,41.5834,36000.0,432.9387,0.0,246.5427,0.4328,CR
50,4009.1859,3.6131,41.6072,36000.0,431.0,0.0,442.0,0.776,CR
51,4081.6521,3.8027,41.6307,36000.0,429.0398,0.0,407.1859,0.714,CR
52,4172.0773,4.0327,41.676,36000.0,410.9865,0.0,142.4121,0.2495,CR
53,4249.3763,4.1835,41.7701,36000.0,412.3768,0.0,183.5176,0.322,CR
54,4325.1608,4.3313,41.8613,36000.0,415.0,0.0,438.0,0.768,CR
55,4425.9783,4.5324,41.9851,36000.0,419.0647,0.0,405.2261,0.7091,CR
56,4508.4889,4.6971,42.0865,36000.0,405.2164,0.0,285.2261,0.5004,CR
57,4584.7839,4.8458,42.1775,36000.0,409.0,0.0,438.7839,0.768,CR
58,4659.407,4.9919,42.2666,36000.0,412.0,0.0,442.2714,0.776,CR
59,4731.8864,5.1399,42.3562,36000.0,415.9493,0.0,53.5477,0.0936,CR
60,4810.2462,5.2953,42.4498,36000.0,413.0,0.0,448.0,0.784,CR
61,4888.8715,5.4537,42.5453,36000.0,410.5627,0.0,162.1407,0.2847,CR
62,4967.1106,5.6079,42.6373,36000.0,411.0,0.0,446.0,0.78,CR
63,5045.8543,5.7664,42.7316,36000.0,409.0,0.0,448.0,0.784,CR
64,5137.6076,5.9515,42.8399,36000.0,404.4403,0.0,178.4925,0.312,CR
65,5213.3417,6.1023,42.9234,36000.0,401.6583,0.0,444.0,0.7774,CR
66,5282.056,6.2417,43.001,36000.0,398.9832,0.0,406.0704,0.7097,CR
67,5349.8291,6.376,43.0755,36000.0,395.0,0.0,440.0,0.772,CR
68,5417.1457,6.5096,43.1492,36000.0,391.0,0.0,440.0,0.768,CR
69,5496.3166,6.667,43.2354,36000.0,390.0,0.0,438.6332,0.768,CR
70,5577.6562,6.8304,43.3244,36000.0,392.1991,0.0,26.5327,0.0466,CR
71,5666.608,7.0049,43.4191,36000.0,393.0,0.0,440.0,0.772,CR
72,5742.843,7.1605,43.503,36000.0,397.2658,0.0,200.804,0.351,CR
73,5815.6658,7.3085,43.5824,36000.0,397.3439,0.0,130.5729,0.2285,CR
74,5892.0352,7.4611,43.6637,36000.0,391.0,0.0,442.0,0.776,CR
75,5976.8374,7.6481,43.7423,36000.0,396.0801,0.0,97.7286,0.1707,CR
76,6050.1061,7.8079,43.8086,36000.0,393.9842,0.0,212.9146,0.3743,CR
77,6122.7034,7.965,43.8733,36000.0,391.2057,0.0,325.7487,0.5693,CR
78,6193.0195,8.1164,43.9354,36000.0,389.0058,0.0,441.5176,0.7722,CR
79,6264.7538,8.2725,43.999,36000.0,388.0,0.0,444.0,0.78,CR
80,6338.3617,8.4332,44.0643,36000.0,387.0787,0.0,223.1156,0.392,CR
81,6405.2412,8.5772,44.1221,36000.0,385.0,0.0,442.0,0.772,CR
82,6474.9849,8.7285,44.1829,36000.0,386.0,0.0,448.0,0.784,CR
83,6539.2467,8.8688,44.2389,36000.0,381.7559,0.0,121.0251,0.2117,CR
84,6603.4171,9.0045,44.2928,36000.0,381.0,0.0,444.0,0.776,CR
85,6659.2161,9.1243,44.3402,36000.0,380.0,0.0,450.0,0.784,CR
86,6725.9196,9.2675,44.3964,36000.0,373.0402,0.0,446.2412,0.7803,CR
87,6788.7103,9.3983,44.4479,36000.0,364.7424,0.0,308.1407,0.5403,CR
88,6874.4472,9.5763,44.5171,36000.0,368.0,0.0,442.8945,0.776,CR
89,6945.1402,9.7242,44.5743,36000.0,368.008,0.0,360.8342,0.6311,CR
90,7012.8852,9.8659,44.6289,36000.0,364.0057,0.0,413.1256,0.7216,CR
91,7092.9592,10.0327,44.6928,36000.0,361.0073,0.0,141.5075,0.247,CR
92,7185.4221,10.2235,44.7653,36000.0,366.0,0.0,442.0,0.776,CR
93,7254.1879,10.3678,44.8199,36000.0,366.12,0.0,368.7035,0.644,CR
94,7323.2201,10.5152,44.8754,36000.0,364.079,0.0,40.1608,0.0698,CR
