,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,-3.5703,40.4723,0.0,0.0,0.0,144.0,0.22,GND
1,51.0804,-3.5703,40.4723,0.0,0.0,0.0,144.0,0.22,GND
2,96.201,-3.5703,40.4723,0.0,2.0,0.0,144.0,0.22,GND
3,145.4221,-3.5695,40.4724,0.0,8.5779,0.0,144.0,0.22,GND
4,210.402,-3.5693,40.4723,0.0,0.0,0.0,144.0,0.22,GND
5,276.005,-3.5693,40.4723,0.0,0.0,0.0,144.0,0.22,GND
6,331.603,-3.5693,40.4722,0.0,0.0,0.0,144.0,0.22,GND
7,384.8442,-3.5693,40.4723,0.0,9.4221,0.0,144.0,0.22,GND
8,429.6432,-3.5686,40.4735,0.0,26.8392,0.0,144.0,0.22,GND
9,480.2663,-3.5698,40.4749,0.0,14.6382,0.0,144.0,0.22,GND
10,527.005,-3.5712,40.4763,0.0,20.799,0.0,144.0,0.22,GND
11,580.4422,-3.5738,40.4789,0.0,22.7789,0.0,144.0,0.22,GND
12,634.206,-3.5784,40.4834,0.0,22.0,0.0,144.0,0.22,GND
13,679.7839,-3.5806,40.4874,0.0,19.7387,0.0,144.0,0.22,GND
14,721.6884,-3.5769,40.4886,0.0,27.8442,0.0,144.0,0.22,GND
15,873.8241,-3.5625,40.4969,0.0,23.397,0.0,144.0,0.22,GND
16,1064.7638,-3.5355,40.5767,4422.8643,191.7638,2938.6217,218.3719,0.3332,CL
17,1183.3668,-3.4381,40.6835,9960.4271,263.3417,3256.2814,288.0,0.444,CL
18,1232.809,-3.3845,40.7314,12479.2714,277.1709,2374.3719,303.4472,0.4687,CL
19,1286.1457,-3.3179,40.7908,13372.7387,346.7638,2345.4774,374.0,0.5975,CL
20,1333.0101,-3.2525,40.8486,15725.5025,351.402,2871.8593,387.608,0.6192,CL
21,1373.1106,-3.2138,40.9062,17405.5276,360.2663,2783.2915,400.0,0.644,CL
22,1452.0955,-3.2031,41.0443,19896.608,390.0,2436.827,436.0,0.712,CL
23,1493.9246,-3.1878,41.1167,21582.7889,386.4623,2629.8157,442.1508,0.7262,CL
24,1531.9648,-3.1722,41.1873,22823.2412,394.0,2417.7136,454.0,0.7479,CL
25,1566.5126,-3.1581,41.2499,23987.9397,394.0,1801.5075,462.0101,0.766,CL
26,1612.6131,-3.1395,41.3322,25391.4573,394.0,1885.1759,468.0,0.784,CL
27,1699.7688,-3.1037,41.4899,27617.0854,400.0854,1409.5477,468.0,0.792,CL
28,1749.2513,-3.083,41.5808,28642.2111,405.0,1125.0,470.0,0.8023,CL
29,1787.4975,-3.067,41.6509,29637.4372,404.0,1604.2714,470.0,0.804,CL
30,1832.4121,-3.0476,41.7368,30680.1508,405.0,1047.7387,464.0,0.8,CL
31,1905.2462,-3.0178,41.8673,32621.7337,397.0,1741.206,460.0,0.7975,CL
32,1982.7186,-2.9841,42.0117,33946.4824,401.2864,803.5176,460.0,0.8066,CR
33,2029.6533,-2.9648,42.094,34000.0,399.0,0.0,459.3266,0.8,CR
34,2078.4171,-2.9445,42.1825,34000.0,400.0,0.0,460.0,0.8067,CR
35,2124.407,-2.9243,42.2692,34000.0,400.0,0.0,464.0,0.812,CR
36,2169.3417,-2.9053,42.3508,34000.0,394.0,0.0,460.0,0.804,CR
37,2213.4874,-2.8869,42.4263,34000.0,390.2563,0.0,458.0,0.8,CR
38,2260.2915,-2.8259,42.4992,34000.0,384.2362,0.0,460.0,0.804,CR
39,2302.4874,-2.7584,42.5552,34000.0,384.0,0.0,460.0,0.804,CR
40,2345.608,-2.6904,42.6122,34000.0,383.0,0.0,458.0,0.804,CR
41,2389.8241,-2.6183,42.6716,34000.0,378.0,0.0,454.0,0.796,CR
42,2438.5327,-2.5419,42.7345,34000.0,378.8442,0.0,458.0,0.8034,CR
