,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,-3.5685,40.4947,0.0,0.0,0.0,0.0,0.0,GND
1,158.5324,-3.5685,40.4947,0.0,0.0,0.0,0.0,0.0,GND
2,370.1662,-3.5685,40.4947,0.0,0.0,0.0,0.0,0.0,GND
3,590.4662,-3.5685,40.4947,0.0,0.0,0.0,0.0,0.0,GND
4,847.1999,-3.5685,40.4947,0.0,0.0,0.0,0.0,0.0,GND
5,961.2983,-3.5685,40.4947,0.0,0.0,0.0,0.0,0.0,GND
6,1060.2915,-3.5685,40.4947,0.0,0.0,0.0,0.0,0.0,GND
7,1157.7599,-3.5685,40.4947,0.0,0.0,0.0,0.0,0.0,GND
8,1233.0553,-3.5685,40.4947,0.0,0.0,0.0,0.0,0.0,GND
9,1336.0056,-3.5686,40.4947,0.0,0.5126,0.0,0.0,0.0,GND
10,1391.9085,-3.5695,40.4947,0.0,0.7085,0.0,0.0,0.0,GND
11,1479.1686,-3.5701,40.495,0.0,0.0,0.0,0.0,0.0,GND
12,1596.4905,-3.57,40.4939,0.0,3.799,0.0,0.0,0.0,GND
13,1657.2209,-3.5724,40.4934,0.0,3.5578,0.0,0.0,0.0,GND
14,1710.8449,-3.5724,40.4949,0.0,7.8241,0.0,0.0,0.0,GND
15,1766.313,-3.5724,40.4984,0.0,12.8141,0.0,0.0,0.0,GND
16,1818.9662,-3.5713,40.5012,0.0,6.9347,0.0,0.0,0.0,GND
17,1870.3369,-3.5677,40.5012,0.0,3.0151,0.0,0.0,0.0,GND
18,1921.9517,-3.5647,40.5012,0.0,10.7236,0.0,0.0,0.0,GND
19,1975.5025,-3.5609,40.5012,0.0,10.0,0.0,0.0,0.0,GND
20,2045.5683,-3.5592,40.5248,1840.9548,160.9243,1859.3421,79.1457,0.1309,CL
21,2116.6923,-3.5438,40.5776,4405.9045,169.7209,2300.8368,31.3568,0.0478,CL
22,2177.4234,-3.5074,40.6259,5760.0503,238.4034,114.511,209.6683,0.32,LVL
23,2234.1952,-3.4432,40.6776,7825.0,283.7083,2894.4724,186.5327,0.283,CL
24,2299.4894,-3.3705,40.7435,10740.8291,296.2603,2191.5927,107.8492,0.1658,CL
25,2355.8886,-3.3245,40.8139,12625.0,324.1973,108.5427,29.3065,0.0441,LVL
26,2410.2659,-3.3049,40.8999,14634.2965,346.1355,2425.2381,286.5528,0.4461,CL
27,2465.3111,-3.2826,40.9872,16857.7889,355.9769,1971.6017,167.3568,0.2644,CL
28,2517.8244,-3.2594,41.074,18793.4673,368.0684,2237.7514,276.2714,0.4403,CL
29,2577.6231,-3.2323,41.1748,21051.1307,376.3857,1689.1555,5.8191,0.0094,CL
30,2639.4039,-3.2035,41.2818,23218.7186,383.7468,715.9158,114.8342,0.1877,CL
