,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,-3.5896,40.4923,0.0,11.0,0.0,0.0,0.0,GND
1,67.4573,-3.5882,40.4919,0.0,10.804,0.0,0.0,0.0,GND
2,538.206,-3.5776,40.4886,0.0,19.201,0.0,0.0,0.0,GND
3,555.206,-3.5755,40.4886,0.0,22.3015,0.0,0.0,0.0,GND
4,726.4724,-3.5613,40.4994,0.0,17.196,0.0,0.0,0.0,GND
5,871.0603,-3.549,40.562,4352.0101,157.5025,2497.4874,166.0,0.5127,CL
6,896.2211,-3.5417,40.58,5065.4523,163.809,1370.7825,170.0,0.264,CL
7,916.5176,-3.5339,40.5961,5427.7638,186.6281,900.0,179.5578,0.28,CL
8,933.0201,-3.5228,40.6077,5700.5025,206.2362,1441.206,213.2563,0.28,CL
9,948.5226,-3.509,40.6202,5972.6131,229.1407,414.5729,227.8995,0.28,CL
10,981.0452,-3.4779,40.6477,6727.1357,252.9799,1631.072,248.0,0.4,CL
11,1000.794,-3.4575,40.6656,7680.402,248.2663,3326.1898,247.2663,0.3857,CL
12,1027.2362,-3.4301,40.6899,8656.6583,261.5879,3186.6834,264.0,0.4095,CL
13,1047.4523,-3.4102,40.7078,9649.6231,255.6935,4387.8769,264.0,0.4148,CL
14,1064.0352,-3.3934,40.7229,10416.5829,253.0,2750.8256,264.7437,0.776,CL
15,1078.5678,-3.3783,40.7366,10902.2613,259.5377,2492.4623,269.0452,0.416,CL
16,1096.6482,-3.36,40.7528,11586.809,265.2161,2690.9548,274.4322,0.4233,CL
17,1117.6683,-3.3308,40.7663,12568.8442,288.2513,2937.8141,275.4171,0.432,CL
18,1136.2814,-3.2984,40.7756,13498.6181,291.809,2778.057,276.3819,0.4368,CL
19,1158.3668,-3.2621,40.7861,14377.3869,298.9095,2288.2268,283.8191,0.448,CL
20,1175.0503,-3.2333,40.7946,15152.2613,303.0402,2749.4975,284.0402,0.4561,CL
21,1192.995,-3.2019,40.8038,15869.2211,308.8894,2740.7873,293.3367,0.464,CL
22,1218.0553,-3.1563,40.8173,16676.3819,316.8442,1795.8543,292.4221,0.472,CL
23,1240.1005,-3.1167,40.8292,17299.2462,326.7387,1607.8469,296.6231,0.4785,CL
24,1273.8894,-3.0515,40.8485,18482.6633,338.1759,2257.5377,300.9447,0.4859,CL
25,1307.7638,-2.9863,40.8675,19807.5377,341.1256,2132.089,309.0754,0.5001,CL
26,1328.6131,-2.9456,40.8794,20240.3266,356.2261,1209.799,318.1307,0.5086,CL
27,1341.4271,-2.9195,40.8871,20392.8392,366.8543,750.0,331.4271,0.5331,CL
28,1353.4422,-2.894,40.8946,20520.3518,377.6281,546.4824,332.3719,0.552,CL
