,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,-3.5901,40.495,0.0,0.0,-2.2525,0.0,0.0,GND
1,105.8543,-3.5891,40.495,0.0,3.3367,0.0,0.0,0.0,GND
2,188.5025,-3.589,40.4951,0.0,0.0,0.0,0.0,0.0,GND
3,260.8141,-3.589,40.4943,0.0,20.5628,0.0,0.0,0.0,GND
4,327.7085,-3.5866,40.4924,0.0,32.8191,0.0,0.0,0.0,GND
5,356.1357,-3.5839,40.4924,0.0,18.0452,0.0,0.0,0.0,GND
6,395.397,-3.5792,40.4924,0.0,18.0,0.0,0.0,0.0,GND
7,440.6432,-3.5757,40.4927,0.0,28.9899,0.0,0.0,0.0,GND
8,469.3065,-3.5746,40.4931,0.0,7.9146,0.0,0.0,0.0,GND
9,494.407,-3.5746,40.4931,0.0,0.0,0.0,0.0,0.0,GND
10,512.8141,-3.5746,40.4931,0.0,1.3568,0.0,0.0,0.0,GND
11,570.6834,-3.5748,40.5197,2023.8693,170.4573,3679.7624,0.0,0.0,CL
12,600.0452,-3.5749,40.5432,3303.2663,175.4171,2416.642,0.0,0.1871,CL
13,623.0704,-3.5792,40.5615,4115.5779,178.5528,2227.0101,0.0,0.2701,CL
14,648.6332,-3.5981,40.5764,4957.1608,183.3266,1840.2728,58.794,0.276,CL
15,677.5427,-3.6248,40.5942,5585.1759,211.8141,1060.1759,204.4422,0.3118,CL
16,701.6683,-3.6485,40.6137,6043.0905,247.6131,1247.2362,238.1106,0.37,CL
17,961.9749,-3.5597,41.0051,15846.7337,372.7739,2242.6363,357.4372,0.5718,CL
18,1079.8141,-3.493,41.1964,20259.4221,412.5628,1957.3869,392.0,0.64,CL
19,1105.7186,-3.4703,41.2439,21095.8543,418.1156,1855.7789,396.7437,0.6276,CL
20,1128.9045,-3.4505,41.2855,21831.6583,421.1809,1813.3166,400.0,0.6567,CL
21,1145.9698,-3.4359,41.316,22349.2462,424.0,1500.0,402.0,0.664,CL
22,1173.9899,-3.4101,41.3699,23194.7236,429.397,1619.8492,406.0,0.6145,CL
23,1191.8241,-3.3952,41.4008,23610.804,434.0,1720.0287,411.2161,0.6824,CL
24,1218.0854,-3.3712,41.4508,24391.7085,437.4171,1549.7487,414.0,0.692,CL
25,1237.809,-3.3517,41.4912,24939.5729,441.2261,1623.4296,418.4523,0.6235,CL
26,1568.1055,-2.9811,42.1204,33852.6382,436.0,1622.9678,410.0,0.7081,CL
27,1587.0653,-2.9536,42.1528,34259.4221,436.0,1194.7236,410.0,0.6168,CL
28,1610.3065,-2.9212,42.1909,34623.995,438.0,1729.8995,410.0,0.7134,CL
29,1629.3116,-2.893,42.2243,35046.2312,436.5377,1200.0,410.0,0.712,CL
30,1653.8141,-2.8578,42.2655,35531.7839,435.0,900.7538,410.0,0.712,CL
31,1678.2412,-2.8249,42.3039,36008.0402,432.9196,1367.7764,410.1608,0.7123,CL
32,1694.7839,-2.8004,42.3325,36511.3065,427.4422,1753.312,412.0,0.716,CL
33,1716.191,-2.7699,42.368,37027.3869,419.3015,976.1307,409.397,0.708,CL
34,1760.1206,-2.7055,42.4433,37250.7538,429.5226,313.4422,412.9849,0.718,CR
35,1783.8995,-2.6716,42.4828,37390.8291,433.3166,158.2915,416.0,0.72,CR
36,1942.2513,-2.4133,42.7485,38000.0,463.2513,0.0,446.0,0.772,CR
37,1962.6734,-2.3765,42.7855,38000.0,469.8693,0.0,448.1307,0.78,CR
38,2003.9749,-2.305,42.8573,38000.0,472.2563,0.0,452.0,0.784,CR
39,2031.0804,-2.2562,42.9059,38000.0,469.8945,0.0,452.0,0.7818,CR
40,2061.1709,-2.2047,42.957,38000.0,469.0,0.0,449.2764,0.7786,CR
41,2100.8543,-2.1346,43.0264,38000.0,470.0,0.0,448.3417,0.78,CR
42,2128.8191,-2.0839,43.0766,38000.0,470.0,0.0,452.0,0.7801,CR
43,2160.7889,-2.0289,43.1309,38025.0,469.0,0.0,452.0,0.7808,CR
44,2198.5879,-1.9618,43.1972,38000.0,469.0,-60.3015,450.0,0.78,CR
45,2225.2211,-1.9178,43.2471,38000.0,468.0,0.0,450.0,0.78,CR
46,2244.2965,-1.8966,43.284,38000.0,467.0,0.0,452.0,0.784,CR
47,2264.2261,-1.8741,43.3242,38024.3719,466.0251,-4.1876,452.0,0.784,CR
48,2286.3417,-1.8484,43.3695,38025.0,467.0,0.0,450.3317,0.78,CR
49,2312.8593,-1.8202,43.4184,38000.0,466.0,0.0,450.0,0.78,CR
50,2329.7136,-1.7994,43.4544,38000.0,466.0,0.0,450.0,0.7778,CR
51,2348.0452,-1.7781,43.4911,37975.0,466.0,0.0,450.0,0.78,CR
52,2375.3518,-1.7463,43.5459,38000.0,467.0,0.0,450.0,0.78,CR
53,2389.8794,-1.7306,43.5729,38000.0,467.0,0.0,450.0,0.78,CR
54,2414.8844,-1.7017,43.6226,37992.2111,468.6884,103.2663,450.0,0.78,CR
55,2433.995,-1.6779,43.6634,38000.0,469.0,0.0,450.995,0.78,CR
56,2453.4523,-1.6557,43.7013,38000.0,470.0,0.0,452.0,0.784,CR
57,2498.2312,-1.606,43.7862,38025.0,470.0,110.5528,454.0,0.784,CR
58,2537.6985,-1.5571,43.8697,38025.0,469.0,0.0,452.0,0.78,CR
59,2553.4673,-1.5385,43.9014,38006.6583,470.0,-550.2513,450.0,0.78,CR
60,2580.6281,-1.5066,43.9556,38000.0,470.0,0.0,450.0,0.78,CR
61,2602.4623,-1.4818,43.9974,37983.794,470.0,-119.0955,450.0,0.78,CR
62,2629.4472,-1.4504,44.0505,38000.0,470.8392,0.0,450.0,0.78,CR
63,2648.7889,-1.4263,44.091,38000.0,471.0,0.0,450.0,0.78,CR
64,2725.6734,-1.3347,44.2451,38000.0,473.0,0.0,452.0,0.78,CR
65,2745.1759,-1.31,44.2864,38000.0,473.0,0.0,452.0,0.78,CR
66,2769.397,-1.2801,44.336,38000.0,473.0,0.0,452.0,0.78,CR
67,2786.0302,-1.261,44.3681,38000.0,474.0,0.0,452.4121,0.78,CR
68,2809.0905,-1.2345,44.4126,38000.3769,474.0,3.7688,453.9698,0.784,CR
69,2825.4724,-1.2143,44.4462,38025.0,473.0,0.0,454.0,0.784,CR
70,2872.799,-1.1575,44.5407,38025.0,472.0,0.0,452.0,0.7815,CR
71,2895.191,-1.1302,44.5859,38013.9447,489.6884,-47.3798,452.0,0.78,CR
72,2924.2563,-1.0943,44.6453,38000.0,472.0,0.0,452.0,0.784,CR
73,2945.3618,-1.0702,44.685,38000.0,471.0,0.0,454.0,0.7838,CR
74,2968.2161,-1.0417,44.7322,38000.0,471.0,0.0,452.2613,0.7835,CR
75,2986.0352,-1.0189,44.7696,38000.0,470.6784,0.0,454.0,0.784,CR
76,3006.4623,-0.9939,44.8106,38000.0,469.5126,-128.1407,452.9749,0.784,CR
77,3023.8894,-0.9729,44.8451,38000.0,468.7035,0.0,453.407,0.7828,CR
78,3045.6332,-0.947,44.8874,38000.0,468.0,0.0,452.0,0.78,CR
79,3068.402,-0.9201,44.9315,38000.0,468.0,0.0,451.8291,0.78,CR
80,3086.1709,-0.8972,44.9689,37981.9095,468.0,-361.809,452.0,0.78,CR
81,3107.9246,-0.8708,45.012,37975.0,468.0,0.0,451.0653,0.7781,CR
82,3128.0503,-0.8458,45.0527,37975.0,467.3417,0.0,452.0,0.78,CR
83,3158.1508,-0.8118,45.1078,38000.0,468.0,115.8063,454.0,0.784,CR
84,3170.799,-0.7937,45.1373,38000.0,467.0402,0.0,454.0,0.784,CR
85,3194.6884,-0.7661,45.1823,38005.7789,467.0,-115.3266,453.5377,0.78,CR
86,3215.3568,-0.7409,45.2231,38000.0,467.0,0.0,452.0,0.78,CR
87,3240.0955,-0.7105,45.2722,38000.0,467.0,0.0,452.0,0.78,CR
88,3255.3719,-0.6916,45.3025,38000.0,467.0,0.0,454.0,0.784,CR
89,3308.0151,-0.6277,45.4052,38000.0,466.0,0.0,453.9899,0.78,CR
90,3328.6985,-0.6037,45.4435,38000.0,465.0,0.0,452.0,0.78,CR
91,3350.2462,-0.5756,45.4886,38000.0,465.0,0.0,452.0,0.78,CR
92,3382.804,-0.5343,45.5546,38000.0,465.0,0.0,452.0,0.78,CR
93,3418.9648,-0.4904,45.6245,38000.0,465.0,0.0,452.0,0.78,CR
94,3442.3015,-0.4607,45.6716,38000.0,464.0,0.0,452.0,0.7838,CR
95,3461.2965,-0.4373,45.709,38000.0,464.0,0.0,452.0,0.78,CR
96,3485.3417,-0.4073,45.7567,38000.0,464.3317,0.0,450.6633,0.78,CR
97,3510.3869,-0.3768,45.8047,37986.9347,465.0,31.2276,452.0,0.78,CR
98,3528.7186,-0.3533,45.8417,38000.0,466.0,0.0,451.4271,0.7829,CR
99,3552.6683,-0.3233,45.8888,38000.0,466.0,0.0,452.0,0.784,CR
100,3572.6181,-0.2989,45.9272,38000.0,466.0,0.0,452.0,0.784,CR
101,3596.2814,-0.2691,45.9738,38000.0,465.0,0.0,452.0,0.784,CR
102,3616.1357,-0.2448,46.0116,38025.0,465.0,0.0,454.0,0.784,CR
103,3634.6583,-0.2207,46.0494,38025.0,465.0,0.0,453.3367,0.78,CR
104,3653.7035,-0.1967,46.0874,38000.0,465.0,0.0,452.2814,0.78,CR
105,3671.6985,-0.1739,46.1233,38000.0,464.0,0.0,452.0,0.7838,CR
106,3696.794,-0.1424,46.1725,38000.0,463.2412,0.0,453.5176,0.788,CR
