,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,-3.5742,40.461,0.0,0.0,0.0,158.0,0.152,GND
1,41.2864,-3.5738,40.4607,0.0,10.0,0.0,158.0,0.152,GND
2,67.4874,-3.5736,40.4605,0.0,10.0,0.0,158.0,0.152,GND
3,92.603,-3.5736,40.4602,0.0,2.0,0.0,158.0,0.152,GND
4,121.1457,-3.5737,40.4602,0.0,0.0,0.0,158.0,0.152,GND
5,153.4322,-3.5737,40.4602,0.0,0.0,0.0,158.0,0.152,GND
6,186.4623,-3.5737,40.4602,0.0,0.0,0.0,158.0,0.152,GND
7,300.804,-3.5714,40.4604,0.0,32.201,0.0,158.0,0.152,GND
8,325.9749,-3.5696,40.4591,0.0,26.2161,0.0,158.0,0.152,GND
9,355.3467,-3.5681,40.4592,0.0,26.1156,0.0,158.0,0.152,GND
10,382.4372,-3.5676,40.4605,0.0,31.2915,0.0,158.0,0.152,GND
11,406.1809,-3.5676,40.462,0.0,23.0603,0.0,158.0,0.152,GND
12,437.9749,-3.5661,40.4628,0.0,30.4874,0.0,158.0,0.152,GND
13,996.6683,-3.5749,40.5192,2061.1809,167.1658,2494.4724,158.0,0.152,CL
14,1042.0302,-3.5784,40.5547,4226.2563,168.0101,2619.598,181.196,0.276,CL
15,1084.593,-3.6115,40.5793,5500.3769,201.3116,1028.8945,196.0,0.28,CL
16,1133.8995,-3.6548,40.6191,7196.2312,235.6332,2557.5377,243.3668,0.376,CL
17,1204.3216,-3.6707,40.6942,9627.3869,271.4171,1790.0215,273.6683,0.4351,CL
18,1242.6935,-3.6632,40.7467,10261.5578,320.2312,725.4128,329.6985,0.528,CL
19,1280.0653,-3.6549,40.8048,11595.4774,340.3769,3250.7538,356.0,0.56,CL
20,1335.4372,-3.6429,40.8888,14325.5025,350.0,2922.1106,378.5829,0.5903,CL
21,1368.206,-3.6351,40.9438,16240.4523,347.0,3950.3286,384.0,0.612,CL
22,1401.2412,-3.6269,40.9997,17807.5377,351.0603,5281.407,384.4824,0.6207,CL
23,1437.1055,-3.619,41.0531,18940.5779,359.0352,1870.603,397.0352,0.6421,CL
24,1461.8241,-3.6125,41.0975,19372.4874,363.0,873.295,402.0,0.652,CL
25,1513.7286,-3.6397,41.183,20307.4121,386.0,1105.6418,406.0,0.66,CL
26,1560.7789,-3.692,41.2577,21386.1809,391.0,3521.9849,413.1156,0.6756,CL
27,1598.6935,-3.7342,41.3179,22843.3417,394.0,2280.1508,413.8392,0.6906,CL
28,1659.4121,-3.7508,41.4265,24440.201,392.804,1072.0514,426.0,0.7112,CL
29,1710.5678,-3.7398,41.5193,25770.7286,406.0,1688.4422,441.0452,0.745,CL
30,1744.8744,-3.7323,41.582,26814.8241,408.0,1884.5934,449.1256,0.7589,CL
31,1778.0553,-3.7245,41.6464,27892.5879,408.0,2030.1508,454.0,0.768,CL
32,1815.5327,-3.7157,41.7178,29004.1457,407.3668,2425.2513,456.0,0.776,CL
33,1865.4523,-3.7045,41.8091,30781.7839,397.0,1786.809,450.0,0.7716,CL
34,1913.7387,-3.6935,41.897,32157.1608,393.0,1664.3216,448.0,0.772,CL
35,1960.005,-3.6833,41.9782,33175.2513,391.0,811.0553,448.0,0.776,CL
36,2013.8593,-3.6707,42.078,34000.0,390.9246,403.2663,448.0,0.78,CR
37,2047.9196,-3.6632,42.138,34000.0,391.0804,0.0,448.1608,0.78,CR
38,2137.8844,-3.6427,42.3009,34000.0,389.0,0.0,444.0,0.7745,CR
39,2200.8392,-3.6454,42.4137,34000.0,397.0,0.0,442.0,0.7687,CR
40,2258.0402,-3.6633,42.5187,34693.7186,395.4171,1437.5449,446.2513,0.7777,CL
41,2298.7487,-3.6764,42.5928,35731.1558,389.0,3584.7093,440.0101,0.773,CL
42,2359.0302,-3.6949,42.6995,36000.0,389.206,0.0,436.4121,0.772,CR
43,2421.6533,-3.7144,42.8115,36000.0,390.0,0.0,438.0,0.772,CR
44,2479.1206,-3.7328,42.916,36000.0,392.0,0.0,438.0,0.772,CR
45,2527.6231,-3.748,43.0021,36000.0,393.0,0.0,439.1558,0.772,CR
46,2581.0704,-3.7653,43.0995,36000.0,393.0352,0.0,440.0,0.776,CR
47,2633.3869,-3.782,43.1943,36000.0,394.0,0.0,440.0,0.776,CR
48,2685.8995,-3.7989,43.2892,36000.0,393.0,0.0,442.0,0.776,CR
49,2738.1055,-3.8158,43.3836,36000.0,392.0,0.0,442.0,0.7784,CR
50,2829.0503,-3.8449,43.5463,36000.0,390.0,0.0,440.0,0.7725,CR
51,2867.2864,-3.8571,43.6139,36000.0,389.0,0.0,438.6432,0.772,CR
52,2908.3367,-3.8702,43.6862,36000.0,388.0,0.0,438.0,0.772,CR
53,2956.9447,-3.8862,43.7745,36000.0,387.0,0.0,438.0,0.772,CR
54,2992.0804,-3.8973,43.836,36000.0,387.0,0.0,436.0,0.7692,CR
55,3033.1658,-3.9102,43.9072,36000.0,387.0,0.0,436.0,0.7686,CR
56,3090.8241,-3.9294,44.0123,36000.0,388.0,0.0,436.0,0.768,CR
57,3128.9799,-3.941,44.0757,36000.0,388.0,0.0,436.0,0.7717,CR
58,3177.0905,-3.9578,44.1677,36000.0,389.0,0.0,434.0,0.768,CR
59,3236.7387,-3.9541,44.2719,36000.0,388.9799,0.0,436.0,0.772,CR
60,3274.3116,-3.9493,44.3394,36000.0,390.0,0.0,437.7487,0.7737,CR
61,3311.7889,-3.9445,44.4073,36000.0,390.0,0.0,440.0,0.776,CR
62,3349.8141,-3.9396,44.4774,36000.0,391.0,0.0,440.0,0.776,CR
63,3388.8543,-3.9349,44.5431,36000.0,391.0,0.0,440.3819,0.776,CR
64,3437.598,-3.9284,44.6341,36000.0,391.0,0.0,440.0,0.776,CR
65,3470.4472,-3.9242,44.694,36000.0,390.0,0.0,440.0,0.776,CR
66,3542.3618,-3.9151,44.8218,36000.0,389.0,0.0,440.0,0.776,CR
67,3585.8492,-3.9094,44.9017,36000.0,388.3618,0.0,436.7236,0.7694,CR
68,3629.3819,-3.904,44.9778,36000.0,388.0,0.0,436.0,0.768,CR
69,3662.5528,-3.8997,45.0383,36000.0,389.0,0.0,436.0,0.768,CR
70,3712.0603,-3.9044,45.1279,36000.0,390.0101,0.0,436.0,0.768,CR
71,3750.206,-3.9085,45.1957,36000.0,391.0,0.0,436.0,0.772,CR
72,3783.6985,-3.9121,45.258,36000.0,392.0,0.0,434.1508,0.772,CR
73,3827.2915,-3.9163,45.3369,36000.0,392.0,0.0,438.0,0.772,CR
74,3861.196,-3.9193,45.3974,36000.0,392.0,0.0,438.0,0.772,CR
75,3894.1859,-3.9222,45.4578,36000.0,392.0,0.0,438.0,0.772,CR
76,3936.7688,-3.9255,45.5317,36000.0,392.7538,0.0,436.0,0.772,CR
77,3970.2663,-3.9282,45.5965,36000.0,393.0,0.0,436.0,0.768,CR
78,4015.005,-3.9312,45.6765,36000.0,393.0,0.0,436.0,0.768,CR
79,4065.6281,-3.9346,45.7671,36000.0,394.0,0.0,436.0,0.7725,CR
80,4110.3317,-3.9375,45.8501,36000.0,394.0,0.0,438.0,0.776,CR
81,4147.804,-3.94,45.919,36000.0,394.0,0.0,436.0804,0.772,CR
82,4202.9849,-3.9432,46.0184,36000.0,394.0,0.0,438.0,0.772,CR
83,4251.593,-3.946,46.1045,36000.0,393.0452,0.0,436.0,0.768,CR
84,4279.4121,-3.9478,46.1556,36000.0,393.0,0.0,436.0,0.768,CR
85,4320.3467,-3.9427,46.2344,36000.0,394.0,0.0,434.0,0.768,CR
86,4347.6533,-3.9377,46.282,36000.0,393.0,0.0,436.0,0.768,CR
87,4373.1357,-3.9329,46.328,36000.0,393.0,0.0,436.0,0.768,CR
88,4397.9648,-3.9283,46.3741,36000.0,393.0,0.0,436.0,0.769,CR
89,4423.397,-3.924,46.4188,36000.0,393.6985,0.0,436.0,0.772,CR
90,4449.0905,-3.9193,46.4669,36000.0,393.0,0.0,436.0,0.7686,CR
91,4475.4523,-3.9142,46.5162,36000.0,393.0,0.0,436.0,0.7705,CR
92,4513.2111,-3.9074,46.5822,36000.0,394.0,0.0,436.1407,0.772,CR
93,4555.1658,-3.8996,46.6589,36000.0,393.0,0.0,438.0,0.7739,CR
94,4609.9548,-3.8898,46.7567,36000.0,392.0,0.0,438.0,0.772,CR
95,4679.9598,-3.8773,46.8817,36000.0,391.0,0.0,436.0,0.772,CR
96,4744.6985,-3.865,47.0026,36000.0,390.0,0.0,438.0,0.772,CR
97,4777.7839,-3.8592,47.0609,36000.0,389.0,0.0,438.0,0.776,CR
98,4812.6985,-3.8526,47.1245,36000.0,388.0,0.0,438.0,0.772,CR
99,4863.0854,-3.8433,47.2146,36000.0,387.0,0.0,436.0,0.768,CR
100,4900.1005,-3.8364,47.2803,36000.0,386.0,0.0,434.0,0.768,CR
101,4926.7437,-3.8316,47.3275,36000.0,385.0,0.0,434.0,0.768,CR
102,4952.2864,-3.8267,47.3737,36000.0,385.0,0.0,434.0,0.768,CR
103,4978.402,-3.8221,47.4192,36000.0,385.1005,0.0,435.799,0.768,CR
104,5003.6734,-3.8174,47.4649,36000.0,386.0,0.0,435.1156,0.768,CR
105,5030.0452,-3.8126,47.511,36000.0,386.0,0.0,436.0,0.768,CR
106,5054.8894,-3.8079,47.5563,36000.0,386.0,0.0,436.0,0.772,CR
107,5080.8593,-3.8029,47.603,36000.0,387.0,0.0,436.1407,0.772,CR
108,5109.5477,-3.7975,47.6541,36000.0,386.0,0.0,438.0,0.772,CR
109,5135.3769,-3.7928,47.7002,36000.0,387.0,0.0,436.0,0.768,CR
110,5161.206,-3.7879,47.7463,36000.0,387.0,0.0,436.0,0.768,CR
111,5192.5528,-3.7821,47.8017,36000.0,388.0,0.0,436.0,0.768,CR
112,5220.8643,-3.7767,47.8535,36000.0,388.0,0.0,436.0,0.768,CR
113,5248.0603,-3.7716,47.9014,36000.0,387.6734,0.0,436.0,0.768,CR
114,5307.9146,-3.7601,48.0094,36000.0,389.0,0.0,436.2613,0.772,CR
115,5341.7638,-3.7536,48.0694,36000.0,388.4121,0.0,438.0,0.776,CR
116,5385.1357,-3.7454,48.147,36000.0,387.0,0.0,437.9095,0.772,CR
117,5422.5075,-3.7383,48.2141,36000.0,386.5025,0.0,438.0,0.772,CR
118,5469.2362,-3.7294,48.2966,36000.0,387.0402,0.0,436.0,0.772,CR
119,5495.6683,-3.7245,48.3429,36000.0,385.0,0.0,438.0,0.772,CR
120,5519.7487,-3.7197,48.3876,36000.0,386.0,0.0,438.0,0.776,CR
121,5545.995,-3.7147,48.4334,36000.0,386.0,0.0,440.0,0.776,CR
122,5582.5779,-3.7075,48.4995,36000.0,385.0,0.0,442.0,0.78,CR
