,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,-3.5702,40.4727,0.0,0.0,0.0,0.0,0.0,GND
1,35.201,-3.5702,40.4727,0.0,0.0,0.0,0.0,0.0,GND
2,75.402,-3.5702,40.4727,0.0,0.0,0.0,0.0,0.0,GND
3,114.7387,-3.5702,40.4727,0.0,0.0,0.0,0.0,0.0,GND
4,178.804,-3.5694,40.4728,0.0,10.8392,0.0,0.0,0.0,GND
5,214.005,-3.5693,40.4725,0.0,0.0,0.0,0.0,0.0,GND
6,300.206,-3.5693,40.4725,0.0,0.0,0.0,0.0,0.0,GND
7,357.1256,-3.569,40.473,0.0,18.2814,0.0,0.0,0.0,GND
8,393.9648,-3.5696,40.4747,0.0,15.3216,0.0,0.0,0.0,GND
9,435.4472,-3.573,40.4781,0.0,25.6382,0.0,0.0,0.0,GND
10,470.8141,-3.5761,40.4812,0.0,21.598,0.0,0.0,0.0,GND
11,512.6533,-3.5791,40.4843,0.0,19.8844,0.0,0.0,0.0,GND
12,558.8945,-3.5806,40.4882,0.0,21.7538,0.0,0.0,0.0,GND
13,591.7035,-3.5779,40.4886,0.0,19.5226,0.0,0.0,0.0,GND
14,628.6884,-3.5729,40.4886,0.0,24.5628,0.0,0.0,0.0,GND
15,714.603,-3.5625,40.4895,0.0,17.0,0.0,0.0,0.0,GND
16,901.8593,-3.5607,40.4995,0.0,7.7186,0.0,0.0,0.0,GND
17,937.0503,-3.5595,40.5001,0.0,20.3166,0.0,0.0,0.0,GND
18,976.8945,-3.5592,40.5021,0.0,52.7487,0.0,0.0,0.0,GND
19,1067.5829,-3.5462,40.5632,3933.6683,166.7638,1903.5176,175.8894,0.264,CL
20,1121.2563,-3.5251,40.6061,5230.9045,210.0804,892.893,202.0,0.3153,CL
21,1169.2211,-3.4774,40.647,6236.0553,268.8442,2906.5327,269.3769,0.2775,CL
22,1225.5377,-3.4159,40.7039,8446.1055,295.6533,3554.9623,286.0,0.4369,CL
23,1290.4724,-3.3368,40.7734,10567.4623,338.6985,873.295,320.0,0.504,CL
24,1334.8241,-3.2721,40.831,12067.0854,372.8945,2678.8945,361.5779,0.564,CL
25,1385.0452,-3.1852,40.8871,14302.7638,391.0,2630.2345,375.9497,0.5959,CL
26,1454.3166,-3.0192,40.9178,17465.8291,409.0,4432.1608,390.8241,0.6242,CL
27,1512.2563,-2.8781,40.9389,20033.5427,416.0854,2000.0,398.0,0.64,CL
28,1547.6281,-2.7875,40.9525,21243.8442,429.1256,2849.2462,410.2513,0.661,CL
29,1606.3317,-2.6347,40.9751,23287.4372,442.0,2193.1247,420.3317,0.692,CL
30,1695.4724,-2.3991,41.024,26022.1106,453.5879,1750.0,436.4121,0.7288,CL
31,1735.7387,-2.3214,41.085,27118.4673,449.0,1705.5733,442.0,0.744,CL
32,1800.7186,-2.2207,41.1963,28660.804,460.2864,1321.3568,454.0,0.768,CL
33,1836.9598,-2.1629,41.2604,29448.995,466.3266,1163.3166,458.0,0.78,CL
34,1873.201,-2.1034,41.3263,30339.196,467.6332,1591.7085,460.0,0.784,CL
35,1914.2211,-2.0364,41.4,31270.3518,471.407,1000.0,460.8141,0.792,CL
36,1949.6834,-1.9787,41.4635,31955.9045,476.0,1388.191,466.0,0.8,CL
37,1991.7739,-1.9091,41.5397,33155.9045,469.5377,1878.1407,458.0503,0.7941,CL
38,2027.0553,-1.8522,41.6021,34089.5729,465.4724,1794.5083,450.9447,0.788,CL
39,2063.2714,-1.793,41.6666,34917.5879,463.0,1416.7085,450.0,0.788,CL
40,2098.8241,-1.7341,41.7307,35670.603,461.0,1500.0,446.7839,0.7856,CL
41,2143.3166,-1.6646,41.8061,36000.0,462.0,0.0,446.0,0.788,CR
42,2184.1307,-1.598,41.8772,36000.0,462.6884,0.0,446.0,0.788,CR
43,2219.3719,-1.5261,41.9342,36000.0,468.0,0.0,446.0,0.788,CR
44,2254.8442,-1.4531,41.9879,36000.0,467.0,0.0,446.0,0.788,CR
45,2295.0452,-1.3698,42.0489,36000.0,465.191,0.0,446.0,0.788,CR
46,2332.0955,-1.2949,42.1042,36000.0,464.0,0.0,445.6985,0.7874,CR
47,2379.0101,-1.1981,42.1745,36000.0,462.1106,0.0,442.0,0.78,CR
48,2417.5779,-1.1196,42.2315,36000.0,460.0,0.0,442.0,0.78,CR
49,2458.9698,-1.0302,42.2959,36000.0,459.0,0.0,438.0603,0.7721,CR
50,2500.0503,-0.9499,42.3539,36000.0,458.0,0.0,438.0201,0.772,CR
51,2536.1508,-0.8751,42.4076,36000.0,460.0503,0.0,438.1005,0.772,CR
52,2570.1809,-0.8013,42.4541,36000.0,464.0,0.0,440.0,0.776,CR
53,2606.2613,-0.7189,42.5011,36000.0,465.0,0.0,440.0,0.7765,CR
54,2642.8543,-0.6335,42.5495,36000.0,467.1709,0.0,442.0,0.78,CR
55,2678.4221,-0.5502,42.5966,36000.0,468.0,0.0,442.0,0.78,CR
56,2722.2663,-0.4467,42.655,36000.0,469.0,0.0,444.5025,0.784,CR
57,2768.8744,-0.3412,42.718,36000.0,470.0,0.0,448.0,0.788,CR
58,2804.3266,-0.2582,42.7676,36000.0,471.0,0.0,448.0,0.788,CR
59,2841.2312,-0.1744,42.8172,36000.0,471.0,0.0,448.0,0.788,CR
60,2877.2362,-0.0905,42.8664,36000.0,471.0,0.0,448.0,0.788,CR
61,2933.809,0.0369,42.9408,36000.0,471.0,0.0,446.0,0.788,CR
62,2978.4623,0.1434,43.0028,36000.0,470.0,0.0,444.0,0.782,CR
63,3015.2613,0.2275,43.0517,36000.0,469.0,0.0,442.0,0.78,CR
64,3051.0101,0.3125,43.1009,36000.0,469.0,0.0,442.0,0.78,CR
65,3091.4523,0.4102,43.1522,36000.0,473.6131,0.0,442.0,0.78,CR
66,3130.6131,0.5225,43.1769,36000.0,478.0,0.0,443.3065,0.784,CR
67,3169.7739,0.6389,43.1922,36000.0,477.6935,0.0,444.0,0.78,CR
68,3206.201,0.7464,43.2063,36000.0,477.0,0.0,444.0,0.784,CR
69,3243.8693,0.8543,43.2204,36000.0,477.0,0.0,444.0,0.7809,CR
70,3297.6985,1.0138,43.2407,36000.0,477.1859,0.0,446.0,0.784,CR
71,3334.1256,1.1217,43.2544,36000.0,476.0,0.0,444.0,0.784,CR
72,3368.3668,1.2285,43.2679,36000.0,476.0,0.0,445.7889,0.784,CR
73,3404.608,1.3375,43.2816,36000.0,475.9347,0.0,446.0,0.7877,CR
74,3441.8744,1.4461,43.2951,36000.0,475.0,0.0,444.0503,0.784,CR
75,3478.1809,1.5551,43.3042,36000.0,475.9849,0.0,444.0,0.784,CR
76,3523.1106,1.69,43.312,36000.0,475.0,0.0,444.0,0.784,CR
77,3549.3819,1.7714,43.3166,36000.0,474.0,0.0,444.0,0.78,CR
78,3577.8141,1.8537,43.3212,36000.0,473.8643,0.0,446.0,0.784,CR
79,3607.5276,1.9427,43.3262,36000.0,473.0,0.0,446.0,0.784,CR
80,3646.2965,2.0592,43.3325,36000.0,471.0,0.0,444.4322,0.7809,CR
81,3682.0251,2.1673,43.3382,36000.0,471.0,0.0,444.5126,0.781,CR
82,3732.8894,2.3171,43.3555,36000.0,468.0,0.0,446.0,0.784,CR
83,3770.0101,2.4222,43.3713,36000.0,466.6633,0.0,446.0,0.784,CR
84,3807.1307,2.5272,43.3862,36000.0,466.0,0.0,446.0,0.784,CR
85,3847.5025,2.6443,43.4023,36000.0,464.0,0.0,444.0,0.784,CR
86,3878.3719,2.7369,43.4149,36000.0,463.5427,0.0,446.0,0.784,CR
87,3914.4925,2.8423,43.4293,36000.0,463.5025,0.0,446.0,0.784,CR
88,3955.2261,2.9588,43.4451,36000.0,461.0,0.0,446.0,0.784,CR
89,3998.8241,3.0831,43.462,36000.0,460.0,0.0,444.0,0.7817,CR
90,4038.4171,3.1968,43.4773,36000.0,459.3819,0.0,442.0,0.776,CR
91,4068.2915,3.2816,43.4885,36000.0,459.6583,0.0,440.0,0.776,CR
92,4100.8894,3.3777,43.5011,36000.0,460.0,0.0,442.0,0.7788,CR
93,4128.2161,3.4582,43.5118,36000.0,460.0,0.0,442.0,0.776,CR
94,4156.3367,3.5372,43.5222,36000.0,461.0,0.0,440.0,0.772,CR
95,4184.0955,3.6141,43.5322,36000.0,463.8191,0.0,440.0,0.776,CR
96,4213.8744,3.7005,43.5434,36000.0,466.0,0.0,443.7186,0.78,CR
97,4250.196,3.8085,43.5557,36000.0,467.0,0.0,440.201,0.7796,CR
98,4295.9397,3.944,43.5491,36000.0,468.0,0.0,444.0,0.78,CR
99,4331.7789,4.0531,43.5368,36000.0,470.0,0.0,446.0,0.784,CR
100,4360.1206,4.1359,43.5274,36000.0,470.0,0.0,446.0,0.7879,CR
101,4396.4221,4.2435,43.5152,36000.0,471.0,0.0,446.0,0.784,CR
102,4433.603,4.3509,43.5028,36000.0,471.0,0.0,446.0,0.7844,CR
103,4465.4221,4.4474,43.4917,36000.0,471.0,0.0,446.0,0.788,CR
104,4505.7236,4.5653,43.4779,36000.0,471.0,0.0,447.6382,0.788,CR
105,4539.191,4.6683,43.4657,36000.0,471.0,0.0,446.0,0.784,CR
106,4586.5226,4.8048,43.4495,36000.0,470.0,0.0,444.5226,0.784,CR
107,4617.1106,4.8963,43.4385,36000.0,470.0,0.0,444.0,0.78,CR
108,4647.0251,4.9831,43.4279,35807.9146,469.3417,-1000.0,442.0,0.78,CR
109,4674.5276,5.0627,43.4182,35355.9045,472.3819,-750.0,444.7638,0.78,CR
110,4702.3769,5.1453,43.4083,35000.0,470.5779,0.0,448.0,0.784,CR
111,4766.3869,5.334,43.3848,35000.0,470.0,0.0,446.0,0.784,CR
112,4807.5176,5.4537,43.3698,35000.0,471.0,0.0,448.0,0.782,CR
113,4836.6281,5.5387,43.3592,35000.0,471.0,0.0,448.0,0.784,CR
114,4890.3317,5.6963,43.3391,35000.0,472.0,0.0,448.0,0.784,CR
