,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,-3.5701,40.4974,0.0,15.0,0.0,0.0,0.0,GND
1,53.3869,-3.5701,40.4979,0.0,0.0,0.0,0.0,0.0,GND
2,280.3216,-3.5712,40.4998,0.0,21.3618,0.0,0.0,0.0,GND
3,710.5327,-3.5594,40.506,605.0251,63.0854,625.8881,0.0,0.0,CL
4,817.7286,-3.5535,40.5817,7976.2563,185.9095,5288.7653,234.0905,0.32,CL
5,867.3869,-3.5082,40.6213,10404.0201,253.0804,3810.3015,286.0,0.4468,CL
6,906.0251,-3.4672,40.6576,11333.0402,306.1608,1607.4659,338.8643,0.528,CL
7,944.5126,-3.4219,40.704,13504.8995,311.8291,4329.1457,355.6583,0.56,CL
8,980.5477,-3.4022,40.752,15979.6482,304.9095,2862.8141,369.8191,0.588,CL
9,1035.5377,-3.377,40.8287,19318.0905,314.2965,3182.8787,386.0,0.6226,CL
10,1069.2563,-3.3619,40.8773,21087.8141,325.5477,2366.0804,397.0955,0.6446,CL
11,1112.3769,-3.3425,40.942,23468.8442,331.1256,2781.407,412.0,0.6725,CL
12,1147.593,-3.3266,40.9955,25083.0402,337.8643,2567.8392,423.7286,0.6995,CL
13,1181.6332,-3.3116,41.0457,26541.206,340.603,2308.1316,432.0,0.7184,CL
14,1224.7085,-3.2905,41.1162,28001.8844,352.3417,1910.0503,450.0,0.756,CL
15,1268.804,-3.2706,41.1823,29457.1608,359.1608,1744.7864,458.1608,0.7763,CL
16,1306.6382,-3.2507,41.2481,30731.9095,366.8191,2788.9447,464.0,0.792,CL
17,1342.6734,-3.2328,41.3076,31791.8342,374.5578,1997.4874,472.0,0.812,CL
18,1378.2965,-3.215,41.3674,32672.2362,381.593,2389.4472,480.0,0.828,CL
19,1416.1759,-3.1855,41.4328,33678.5176,398.0704,1489.4472,489.5075,0.852,CL
20,1450.7739,-3.1454,41.4909,35227.3869,392.0,5236.809,481.3568,0.844,CL
21,1488.5628,-3.1043,41.55,36264.0704,390.5126,1395.5492,475.0251,0.8341,CL
22,1524.7538,-3.0638,41.6087,37243.8442,391.0,1921.1683,479.4975,0.847,CL
23,1562.9598,-3.0212,41.6699,38373.4925,386.0,2232.4121,480.0,0.852,CL
24,1597.4573,-2.9831,41.7243,39143.2161,381.7286,546.4824,470.0,0.832,CL
25,1634.3367,-2.9431,41.7805,39550.0,389.4673,266.3317,474.9347,0.832,CR
26,1670.0302,-2.9028,41.8372,39755.1508,402.4121,61.809,478.0,0.836,CR
27,1705.8342,-2.8579,41.9,40147.2362,407.0553,1000.0,480.0,0.844,CL
28,1743.0503,-2.8148,41.9606,40575.0,411.0,94.9749,474.0,0.832,CL
29,1783.2211,-2.7665,42.0285,40873.8693,422.0,876.6332,486.8442,0.848,CL
30,1965.6432,-2.5414,42.3419,42883.0402,425.1608,372.3618,486.0,0.844,CR
31,2011.2965,-2.4832,42.4221,42975.0,425.1005,-21.5363,482.402,0.8408,CR
32,2055.8291,-2.4279,42.4984,43000.0,423.6382,0.0,476.0,0.8306,CR
33,2093.2613,-2.3796,42.5652,43000.0,433.6231,0.0,491.7387,0.8545,CR
34,2129.2312,-2.3336,42.6279,42975.0,430.0,0.0,496.0,0.856,CR
35,2164.1256,-2.2882,42.6902,42975.0,429.1457,0.0,490.2915,0.844,CR
36,2207.5226,-2.2326,42.7655,43000.0,426.8141,87.2218,496.0,0.8504,CR
37,2250.3266,-2.1787,42.8392,42983.2915,421.0,124.3719,490.0,0.8467,CR
38,2285.2111,-2.1341,42.8999,43000.0,421.0,0.0,486.1407,0.84,CR
39,2325.809,-2.0843,42.9671,43000.0,422.809,0.0,488.3819,0.848,CR
40,2377.191,-2.018,43.0564,42975.0,416.0,0.0,496.0,0.856,CR
41,2418.5729,-1.9671,43.1256,42982.1608,407.0,81.0302,490.0,0.848,CR
42,2453.1005,-1.9276,43.1847,43000.0,401.0,0.0,490.0,0.848,CR
43,2518.1658,-1.8589,43.2933,42994.0955,398.0,95.4774,486.0,0.84,CR
44,2566.0151,-1.8081,43.3735,42987.5628,398.4975,125.6281,482.0,0.836,CR
45,2612.6884,-1.7586,43.4514,43000.0,399.0,0.0,483.5176,0.843,CR
46,2652.7588,-1.7152,43.5195,43000.0,400.9799,0.0,478.0402,0.8321,CR
47,2693.3116,-1.673,43.586,43000.0,405.4372,0.0,485.4372,0.84,CR
48,2730.8291,-1.6321,43.6499,43000.0,407.0,162.8141,486.0,0.844,CR
49,2764.5879,-1.5941,43.709,42979.8995,407.0,97.9899,486.0,0.844,CR
50,2806.7387,-1.549,43.7796,42998.3668,407.9347,350.5025,484.1307,0.84,CR
51,2853.6935,-1.4976,43.859,43000.0,408.3266,0.0,488.0,0.848,CR
52,2901.6482,-1.4438,43.9425,42975.0,408.0,0.0,486.0,0.844,CR
53,2939.9045,-1.4014,44.0078,43000.0,408.0,0.0,488.0,0.848,CR
54,2980.3367,-1.356,44.0778,42975.0,408.0,0.0,486.0,0.844,CR
55,3018.8844,-1.313,44.1437,43000.0,409.0,42.9068,486.0,0.844,CR
56,3061.5678,-1.2655,44.2164,42990.8291,409.6332,-78.6073,488.0,0.848,CR
57,3101.3719,-1.22,44.2861,42977.6382,408.1055,-211.4418,490.0,0.848,CR
58,3143.4422,-1.1755,44.3538,42996.1055,408.8442,87.6884,486.3116,0.844,CR
59,3190.5829,-1.1195,44.4375,42975.0,408.0,0.0,484.0,0.84,CR
60,3225.9648,-1.0779,44.4983,42983.0402,411.0,-8.794,484.0,0.844,CR
61,3259.3618,-1.0403,44.553,42976.5075,409.0603,-337.3116,490.0,0.852,CR
62,3294.397,-0.9987,44.6136,42994.9749,408.0,324.1206,486.804,0.852,CR
63,3370.6131,-0.9106,44.7418,43000.0,404.0,19.8134,486.0,0.84,CR
64,3434.3819,-0.8367,44.8483,42981.9095,405.0,82.9146,484.5528,0.844,CR
65,3495.0754,-0.7659,44.9503,42975.0,405.0151,-211.0553,486.0,0.848,CR
