,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,-3.5733,40.4613,0.0,4.0,0.0,0.0,0.0,GND
1,107.5523,-3.5729,40.4608,0.0,0.0,0.0,0.0,0.0,GND
2,287.6861,-3.5722,40.461,0.0,3.1357,0.0,0.0,0.0,GND
3,370.7095,-3.5682,40.4591,0.0,4.1206,0.0,0.0,0.0,GND
4,448.4384,-3.5665,40.4622,0.0,1.9447,0.0,0.0,0.0,GND
5,526.8953,-3.5657,40.4674,0.0,0.0,0.0,0.0,0.0,GND
6,601.3528,-3.5672,40.4724,0.0,13.1859,0.0,0.0,0.0,GND
7,660.9804,-3.5707,40.4758,0.0,8.794,0.0,0.0,0.0,GND
8,726.7905,-3.575,40.48,0.0,6.9146,0.0,0.0,0.0,GND
9,785.9982,-3.5783,40.4833,0.0,3.5427,0.0,0.0,0.0,GND
10,855.1409,-3.5806,40.4877,0.0,0.5226,0.0,0.0,0.0,GND
11,916.0911,-3.5779,40.4886,0.0,0.9347,0.0,0.0,0.0,GND
12,978.6753,-3.5739,40.4887,0.0,7.7789,0.0,0.0,0.0,GND
13,1043.279,-3.5723,40.4916,0.0,10.407,0.0,0.0,0.0,GND
14,1110.1843,-3.5723,40.4975,0.0,12.6432,0.0,0.0,0.0,GND
15,1176.2521,-3.5713,40.5012,0.0,12.2161,0.0,0.0,0.0,GND
16,1239.0727,-3.5667,40.5012,0.0,0.6784,0.0,0.0,0.0,GND
17,1301.0368,-3.5645,40.5004,0.0,2.3216,0.0,0.0,0.0,GND
18,1366.2102,-3.5608,40.5003,0.0,0.5276,0.0,0.0,0.0,GND
19,1503.1059,-3.5608,40.5003,0.0,0.0,0.0,0.0,0.0,GND
20,1599.3076,-3.5609,40.5003,0.0,0.0,0.0,0.0,0.0,GND
21,1737.4221,-3.5608,40.5003,0.0,0.0,0.0,0.0,0.0,GND
22,1821.4037,-3.5592,40.5018,0.0,3.4271,0.0,0.0,0.0,GND
23,1913.4623,-3.5555,40.5566,3123.8693,166.4925,2362.7862,81.7487,0.1241,CL
24,1989.0765,-3.5191,40.6115,4975.0,192.3248,848.1225,125.2261,0.1914,CL
25,2071.1938,-3.4401,40.6816,6882.5377,275.0878,2934.5594,26.7337,0.0406,CL
26,2138.5933,-3.3637,40.7496,9765.4523,293.4063,2142.4721,26.3518,0.0405,CL
27,2205.1119,-3.2807,40.8219,12110.4271,325.2572,993.7096,212.5628,0.3288,CL
28,2266.6293,-3.1526,40.8542,13063.4422,390.1142,1154.4126,180.4221,0.2829,CL
29,2333.4485,-2.9965,40.8903,15222.4874,412.705,1580.6138,0.0,0.0,CL
30,2404.4409,-2.8208,40.9303,17587.0603,426.0855,2308.4789,344.7236,0.5417,CL
31,2476.791,-2.637,40.9718,19669.3467,444.7144,1500.4703,373.5477,0.5918,CL
32,2552.9868,-2.4335,41.0124,21747.8643,460.8174,1170.8247,304.5729,0.4867,CL
33,2620.7771,-2.2466,41.0473,23513.3166,470.9411,2230.7335,226.9146,0.3665,CL
34,2683.8548,-2.0739,41.0798,25883.6683,458.5686,624.6446,140.0603,0.2303,CL
35,2750.4177,-1.8897,41.114,27357.0352,468.0334,1296.1069,366.0603,0.6049,CL
36,2815.8894,-1.7022,41.1485,28000.0,494.9447,41.4573,452.0,0.748,CR
37,2879.7843,-1.5122,41.1832,28868.7186,506.6807,700.9708,116.0804,0.193,CL
38,2944.8918,-1.314,41.219,29550.0,511.9834,486.4788,256.4824,0.4289,CL
39,3011.2265,-1.1104,41.2554,30601.7588,518.4981,372.3394,168.402,0.2811,CL
40,3086.6432,-0.8745,41.2971,31912.0603,522.0,2658.8453,474.0,0.8,CL
41,3153.9945,-0.6636,41.325,33400.0,516.0358,41.1788,453.4673,0.7719,CL
42,3216.3065,-0.4649,41.3247,34832.6633,515.0,1582.1267,464.0,0.7991,CL
43,3276.6028,-0.2764,41.3256,36239.3216,510.942,1543.0119,266.9548,0.4629,CL
44,3354.9716,-0.0346,41.3259,37809.4221,498.9996,967.0275,282.8945,0.4935,CL
45,3421.4367,0.1715,41.3259,38000.0,503.9698,0.0,376.7839,0.6586,CR
46,3489.9714,0.3802,41.3254,38000.0,500.9996,0.0,451.0955,0.7879,CR
47,3566.5779,0.6177,41.3244,38000.0,502.0,0.0,458.4221,0.804,CR
48,3637.0239,0.8335,41.323,38000.0,501.9412,0.0,271.5779,0.4744,CR
49,3705.6937,1.0443,41.3214,38000.0,502.9723,0.0,181.8191,0.3176,CR
50,3770.1602,1.2439,41.3195,38000.0,503.9664,0.0,369.1357,0.6456,CR
51,3829.009,1.4247,41.3174,38000.0,502.0004,0.0,457.6884,0.8,CR
