,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,-3.5592,40.5301,2625.0,153.0,6.3038,168.0,0.224,CL
1,55.3618,-3.5488,40.5672,4934.0452,145.0905,2182.1608,165.8191,0.252,CL
2,123.5427,-3.514,40.6159,6259.0452,219.7236,1409.5477,226.9749,0.3694,CL
3,192.8141,-3.447,40.6759,9572.4874,260.5427,3408.9196,274.0,0.4262,CL
4,256.809,-3.3777,40.737,13065.4523,281.7236,3319.0955,292.7236,0.4614,CL
5,313.3568,-3.3139,40.7941,16117.8392,291.4523,3205.402,308.9045,0.4898,CL
6,371.7136,-3.235,40.8461,19099.2462,302.5427,2934.1709,320.9146,0.52,CL
7,434.1658,-3.1215,40.8698,21960.804,317.2663,2246.7337,328.0,0.54,CL
8,490.3417,-3.0062,40.8923,22861.1809,377.7889,569.0955,383.7889,0.6327,CL
9,547.2563,-2.8754,40.9185,24892.4623,396.6281,2555.2764,404.0,0.672,CL
10,603.6181,-2.7422,40.9449,26838.0653,408.9045,1896.4824,420.0,0.7,CL
11,657.9849,-2.608,40.9713,28499.4975,422.995,1997.4874,427.9799,0.72,CL
12,715.4271,-2.4623,40.9983,30062.8141,436.0854,1525.6281,440.1709,0.748,CL
13,775.5276,-2.3025,41.0208,31642.5879,445.0,2000.0,448.0,0.764,CL
14,836.2663,-2.1401,41.0437,33231.6583,450.0,1224.8744,448.0,0.768,CL
15,893.4271,-1.9855,41.0656,34660.6784,451.0,1500.0,451.2864,0.772,CL
16,949.3417,-1.8326,41.0868,35722.3618,459.4472,1110.5528,452.0,0.78,CL
17,1005.6884,-1.674,41.1086,36000.0,464.0,0.0,458.0,0.7902,CR
18,1061.8844,-1.5183,41.1285,36000.0,463.6281,0.0,454.5126,0.7815,CR
19,1117.8744,-1.361,41.1489,36000.0,464.0,0.0,456.0,0.788,CR
20,1175.2362,-1.2004,41.1703,36000.0,465.191,0.0,454.0,0.784,CR
21,1230.6985,-1.0424,41.191,36000.0,467.0,0.0,452.201,0.784,CR
22,1287.9497,-0.8814,41.2116,36549.2462,468.9899,890.9548,458.0,0.792,CL
23,1343.3216,-0.7237,41.2317,37531.0302,470.0804,1010.0503,453.8392,0.7837,CL
24,1399.3417,-0.5653,41.2517,38000.0,468.8291,310.9296,450.0,0.776,CL
25,1456.0452,-0.4032,41.2589,38000.0,467.0,0.0,452.0,0.781,CR
26,1513.0553,-0.2407,41.2631,38000.0,463.0,0.0,448.0,0.776,CR
27,1569.2111,-0.0817,41.2673,38000.0,462.0,0.0,446.0,0.7702,CR
28,1628.7286,0.0884,41.2709,38000.0,461.0,0.0,444.9347,0.7701,CR
29,1690.4925,0.2613,41.2757,38000.0,460.0,0.0,446.0,0.772,CR
30,1746.1407,0.4194,41.2794,38000.0,461.0,0.0,445.4271,0.768,CR
31,1803.2161,0.5792,41.2831,38000.0,462.0,0.0,444.0,0.768,CR
32,1863.2613,0.7501,41.2871,38000.0,463.0,0.0,444.0,0.7716,CR
33,1919.9246,0.911,41.2904,38000.0,464.0,0.0,442.0,0.768,CR
34,1991.3769,1.1158,41.2942,38000.0,467.0754,0.0,444.0,0.768,CR
35,2050.8291,1.2861,41.297,38000.0,470.0,0.0,446.0,0.7727,CR
36,2115.7688,1.4739,41.2999,38000.0,470.0,0.0,448.0,0.776,CR
37,2181.7739,1.6626,41.3029,38000.0,470.3467,0.0,444.0,0.772,CR
38,2257.1859,1.8815,41.305,38000.0,471.0,0.0,444.8744,0.772,CR
39,2312.6382,2.0419,41.3065,38000.0,470.4724,0.0,442.0,0.764,CR
40,2380.5628,2.2335,41.3294,38000.0,470.0,0.0,442.0,0.764,CR
41,2448.2513,2.4243,41.3632,38000.0,470.7085,0.0,444.5829,0.772,CR
42,2561.7889,2.7447,41.4189,38000.0,469.201,0.0,444.402,0.7728,CR
43,2638.4523,2.9588,41.4556,38000.0,466.1106,0.0,443.7789,0.7716,CR
44,2695.8995,3.1203,41.4832,38000.0,466.0,0.0,440.0,0.764,CR
45,2757.4221,3.2923,41.5122,38000.0,467.0,0.0,441.8593,0.768,CR
46,2818.6432,3.4645,41.5409,38000.0,467.0,0.0,440.3216,0.768,CR
47,2881.5075,3.641,41.5697,38000.0,466.0,0.0,440.0,0.767,CR
48,2952.0503,3.8375,41.6021,38000.0,467.0,0.0,440.0,0.764,CR
49,3018.4573,4.0251,41.6322,38000.0,470.0,0.0,440.0,0.764,CR
50,3097.5678,4.2419,41.6872,38000.0,469.0,0.0,444.0,0.768,CR
51,3169.8392,4.3979,41.7919,38000.0,470.0,0.0,446.0,0.776,CR
52,3230.8141,4.5295,41.8808,38000.0,468.0,0.0,445.407,0.7748,CR
53,3288.794,4.6545,41.9645,38000.0,468.0,0.0,446.0,0.776,CR
54,3363.3065,4.8145,42.0708,38000.0,467.0,0.0,442.2312,0.772,CR
55,3439.799,4.9807,42.1803,38000.0,466.0,0.0,438.0,0.764,CR
