,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,-3.5903,40.4855,0.0,30.0,0.0,0.0,0.0,GND
1,40.6432,-3.5882,40.4867,0.0,25.9799,0.0,0.0,0.0,GND
2,61.2211,-3.5882,40.4882,0.0,16.0,0.0,0.0,0.0,GND
3,78.3317,-3.5882,40.4895,0.0,17.0,0.0,0.0,0.0,GND
4,100.4422,-3.5882,40.4914,0.0,18.0,0.0,0.0,0.0,GND
5,132.5528,-3.5862,40.4924,0.0,17.1106,0.0,0.0,0.0,GND
6,149.0653,-3.5844,40.4924,0.0,21.0,0.0,0.0,0.0,GND
7,168.8191,-3.582,40.4924,0.0,20.0,0.0,0.0,0.0,GND
8,187.2613,-3.5794,40.4925,0.0,21.6231,0.0,0.0,0.0,GND
9,210.9899,-3.577,40.4925,0.0,23.9899,0.0,0.0,0.0,GND
10,229.1055,-3.5759,40.4926,0.0,17.4523,0.0,0.0,0.0,GND
11,244.2864,-3.5758,40.4926,0.0,0.0,0.0,0.0,0.0,GND
12,266.3266,-3.5758,40.4926,0.0,0.0,0.0,0.0,0.0,GND
13,305.6231,-3.5758,40.4926,0.0,0.0,0.0,0.0,0.0,GND
14,345.7286,-3.5757,40.4927,0.0,11.8191,0.0,0.0,0.0,GND
15,423.1005,-3.5746,40.4944,0.0,34.5729,0.0,0.0,0.0,GND
16,598.3819,-3.5775,40.556,3448.7437,171.4774,2499.0012,131.1558,0.0,CL
17,648.4523,-3.6101,40.5853,4980.5276,180.4523,1737.1114,183.2764,0.2837,CL
18,699.1457,-3.6559,40.6197,6078.392,240.1256,1321.5283,223.4472,0.3727,CL
19,747.5628,-3.6731,40.6735,8153.1407,272.2211,2908.1344,278.2412,0.4285,CL
20,822.1508,-3.6599,40.7731,11733.5427,301.7286,2626.8844,301.9598,0.4742,CL
21,932.4724,-3.5963,40.9372,16145.2261,350.8643,2949.5807,361.7286,0.5738,CL
22,974.005,-3.5671,41.0015,17710.9296,363.0,2252.8715,374.5729,0.6,CL
23,1035.8342,-3.5203,41.1032,20073.995,376.0,2438.1383,382.5829,0.6228,CL
24,1085.4472,-3.483,41.1837,21765.5779,386.4824,1204.9392,393.8291,0.6431,CL
25,1188.5829,-3.3979,41.3665,25080.402,406.1055,2112.9843,413.1055,0.6844,CL
26,1298.196,-3.3048,41.5651,28056.7839,422.8995,1475.9736,429.9497,0.7277,CL
27,1345.7337,-3.2625,41.6552,29203.2663,431.0,3336.1124,435.206,0.736,CL
28,1389.392,-3.224,41.7368,30334.799,432.6382,1409.5477,433.6382,0.7386,CL
29,1430.7236,-3.1868,41.8153,31443.0905,429.2412,1500.0,430.0,0.736,CL
30,1469.3166,-3.1673,41.8879,32374.7487,419.0,1102.0101,426.6734,0.7387,CL
31,1508.9648,-3.1559,41.9635,33369.8492,418.0854,1292.8774,425.8291,0.7363,CL
32,1550.7035,-3.1422,42.0457,33988.0653,417.4774,453.9363,422.9849,0.738,CL
33,1606.7186,-3.1248,42.1541,34026.7588,414.0,-348.6181,419.8593,0.732,DE
34,1654.9045,-3.1107,42.2441,34016.206,415.0,-17.0206,420.0,0.732,CR
35,1702.6683,-3.0964,42.3329,34000.0,415.0,0.0,420.0,0.7311,CR
36,1781.3719,-3.0713,42.4872,34814.6985,420.196,729.0022,424.0,0.744,CL
37,1795.7085,-3.0667,42.5156,35021.3568,423.6181,1036.4322,425.2362,0.748,CL
38,1835.0804,-3.055,42.5897,35701.005,423.0402,1098.3142,430.0,0.756,CL
39,1848.3116,-3.0512,42.6133,35848.1156,425.0,600.0,430.0,0.76,CL
40,1885.6533,-3.0391,42.6863,36391.3317,428.1156,1456.6583,431.7688,0.764,CL
41,1918.4523,-3.0277,42.7542,37205.6533,421.0,1270.1005,430.0,0.764,CL
42,1977.402,-3.0087,42.8682,37913.9447,420.1859,583.9017,428.0,0.764,CL
43,2021.7538,-2.9943,42.9549,38025.0,419.0,254.7739,428.0,0.7594,CR
44,2051.5729,-2.9855,43.0095,38000.0,422.0,0.0,428.8543,0.7663,CR
45,2119.8342,-2.9639,43.1394,37975.0,415.0302,-2.5126,424.0503,0.7561,CR
46,2166.8442,-2.9489,43.229,37964.5729,408.1658,-24.0626,419.1658,0.7463,CR
47,2210.1407,-2.9331,43.3137,37995.9799,416.2312,112.7513,421.3568,0.7507,CR
48,2226.7839,-2.9239,43.3454,38000.0,421.0,0.0,426.0,0.759,CR
