,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,-3.5682,40.4671,0.0,0.0,0.0,138.0,0.22,GND
1,4533.6281,-3.5682,40.4671,0.0,0.0,0.0,0.0,0.0,GND
2,4577.9548,-3.5679,40.4671,0.0,7.6985,0.0,0.0,0.0,GND
3,4626.1055,-3.5673,40.4668,0.0,9.7789,0.0,0.0,0.0,GND
4,4676.397,-3.5668,40.4665,0.0,9.0,0.0,0.0,0.0,GND
5,4716.2111,-3.5667,40.4662,0.0,1.9296,0.0,0.0,0.0,GND
6,4891.2111,-3.5667,40.4664,0.0,13.7688,0.0,0.0,0.0,GND
7,4929.5477,-3.5666,40.4678,0.0,23.8492,0.0,0.0,0.0,GND
8,4970.7688,-3.5655,40.4698,0.0,28.3869,0.0,0.0,0.0,GND
9,5013.3166,-3.5676,40.4727,0.0,16.0,0.0,0.0,0.0,GND
10,5055.4925,-3.5699,40.475,0.0,21.0,0.0,0.0,0.0,GND
11,5100.3869,-3.5713,40.4764,0.0,28.9095,0.0,0.0,0.0,GND
12,5149.191,-3.5744,40.4794,0.0,17.0,0.0,0.0,0.0,GND
13,5193.4573,-3.5772,40.4822,0.0,15.7085,0.0,0.0,0.0,GND
14,5236.4925,-3.5796,40.4848,0.0,16.3015,0.0,0.0,0.0,GND
15,5285.6332,-3.5806,40.4883,0.0,26.1055,0.0,0.0,0.0,GND
16,5354.6131,-3.5725,40.4886,0.0,27.0251,0.0,0.0,0.0,GND
17,5418.598,-3.5633,40.4886,0.0,17.3216,0.0,0.0,0.0,GND
18,5472.6332,-3.5625,40.4919,0.0,18.3266,0.0,0.0,0.0,GND
19,5508.9347,-3.5625,40.4953,0.0,20.7337,0.0,0.0,0.0,GND
20,5589.5628,-3.5596,40.4999,0.0,16.0,0.0,0.0,0.0,GND
21,5773.6432,-3.5305,40.6007,6177.3869,212.2864,1113.0653,184.3417,0.2929,CL
22,5856.9146,-3.4463,40.6755,10432.1608,259.9095,3798.995,287.9095,0.4478,CL
23,6001.4472,-3.278,40.8236,17336.1809,304.7236,2297.7387,355.2764,0.568,CL
24,6301.2261,-2.6501,40.964,26028.7688,406.3065,1028.8945,450.0,0.7652,CL
25,6363.2312,-2.4983,40.9968,27267.5879,417.1759,1077.8894,450.0,0.7887,CL
26,6524.0754,-2.1109,41.0727,31358.1658,400.0,1596.5518,466.0,0.8,CL
27,6844.9497,-1.333,41.1891,37049.4975,415.0,604.8576,450.0,0.776,CL
28,6912.5879,-1.1601,41.2082,37669.8492,427.0,659.5477,456.794,0.7904,CL
29,6975.0201,-0.9972,41.2247,38000.0,428.0,0.0,462.0,0.788,CR
30,7185.9548,-0.4548,41.2813,38000.0,423.0,0.0,460.0,0.7912,CR
31,7288.799,-0.1884,41.3076,38000.0,424.0,0.0,460.7638,0.788,CR
32,7353.5025,-0.0213,41.3236,37999.3719,427.0251,-1.8844,458.0503,0.7841,CR
33,7419.593,0.153,41.3405,38000.0,430.0,0.0,462.0,0.788,CR
34,7484.5176,0.3224,41.345,38025.0,438.0,0.0,466.0,0.7954,CR
35,7592.2161,0.6111,41.341,38043.8442,435.0,-41.0385,466.0,0.795,CR
36,7710.8392,0.9228,41.3357,37975.0,435.0,0.0,462.6935,0.7894,CR
37,7810.3015,1.1905,41.33,38025.0,431.9397,0.0,464.0,0.792,CR
38,7892.9347,1.4078,41.3251,37975.0,429.0,0.0,462.0,0.784,CR
39,7945.4925,1.5501,41.3219,37975.0,428.1256,0.0,464.0,0.792,CR
40,7978.9698,1.6378,41.3197,38000.0,428.0,0.0,462.0,0.7869,CR
41,8015.0653,1.7323,41.3173,37982.7889,428.0,-344.2211,462.0,0.788,CR
42,8095.6683,1.9428,41.3116,37977.3869,429.0,-41.2126,464.0,0.788,CR
43,8175.5829,2.15,41.317,38012.5628,424.4925,22.8415,465.0151,0.792,CR
44,8294.9146,2.4522,41.368,38025.0,422.9095,19.3826,467.8191,0.7956,CR
45,8383.0653,2.6765,41.4073,38000.0,420.3166,128.1407,464.0,0.7933,CR
46,8424.5126,2.7806,41.4253,38000.0,421.0,0.0,462.5528,0.7891,CR
