,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,-3.5674,40.4712,0.0,0.0,0.0,0.0,0.0,GND
1,134.0905,-3.5674,40.4712,0.0,0.0,0.0,0.0,0.0,GND
2,268.3116,-3.5673,40.4712,0.0,0.0,0.0,0.0,0.0,GND
3,397.0955,-3.5674,40.4712,0.0,0.0,0.0,0.0,0.0,GND
4,474.8693,-3.5673,40.4712,0.0,0.0,0.0,0.0,0.0,GND
5,603.3367,-3.5674,40.4712,0.0,0.0,0.0,0.0,0.0,GND
6,681.804,-3.5674,40.4712,0.0,0.0,0.0,0.0,0.0,GND
7,755.0905,-3.5674,40.4712,0.0,0.0,0.0,0.0,0.0,GND
8,805.397,-3.5674,40.4712,0.0,0.0,0.0,0.0,0.0,GND
9,846.4824,-3.5674,40.4712,0.0,0.0,0.0,0.0,0.0,GND
10,897.8693,-3.5674,40.4712,0.0,0.0,0.0,0.0,0.0,GND
11,939.7136,-3.5674,40.4712,0.0,0.0,0.0,0.0,0.0,GND
12,985.8693,-3.5674,40.4712,0.0,0.0,0.0,0.0,0.0,GND
13,1032.0251,-3.5674,40.4712,0.0,0.0,0.0,0.0,0.0,GND
14,1073.9447,-3.5674,40.4712,0.0,0.0,0.0,0.0,0.0,GND
15,1127.6734,-3.5674,40.4712,0.0,0.0,0.0,0.0,0.0,GND
16,1186.4925,-3.5674,40.4712,0.0,0.0,0.0,0.0,0.0,GND
17,1253.5779,-3.5674,40.4712,0.0,0.0,0.0,0.0,0.0,GND
18,1299.804,-3.5674,40.4712,0.0,0.0,0.0,0.0,0.0,GND
19,1345.9598,-3.5674,40.4712,0.0,0.0,0.0,0.0,0.0,GND
20,1391.1156,-3.5674,40.4712,0.0,0.0,0.0,0.0,0.0,GND
21,1443.2714,-3.5674,40.4712,0.0,0.0,0.0,0.0,0.0,GND
22,1529.7688,-3.5674,40.4712,0.0,0.0,0.0,0.0,0.0,GND
23,1629.9146,-3.5674,40.4712,0.0,0.0,0.0,0.0,0.0,GND
24,1710.7387,-3.5674,40.4712,0.0,0.0,0.0,0.0,0.0,GND
25,1786.8945,-3.5674,40.4712,0.0,0.0,0.0,0.0,0.0,GND
26,1842.1508,-3.5674,40.4712,0.0,0.0,0.0,0.0,0.0,GND
27,1900.4472,-3.5686,40.4712,0.0,22.7236,0.0,0.0,0.0,GND
28,1945.8342,-3.5686,40.4734,0.0,28.4724,0.0,0.0,0.0,GND
29,1998.0352,-3.5708,40.4759,0.0,28.2965,0.0,0.0,0.0,GND
30,2054.7387,-3.5743,40.4794,0.0,23.0,0.0,0.0,0.0,GND
31,2097.4975,-3.5772,40.4822,0.0,18.0,0.0,0.0,0.0,GND
32,2146.3819,-3.5802,40.4855,0.0,27.397,0.0,0.0,0.0,GND
33,2192.1407,-3.5803,40.4885,0.0,27.2563,0.0,0.0,0.0,GND
34,2245.0302,-3.5742,40.4886,0.0,25.5779,0.0,0.0,0.0,GND
35,2588.4523,-3.5591,40.5553,4397.6131,152.8191,2488.3794,144.0,0.2214,CL
