,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,16.5693,48.1168,0.0,0.0,0.0,0.0,0.0,GND
1,424.0151,16.5724,48.1148,0.0,13.0,0.0,0.0,0.0,GND
2,491.5025,16.5742,48.1163,0.0,10.0,0.0,0.0,0.0,GND
3,546.2362,16.573,48.1193,0.0,11.3819,0.0,0.0,0.0,GND
4,639.2362,16.5757,48.12,0.0,0.0,0.0,0.0,0.0,GND
5,762.0754,16.5757,48.12,0.0,0.0,0.0,0.0,0.0,GND
6,953.4724,16.5797,48.1162,0.0,78.0704,0.0,0.0,0.1148,LVL
7,1028.6633,16.6031,48.0622,3322.1106,195.3266,1777.4587,202.0,0.3058,CL
8,1074.1206,16.6549,48.0381,5814.8241,220.9447,2505.5276,221.2965,0.3353,CL
9,1120.8442,16.7372,48.0462,7492.2111,285.5628,2828.1407,260.8141,0.3965,CL
10,1178.2714,16.8471,48.0751,10535.5528,313.3618,3222.3618,293.8794,0.4519,CL
11,1246.6985,17.0031,48.1151,13119.0955,374.5327,2711.0553,344.5327,0.5371,CL
12,1295.7085,17.1292,48.1378,15435.4271,394.2362,2809.0452,366.4724,0.5729,CL
13,1339.0352,17.2474,48.1559,17288.8191,411.6784,2310.3015,373.6784,0.5874,CL
14,1384.7688,17.3763,48.1758,19105.2764,430.8844,1875.0,380.8844,0.604,CL
15,1433.3166,17.5206,48.1979,20937.4372,448.1357,1538.7653,396.0,0.6322,CL
16,1478.593,17.6616,48.2192,22563.4422,463.6482,2361.1809,406.0,0.656,CL
17,1516.005,17.78,48.237,23856.407,475.2513,1968.593,416.5025,0.677,CL
18,1566.6884,17.946,48.2617,25406.2814,492.4171,1927.1357,422.0,0.6914,CL
19,1612.4573,18.0981,48.284,26836.4322,504.0,1703.5176,433.2563,0.7123,CL
20,1656.4824,18.2501,48.3062,28265.0754,512.1206,1757.5377,446.1206,0.7402,CL
21,1702.3166,18.4108,48.3292,29749.4975,519.0,1951.5075,456.0,0.764,CL
22,1756.799,18.6023,48.3566,31694.9749,518.2663,1415.346,468.0,0.788,CL
23,1799.3467,18.7536,48.378,32880.402,524.0,1760.804,474.0,0.804,CL
24,1837.3618,18.8887,48.3968,33822.2362,530.0,1358.2915,478.0,0.816,CL
25,1892.2261,19.089,48.4244,35132.5377,537.9246,2092.4623,484.0,0.832,CL
26,1928.0352,19.2217,48.4424,36292.8392,533.0,1839.196,478.0,0.828,CL
27,1975.2814,19.3918,48.4653,37475.0,532.0,1257.5377,476.0,0.828,CL
28,2022.5377,19.5617,48.4879,38466.3317,533.0,1129.8157,474.0,0.828,CL
29,2065.9497,19.7191,48.5087,39000.0,531.5126,-128.1407,480.0,0.84,CR
30,2112.3618,19.8878,48.5307,39000.0,530.0,0.0,472.0,0.8276,CR
31,2162.1608,20.0681,48.5539,39000.0,532.0,0.0,472.0,0.8268,CR
32,2201.1859,20.2102,48.572,39000.0,533.0,0.0,474.0,0.828,CR
33,2246.6985,20.3778,48.593,39000.0,532.0,0.0,476.0,0.832,CR
34,2286.0101,20.5189,48.6105,39000.0,528.0,0.0,476.0,0.832,CR
35,2324.8442,20.6581,48.6276,39000.0,528.0,0.0,472.0,0.8244,CR
36,2374.1256,20.837,48.6494,39000.0,529.0,0.0,472.0,0.828,CR
37,2416.5578,20.9913,48.6679,39000.0,530.0,0.0,474.7538,0.8335,CR
38,2455.5729,21.1355,48.685,39000.0,527.0854,0.0,472.3417,0.8287,CR
39,2509.0352,21.3281,48.7075,39000.0,523.4824,0.0,474.9648,0.8339,CR
40,2557.4824,21.501,48.7273,39000.0,523.0,0.0,473.5176,0.831,CR
41,2606.3417,21.6772,48.7473,39000.0,522.0,0.0,472.0,0.828,CR
42,2649.2663,21.8328,48.7648,39000.0,519.0,0.0,474.0402,0.8281,CR
43,2694.7889,21.9967,48.7829,39000.0,523.9296,0.0,468.1407,0.8163,CR
44,2733.598,22.135,48.7981,39000.0,527.0,0.0,474.9347,0.8299,CR
45,2771.5427,22.2726,48.8129,39000.0,524.1357,0.0,480.0,0.84,CR
46,2809.2161,22.4072,48.8319,39018.4673,522.0,369.3467,478.5226,0.84,CR
47,2848.7085,22.545,48.859,39000.0,520.0,0.0,474.0,0.8334,CR
48,2887.7236,22.6807,48.8846,39000.0,515.0553,0.0,482.0,0.8402,CR
49,2925.7387,22.813,48.9098,39000.0,503.7136,0.0,476.5226,0.8298,CR
50,2967.7538,22.9551,48.937,39000.0,505.0,0.0,474.0,0.8286,CR
51,3008.2613,23.0931,48.9636,39000.0,512.0,0.0,466.0,0.816,CR
52,3047.4975,23.2297,48.9898,39000.0,516.0,0.0,464.0,0.816,CR
53,3086.8794,23.3662,49.0157,39000.0,519.0,10.0503,466.0,0.82,CR
54,3124.1256,23.4981,49.0404,39000.0,520.0,0.0,464.0,0.8177,CR
55,3163.8291,23.6382,49.0666,39000.0,522.0,0.0,465.6683,0.82,CR
56,3199.7688,23.7643,49.0899,39000.0,526.2312,0.0,464.0,0.82,CR
57,3243.3719,23.9214,49.1188,39000.0,526.0,0.0,459.4874,0.811,CR
58,3283.8995,24.0667,49.1452,39000.0,528.9749,-7.5377,458.0,0.8041,CR
59,3325.1558,24.2151,49.1721,39000.0,532.0,0.0,469.1558,0.8223,CR
60,3367.5427,24.3687,49.1997,39025.0,532.0,0.0,471.6382,0.828,CR
61,3406.7035,24.5091,49.2246,39000.0,529.0,0.0,467.5678,0.8151,CR
62,3448.3869,24.6583,49.251,39000.0,531.0,0.0,470.0,0.82,CR
63,3487.9497,24.8022,49.2762,39000.0,527.0101,0.0,472.0,0.82,CR
64,3526.3719,24.9407,49.3002,38985.1759,525.0,-222.3618,472.0,0.82,CR
65,3564.7839,25.0766,49.3236,39000.0,521.0,0.0,478.0,0.832,CR
66,3602.995,25.2128,49.3469,39000.0,516.0,0.0,484.0,0.844,CR
67,3641.206,25.3454,49.3694,39000.0,503.0,0.0,468.804,0.8216,CR
68,3680.0151,25.4797,49.392,39000.0,503.0,0.0,468.0101,0.82,CR
69,3717.8241,25.6114,49.4139,39000.0,509.608,0.0,474.0,0.832,CR
70,3755.2663,25.7413,49.4354,39000.0,506.0,0.0,469.5779,0.82,CR
71,3795.0704,25.8803,49.4581,39000.0,506.0,0.0,464.0,0.816,CR
72,3833.6683,26.0138,49.4799,39000.0,506.5829,0.0,467.1658,0.82,CR
73,3872.0804,26.1487,49.5017,39000.0,508.0,0.0,466.0,0.82,CR
74,3910.4925,26.2833,49.5234,39000.0,510.0,0.0,464.0,0.8145,CR
75,3948.6784,26.4172,49.5447,39000.0,512.0,0.0,460.9045,0.812,CR
76,3986.4874,26.5523,49.566,39000.0,516.0,0.0,469.6583,0.8266,CR
77,4025.2965,26.6906,49.5875,39000.0,517.4322,0.0,464.8643,0.82,CR
78,4064.1407,26.829,49.609,39000.0,521.0,0.0,471.8593,0.8279,CR
79,4101.9146,26.9673,49.6303,39000.0,521.3618,0.0,474.0,0.8334,CR
80,4140.9648,27.1075,49.6517,39000.0,520.0,0.0,473.5176,0.835,CR
81,4178.5327,27.2408,49.6718,39000.0,520.0,0.0,468.0,0.824,CR
82,4217.7889,27.3853,49.6934,39000.0,521.0,0.0,470.0,0.832,CR
83,4255.201,27.5219,49.7136,39000.0,522.0,0.0,466.0,0.82,CR
84,4293.9598,27.6606,49.7341,39000.0,525.6533,0.0,468.0,0.82,CR
85,4333.0251,27.8025,49.7568,39000.0,524.7437,0.0,473.4874,0.831,CR
86,4371.4372,27.9294,49.7994,39000.0,515.2814,0.0,474.0,0.832,CR
87,4409.3869,28.0428,49.8526,39000.0,512.5377,0.0,477.0754,0.836,CR
88,4448.196,28.1569,49.9063,39000.0,510.0653,0.0,469.8693,0.8275,CR
89,4486.3417,28.2691,49.9589,39000.0,511.0,0.0,470.0,0.824,CR
90,4525.0854,28.3837,50.0123,39000.0,512.0,0.0,472.0,0.828,CR
91,4563.4975,28.4988,50.0656,39000.0,513.0,0.0,470.0,0.8275,CR
92,4600.9548,28.6112,50.1176,39000.0,513.0,0.0,471.0452,0.828,CR
93,4640.3216,28.7298,50.172,39000.0,513.0,0.0,470.0,0.828,CR
94,4678.7337,28.8442,50.2243,39000.0,513.0,0.0,470.0,0.824,CR
95,4717.1457,28.961,50.2775,39000.0,514.2864,0.0,470.0,0.824,CR
96,4755.5578,29.0762,50.3298,39000.0,514.0,0.0,470.0,0.828,CR
97,4793.4774,29.1932,50.3826,39000.0,516.0,0.0,472.0,0.83,CR
98,4832.3819,29.3107,50.4354,39000.0,513.0,0.0,472.0,0.828,CR
99,4870.794,29.4262,50.4872,39000.0,512.0,0.0,470.0,0.828,CR
100,4909.206,29.5431,50.5393,39000.0,512.0,0.0,468.0,0.824,CR
101,4947.6181,29.6609,50.5915,39000.0,512.0,0.0,472.0,0.828,CR
102,4986.0302,29.7782,50.6434,39000.0,512.0,0.0,470.0,0.828,CR
103,5024.4422,29.896,50.695,39000.0,511.0,0.0,470.0,0.828,CR
104,5062.2814,30.0108,50.7454,39000.0,510.2864,0.0,470.0,0.828,CR
105,5100.5829,30.1293,50.797,39000.0,510.0,0.0,470.0,0.828,CR
106,5138.598,30.2453,50.8473,39000.0,510.0,0.0,472.0,0.828,CR
107,5178.0905,30.3667,50.8998,39000.0,509.0,0.0,472.0,0.832,CR
108,5217.5025,30.488,50.9519,39000.0,507.1256,0.0,470.0,0.828,CR
109,5256.3719,30.6063,51.0025,39000.0,508.0,0.0,472.0,0.8309,CR
110,5295.3266,30.7266,51.0537,39000.0,506.0,0.0,470.0,0.828,CR
111,5333.6734,30.845,51.1039,39000.0,506.0,0.0,470.0,0.828,CR
112,5371.6131,30.9616,51.1531,39000.0,507.0,0.0,470.0,0.8262,CR
113,5408.8442,31.077,51.2015,39000.0,508.0,0.0,472.0,0.828,CR
114,5448.4623,31.2004,51.2531,39000.0,506.0,0.0,474.0,0.832,CR
115,5487.3869,31.3216,51.3036,39000.0,504.0,0.0,472.0,0.832,CR
116,5525.799,31.4411,51.3533,39000.0,502.0,0.0,470.1005,0.828,CR
117,5564.2111,31.5588,51.4018,39000.0,502.0,0.0,470.0,0.828,CR
118,5601.7789,31.6747,51.4493,39000.0,501.8442,0.0,468.0,0.824,CR
119,5641.0352,31.7967,51.4991,39000.0,502.0,0.0,468.0,0.824,CR
120,5679.0854,31.9163,51.5477,39000.0,503.0,0.0,470.0,0.828,CR
121,5717.8593,32.0377,51.5969,39000.0,503.0,0.0,468.0,0.824,CR
122,5756.2714,32.1574,51.6451,39000.0,504.0,0.0,468.0,0.824,CR
123,5793.8543,32.2758,51.6926,39000.0,505.0,0.0,466.3417,0.82,CR
124,5832.0955,32.3968,51.741,39000.0,507.0,0.0,469.5477,0.8271,CR
125,5870.8844,32.5217,51.7906,39000.0,507.6231,0.0,470.0,0.828,CR
126,5909.9196,32.6452,51.8394,39000.0,507.0,0.0,470.0,0.828,CR
127,5948.3317,32.7669,51.8872,39000.0,506.0,0.0,468.0,0.824,CR
128,5986.7437,32.8901,51.9355,39000.0,507.0,0.0,468.0,0.8247,CR
129,6025.1558,33.0134,51.9836,39000.0,508.0,0.0,469.5779,0.8272,CR
130,6063.5678,33.1382,52.0319,39000.0,507.392,0.0,468.0,0.8264,CR
131,6100.9799,33.2568,52.0777,39000.0,508.0,0.0,468.0,0.824,CR
132,6140.392,33.3852,52.1271,39000.0,508.0,0.0,469.196,0.824,CR
133,6178.804,33.5099,52.1747,39000.0,508.0,0.0,470.0,0.828,CR
134,6216.4121,33.6319,52.221,39000.0,507.0,0.0,470.0,0.828,CR
135,6255.2211,33.7574,52.2686,39000.0,508.0,0.0,466.0,0.82,CR
136,6294.0402,33.8813,52.3195,39000.0,504.0101,0.0,466.0,0.82,CR
