,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,16.5578,48.115,975.0,157.0,191.1765,0.0,0.0,LVL
1,61.0352,16.6244,48.098,3942.8392,196.0704,2080.402,194.7136,0.2907,CL
2,142.4975,16.7245,48.1518,8099.8744,255.4271,3000.0,250.0,0.3829,CL
3,183.1407,16.7308,48.2037,9957.9146,288.0352,3592.0854,290.2111,0.4403,CL
4,232.5678,16.7379,48.2701,12692.7136,297.4271,2571.8593,300.8543,0.4617,CL
5,263.392,16.7426,48.3137,14044.598,310.392,2771.9849,314.0,0.484,CL
6,301.2111,16.7487,48.3679,15912.3116,316.0704,2570.3518,320.1407,0.4963,CL
7,334.4874,16.7543,48.418,17474.3719,323.4975,3001.7268,329.4975,0.517,CL
8,372.1006,16.7606,48.4741,19228.392,326.1415,2747.697,143.5176,0.2255,CL
9,401.1574,16.7656,48.5194,20402.6382,334.0911,2342.2744,311.2764,0.4902,CL
10,435.8597,16.7714,48.5717,21847.9899,335.325,2151.8778,76.0603,0.1201,CL
11,471.8492,16.7775,48.6287,23082.7889,349.4623,1942.2111,360.9246,0.576,CL
12,519.4221,16.8005,48.7058,24742.5879,365.1407,2285.1759,372.0,0.596,CL
13,553.2764,16.842,48.7574,26022.8643,373.6382,2317.8392,376.0,0.604,CL
14,588.4925,16.9035,48.8027,27124.7487,384.0,1899.4975,382.995,0.624,CL
15,631.3518,16.9868,48.8569,28463.191,391.0,1985.1041,388.0,0.636,CL
16,661.1256,17.0451,48.8943,29667.2111,386.1457,2140.7035,386.0,0.6326,CL
17,697.1307,17.1142,48.9387,30891.5829,383.5327,1980.1508,385.0653,0.6381,CL
18,743.0553,17.2039,48.9963,32115.8291,388.0,1373.3668,390.4221,0.652,CL
19,778.9145,17.2656,49.0461,32822.2362,391.0611,1804.4267,354.0,0.5906,CL
20,816.4389,17.3202,49.1034,33575.0,393.4747,432.1608,178.0503,0.2991,CL
21,843.3151,17.3598,49.145,34093.4673,398.2746,311.0725,102.9246,0.1743,CL
22,868.924,17.3984,49.1854,34598.1156,399.1011,1466.5246,392.0402,0.6657,CL
23,895.836,17.4388,49.2276,35055.1508,402.3251,980.1351,169.1156,0.2874,CL
24,924.7041,17.4824,49.2731,35539.0704,403.8975,861.4006,120.4422,0.206,CL
25,953.8392,17.5265,49.3191,36022.9899,405.0,765.0754,430.0,0.736,CL
26,985.191,17.5744,49.369,36572.8643,403.0,981.407,430.7236,0.744,CL
27,1025.8995,17.6367,49.4334,36990.8291,407.3166,158.2915,436.6332,0.756,CR
28,1063.9253,17.6949,49.4935,37000.0,403.8833,0.0,2.201,0.0038,CR
29,1113.0201,17.7711,49.572,37000.0,408.0,0.0,436.0,0.752,CR
30,1151.7588,17.832,49.6345,37016.206,407.0,137.5628,436.0,0.752,CR
31,1179.1206,17.8746,49.6781,37000.0,407.0,0.0,436.0,0.752,CR
32,1209.1256,17.9209,49.7254,37000.0,405.0,0.0,434.0,0.752,CR
33,1252.1608,17.9871,49.793,37025.0,406.0,0.0,435.2261,0.752,CR
34,1286.2613,18.0405,49.847,37000.0,406.0,0.0,437.8693,0.756,CR
35,1333.6697,18.1156,49.9225,37000.0,406.1266,0.0,322.7739,0.5593,CR
36,1362.6095,18.1611,49.9681,37000.0,405.2597,0.0,250.804,0.4346,CR
37,1389.2999,18.2023,50.0092,37000.0,405.1281,0.0,390.3819,0.6764,CR
38,1425.0879,18.2599,50.0665,37000.0,405.136,0.0,339.598,0.5857,CR
39,1460.3719,18.3152,50.1214,37261.4322,407.0,983.8105,436.0,0.756,CL
40,1489.6784,18.3626,50.1683,37735.1759,405.0,2545.4423,434.0,0.752,CL
41,1527.6281,18.4225,50.2274,38250.0,404.0,209.1709,433.6281,0.752,CR
42,1572.4774,18.4932,50.2971,38887.3116,401.0,722.0477,432.0,0.756,CL
43,1611.6834,18.5552,50.3579,39408.5427,398.0,128.1407,428.0,0.7513,CL
44,1644.6985,18.6075,50.4091,39796.2312,398.0,693.4673,422.0,0.74,CL
45,1680.5829,18.6632,50.4634,40113.191,400.4724,466.2599,418.0,0.7301,CL
46,1709.2362,18.7097,50.5087,40385.3015,403.0,500.0,414.0,0.72,CL
47,1750.5377,18.7758,50.5729,40769.2211,404.8844,706.6583,412.0,0.7085,CL
48,1788.6884,18.8378,50.6327,41000.0,408.1256,0.0,416.0,0.7183,CL
49,1827.4824,18.9011,50.6933,41000.0,414.0,0.0,422.0,0.729,CR
50,1870.5176,18.9735,50.7628,41000.0,418.9196,0.0,426.0,0.736,CR
51,1909.392,19.0392,50.8256,41000.0,422.0,0.0,430.0,0.744,CR
52,1947.3819,19.104,50.8875,41000.0,424.0,0.0,432.0,0.7469,CR
53,2009.8191,19.2116,50.9897,41000.0,426.0,0.0,432.0,0.748,CR
54,2055.8995,19.2915,51.0652,40990.8291,428.3668,247.8015,432.0,0.748,CR
55,2094.8693,19.3596,51.1294,41000.0,429.0,-206.5327,432.0,0.748,CR
56,2141.9698,19.442,51.2065,41000.0,429.9899,0.0,434.0,0.752,CR
57,2184.6784,19.5178,51.2774,41000.0,429.6683,0.0,433.3367,0.7507,CR
58,2231.7337,19.6005,51.3543,41000.0,431.0,0.0,432.0,0.748,CR
59,2278.0503,19.6836,51.4314,41000.0,432.0,0.0,432.0,0.748,CR
60,2321.8141,19.7618,51.5036,41000.0,432.2965,0.0,436.0,0.752,CR
61,2368.5276,19.8454,51.5805,41000.0,432.0,0.0,436.0,0.7505,CR
62,2411.2412,19.921,51.65,41000.0,432.0,0.0,434.0,0.748,CR
63,2453.2161,19.9992,51.7213,40981.5327,432.0,-369.3467,434.0,0.748,CR
64,2491.4171,20.0675,51.7833,41025.0,432.0,174.8744,434.0,0.744,CR
65,2531.5729,20.1405,51.8493,41000.0,433.0,0.0,432.191,0.744,CR
66,2574.5477,20.2203,51.9214,41000.0,434.0,0.0,434.0,0.7471,CR
67,2623.809,20.3101,52.0022,41000.0,435.0,0.0,434.0,0.7462,CR
68,2666.2613,20.389,52.0727,41000.0,435.0,0.0,434.0,0.744,CR
69,2709.2362,20.4693,52.1443,41000.0,436.0,0.0,434.0,0.744,CR
70,2755.4121,20.5547,52.2202,41000.0,436.0,0.0,434.0,0.748,CR
71,2796.8291,20.631,52.2877,41000.0,436.1658,0.0,434.0,0.7473,CR
72,2836.6884,20.7079,52.3554,41000.0,438.0,0.0,434.0,0.744,CR
73,2876.0905,20.7818,52.4202,41000.0,438.0,0.0,433.0452,0.744,CR
74,2919.804,20.8643,52.4924,41000.0,439.0,0.0,434.0,0.744,CR
75,2961.6382,20.9444,52.5622,41000.0,440.0,0.0,434.0,0.744,CR
76,3005.2312,21.0285,52.6352,41000.0,440.0,0.0,434.0,0.748,CR
77,3042.9447,21.1008,52.6976,41000.0,441.0,0.0,434.0,0.748,CR
78,3086.6583,21.1858,52.7706,41000.0,441.0,0.0,436.0,0.7517,CR
79,3124.7789,21.2589,52.8333,41000.0,440.0,0.0,438.0,0.752,CR
80,3167.2714,21.3419,52.9041,41000.0,439.0,0.0,436.0,0.748,CR
81,3216.8492,21.4371,52.9852,41000.0,438.0,0.0,437.8995,0.7518,CR
82,3272.8844,21.546,53.0775,41000.0,437.3719,0.0,434.0,0.744,CR
83,3314.5327,21.6277,53.1462,41000.0,437.3065,0.0,434.0,0.744,CR
