,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,16.5698,48.1182,0.0,0.0,0.0,0.0,0.0,GND
1,132.0162,16.5698,48.1182,0.0,0.0,0.0,0.0,0.0,GND
2,196.0472,16.5698,48.1182,0.0,0.0,0.0,0.0,0.0,GND
3,231.7757,16.5698,48.1182,0.0,0.0,0.0,0.0,0.0,GND
4,263.5247,16.5699,48.1183,0.0,0.4372,0.0,0.0,0.0,GND
5,302.7978,16.5703,48.1189,0.0,1.7035,0.0,0.0,0.0,GND
6,504.1613,16.5704,48.1189,0.0,0.0,0.0,0.0,0.0,GND
7,653.5008,16.5735,48.1181,0.0,0.0,0.0,0.0,0.0,GND
8,717.9724,16.5759,48.1154,0.0,4.0804,0.0,0.0,0.0,GND
9,764.1558,16.5768,48.1125,0.0,9.0,0.0,0.0,0.0,GND
10,798.9594,16.576,48.1113,0.0,0.0,0.0,0.0,0.0,GND
11,831.7193,16.5764,48.1103,0.0,0.0,0.0,0.0,0.0,GND
12,872.4681,16.5763,48.1102,0.0,1.3116,0.0,0.0,0.0,GND
13,909.6846,16.5756,48.1093,0.0,2.2111,0.0,0.0,0.0,GND
14,944.3717,16.5736,48.1097,0.0,0.0,0.0,0.0,0.0,GND
15,998.7576,16.5325,48.1226,1701.8844,154.7802,907.6103,49.809,0.0771,CL
16,1066.5136,16.4825,48.0891,4256.1558,175.0734,765.0754,96.7638,0.1399,CL
17,1137.2161,16.4831,48.0128,6067.3367,278.3467,2434.6734,257.8191,0.4052,CL
18,1214.4256,16.5573,47.9471,10477.2613,260.7253,1103.382,42.3719,0.0673,CL
19,1263.6633,16.6528,47.9585,12200.0,289.6286,1394.4724,160.6432,0.2544,CL
20,1324.9146,16.7861,47.9633,14191.0804,327.1859,2104.1233,310.3719,0.4978,CL
21,1376.0905,16.906,47.9693,16027.2613,347.0452,2238.6935,318.1508,0.5123,CL
22,1438.7136,17.0624,47.976,17890.4523,376.3015,2844.1673,348.603,0.568,CL
23,1503.5384,17.2329,47.9828,19688.191,400.3666,2047.0247,219.8894,0.3598,CL
24,1541.3615,17.3348,47.9799,20734.2965,403.9402,1338.5975,0.0,0.0,CL
25,1584.0819,17.4527,47.9631,21758.0402,411.6442,1085.5054,61.7487,0.1023,CL
26,1619.3417,17.5502,47.9415,23097.3618,406.0,2355.9511,390.0,0.6498,CL
27,1656.1021,17.645,47.9207,24060.0503,412.2954,1330.0457,0.0,0.0,CL
28,1702.0201,17.773,47.8922,25200.5025,418.0,1446.02,402.0,0.68,CL
29,1740.5747,17.8786,47.8686,25975.0,426.2173,780.1508,284.3216,0.4827,CL
30,1782.1859,17.9953,47.8412,26979.6482,425.407,1468.1702,415.1859,0.7064,CL
31,1831.9028,18.1231,47.801,28093.9698,425.73,882.9789,50.6533,0.0868,CL
32,1874.1696,18.2379,47.7654,28975.0,431.1994,1042.7136,355.3568,0.6106,CL
33,1908.0316,18.3129,47.7245,29375.0,417.0186,410.804,234.4322,0.4053,CL
34,1945.5769,18.3926,47.675,29875.0,430.4905,293.9698,113.407,0.1965,CL
35,1982.0754,18.4764,47.6258,30726.8844,431.0,5794.8217,433.9497,0.7519,CL
36,2018.8764,18.5564,47.5785,31615.5779,428.2139,1937.4453,294.6533,0.5122,CL
37,2052.392,18.6298,47.5346,32164.9497,431.5875,836.7552,171.2563,0.2975,CL
38,2092.4908,18.7192,47.4809,32744.2211,437.8886,669.0277,374.995,0.6545,CL
39,2122.6684,18.7856,47.4408,32975.0,446.732,0.0,73.1256,0.1271,CR
40,2164.749,18.8828,47.3825,33000.0,451.6301,0.0,197.5477,0.3421,CR
41,2200.99,18.9679,47.3311,33000.0,447.8931,0.0,318.3116,0.5504,CR
42,2240.1324,19.0577,47.2762,33000.0,450.9963,0.0,415.0955,0.7216,CR
43,2280.4732,19.146,47.2222,33000.0,450.1502,0.0,136.1307,0.2355,CR
44,2316.4369,19.2271,47.1728,33000.0,449.1631,0.0,0.0,0.0,CR
45,2359.939,19.3256,47.1124,33000.0,447.3231,0.0,47.3166,0.0823,CR
46,2394.595,19.4056,47.0631,33000.0,446.1238,0.0,351.0754,0.6098,CR
47,2427.2782,19.4773,47.0187,32975.0,446.0242,0.0,196.9447,0.3421,CR
48,2459.7846,19.5494,46.9741,32956.2814,446.0336,-301.994,107.0352,0.1859,CR
49,2496.0797,19.6332,46.9221,33000.0,445.029,723.6181,416.804,0.7217,CL
50,2530.9131,19.7069,46.8762,33025.0,444.2242,0.0,0.0,0.0,CR
51,2562.2301,19.7775,46.8322,33025.0,442.981,0.0,167.7588,0.2916,CR
52,2596.9019,19.8559,46.7832,33000.0,442.9967,0.0,382.8342,0.6619,CR
53,2632.106,19.932,46.7353,33000.0,442.9943,0.0,347.2965,0.6029,CR
54,2665.9711,20.0059,46.6885,32975.0,442.9854,0.0,226.9146,0.392,DE
55,2697.8308,20.0763,46.6441,32981.1558,443.1546,-1560.1477,322.6131,0.5578,DE
56,2733.9055,20.153,46.5955,33000.0,444.3158,0.0,17.3668,0.0301,CR
57,2768.0923,20.2309,46.5464,33050.0,442.9898,0.0,292.2412,0.5064,CR
58,2807.5672,20.3162,46.4919,33050.0,439.9584,0.0,263.6181,0.4586,CR
59,2842.9186,20.3902,46.4444,33025.0,438.5165,0.0,43.2161,0.0748,CR
60,2888.7437,20.4909,46.3801,32995.3518,435.0,-69.7236,426.3719,0.7407,CR
61,2928.2584,20.5728,46.3268,32950.0,432.4069,0.0,221.608,0.3841,CR
62,2962.1974,20.6423,46.28,32950.0,432.4868,0.0,102.7538,0.1785,CR
63,2999.2102,20.7186,46.2287,32975.0,434.1716,0.0,19.2663,0.0335,CR
64,3030.6633,20.7871,46.183,32975.0,436.0,0.0,428.0,0.74,CR
65,3063.6876,20.8534,46.1387,33000.0,437.2879,0.0,0.0,0.0,CR
66,3095.7934,20.923,46.0919,33025.0,438.0338,0.0,390.7538,0.6766,CR
67,3130.549,20.9956,46.0431,33050.0,438.0677,0.0,351.1256,0.6084,CR
68,3162.2611,21.0606,45.999,33050.0,437.6466,0.0,224.7236,0.3909,CR
69,3196.8191,21.135,45.9487,33000.0,437.0,0.0,428.0,0.744,CR
70,3229.0648,21.2017,45.9031,32975.0,436.9908,0.0,406.4925,0.7028,CR
71,3260.8653,21.2648,45.8601,32975.0,437.4612,0.0,143.4271,0.2491,CR
72,3292.5633,21.3315,45.8146,32975.0,438.1336,0.0,265.4472,0.4611,CR
73,3325.9682,21.4016,45.7665,32975.0,438.0321,0.0,389.2864,0.6767,CR
74,3369.2495,21.4906,45.7056,33000.0,439.0027,0.0,345.7286,0.5982,CR
75,3407.4057,21.5685,45.6521,33050.0,436.0758,0.0,223.598,0.3892,CR
76,3444.1684,21.643,45.6008,33050.0,434.645,0.0,98.9347,0.172,CR
77,3479.0076,21.7131,45.5523,33000.0,433.9069,0.0,23.5477,0.0409,CR
78,3522.3668,21.8045,45.4888,32975.0,433.0,0.0,430.0,0.7454,CR
79,3555.429,21.8687,45.444,33000.0,431.989,0.0,159.8995,0.2782,CR
80,3584.9359,21.93,45.4011,33000.0,431.0276,0.0,391.4372,0.6804,CR
81,3619.1024,21.9961,45.3549,32975.0,430.556,0.0,86.0302,0.1487,CR
82,3653.2911,22.0654,45.3064,32975.0,431.1657,0.0,207.6482,0.3607,CR
83,3683.6362,22.1268,45.2632,32975.0,432.1451,0.0,328.1206,0.5696,CR
84,3722.6346,22.2034,45.2091,32975.0,434.7883,0.0,25.6884,0.0446,CR
85,3755.6479,22.2711,45.1614,33000.0,436.1027,0.0,148.402,0.258,CR
86,3794.7957,22.3495,45.1059,33025.0,437.4402,0.0,157.005,0.2729,CR
87,3826.9196,22.4134,45.0603,33025.0,437.559,0.0,34.4121,0.0598,CR
88,3857.8263,22.4754,45.0162,33025.0,437.6953,0.0,0.0,0.0,CR
89,3897.9548,22.5592,44.9563,33000.0,438.4925,0.0,426.0,0.74,CR
90,3936.3367,22.6359,44.9015,33000.0,439.0,0.0,426.0,0.74,CR
91,3976.392,22.7172,44.8431,33025.0,441.0,0.0,427.8693,0.74,CR
92,4019.0387,22.8016,44.7822,33000.0,441.3061,0.0,277.4472,0.4797,CR
93,4055.9146,22.8772,44.7275,33000.0,442.3618,0.0,428.0,0.7426,CR
94,4093.9482,22.9534,44.6724,33025.0,443.0142,0.0,397.5879,0.6879,CR
95,4125.981,23.0185,44.6251,33025.0,444.0142,0.0,339.2462,0.587,CR
96,4164.2293,23.0945,44.5696,33025.0,444.0335,0.0,216.0804,0.3739,CR
