,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,16.5734,48.1154,0.0,0.0,0.0,0.0,0.0,GND
1,88.2784,16.5734,48.1153,0.0,0.0,0.0,0.0,0.0,GND
2,144.1324,16.5734,48.1153,0.0,0.0,0.0,0.0,0.0,GND
3,224.2412,16.5734,48.1154,0.0,0.0,0.0,0.0,0.0,GND
4,313.2864,16.5734,48.1153,0.0,0.0,0.0,0.0,0.0,GND
5,359.2412,16.5739,48.1158,0.0,5.0,0.0,0.0,0.0,GND
6,408.098,16.5742,48.1144,0.0,0.0,0.0,0.0,0.0,GND
7,490.9907,16.5735,48.1134,0.0,0.0,0.0,0.0,0.0,GND
8,546.299,16.5722,48.1115,0.0,0.0,0.0,0.0,0.0,GND
9,588.9816,16.5708,48.1107,0.0,0.5528,0.0,0.0,0.0,GND
10,645.9648,16.5323,48.1231,961.1809,163.1608,4053.287,160.0,0.0392,CL
11,688.5226,16.4946,48.1083,1975.3769,188.407,1379.3943,58.794,0.2801,CL
12,739.1023,16.4746,48.0601,3639.8241,238.4826,1292.525,105.8291,0.1596,CL
13,788.7038,16.4859,48.0015,6221.3568,266.7698,2241.5036,52.3216,0.0802,CL
14,834.3015,16.5384,47.9589,8639.4472,285.1256,2996.8593,288.0503,0.4401,CL
15,888.7236,16.6481,47.9748,10693.0905,324.4472,1120.603,324.9648,0.505,CL
16,926.4698,16.7338,47.9897,11470.7286,361.8613,3456.5839,168.2814,0.2597,CL
17,972.756,16.848,48.0098,13367.8392,377.9219,2292.0714,122.8141,0.1921,CL
18,1002.0217,16.9217,48.0226,14472.2362,386.8091,942.2494,41.7889,0.0654,CL
19,1040.7146,17.0229,48.0401,15985.5528,394.4715,1299.0352,41.1558,0.065,CL
20,1072.6432,17.1106,48.0553,17224.1206,400.3216,2659.2473,396.0,0.632,CL
21,1100.8479,17.1852,48.0681,18253.7688,404.7765,2326.7964,214.0,0.3441,CL
22,1132.8894,17.2721,48.0829,19150.0,416.8653,474.6167,99.4774,0.1605,CL
23,1166.906,17.373,48.0999,20243.9698,425.025,3682.5607,401.5176,0.6479,CL
24,1199.671,17.4643,48.1153,21543.593,421.1218,2344.2859,338.6533,0.5503,CL
25,1240.608,17.58,48.1347,22890.201,424.0,1679.397,412.804,0.6776,CL
26,1282.5359,17.6981,48.1543,23884.5477,433.7036,-496.4962,160.402,0.2643,DE
27,1326.5025,17.8299,48.1761,25083.4171,439.8342,1917.0854,421.6683,0.6993,CL
28,1380.0503,17.9909,48.2023,26425.0,447.0,1780.7789,428.0,0.716,CL
29,1415.2235,18.095,48.2192,27244.9749,451.877,1361.3846,318.4121,0.5341,CL
30,1454.233,18.2128,48.2381,28135.3015,455.8514,1059.7804,212.2613,0.3589,CL
31,1487.244,18.3137,48.2543,28950.0,456.2599,452.2613,133.8693,0.2267,CL
32,1521.7437,18.4244,48.2719,29618.593,461.0,1457.2864,449.8291,0.7637,CL
33,1559.392,18.5398,48.2901,30234.799,467.0,1659.5265,454.0,0.7725,CL
34,1587.1245,18.628,48.304,30716.3317,470.1507,-478.3103,297.8894,0.5095,CL
35,1618.4946,18.7262,48.3193,31417.2111,468.5841,2532.0815,256.6432,0.439,CL
36,1648.3872,18.8187,48.3336,32100.0,466.7158,442.2111,99.9397,0.1725,DE
37,1676.4895,18.9066,48.3472,32625.1256,468.0175,-3025.9217,2.2714,0.0039,DE
38,1707.3035,19.0085,48.3629,33450.0,462.1107,2164.2595,356.603,0.6185,CL
39,1739.6373,19.1056,48.3777,34225.0,457.2011,670.8013,255.4975,0.4445,CL
40,1774.1807,19.2128,48.3939,34708.9196,460.2104,-2997.9054,159.1256,0.2783,DE
41,1814.5779,19.3423,48.4133,35292.9648,461.8593,859.2965,445.7186,0.78,CL
42,1850.0683,19.4519,48.4296,35875.0,460.999,924.6231,410.5327,0.7212,CL
