,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,16.5698,48.1182,0.0,0.0,0.0,0.0,0.724,GND
1,425.4824,16.5698,48.1182,0.0,0.0,0.0,0.0,0.724,GND
2,1077.7839,16.5698,48.1182,0.0,0.0,0.0,0.0,0.724,GND
3,1741.7186,16.5698,48.1182,0.0,0.0,0.0,0.0,0.724,GND
4,2097.7186,16.5725,48.1184,0.0,25.0,0.0,0.0,0.724,GND
5,2148.0804,16.5751,48.1172,0.0,29.4322,0.0,0.0,0.724,GND
6,2174.0151,16.5757,48.1156,0.0,31.1407,0.0,0.0,0.724,GND
7,2225.5075,16.577,48.1127,0.0,32.5025,0.0,0.0,0.724,GND
8,2250.4372,16.5777,48.1111,0.0,15.1457,0.0,0.0,0.724,GND
9,2272.3668,16.5783,48.1095,0.0,32.2111,0.0,0.0,0.724,GND
10,2300.2965,16.579,48.1079,0.0,32.4322,0.0,0.0,0.724,GND
11,2325.3015,16.5798,48.1061,0.0,16.0754,0.0,0.0,0.724,GND
12,2349.593,16.5806,48.1043,0.0,18.0,0.0,0.0,0.724,GND
13,2371.4472,16.5815,48.1021,0.0,23.3618,0.0,0.0,0.724,GND
14,2395.0201,16.5824,48.0999,0.0,18.995,0.0,0.0,0.724,GND
15,2416.5377,16.5831,48.0982,0.0,18.2965,0.0,0.0,0.724,GND
16,2438.7487,16.5839,48.0964,0.0,16.5829,0.0,0.0,0.724,GND
17,2460.8693,16.5847,48.0945,0.0,21.9347,0.0,0.0,0.724,GND
18,2484.1558,16.5858,48.0919,0.0,26.0,0.0,0.0,0.724,GND
19,2506.8844,16.5869,48.0893,0.0,21.5578,0.0,0.0,0.724,GND
20,2529.3216,16.5887,48.0879,0.0,20.0,0.0,0.0,0.724,GND
21,2552.0452,16.5909,48.0888,0.0,19.0,0.0,0.0,0.724,GND
22,2573.0553,16.5897,48.0926,0.0,73.6734,0.0,0.0,0.724,GND
23,2603.3216,16.5822,48.1101,1250.5025,147.6181,1786.4322,165.1156,0.3524,CL
24,2652.3116,16.5922,48.1449,3082.7889,189.8744,1359.2965,198.6231,0.3075,CL
25,2675.1608,16.604,48.1654,3558.0402,223.3216,1390.7035,232.3216,0.36,CL
26,2697.3417,16.6178,48.1884,4323.995,250.6181,2680.9045,258.8945,0.4058,CL
27,2718.4673,16.636,48.2098,5439.196,258.0,3179.0201,264.0,0.416,CL
28,2741.0603,16.6555,48.234,6703.0151,257.9899,3494.9749,268.0201,0.424,CL
