,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,16.5651,48.1182,0.0,0.0,0.0,0.0,0.0,GND
1,134.2312,16.5647,48.1173,0.0,2.1156,0.0,0.0,0.0,GND
2,180.5779,16.5646,48.1173,0.0,0.0,0.0,0.0,0.0,GND
3,263.3668,16.5646,48.1173,0.0,0.0,0.0,0.0,0.0,GND
4,349.8132,16.5638,48.1159,0.0,0.0,0.0,0.0,0.0,GND
5,395.4494,16.5666,48.115,0.0,6.3116,0.0,0.0,0.0,GND
6,430.9587,16.5689,48.1143,0.0,5.8945,0.0,0.0,0.0,GND
7,465.9187,16.5735,48.1128,0.0,19.8995,0.0,0.0,0.0,GND
8,505.3869,16.5778,48.1107,0.0,19.0,0.0,0.0,0.0,GND
9,547.0804,16.5795,48.1069,0.0,21.0,0.0,18.0,0.024,GND
10,599.3116,16.5816,48.1018,0.0,23.0,0.0,18.0,0.028,GND
11,665.5427,16.585,48.0939,0.0,29.0,0.0,28.0,0.04,GND
12,726.7739,16.5895,48.088,0.0,21.0,0.0,28.0,0.036,GND
13,814.5126,16.5825,48.1095,387.9397,160.4975,153.2663,64.6834,0.2141,LVL
14,902.8543,16.6071,48.1745,3127.2613,200.809,2380.6533,211.6181,0.324,CL
15,978.8661,16.6681,48.2438,5319.2211,256.5574,2140.8584,163.3568,0.2558,CL
16,1053.8086,16.7303,48.3259,7644.3467,271.9851,1730.6427,255.196,0.4031,CL
17,1131.4121,16.7669,48.4235,10185.3015,292.9296,1849.6253,292.8945,0.4639,CL
18,1194.1608,16.7905,48.5114,11955.0251,316.0,1773.8857,318.0,0.504,CL
19,1254.794,16.7908,48.6025,13924.7487,327.402,2500.0,331.608,0.5272,CL
20,1308.9347,16.8239,48.6817,15781.1558,337.0,4172.3256,340.0,0.544,CL
21,1378.7136,16.9047,48.7773,17667.8392,350.7136,1414.0704,348.0,0.56,CL
22,1437.8141,16.9768,48.8624,19252.1357,360.2714,1526.3819,356.0,0.576,CL
23,1499.4874,17.0578,48.9576,20116.4573,392.0,1085.4271,386.0,0.628,CL
24,1559.1608,17.139,49.0527,21329.0201,403.0,1316.0804,394.0,0.648,CL
25,1617.7236,17.2215,49.1488,22494.4724,413.9447,1188.9447,399.8894,0.66,CL
26,1683.0101,17.3164,49.2589,23750.2513,421.0,1126.8844,406.0,0.674,CL
27,1727.4221,17.3828,49.3356,24557.5377,426.0603,1474.1565,410.0,0.688,CL
28,1794.3266,17.4832,49.451,25636.809,435.2362,959.4401,416.0,0.7,CL
29,1864.0553,17.5912,49.5744,26846.9849,443.1759,1043.9698,424.0,0.5929,CL
30,1928.5373,17.6281,49.6995,28028.392,433.2557,1668.5388,322.8141,0.5488,CL
31,1993.4573,17.6226,49.8283,29664.5729,425.2915,706.2814,442.0,0.752,CL
32,2051.2462,17.6177,49.9423,30506.1558,429.1508,1443.4673,446.0,0.76,CL
33,2099.6281,17.6136,50.0377,31680.5276,420.0,1501.8667,444.0,0.756,CL
34,2145.8241,17.6098,50.1256,32745.603,410.0704,1532.7529,446.0704,0.764,CL
35,2185.7279,17.6065,50.2009,33513.0653,406.0261,1698.5846,230.995,0.3951,CL
36,2234.3216,17.6025,50.2918,34229.0201,404.0,750.0,436.0,0.748,CL
37,2282.9146,17.5986,50.3818,34790.9548,404.0,626.4948,435.2764,0.748,CL
38,2326.7104,17.5949,50.4649,35000.0,411.1935,0.0,355.3769,0.6111,CL
39,2368.6518,17.5913,50.546,35000.0,422.0233,0.0,342.2111,0.5879,CR
40,2414.7643,17.5874,50.6361,35000.0,422.0295,0.0,312.5528,0.537,CR
41,2461.6887,17.5834,50.7259,35000.0,419.146,0.0,396.4221,0.6816,CR
42,2521.9899,17.5783,50.8425,35000.0,416.0,0.0,452.0,0.776,CR
43,2582.6924,17.573,50.9587,35000.0,416.1898,0.0,6.8442,0.0118,CR
44,2645.0051,17.5677,51.0788,35000.0,414.5772,0.0,207.608,0.3567,CR
45,2693.0738,17.5635,51.1717,35000.0,415.0064,0.0,410.1709,0.7016,CR
46,2737.5595,17.5596,51.2555,35000.0,411.9957,0.0,298.8643,0.5135,CR
47,2775.8643,17.5563,51.3291,35000.0,411.0,0.0,454.0,0.78,CR
48,2819.4463,17.5526,51.4106,35000.0,409.1309,0.0,0.0,0.0,CR
49,2859.3759,17.5491,51.4859,35000.0,409.0875,0.0,150.5729,0.2587,CR
50,2900.5578,17.5456,51.5637,35000.0,408.0,0.0,454.0,0.78,CR
51,2937.2165,17.5423,51.6328,35000.0,405.0786,0.0,250.9548,0.4312,CR
52,2985.7166,17.5382,51.7227,35000.0,405.1749,0.0,2.2814,0.0039,CR
53,3030.5628,17.5343,51.8067,35000.0,402.4372,0.0,454.0,0.7817,CR
54,3082.1206,17.5298,51.9029,35000.0,397.0,0.0,454.2412,0.7805,CR
55,3143.3568,17.5246,52.0139,35000.0,394.0,0.0,454.0,0.78,CR
56,3188.575,17.5207,52.0954,35000.0,393.3056,0.0,106.7538,0.1842,CR
57,3240.1707,17.5163,52.189,35000.0,391.9938,0.0,93.5377,0.1607,CR
58,3289.5938,17.5121,52.2783,35000.0,393.0319,0.0,294.3015,0.5056,CR
59,3335.857,17.5081,52.3619,35000.0,389.1357,0.0,0.0,0.0,CR
60,3374.2852,17.5048,52.4313,35000.0,386.9712,0.0,240.7638,0.4155,CR
61,3415.0609,17.5013,52.5049,35000.0,386.9985,0.0,440.6432,0.7604,CR
62,3456.8825,17.4968,52.5784,35000.0,385.9066,0.0,189.3568,0.3253,CR
63,3502.6973,17.4881,52.6592,35000.0,383.5522,0.0,63.8794,0.1097,CR
64,3544.0907,17.4805,52.7326,35000.0,382.164,0.0,317.1156,0.5448,CR
65,3590.794,17.472,52.815,35000.0,380.0,0.0,452.5126,0.78,CR
66,3648.6172,17.4617,52.9154,35000.0,378.1095,0.0,367.9598,0.635,CR
67,3702.1156,17.452,53.0092,35000.0,378.0,0.0,450.0,0.78,CR
68,3757.6482,17.4419,53.1064,35000.0,377.0,0.0,454.0,0.784,CR
69,3802.4372,17.4337,53.1844,35000.0,374.0,0.0,450.0,0.776,CR
70,3850.0905,17.4252,53.2662,35000.0,373.0,0.0,452.0,0.78,CR
71,3885.1694,17.419,53.3255,35000.0,370.4093,0.0,179.4372,0.3096,CR
72,3930.289,17.4108,53.4024,35000.0,367.0969,0.0,377.6382,0.6512,CR
73,3965.4138,17.4046,53.4616,35000.0,367.433,0.0,126.6332,0.2195,CR
74,4001.8291,17.398,53.5234,35000.0,367.0,0.0,450.0,0.78,CR
75,4037.4563,17.3914,53.5836,35000.0,367.5026,0.0,74.9548,0.1293,CR
76,4078.375,17.3842,53.6534,35000.0,365.853,0.0,274.8342,0.4767,CR
77,4121.799,17.3763,53.727,35000.0,362.0,0.0,449.8995,0.7798,CR
78,4159.7845,17.3696,53.7892,35000.0,362.2786,0.0,221.608,0.3841,CR
79,4209.1143,17.3607,53.8718,35000.0,362.1076,0.0,422.4724,0.7328,CR
80,4251.2462,17.3532,53.9416,35000.0,357.0,0.0,448.7538,0.78,CR
81,4301.9696,17.3441,54.0252,35000.0,358.4863,0.0,81.7688,0.1418,CR
82,4339.4774,17.3375,54.0861,35000.0,342.0,0.0,436.5226,0.76,CR
83,4386.5317,17.3294,54.1602,35000.0,341.4747,0.0,129.8593,0.2253,CR
84,4424.8235,17.3227,54.2211,35000.0,339.1016,0.0,374.1709,0.6492,CR
85,4464.3927,17.316,54.2822,35400.0,336.6181,587.9397,253.9899,0.4398,CR
86,4502.7962,17.3095,54.341,35950.0,333.5285,30.1508,12.7236,0.0222,CR
87,4542.9443,17.3025,54.404,36000.0,342.374,0.0,227.9397,0.3968,CR
88,4575.3991,17.2968,54.4562,36000.0,348.0415,0.0,400.5829,0.6987,CR
89,4615.3214,17.2898,54.5194,36000.0,347.3907,0.0,155.5578,0.2712,CR
90,4654.8275,17.2934,54.5826,36000.0,347.8365,0.0,88.0402,0.1528,CR
91,4703.0704,17.3021,54.66,36000.0,345.2412,0.0,436.4824,0.7619,CR
92,4753.1608,17.3121,54.7401,36000.0,344.2377,0.0,297.9698,0.5194,CR
93,4800.6614,17.3215,54.815,36000.0,345.1067,0.0,381.2261,0.6645,CR
94,4847.6054,17.331,54.8896,36000.0,345.4824,0.0,188.4221,0.3284,CR
95,4889.3226,17.3394,54.9557,36000.0,344.7434,0.0,4.3819,0.0076,CR
96,4931.887,17.348,55.0237,36000.0,346.5194,0.0,199.8995,0.3473,CR
97,4968.177,17.3555,55.0817,36000.0,351.6997,0.0,47.2764,0.0823,CR
98,5005.0052,17.3632,55.1415,36000.0,351.5189,0.0,150.8342,0.2626,CR
99,5045.8241,17.3717,55.2075,36000.0,350.1997,0.0,348.9447,0.6075,CR
100,5081.3385,17.3791,55.2648,36000.0,348.399,0.0,348.9447,0.6075,CR
101,5120.4246,17.3872,55.3274,36000.0,346.629,0.0,150.1608,0.2613,CR
102,5154.0841,17.3942,55.3806,36000.0,345.7599,0.0,47.2764,0.0827,CR
103,5188.3009,17.4013,55.4354,36000.0,343.4777,0.0,201.7085,0.3528,CR
104,5226.0101,17.4091,55.4953,36000.0,342.0078,0.0,443.4975,0.7722,CR
105,5279.7035,17.4202,55.5796,36000.0,341.4322,0.0,446.8643,0.7823,CR
106,5329.4485,17.4305,55.6576,36000.0,340.1,0.0,389.9698,0.6785,CR
107,5375.352,17.4401,55.7302,36000.0,339.2903,0.0,304.804,0.5331,CR
108,5418.4435,17.4489,55.7967,36000.0,341.6788,0.0,108.0603,0.1891,CR
109,5463.598,17.4584,55.868,36000.0,339.0,0.0,444.0,0.776,CR
110,5506.7136,17.4674,55.9354,36000.0,341.0,0.0,446.0,0.78,CR
111,5543.7295,17.4752,55.9935,36000.0,340.7279,0.0,38.1005,0.0663,CR
112,5580.3184,17.483,56.0513,36000.0,340.4199,0.0,210.6734,0.3684,CR
113,5618.0245,17.4911,56.1112,36000.0,341.027,0.0,434.4925,0.7604,CR
114,5653.1244,17.4985,56.1661,36000.0,342.9066,0.0,263.397,0.4586,CR
115,5689.3461,17.5063,56.2234,36000.0,342.1127,0.0,381.005,0.6697,CR
116,5725.0759,17.5139,56.2796,36000.0,343.2586,0.0,313.7688,0.5487,CR
117,5762.4858,17.5221,56.339,36000.0,342.2021,0.0,329.4573,0.5762,CR
118,5799.4361,17.5313,56.3959,36000.0,336.1919,0.0,365.3166,0.6291,CR
119,5850.7538,17.5477,56.476,36000.0,336.6231,0.0,438.0,0.764,CR
120,5904.7953,17.564,56.5583,36000.0,336.9322,0.0,411.2563,0.7178,CR
121,5951.4774,17.5785,56.6314,36000.0,343.4925,0.0,444.9849,0.782,CR
122,5993.0392,17.5918,56.698,36000.0,344.9985,0.0,423.5879,0.7408,CR
123,6030.5101,17.6035,56.7565,36000.0,346.0272,0.0,272.402,0.4743,CR
124,6070.4457,17.6162,56.8204,36000.0,344.0152,0.0,373.7085,0.6507,CR
125,6102.6523,17.6263,56.8704,36000.0,346.0192,0.0,324.1809,0.0782,CR
