,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,16.5507,48.121,0.0,0.0,0.0,0.0,0.0,GND
1,17.1106,16.5507,48.121,0.0,0.0,0.0,0.0,0.0,GND
2,33.4422,16.5507,48.121,0.0,0.0,0.0,0.0,0.0,GND
3,138.3216,16.5507,48.121,0.0,0.0,0.0,0.0,0.0,GND
4,242.8442,16.5507,48.121,0.0,0.0,0.0,0.0,0.0,GND
5,397.7487,16.5507,48.121,0.0,0.0,0.0,0.0,0.0,GND
6,634.196,16.5507,48.121,0.0,0.0,0.0,0.0,0.0,GND
7,655.7739,16.5507,48.121,0.0,0.0,0.0,0.0,0.0,GND
8,732.8844,16.5507,48.121,0.0,0.0,0.0,0.0,0.0,GND
9,762.9849,16.5507,48.121,0.0,0.0,0.0,0.0,0.0,GND
10,1006.1055,16.5507,48.121,0.0,0.0,0.0,0.0,0.0,GND
11,1075.7236,16.5507,48.1209,0.0,7.0754,0.0,0.0,0.0,GND
12,1098.196,16.5505,48.1207,0.0,13.0653,0.0,0.0,0.0,GND
13,1107.9749,16.5504,48.1205,0.0,15.0,0.0,0.0,0.0,GND
14,1117.4573,16.5502,48.1203,0.0,14.1809,0.0,0.0,0.0,GND
15,1125.995,16.55,48.1203,0.0,11.6683,0.0,0.0,0.0,GND
16,1139.0151,16.5499,48.1203,0.0,0.4925,0.0,0.0,0.0,GND
17,1150.1759,16.5499,48.1203,0.0,0.0,0.0,0.0,0.0,GND
18,1173.1558,16.5499,48.1203,0.0,0.0,0.0,0.0,0.0,GND
19,1215.3015,16.5499,48.1203,0.0,0.0,0.0,0.0,0.0,GND
20,1253.9598,16.5499,48.1203,0.0,0.0,0.0,0.0,0.0,GND
21,1281.0503,16.5503,48.1202,0.0,19.1859,0.0,0.0,0.0,GND
22,1291.4322,16.5509,48.12,0.0,24.8543,0.0,0.0,0.0,GND
23,1304.8342,16.5517,48.1198,0.0,28.7085,0.0,0.0,0.0,GND
24,1315.392,16.5527,48.1194,0.0,16.0,0.0,0.0,0.0,GND
25,1324.3166,16.5535,48.1192,0.0,17.0,0.0,0.0,0.0,GND
26,1330.9749,16.5544,48.1189,0.0,17.0,0.0,0.0,0.0,GND
27,1342.191,16.5555,48.1186,0.0,16.0,0.0,0.0,0.0,GND
28,1351.4573,16.5564,48.1183,0.0,16.0,0.0,0.0,0.0,GND
29,1362.6884,16.5575,48.118,0.0,15.0,0.0,0.0,0.0,GND
30,1374.3266,16.5585,48.1176,0.0,27.603,0.0,0.0,0.0,GND
31,1392.3417,16.5601,48.1171,0.0,18.0854,0.0,0.0,0.0,GND
32,1403.0302,16.5616,48.1166,0.0,20.0,0.0,0.0,0.0,GND
33,1413.5779,16.5628,48.1163,0.0,20.0704,0.0,0.0,0.0,GND
34,1450.7035,16.5669,48.1149,0.0,16.0,0.0,0.0,0.0,GND
35,1476.3819,16.5693,48.1142,0.0,27.3819,0.0,0.0,0.0,GND
36,2030.5477,16.5725,48.1165,0.0,21.3719,0.0,0.0,0.0,GND
37,2057.8543,16.5745,48.1158,0.0,22.2563,0.0,0.0,0.0,GND
38,2074.3618,16.5759,48.1151,0.0,33.9598,0.0,0.0,0.0,GND
39,2096.3116,16.5765,48.1139,0.0,33.0,0.0,0.0,0.0,GND
40,2104.6533,16.5767,48.1133,0.0,33.0,0.0,0.0,0.0,GND
41,2120.2261,16.5767,48.1124,0.0,27.6935,0.0,0.0,0.0,GND
42,2133.1859,16.5762,48.1119,0.0,26.7286,0.0,0.0,0.0,GND
43,2143.9045,16.576,48.1113,0.0,28.1508,0.0,0.0,0.0,GND
44,2157.1457,16.5765,48.1107,0.0,27.8543,0.0,0.0,0.0,GND
45,2173.9799,16.5763,48.1102,0.0,2.0603,0.0,0.0,0.0,GND
46,2184.2513,16.5763,48.1102,0.0,0.0,0.0,0.0,0.0,GND
47,2193.6784,16.5763,48.1102,0.0,0.0,0.0,0.0,0.0,GND
48,2200.5678,16.5763,48.1102,0.0,0.0,0.0,0.0,0.0,GND
49,2214.4673,16.5763,48.1102,0.0,0.0,0.0,0.0,0.0,GND
50,2227.3166,16.5763,48.1102,0.0,0.0,0.0,0.0,0.0,GND
51,2243.1106,16.5763,48.1102,0.0,0.0,0.0,0.0,0.0,GND
52,2255.6985,16.5763,48.1102,0.0,0.0,0.0,0.0,0.0,GND
53,2266.4874,16.5763,48.1102,0.0,0.0,0.0,0.0,0.0,GND
54,2282.1457,16.5763,48.1102,0.0,0.0,0.0,0.0,0.0,GND
55,2300.0804,16.5763,48.1102,0.0,4.1608,0.0,0.0,0.0,GND
56,2313.6382,16.5761,48.1099,0.0,19.6382,0.0,0.0,0.0,GND
57,2324.1809,16.5758,48.1095,0.0,25.0603,0.0,0.0,0.0,GND
58,2334.3769,16.5755,48.1092,0.0,21.5528,0.0,0.0,0.0,GND
59,2340.809,16.5752,48.1092,0.0,19.0,0.0,0.0,0.0,GND
60,2352.9799,16.5747,48.1093,0.0,18.3266,0.0,0.0,0.0,GND
61,2361.4975,16.5739,48.1096,0.0,23.4925,0.0,0.0,0.0,GND
62,2370.6834,16.5709,48.1106,0.0,68.9296,0.0,0.0,0.0,GND
63,2381.3719,16.5648,48.1126,0.0,113.8945,0.0,0.0,0.0,GND
64,2678.5578,16.2158,47.8982,10644.598,330.3317,940.9417,216.0,0.5125,CL
65,2787.1859,16.0156,47.7776,14801.5075,368.0,2268.8442,360.0,0.5777,CL
66,2823.1859,15.9472,47.7363,16190.9548,372.5779,2327.6382,369.1558,0.5943,CL
67,2847.6884,15.8987,47.709,17124.2462,377.5628,2001.5075,374.0,0.6011,CL
68,2877.2563,15.8274,47.6893,18179.5226,383.0,2184.0452,379.407,0.612,CL
69,2975.206,15.5749,47.63,20889.5729,401.5276,1347.4226,394.5327,0.6496,CL
70,3270.191,14.766,47.4382,28277.3869,441.0,976.1307,440.0,0.748,CL
71,3291.7588,14.7039,47.4231,28695.4774,442.9397,1128.7688,441.9397,0.7519,CL
72,3302.7035,14.6717,47.4153,28903.392,444.392,1760.0503,442.7839,0.7536,CL
73,3320.0704,14.6274,47.4045,29100.0,446.8141,139.4472,445.6281,0.7633,CL
74,3343.7085,14.5553,47.3868,29205.9045,457.0,118.0905,456.0,0.78,CL
75,3365.9749,14.4884,47.3705,29391.4573,463.0,500.0,460.0,0.788,CL
76,3376.2412,14.4565,47.3626,29504.0201,465.0,908.0402,462.0,0.788,CL
77,3385.5126,14.4335,47.3571,29662.8141,465.0,1126.8844,462.0,0.792,CL
78,3393.7739,14.4043,47.3499,29846.2312,465.0,1037.6884,462.0,0.7883,CL
79,3403.3467,14.3768,47.3432,30033.6683,464.0,1173.3668,460.0,0.788,CL
80,3414.0754,14.3436,47.335,30194.2211,464.7688,535.9835,458.0,0.788,CL
81,3424.5729,14.3126,47.3273,30334.5477,467.0,919.0955,460.0,0.792,CL
82,3434.0653,14.2882,47.3213,30486.3065,467.0,1025.8794,460.0,0.792,CL
83,3442.2462,14.2597,47.3142,30653.5176,467.0,1115.5779,460.0,0.7881,CL
84,3453.3719,14.2298,47.3069,30822.8643,467.0,1000.0,457.0854,0.7862,CL
85,3463.7588,14.1987,47.2991,30921.9849,468.8794,711.2347,456.0,0.788,CL
86,3473.9045,14.1676,47.2913,31040.0754,470.3015,750.5384,458.0,0.7908,CL
87,3483.3417,14.14,47.2845,31190.4523,471.0,1042.7136,458.0,0.792,CL
88,3491.0201,14.1143,47.2781,31343.2161,471.0,1010.4092,457.7085,0.7914,CL
89,3501.2714,14.0849,47.2708,31528.392,471.0,1074.1206,458.8643,0.792,CL
90,3510.9698,14.0541,47.2631,31724.4975,470.0,1005.0251,457.9799,0.792,CL
91,3816.5327,13.1674,47.0374,36741.206,454.0,730.0208,442.0,0.784,CL
92,3830.3367,13.1291,47.0274,36870.8543,454.8342,437.1859,442.0,0.7913,CL
93,3839.5126,13.1033,47.0206,36950.0,455.0,371.8593,446.5126,0.796,CL
94,3850.7136,13.0706,47.0121,36975.0,456.0,68.916,449.3568,0.796,CR
95,3860.3065,13.0402,47.0041,36975.0,455.6985,0.0,448.0,0.792,CR
96,3876.6131,12.9952,46.9923,37000.0,452.4774,358.0402,448.0,0.792,CR
97,3889.7236,12.9612,46.9835,37000.0,452.0,0.0,446.1106,0.792,CR
98,3900.7337,12.9273,46.9745,37000.0,449.3668,0.0,444.7337,0.7865,CR
99,3910.1558,12.9009,46.9675,37000.0,449.2111,0.0,443.5779,0.784,CR
100,3951.6884,12.7885,46.9381,37000.0,447.0,0.0,442.0,0.784,CR
101,3962.1658,12.7581,46.93,37000.0,449.0,0.0,442.0,0.7855,CR
102,3971.2211,12.73,46.9225,36975.0,450.0,0.0,442.0,0.788,CR
103,3992.4322,12.6667,46.9058,37000.0,450.0,48.995,442.9548,0.788,CR
104,4003.4975,12.6373,46.898,37000.0,450.8995,0.0,443.799,0.7844,CR
105,4034.2513,12.5509,46.875,37000.0,451.3216,0.0,442.0,0.7853,CR
106,4377.5176,11.7137,46.4816,36968.593,444.2312,27.6786,446.9749,0.7899,CR
107,4396.6633,11.6675,46.4575,37000.0,445.0,0.0,448.0,0.788,CR
108,4425.7638,11.6,46.4222,37025.0,444.4121,25.7538,450.0,0.792,CR
109,4436.0302,11.5751,46.409,37025.0,445.0,0.0,448.0201,0.792,CR
110,4460.7286,11.5162,46.378,37025.0,445.0,0.0,448.8643,0.792,CR
111,4479.1055,11.4726,46.355,37025.0,445.0,0.0,448.0,0.7886,CR
112,4487.9347,11.4512,46.3436,37000.0,445.0,-542.7136,448.0,0.792,CR
113,4500.8894,11.4191,46.3268,37000.0,444.3015,0.0,448.0,0.7908,CR
114,4513.1206,11.3976,46.3152,37000.0,444.0,0.0,448.0,0.792,CR
115,4521.1709,11.3752,46.3034,37000.0,444.0,0.0,448.9146,0.792,CR
116,4531.8241,11.3492,46.2897,37000.0,443.0352,0.0,449.9296,0.792,CR
117,4541.0955,11.3296,46.2793,37015.3266,442.3869,157.3492,449.2261,0.792,CR
118,4549.6181,11.307,46.2672,37020.2261,443.0,606.7839,448.0,0.788,CR
119,4567.9246,11.2627,46.2437,37000.0,442.0,0.0,448.0,0.7911,CR
120,4581.3065,11.2357,46.2293,37000.0,441.6533,0.0,448.0,0.7854,CR
121,4596.4523,11.1959,46.2081,36975.0,441.9246,-154.1039,448.0,0.792,CR
122,4611.9849,11.1604,46.1892,37000.0,441.0,107.6813,448.0,0.788,CR
123,4913.191,10.4639,45.8087,37000.0,441.9196,0.0,449.8392,0.7883,CR
124,4964.1005,10.3473,45.7442,36975.0,443.0,-54.8576,449.3166,0.788,CR
125,4977.2915,10.3167,45.727,36975.0,442.0,0.0,450.0,0.788,CR
126,4990.2312,10.2887,45.7113,36975.0,442.0,0.0,449.6281,0.7873,CR
127,5006.0402,10.2522,45.6907,36975.0,442.608,0.0,450.0,0.788,CR
128,5038.1809,10.1787,45.6495,36975.0,443.0,0.0,448.0,0.784,CR
129,5047.9045,10.155,45.6362,36975.0,443.0,0.0,450.0,0.7898,CR
130,5059.6231,10.1306,45.6225,36975.0,443.0,0.0,452.0,0.7885,CR
131,5071.8894,10.1006,45.6056,37000.0,443.0,0.0,452.0,0.7908,CR
132,5082.8744,10.0768,45.5923,37000.0,443.0,0.0,450.5628,0.792,CR
133,5094.6884,10.0513,45.5779,37000.0,443.0,0.0,451.7186,0.7886,CR
134,5109.2513,10.0174,45.5587,37000.0,442.5628,0.0,452.0,0.792,CR
135,5119.9397,9.9931,45.545,37000.0,442.0,0.0,452.0,0.792,CR
136,5165.8141,9.8891,45.4858,36975.0,441.593,-21.1773,450.0,0.7896,CR
137,5175.1457,9.8661,45.4727,36975.0,440.1709,0.0,450.0,0.788,CR
138,5516.7538,9.1005,45.0309,37018.7186,447.0,-69.4724,448.0,0.784,CR
139,5538.7136,9.0523,45.0028,36983.1658,447.3266,-144.2929,448.6533,0.788,CR
140,5547.1457,9.0319,44.9908,36997.6131,447.0955,440.3266,450.0,0.7876,CR
141,5567.0704,8.988,44.965,36975.0,448.0,0.0,450.0,0.7861,CR
142,5578.8191,8.9594,44.9481,36975.0,448.9397,0.0,450.1206,0.788,CR
143,5589.7236,8.9375,44.9353,36975.0,449.0,0.0,450.0,0.788,CR
144,5598.9196,8.9162,44.9227,36994.598,448.7839,235.1759,451.5678,0.788,CR
145,5607.4422,8.8952,44.9103,36994.8492,449.0,-44.1493,452.0,0.792,CR
146,5620.5126,8.868,44.8942,37000.0,449.0,111.5578,452.0,0.792,CR
147,5628.3015,8.8498,44.8836,37000.0,448.0503,0.0,454.0,0.792,CR
148,5639.3618,8.8262,44.8698,37011.809,449.0,141.7085,454.0,0.7941,CR
149,5648.4724,8.8042,44.8571,37000.0,448.1055,-79.1457,454.0,0.792,CR
150,5656.6332,8.7828,44.8444,37025.0,448.0,512.5628,454.0,0.792,CR
