,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,16.5739,48.114,0.0,29.0,-0.1131,84.0,0.14,GND
1,80.7085,16.5752,48.1168,0.0,16.7638,0.0,84.0,0.14,GND
2,100.2513,16.575,48.1181,0.0,29.0553,0.0,84.0,0.14,GND
3,270.9146,16.5775,48.1185,0.0,18.2965,0.0,84.0,0.14,GND
4,392.8392,16.5836,48.1071,0.0,135.4673,0.0,84.0,0.14,LVL
5,423.4472,16.5916,48.0871,1392.8392,147.4573,2556.5327,166.7236,0.14,CL
6,443.6683,16.597,48.0738,2327.1357,137.8342,2530.7789,168.0,0.252,CL
7,483.3065,16.5848,48.0478,3198.995,185.6131,1823.5176,175.9196,0.3105,CL
8,502.3367,16.5664,48.0364,3889.0704,199.8894,3167.0854,178.0,0.332,CL
9,519.1307,16.5494,48.0256,4734.6734,202.1256,3676.7169,169.2563,0.336,CL
10,544.8945,16.5234,48.0077,5969.7236,210.7236,2787.2697,171.6181,0.344,CL
11,570.9799,16.4967,47.9887,7174.2462,219.9899,2551.5075,175.5879,0.3528,CL
12,600.0101,16.4639,47.9685,8371.1055,238.5126,1880.6533,172.0,0.3874,CL
13,641.4221,16.389,47.9667,9774.6231,281.0704,2415.4104,178.0,0.452,CL
14,662.9849,16.3474,47.9689,10883.9196,286.2261,3044.8396,178.0,0.4585,CL
15,683.5427,16.305,47.9734,11952.1357,294.5427,3076.2144,305.0854,0.472,CL
16,705.6734,16.2629,47.9833,12836.3065,306.4523,1888.191,311.1156,0.4831,CL
17,889.1206,15.8392,48.0808,20303.392,369.1055,2525.633,382.0603,0.6161,CL
18,944.2513,15.7049,48.1113,22306.2814,379.2513,2141.7803,396.0,0.64,CL
19,984.8744,15.6008,48.1349,23358.4171,387.0,1671.294,402.0,0.652,CL
20,1007.1709,15.5417,48.1482,23979.2714,394.0,2329.1457,406.0,0.6629,CL
21,1028.7186,15.4928,48.1593,24539.9497,401.9196,2117.0136,411.6784,0.672,CL
22,1064.1759,15.3926,48.1817,25664.6985,409.196,1554.0201,418.0,0.688,CL
23,1083.0251,15.3447,48.1924,26122.2362,413.2965,1600.0359,418.8643,0.6915,CL
24,1102.005,15.2915,48.2042,26666.8342,417.0,1883.9196,424.0,0.7,CL
25,1122.5226,15.2393,48.2158,27165.4523,420.9045,1212.7303,427.6181,0.7109,CL
26,1142.2814,15.1801,48.229,27814.0704,423.0,1968.8442,428.2814,0.712,CL
27,1158.6382,15.133,48.2394,28250.3769,426.0,1814.4293,434.0,0.7255,CL
28,1183.0653,15.0653,48.2542,28907.2864,429.2261,1826.3819,437.2261,0.7329,CL
29,1204.5477,15.0038,48.2677,29413.6935,433.0,1443.4673,438.0,0.736,CL
30,1222.1709,14.9503,48.2794,29854.2714,437.0,1671.4824,443.8291,0.7477,CL
31,1242.8945,14.8944,48.2917,30314.3216,439.3216,1700.7956,446.0,0.7533,CL
32,1261.9045,14.8382,48.304,30736.5578,443.0,1398.4207,450.0,0.76,CL
33,1446.1457,14.3017,48.4194,32000.0,434.206,8.8299,450.4121,0.7688,LVL
34,1474.2412,14.2221,48.4362,31975.0,433.9397,0.0,453.9397,0.7719,LVL
35,1500.0653,14.1478,48.4519,32000.0,432.2663,0.0,450.0,0.768,LVL
36,1526.0101,14.0724,48.4678,31975.0,431.4975,-49.7487,454.0,0.774,LVL
37,1554.8191,13.9926,48.4845,32000.0,425.7839,0.0,452.5226,0.769,LVL
38,1592.5729,13.8853,48.5069,31975.6281,425.9749,-86.0183,450.0,0.768,LVL
39,1651.5879,13.7205,48.5409,31975.0,412.4221,-186.8553,439.5779,0.748,LVL
40,1679.8945,13.6449,48.5564,31975.0,416.0,0.0,439.1055,0.7502,LVL
41,1703.1005,13.578,48.5702,31982.9146,420.0,-118.0905,441.3668,0.752,LVL
42,1721.7588,13.5271,48.5806,31975.0,420.0,0.0,440.0,0.752,LVL
43,1736.2462,13.4873,48.5894,32003.8945,420.0,240.2638,438.3116,0.7486,LVL
44,1759.3116,13.4282,48.6037,32511.1809,418.0402,2057.8868,439.2161,0.748,CL
45,1780.397,13.3694,48.619,33438.4422,409.7437,2284.5657,433.7186,0.7419,CL
46,1806.7789,13.3001,48.6412,34041.0804,413.1357,1562.6466,432.0,0.744,CL
47,1834.804,13.2262,48.6656,34410.0503,419.1005,653.6253,434.201,0.756,CL
48,1869.3367,13.1381,48.6946,35041.8342,423.0,1778.8945,438.0,0.7613,CL
49,1889.0101,13.0834,48.7126,35417.9648,424.1457,1008.9734,438.0,0.7663,CL
50,2000.6633,12.7936,48.8074,37426.1307,417.0,1030.5097,436.3819,0.7688,CL
51,2027.1357,12.7191,48.8317,37877.2613,416.0452,1190.9548,433.9095,0.7638,CL
52,2044.5628,12.6776,48.8451,37975.0,419.5628,119.7655,432.0,0.764,CR
53,2068.5528,12.6134,48.8659,38000.0,419.0,144.7236,434.0,0.768,CR
54,2085.5226,12.5661,48.8811,38000.0,420.0,0.0,435.5075,0.771,CR
55,2105.9598,12.5129,48.8981,37975.0,420.0,0.0,436.0,0.772,CR
56,2126.6784,12.4556,48.9165,37980.6533,418.0,113.0653,436.0,0.776,CR
57,2148.8492,12.3988,48.9347,38000.0,417.0,0.0,434.0,0.768,CR
58,2169.4925,12.3443,48.9521,37975.0,418.0,0.0,434.0,0.768,CR
59,2187.8693,12.2929,48.9685,38000.0,419.0,0.0,432.0,0.764,CR
60,2209.6834,12.2418,48.9848,37950.0,420.0,-138.191,434.0,0.768,CR
61,2232.8492,12.1757,49.0057,37975.0,420.0,0.0,433.1859,0.7647,CR
62,2254.4322,12.1174,49.0242,37958.9196,422.6432,-96.4824,435.2864,0.7666,CR
63,2283.3116,12.0394,49.0489,37975.0,423.1206,18.0905,434.0,0.7645,CR
