,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,16.5713,48.1142,0.0,0.0,-4.0948,0.0,0.0,GND
1,111.103,16.5713,48.1142,0.0,0.0,0.0,0.0,0.0,GND
2,274.7236,16.5712,48.1143,0.0,0.0,0.0,0.0,0.0,GND
3,380.4025,16.5713,48.1143,0.0,0.0,0.0,0.0,0.0,GND
4,446.4824,16.5713,48.1142,0.0,0.0,0.0,0.0,0.0,GND
5,510.603,16.5713,48.1142,0.0,0.0,0.0,0.0,0.0,GND
6,564.3674,16.5713,48.1142,0.0,0.0,0.0,0.0,0.0,GND
7,733.079,16.5713,48.1143,0.0,0.0,0.0,0.0,0.0,GND
8,939.6788,16.5712,48.1143,0.0,0.0,0.0,0.0,0.0,GND
9,979.0554,16.5713,48.1142,0.0,0.0,0.0,0.0,0.0,GND
10,1038.9352,16.5713,48.1142,0.0,0.0,0.0,0.0,0.0,GND
11,1102.3266,16.5713,48.1142,0.0,0.0,0.0,0.0,0.0,GND
12,1236.3367,16.5713,48.1142,0.0,0.0,0.0,0.0,0.0,GND
13,1527.5385,16.5713,48.1142,0.0,0.0,0.0,0.0,0.0,GND
14,1595.2812,16.5713,48.1142,0.0,0.0,0.0,0.0,0.0,GND
15,1660.3054,16.5713,48.1142,0.0,0.0,0.0,0.0,0.0,GND
16,1746.1192,16.5713,48.1143,0.0,0.0,0.0,0.0,0.0,GND
17,1861.0503,16.5713,48.1142,0.0,0.0,0.0,0.0,0.0,GND
18,1948.3525,16.575,48.1123,0.0,0.0,0.0,0.0,0.0,GND
19,2002.4193,16.579,48.1079,0.0,8.8844,0.0,0.0,0.0,GND
20,2046.2775,16.5812,48.1027,0.0,12.5427,0.0,0.0,0.0,GND
21,2088.0766,16.5835,48.0974,0.0,20.1106,0.0,0.0,0.0,GND
22,2132.2776,16.5859,48.0917,0.0,25.2111,0.0,0.0,0.0,GND
23,2171.7819,16.5888,48.0879,0.0,0.995,0.0,0.0,0.0,GND
24,2216.1156,16.591,48.0894,0.0,1.0,0.0,0.0,0.0,GND
25,2305.4013,16.575,48.1333,2230.1508,155.4107,1199.6322,95.2764,0.1447,CL
26,2389.8046,16.7103,48.1614,4824.4975,277.5484,3288.4839,114.4724,0.1777,CL
27,2459.7538,16.858,48.1672,8693.9698,323.0,3125.6281,282.0,0.44,CL
28,2533.4523,17.026,48.1321,11241.9598,385.3015,1556.5327,346.1508,0.5443,CL
29,2610.598,17.2393,48.1275,14732.4121,407.8995,2625.0,362.0,0.5724,CL
30,2675.8945,17.4225,48.1564,17090.4523,429.4472,1858.8907,376.0,0.6011,CL
31,2732.8342,17.5912,48.183,19045.8543,446.191,1500.0,386.0,0.624,CL
32,2791.2312,17.7723,48.2113,20890.0754,465.0,2535.1759,398.5126,0.6575,CL
33,2857.3875,17.9772,48.2429,23454.8995,462.347,1595.9311,326.4322,0.5403,CL
34,2914.1407,18.1578,48.2703,24878.5176,479.0402,1500.0,416.0402,0.696,CL
35,2981.6884,18.381,48.3038,26571.1055,492.8442,1247.5436,424.0,0.712,CL
36,3049.0151,18.6093,48.3375,27708.5427,515.6734,556.9514,432.6734,0.7293,CL
37,3121.4472,18.8681,48.3753,29286.1809,528.0,1500.0,436.9849,0.742,CL
38,3181.3166,19.0809,48.4057,30857.9146,528.0,1329.1457,430.6332,0.736,CL
39,3233.4111,19.2694,48.4325,31982.0352,533.0389,1433.4042,369.4975,0.6359,CL
40,3299.7889,19.508,48.4657,33769.7236,526.0352,1512.8084,428.0,0.7361,CL
41,3371.9447,19.7655,48.501,34859.1709,533.7889,868.3417,435.5779,0.7512,CL
42,3437.2915,20.0038,48.5332,35920.9799,536.6131,974.5154,435.2261,0.7545,CL
43,3497.3116,20.2243,48.5624,36896.8593,531.0,1000.0,438.0,0.756,CL
44,3545.2142,20.3952,48.5848,37018.4673,527.5785,-76.48,113.407,0.1955,CR
45,3590.1996,20.5596,48.606,37000.0,542.0297,0.0,38.2714,0.0663,CR
46,3635.6382,20.7329,48.6281,37000.0,548.0,0.0,454.0,0.784,CR
47,3685.7682,20.9188,48.6516,37000.0,550.3045,0.0,121.4472,0.2099,CR
48,3734.9633,21.1054,48.6747,37025.0,551.164,663.3166,202.5327,0.3502,CR
49,3801.1165,21.3559,48.7053,37025.0,553.2715,0.0,283.0854,0.4871,CR
50,3862.0599,21.587,48.7331,37025.0,552.2801,0.0,94.3618,0.1632,CR
51,3927.1206,21.8354,48.7623,37025.0,547.0,294.1909,460.0,0.792,CR
