,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,16.5537,48.1183,0.0,31.0,0.0,148.0,0.224,GND
1,32.9397,16.5565,48.1174,0.0,31.9799,0.0,148.0,0.224,GND
2,74.8794,16.56,48.1162,0.0,33.0,0.0,148.0,0.224,GND
3,126.6382,16.5649,48.1147,0.0,16.0,0.0,148.0,0.224,GND
4,166.6784,16.5685,48.1135,0.0,15.0,0.0,148.0,0.224,GND
5,200.196,16.5718,48.1124,0.0,17.8995,0.0,148.0,0.224,GND
6,234.397,16.5756,48.1112,0.0,31.0704,0.0,148.0,0.224,GND
7,269.2965,16.576,48.1097,0.0,27.2814,0.0,148.0,0.224,GND
8,305.8744,16.575,48.1093,0.0,0.3216,0.0,148.0,0.224,GND
9,342.9146,16.575,48.1093,0.0,0.0,0.0,148.0,0.224,GND
10,411.5879,16.5469,48.1182,958.794,136.2111,4793.9698,159.1859,0.2528,CL
11,469.3367,16.4883,48.1105,3213.9447,172.5578,1110.5528,162.0,0.308,CL
12,511.3467,16.4282,48.0985,4078.5176,237.8643,2107.8118,162.0,0.4011,CL
13,582.9899,16.3197,48.1083,7544.0955,234.1256,2962.3711,271.9095,0.4329,CL
14,643.8744,16.2275,48.137,10264.8241,246.7186,2086.0553,283.4372,0.4577,CL
15,708.794,16.1437,48.1879,13112.3116,257.397,2033.2915,292.603,0.4788,CL
16,749.3568,16.0943,48.2227,14884.799,259.3568,2905.7789,296.0704,0.4894,CL
17,785.2663,16.05,48.254,16181.6583,267.3166,1719.6698,304.0,0.504,CL
18,834.7638,15.9833,48.3009,17457.4121,291.2111,1164.9497,319.6583,0.5328,CL
19,888.7085,15.8997,48.3595,18267.7136,336.4724,1309.0452,356.5829,0.608,CL
20,928.794,15.8342,48.4051,19604.8995,342.0,1502.5126,369.5879,0.624,CL
21,973.0452,15.7614,48.4559,20961.6834,346.1558,1217.8751,380.0,0.64,CL
22,1029.5025,15.6672,48.5212,22395.7286,358.9045,1182.3541,392.4623,0.6609,CL
23,1080.1508,15.5757,48.5843,23792.2111,367.5377,1528.2663,400.0,0.68,CL
24,1132.5528,15.4812,48.6494,24987.9397,376.0,942.2111,404.0,0.688,CL
25,1171.995,15.4081,48.6997,25662.3116,386.0,1684.6734,412.0,0.7,CL
26,1204.9548,15.3457,48.7423,26385.804,390.0,1988.6935,418.0,0.712,CL
27,1247.3719,15.2662,48.7965,27361.4322,391.4573,500.0,420.9146,0.72,CL
28,1285.3116,15.1958,48.8445,27807.7889,403.0,1500.0,430.0,0.736,CL
29,1316.6683,15.13,48.887,28470.8543,406.0,1041.4573,436.0,0.7457,CL
30,1346.9849,15.0605,48.9224,29379.7739,402.397,1261.809,438.0,0.748,CL
31,1412.9146,14.904,48.9906,30016.3317,419.0,804.379,450.4925,0.7665,CL
32,1462.7136,14.7768,49.0458,30701.7588,425.0,3697.2362,458.0,0.784,CL
33,1668.0101,14.2719,49.2616,34091.8342,420.0,933.6683,452.0,0.776,CL
34,1699.2161,14.1945,49.2943,34772.4874,414.3668,1432.1608,456.0,0.78,CL
35,1731.1859,14.1151,49.3278,35000.0,408.7035,527.6382,452.593,0.772,CL
36,1766.8291,14.0283,49.3644,35000.0,410.0,0.0,452.0,0.772,CR
37,1800.5126,13.9492,49.3975,34975.0,412.0,0.0,452.5126,0.772,CR
38,1831.1809,13.871,49.4299,34975.0,413.7638,0.0,456.0,0.7791,CR
39,1864.2161,13.7926,49.4625,35000.0,411.0,0.0,452.0,0.7751,CR
40,1897.7839,13.7088,49.4973,35244.598,414.804,638.5499,456.0,0.7768,CR
41,1932.7035,13.6241,49.5363,35808.794,404.8241,1014.8959,455.6482,0.7793,CL
42,1963.3116,13.5621,49.5735,35996.1055,402.1558,-116.8342,456.0,0.78,CL
43,1998.407,13.4928,49.6238,35996.608,410.0,-67.8392,469.7286,0.8,CR
44,2032.2312,13.4277,49.6711,35975.0,416.0,-189.519,472.0,0.804,CR
45,2067.191,13.3568,49.7223,35975.0,414.9045,0.0,468.0,0.804,CR
46,2097.5276,13.2967,49.7656,35953.7688,413.7739,-430.0072,469.6985,0.8037,CR
47,2131.0553,13.233,49.8114,35975.0,413.0,0.0,468.0,0.804,CR
48,2162.1055,13.1659,49.8563,35975.8794,414.9648,-271.8593,464.0,0.7963,CR
49,2195.0452,13.0978,49.8942,36000.0,414.0151,492.4623,464.0,0.796,CR
50,2225.9799,13.0234,49.9359,35950.1256,412.995,-373.1156,452.0,0.78,CR
51,2259.8241,12.9496,49.9775,35974.3719,417.0754,208.9017,470.0503,0.8042,CR
52,2288.8643,12.882,50.015,36000.0,406.0452,67.8392,458.0905,0.788,CR
53,2345.8693,12.7554,50.0855,36000.0,413.0,10.8878,460.0,0.7917,CR
54,2376.5729,12.6873,50.1232,36022.8643,412.1709,274.3719,468.1709,0.804,CR
55,2432.5779,12.5632,50.1913,35950.0,404.0,0.0,464.0,0.796,CR
56,2471.8693,12.4784,50.2381,36000.0,408.7487,0.0,462.0,0.795,CR
57,2506.4171,12.3936,50.2813,36000.0,420.7085,0.0,462.0,0.796,CR
58,2549.6683,12.2786,50.3216,35975.0,427.1658,-27.6382,466.3317,0.8007,CR
59,2581.8844,12.1912,50.3516,35975.0,428.0,-69.7236,469.6281,0.804,CR
