,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,16.5565,48.1213,0.0,10.0,0.0,68.0,0.2,GND
1,17.598,16.5563,48.1212,0.0,11.0,0.0,68.0,0.2,GND
2,40.5276,16.556,48.1211,0.0,9.804,0.0,68.0,0.2,GND
3,131.9648,16.5554,48.1206,0.0,11.794,0.0,68.0,0.2,GND
4,178.9598,16.555,48.12,0.0,12.0,0.0,68.0,0.2,GND
5,202.9296,16.5548,48.1197,0.0,0.1206,0.0,68.0,0.2,GND
6,215.5879,16.5548,48.1197,0.0,0.0,0.0,68.0,0.2,GND
7,230.603,16.5548,48.1197,0.0,0.0,0.0,68.0,0.2,GND
8,390.3065,16.5545,48.1192,0.0,21.9497,0.0,68.0,0.2,GND
9,426.0553,16.5547,48.118,0.0,30.6181,0.0,68.0,0.2,GND
10,455.8995,16.5566,48.1173,0.0,24.9799,0.0,68.0,0.2,GND
11,478.8894,16.558,48.1169,0.0,28.5779,0.0,68.0,0.2,GND
12,515.7487,16.5612,48.1159,0.0,15.3518,0.0,68.0,0.2,GND
13,552.4171,16.5648,48.1147,0.0,17.7739,0.0,68.0,0.2,GND
14,575.8593,16.5672,48.1139,0.0,17.0,0.0,68.0,0.2,GND
15,586.8794,16.5684,48.1135,0.0,18.0,0.0,68.0,0.2,GND
16,612.5427,16.5707,48.1128,0.0,23.3216,0.0,68.0,0.2,GND
17,629.8291,16.5711,48.1127,0.0,0.0,0.0,68.0,0.2,GND
18,652.5829,16.5712,48.1126,0.0,8.1106,0.0,68.0,0.2,GND
19,673.1709,16.5716,48.1125,0.0,15.3618,0.0,68.0,0.2,GND
20,688.6382,16.5722,48.1122,0.0,19.8794,0.0,68.0,0.2,GND
21,712.6734,16.5721,48.1115,0.0,5.3065,0.0,68.0,0.2,GND
22,789.6834,16.5721,48.1115,0.0,2.1809,0.0,68.0,0.2,GND
23,863.0151,16.5719,48.1112,0.0,16.7538,0.0,68.0,0.2,GND
24,884.3518,16.5714,48.1106,0.0,19.6482,0.0,68.0,0.2,GND
25,898.8492,16.571,48.1105,0.0,14.0503,0.0,68.0,0.2,GND
26,921.6683,16.5659,48.1122,0.0,79.2714,0.0,68.0,0.2,CL
27,957.4573,16.5357,48.1218,1233.2915,145.5628,2912.5628,154.0,0.2292,CL
28,974.9497,16.5193,48.121,1978.8945,150.4623,2732.4121,154.0,0.235,CL
29,994.0251,16.5052,48.1116,2700.6281,157.6834,2158.2915,155.3668,0.2401,CL
30,1016.0955,16.491,48.0973,3228.8945,183.9749,1406.0302,154.0,0.2746,CL
31,1028.6884,16.4812,48.0873,3530.6533,202.3015,1562.2398,155.8492,0.2843,CL
32,1044.3568,16.4672,48.074,3947.4874,222.8141,3526.1307,154.0,0.3411,CL
33,1059.6683,16.4508,48.0619,4471.7337,239.3367,2160.3015,154.0,0.3667,CL
34,1077.3266,16.4308,48.0469,4966.4573,266.3266,1749.6859,154.0,0.3987,CL
35,1094.7889,16.4092,48.0303,5687.6884,280.8593,3420.8543,157.7186,0.4277,CL
36,1117.5829,16.3809,48.0076,7167.3367,278.5276,3907.9488,156.1106,0.4301,CL
37,1136.5025,16.359,47.9885,8253.2663,281.0,3309.4221,154.0,0.44,CL
38,1159.7889,16.3323,47.9646,9621.3568,280.7236,3101.2204,155.1055,0.4411,CL
39,1185.9648,16.3153,47.9306,10499.1206,310.2864,1500.0,205.4573,0.4799,CL
40,1212.8744,16.3033,47.8896,11144.8492,338.9548,1578.4279,342.7136,0.5341,CL
41,1225.0352,16.2916,47.8724,11614.6985,342.0,3388.191,347.0352,0.54,CL
42,1251.5779,16.2505,47.841,12826.005,345.3467,2207.2505,348.2312,0.5445,CL
43,1261.4271,16.2336,47.829,13178.5176,352.4271,2035.1759,353.4271,0.552,CL
44,1284.2462,16.1944,47.8011,14146.7337,361.0,2422.1106,360.6231,0.5652,CL
45,1304.4573,16.162,47.7779,15002.3869,365.0,2511.3065,365.8191,0.572,CL
46,1325.5528,16.1248,47.751,15989.5729,367.5075,2919.9569,369.0452,0.582,CL
47,1347.0553,16.0862,47.7232,17109.2965,366.3166,2441.9598,372.0,0.5888,CL
48,1363.5176,16.06,47.7042,17665.7035,371.7035,2244.3467,379.407,0.6,CL
49,1379.9045,16.0292,47.6819,18395.2261,373.0,2809.5021,384.603,0.6132,CL
50,1393.4975,16.0056,47.6648,19024.8744,372.8995,2956.9275,382.201,0.612,CL
51,1411.4774,15.9758,47.6432,19536.809,380.4925,2042.7136,389.9899,0.62,CL
52,1436.5729,15.9288,47.6092,20464.3216,385.2864,2314.0704,392.3819,0.6324,CL
53,1456.6281,15.8927,47.5829,21069.7236,391.6935,2067.3824,402.1608,0.6483,CL
54,1473.1658,15.8626,47.5609,21793.7186,389.7085,3085.0682,404.0,0.652,CL
55,1491.3367,15.8325,47.539,22402.8894,391.7789,1994.4724,407.7789,0.6631,CL
56,1504.9497,15.8049,47.5187,22948.1156,392.4874,3018.8442,407.0251,0.6621,CL
57,1525.3668,15.7687,47.4921,23440.5779,400.2563,1524.0264,414.1709,0.6763,CL
58,1551.7839,15.7264,47.4512,24237.9397,406.3668,2085.7861,417.3668,0.684,CL
59,1572.6884,15.7052,47.4169,24753.1407,412.2814,1790.4523,418.0,0.6863,CL
60,1595.5528,15.6813,47.3743,25379.7739,416.8794,1852.3869,427.5176,0.703,CL
61,1606.3869,15.6704,47.3548,25757.4121,417.0,3248.7437,428.9548,0.708,CL
62,1624.7538,15.6518,47.3215,26368.8442,417.0754,2886.9347,432.0,0.7117,CL
63,1642.3869,15.6338,47.2892,26826.5075,419.3467,1626.2563,433.3467,0.7187,CL
64,1663.2714,15.6148,47.2551,27313.5678,422.0,1815.9548,438.0,0.7251,CL
65,1683.9548,15.5932,47.2163,27870.603,424.8693,1663.0025,440.0,0.732,CL
66,1701.206,15.5744,47.1824,28318.4673,426.9347,3020.1005,442.9347,0.74,CL
67,1735.4573,15.5393,47.1191,29059.799,433.0653,1369.1673,446.2613,0.752,CL
68,1753.6231,15.5198,47.0836,29465.5779,435.3266,1331.6583,451.3266,0.7587,CL
69,1774.2613,15.5002,47.0482,29894.598,437.0,1914.5729,451.5678,0.7591,CL
70,1792.8894,15.4808,47.0132,30354.2714,437.0,1328.1407,456.0,0.7714,CL
71,1814.6583,15.4582,46.973,30780.0251,439.4573,1192.2396,460.0,0.7778,CL
72,1831.6633,15.4342,46.9372,31158.2915,440.1106,1104.2714,462.0,0.7802,CL
73,1852.2261,15.4056,46.9002,31472.9899,440.3467,1125.0,462.0,0.7866,CL
74,1867.2663,15.3852,46.8741,31712.6884,437.7487,1072.4391,460.995,0.783,CL
75,1888.794,15.3558,46.8362,31938.6935,437.0,568.1533,456.0,0.78,CL
76,1908.0503,15.3292,46.802,31986.1809,437.5528,37.2697,453.7889,0.78,CL
77,1930.407,15.3008,46.7655,31998.8693,437.0,-7.5377,456.0,0.78,CR
78,1952.8593,15.2659,46.7205,31991.0804,429.4271,160.804,446.7136,0.7629,CR
79,1967.1357,15.2481,46.6975,32000.0,424.0352,0.0,441.0352,0.7541,CR
80,1988.9095,15.2184,46.6594,32000.0,421.0,0.0,436.3216,0.748,CR
81,2006.5578,15.1923,46.6296,31975.0,422.8744,-211.0553,438.0,0.7497,CR
82,2026.3518,15.1651,46.6005,31978.5176,422.9648,21.1055,440.0,0.752,CR
83,2043.1658,15.1359,46.5693,32188.3166,422.6332,1034.9246,442.0,0.756,CL
84,2065.0804,15.1014,46.5326,32615.4523,425.2312,1422.9481,444.0,0.76,CL
85,2095.2663,15.0582,46.4863,33194.4724,426.0,1189.9183,445.6583,0.7666,CL
86,2106.7085,15.0375,46.4642,33507.0352,425.5729,1769.4724,448.0,0.768,CL
87,2130.1508,15.0024,46.4265,34053.7688,422.9749,1632.9374,446.0,0.768,CL
