,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,16.5726,48.1181,0.0,30.0,0.0,60.0,0.1,GND
1,19.8141,16.5738,48.1178,0.0,29.2714,0.0,60.0,0.1,GND
2,41.3568,16.5742,48.1163,0.0,17.5427,0.0,60.0,0.1,GND
3,103.0352,16.5727,48.1124,0.0,28.5578,0.0,60.0,0.1,GND
4,119.6281,16.5723,48.1117,0.0,18.2864,0.0,60.0,0.1,GND
5,134.7136,16.5721,48.1115,0.0,15.3568,0.0,60.0,0.1,GND
6,154.6985,16.5716,48.1109,0.0,18.1859,0.0,60.0,0.1,GND
7,171.8492,16.5712,48.1106,0.0,18.0,0.0,60.0,0.1,GND
8,191.4271,16.5707,48.1107,0.0,1.8291,0.0,60.0,0.1,GND
9,212.6633,16.5703,48.1108,0.0,28.6633,0.0,60.0,0.1,GND
10,233.8543,16.5622,48.1134,0.0,105.0603,0.0,60.0,0.1,GND
11,269.4774,16.5288,48.1231,1549.2462,153.4925,2507.5377,166.0302,0.248,CL
12,297.8191,16.4986,48.12,2411.1809,174.5628,1821.7222,164.0,0.2751,CL
13,318.2915,16.4714,48.1154,2938.191,198.8191,1206.6583,164.0,0.3,CL
14,336.2965,16.4454,48.1109,3264.9497,225.6935,921.7516,164.0,0.3464,CL
15,352.1407,16.4197,48.1066,3702.6382,249.1407,2065.7035,164.0,0.3841,CL
16,373.0251,16.3833,48.1005,4484.1709,270.3417,2331.6583,164.0,0.4167,CL
17,393.4523,16.3461,48.0986,5664.9497,268.6935,5022.9271,164.0,0.4228,CL
18,413.8844,16.3081,48.0991,6966.3317,266.0,3942.2111,164.0,0.4102,CL
19,430.4673,16.2766,48.0995,7833.9196,270.7337,3488.6935,164.0,0.4183,CL
20,447.1407,16.2446,48.1001,8657.0352,276.7136,3171.8593,164.0,0.432,CL
21,462.5477,16.2162,48.1008,9406.1558,280.8492,2801.5075,164.0,0.4434,CL
22,487.9246,16.1674,48.1041,10471.9849,291.9246,1140.3446,295.9095,0.4638,CL
23,505.3618,16.1288,48.1076,10934.0452,312.4824,1280.1508,316.4824,0.497,CL
24,520.7688,16.0941,48.111,11287.8141,330.7688,1371.8593,335.0251,0.523,CL
25,538.3518,16.0565,48.1146,11633.794,348.1357,1500.0,354.3518,0.5591,CL
26,555.0553,16.0127,48.1184,12190.9548,362.5276,3254.0201,366.9447,0.58,CL
27,570.6533,15.9743,48.122,12666.3317,372.9899,1500.0,372.6533,0.5867,CL
28,587.799,15.9283,48.126,13354.8995,380.0,5267.7674,378.0,0.6,CL
29,603.804,15.8861,48.1298,14041.8342,383.9347,2581.6583,381.8693,0.6077,CL
30,623.2814,15.8377,48.1354,14858.794,388.0,3199.7487,384.0,0.612,CL
31,679.6784,15.6868,48.1552,17078.0151,398.8241,2261.8864,398.4121,0.6408,CL
32,718.6834,15.5768,48.1695,18750.6281,404.0,2414.5729,398.6834,0.648,CL
33,762.206,15.4576,48.1849,20126.7588,414.9548,2222.4584,408.0,0.6659,CL
34,803.8392,15.3374,48.2004,21486.3065,422.0,2241.8342,415.2261,0.684,CL
35,848.4925,15.2093,48.2166,22856.0302,427.7487,1592.9648,420.0,0.7,CL
36,868.5377,15.1523,48.2239,23463.4422,429.0,1673.3668,424.0,0.7075,CL
37,904.1005,15.0448,48.2372,24401.5075,436.0,1365.4523,428.0804,0.72,CL
38,926.9347,14.9791,48.2454,25019.4724,437.0,1461.0553,434.0,0.728,CL
39,953.1658,14.9003,48.2553,25671.8593,440.0,1390.7035,438.0,0.736,CL
40,970.4171,14.8507,48.2614,26039.0704,443.4271,1339.8241,440.0,0.7423,CL
41,991.6884,14.7871,48.2691,26681.2814,442.4372,1912.5628,440.0,0.7463,CL
42,1014.794,14.7154,48.2779,27494.8492,438.0,1590.4523,437.206,0.744,CL
43,1033.8392,14.6631,48.2843,27954.2714,438.0,1266.8701,436.0,0.744,CL
44,1047.9095,14.6146,48.2903,28371.9849,438.0,1978.4637,435.1558,0.744,CL
45,1063.0553,14.5709,48.2953,28713.191,435.7889,973.6181,434.2111,0.744,CL
46,1088.6884,14.4997,48.304,29111.1809,432.2412,765.3984,432.0,0.741,CL
47,1106.5075,14.4404,48.311,29468.8442,433.0,1528.8945,432.0,0.744,CL
48,1122.5628,14.3961,48.3163,29688.4422,431.4874,1192.4623,432.9749,0.7459,CL
49,1139.8894,14.344,48.3225,29932.4121,430.0,587.9397,432.0,0.744,CL
50,1156.7035,14.2976,48.328,29975.0,430.0,0.0,430.0,0.7431,CR
51,1174.7588,14.2428,48.3345,29997.9899,429.0,459.799,430.0,0.74,CR
52,1192.3317,14.1903,48.3406,30000.0,430.0,0.0,430.0,0.744,CR
53,1216.0553,14.1187,48.349,29979.7739,430.809,17.902,430.0,0.7432,CR
54,1241.6533,14.0448,48.3576,30000.0,431.0,0.0,432.0,0.744,CR
55,1265.9246,13.9729,48.3658,30000.0,429.0,0.0,432.0,0.744,CR
56,1307.1859,13.8512,48.3797,29975.0,428.0,-23.1929,428.804,0.74,CR
57,1344.6683,13.7445,48.3918,29975.0,427.7337,0.0,430.0,0.74,CR
58,1405.3869,13.5687,48.4113,29975.0,428.0,0.0,430.0,0.74,CR
59,1423.0452,13.5115,48.4176,29975.0,428.0,0.0,430.0,0.74,CR
60,1442.5628,13.4551,48.4239,29975.0,429.0,0.0,430.0,0.74,CR
61,1466.8291,13.3842,48.4324,29993.0905,430.0,-2.5126,430.0,0.74,CR
62,1482.6482,13.3395,48.4396,30000.0,430.0,0.0,430.0,0.7424,CR
63,1498.8342,13.2921,48.4495,30000.0,431.0,0.0,430.0,0.74,CR
64,1516.0503,13.2428,48.4618,30000.0,431.6834,0.0,430.0,0.74,CR
65,1531.6382,13.2012,48.4727,30000.0,432.0,0.0,430.0,0.74,CR
66,1550.7286,13.1486,48.4867,30000.0,432.0,0.0,430.0,0.74,CR
67,1565.1809,13.1055,48.4979,30000.0,432.0905,0.0,430.1809,0.7404,CR
68,1580.1307,13.0628,48.5089,30000.0,432.0,0.0,430.0,0.74,CR
69,1599.7236,13.0106,48.5226,30000.0,433.0,0.0,430.0,0.74,CR
70,1615.995,12.9697,48.5334,30000.0,432.0,0.0,430.0,0.74,CR
71,1632.1658,12.9194,48.5464,30000.0,433.0,0.0,430.0,0.74,CR
72,1649.5377,12.8729,48.5585,30000.0,433.0,0.0,428.4623,0.74,CR
73,1670.4271,12.8131,48.574,30000.0,434.0955,0.0,430.0,0.74,CR
74,1685.1608,12.7678,48.5858,30000.0,434.0,0.0,430.0,0.74,CR
75,1701.8794,12.7233,48.5973,30000.0,434.0,0.0,430.0,0.7433,CR
76,1741.5578,12.6116,48.6261,30000.0,435.0,0.0,430.0,0.74,CR
