,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,16.5703,48.118,0.0,0.0,0.0,0.0,0.0,GND
1,65.9487,16.5708,48.1186,0.0,1.8543,0.0,0.0,0.0,GND
2,155.3489,16.5708,48.1188,0.0,0.0,0.0,0.0,0.0,GND
3,209.2789,16.5708,48.1188,0.0,0.0,0.0,0.0,0.0,GND
4,250.6382,16.5715,48.1186,0.0,3.3065,0.0,0.0,0.0,GND
5,290.5902,16.5741,48.1181,0.0,7.2764,0.0,0.0,0.0,GND
6,349.4466,16.5761,48.1149,0.0,0.0,0.0,0.0,0.0,GND
7,418.0004,16.5759,48.1114,0.0,0.0,0.0,0.0,0.0,GND
8,468.4899,16.5743,48.1096,0.0,0.3869,0.0,0.0,0.0,GND
9,526.1366,16.5518,48.1169,1070.2261,142.7947,2119.2488,0.0,0.0,CL
10,597.8262,16.4711,48.1179,3666.206,204.0929,1742.9465,0.0,0.0,CL
11,665.7962,16.354,48.1293,7475.1256,268.0133,4775.0676,214.1307,0.3356,CL
12,725.2246,16.2428,48.141,11133.2915,291.0319,2173.5942,173.7085,0.2798,CL
13,780.4481,16.1726,48.1995,13666.206,345.1441,3531.3171,0.0,0.0,CL
14,838.474,16.2484,48.2783,16728.0151,363.1955,3740.538,121.3568,0.1969,CL
15,899.7447,16.3494,48.3598,19457.1608,391.0382,2512.0083,0.0,0.0,CL
16,961.0405,16.4563,48.4502,22041.5829,416.4502,1882.6474,41.5678,0.0694,CL
17,1036.149,16.5948,48.5662,25210.4271,432.6416,1777.6478,0.0,0.0,CL
18,1098.3719,16.7134,48.6653,28156.1558,431.8744,1950.7538,388.2513,0.6685,CL
19,1171.2353,16.8591,48.7732,30551.2563,442.1597,2129.1303,103.0251,0.1804,CL
20,1232.5706,16.9977,48.8626,32565.9548,450.3982,1836.2189,149.0653,0.2605,CL
21,1271.0895,17.086,48.9196,33526.005,457.0227,1347.3433,417.4372,0.7251,CL
22,1316.3518,17.1903,48.9872,34275.0,474.245,597.9899,259.5276,0.4497,CL
23,1364.0314,17.2883,49.0685,35608.794,477.8819,1344.4024,93.7789,0.1634,CL
24,1411.1957,17.3733,49.1575,36925.0,474.0646,1251.2563,360.3618,0.624,CL
25,1451.5762,17.4454,49.2332,37466.0804,484.0261,2852.0282,242.1005,0.4185,CL
26,1490.9654,17.5155,49.3062,38898.2412,461.0609,2834.2928,414.6231,0.714,CL
27,1533.3491,17.5882,49.3816,39000.0,464.9687,0.0,134.593,0.233,CR
28,1577.0804,17.6672,49.4634,39000.0,469.3869,0.0,436.0,0.752,CR
29,1627.2261,17.7559,49.5552,39000.0,471.0,0.0,438.0,0.756,CR
30,1674.0918,17.8387,49.6405,39011.4322,471.1701,195.0881,201.206,0.3475,CR
31,1718.657,17.9192,49.7229,39025.0,469.1954,0.0,370.9246,0.6378,CR
32,1767.7647,18.0059,49.8107,39025.0,465.0755,0.0,97.2864,0.168,CR
33,1810.3112,18.0818,49.8875,39000.0,461.5217,0.0,174.6734,0.3001,CR
34,1848.9849,18.1531,49.9593,38975.0,461.0,0.0,436.0,0.748,CR
35,1885.0315,18.2251,50.0183,38950.0,463.9423,0.0,277.3266,0.4736,CR
36,1923.4641,18.3167,50.0761,38975.0,466.2309,0.0,329.4472,0.5661,CR
37,1962.5265,18.4104,50.1325,39000.0,466.6079,0.0,57.4874,0.0993,CR
38,2000.6338,18.5015,50.1915,39025.0,464.8873,0.0,225.5276,0.3895,CR
39,2039.8153,18.5731,50.2625,39025.0,462.0322,0.0,395.3568,0.6798,CR
40,2075.5182,18.6367,50.3264,39025.0,459.1239,0.0,321.2864,0.5528,CR
41,2112.1467,18.7013,50.3907,39050.0,455.811,0.0,150.3518,0.2611,CR
42,2152.0047,18.7726,50.4618,39000.0,452.0256,0.0,416.5528,0.7218,CR
43,2188.0131,18.8355,50.5247,38950.0,450.9489,-216.7085,249.6482,0.4323,CR
44,2227.2161,18.9052,50.5938,38950.0,451.0,0.0,434.0,0.752,CR
45,2268.0145,18.9774,50.6652,39000.0,452.0775,0.0,356.5628,0.6154,CR
46,2312.9227,19.0563,50.7431,39050.0,451.9872,0.0,189.2864,0.3267,CR
47,2354.3774,19.1291,50.8151,39050.0,451.9787,0.0,22.0101,0.0382,CR
48,2393.2567,19.2006,50.8847,39025.0,451.2513,0.0,292.7337,0.5079,CR
49,2431.9926,19.2693,50.9516,39025.0,452.1408,0.0,125.4573,0.2165,CR
50,2476.0955,19.3508,51.0306,39025.0,452.0,0.0,438.191,0.7604,CR
51,2515.3713,19.4203,51.0978,39025.0,451.2812,0.0,209.0955,0.3628,CR
52,2548.9219,19.4827,51.158,39003.5176,450.0927,-1848.1411,374.6533,0.6496,DE
53,2588.0166,19.5506,51.223,39000.0,450.6592,0.0,0.0,0.0,CR
54,2627.0077,19.623,51.2923,39000.0,450.2484,0.0,271.6784,0.4711,CR
55,2663.9304,19.6887,51.3553,39000.0,451.0981,0.0,2.191,0.0038,CR
56,2696.6802,19.7507,51.4141,39000.0,450.9531,0.0,268.5226,0.4659,CR
57,2730.8518,19.8141,51.474,39025.0,450.2032,0.0,336.7538,0.5843,CR
58,2767.5724,19.8809,51.5372,39000.0,450.9817,0.0,370.2714,0.642,CR
59,2804.3164,19.948,51.6005,39000.0,450.4682,0.0,203.7588,0.3533,CR
60,2848.5286,20.0288,51.6761,39000.0,451.2912,0.0,37.4171,0.0649,CR
