,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,16.5658,48.1178,0.0,0.0,0.0,0.0,0.0,GND
1,76.5075,16.5657,48.1178,0.0,0.0,0.0,0.0,0.0,GND
2,155.3885,16.5658,48.1179,0.0,0.0,0.0,0.0,0.0,GND
3,183.6322,16.5657,48.1178,0.0,0.0,0.0,0.0,0.0,GND
4,243.4121,16.5657,48.1178,0.0,0.0,0.0,0.0,0.0,GND
5,282.5226,16.5659,48.118,0.0,0.0,0.0,0.0,0.0,GND
6,311.9418,16.5657,48.1178,0.0,0.0,0.0,0.0,0.0,GND
7,400.6583,16.5657,48.1178,0.0,0.0,0.0,0.0,0.0,GND
8,489.8241,16.5658,48.1179,0.0,0.0,0.0,0.0,0.0,GND
9,533.1357,16.5657,48.1178,0.0,0.0,0.0,0.0,0.0,GND
10,625.1055,16.5657,48.1178,0.0,0.0,0.0,0.0,0.0,GND
11,674.5829,16.5657,48.1178,0.0,0.0,0.0,0.0,0.0,GND
12,747.0905,16.5657,48.1178,0.0,0.0,0.0,0.0,0.0,GND
13,822.598,16.5657,48.1178,0.0,0.0,0.0,0.0,0.0,GND
14,899.8844,16.5657,48.1178,0.0,0.0,0.0,0.0,0.0,GND
15,965.6131,16.5657,48.1178,0.0,0.0,0.0,0.0,0.0,GND
16,1031.1206,16.5657,48.1178,0.0,0.0,0.0,0.0,0.0,GND
17,1117.6281,16.5657,48.1178,0.0,0.0,0.0,0.0,0.0,GND
18,1224.1357,16.5657,48.1178,0.0,0.0,0.0,0.0,0.0,GND
19,1333.2864,16.5657,48.1178,0.0,0.0,0.0,0.0,0.0,GND
20,1449.1206,16.5655,48.1175,0.0,3.0,0.0,0.0,0.0,GND
21,1498.3266,16.5655,48.117,0.0,2.0,0.0,0.0,0.0,GND
22,1565.1658,16.5655,48.117,0.0,0.0,0.0,0.0,0.0,GND
23,1656.6734,16.5655,48.117,0.0,0.0,0.0,0.0,0.0,GND
24,1788.1809,16.565,48.1172,0.0,5.2362,0.0,0.0,0.0,GND
25,1834.6884,16.5629,48.1172,0.0,8.0,0.0,0.0,0.0,GND
26,1869.3147,16.562,48.1162,0.0,1.2864,0.0,0.0,0.0,GND
27,1903.725,16.563,48.1153,0.0,1.1256,0.0,0.0,0.0,GND
28,1938.6055,16.565,48.1146,0.0,3.9799,0.0,0.0,0.0,GND
29,1973.8243,16.5669,48.114,0.0,2.0503,0.0,0.0,0.0,GND
30,2016.2261,16.5694,48.1132,0.0,11.0452,0.0,0.0,0.0,GND
31,2082.2965,16.5721,48.112,0.0,4.3467,0.0,0.0,0.0,GND
32,2241.2965,16.5032,48.1049,2557.4121,214.6482,1675.8794,168.0,0.32,CL
33,2299.598,16.4783,48.0462,5358.6683,257.598,3028.0537,231.799,0.36,CL
34,2345.005,16.4967,47.9911,7368.9698,286.7538,5686.9223,270.5025,0.424,CL
35,2379.8542,16.5237,47.9471,8885.5528,304.9176,2589.0577,155.8794,0.2454,CL
36,2410.8827,16.5496,47.9046,10314.0704,320.1705,4980.6812,249.4472,0.3998,CL
37,2452.6231,16.5877,47.8426,11738.9447,356.0,5282.9897,332.0,0.532,CL
38,2501.3719,16.6342,47.7679,14455.0251,365.0,2957.2864,342.9146,0.556,CL
39,2541.5176,16.6963,47.7137,16525.8794,376.7588,2909.5477,352.0,0.576,CL
40,2603.1809,16.804,47.6305,19682.5377,391.0,3171.2132,368.1206,0.612,CL
41,2651.3618,16.8902,47.564,21902.1357,402.0,3159.799,380.0,0.636,CL
42,2700.3166,16.9814,47.4939,23807.6633,418.3266,2197.9899,391.3266,0.6627,CL
43,2758.8241,17.0972,47.4098,25818.8442,433.9648,2092.0854,407.9296,0.6919,CL
44,2806.7199,17.199,47.3438,27538.3166,439.0036,1616.1986,306.6734,0.5224,CL
45,2849.2843,17.2909,47.2838,28953.392,443.7442,1305.2477,241.8995,0.4134,CL
46,2885.8123,17.3727,47.2301,29768.4673,455.8189,1891.3851,372.0804,0.6364,CL
47,2917.5647,17.4441,47.1831,30329.2714,469.2076,1612.9986,363.1658,0.6202,CL
48,2953.0851,17.5261,47.1295,30960.4271,480.651,600.6888,211.6181,0.3609,CL
49,2986.0955,17.6051,47.0772,31846.7337,483.2261,2514.3153,468.0,0.796,CL
50,3017.4523,17.6778,47.0289,33084.4221,473.0,1943.4673,450.3015,0.7723,CL
51,3051.7538,17.7564,46.9765,33843.8442,469.8693,1879.9164,454.0,0.7785,CL
52,3098.2764,17.8591,46.9078,34633.9196,465.7302,904.5226,309.3467,0.5264,CL
53,3157.9397,17.9954,46.8164,35998.4925,466.0,1500.0,456.0402,0.78,CL
