,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,16.5682,48.1187,0.0,0.0,0.0,0.0,0.0,GND
1,303.191,16.5682,48.1187,0.0,0.0,0.0,0.0,0.0,GND
2,433.8744,16.5681,48.1187,0.0,0.0,0.0,0.0,0.0,GND
3,531.9849,16.5681,48.1187,0.0,0.0,0.0,0.0,0.0,GND
4,645.0151,16.5681,48.1187,0.0,0.0,0.0,0.0,0.0,GND
5,986.7889,16.5682,48.1188,0.0,9.191,0.0,0.0,0.0,GND
6,1047.8643,16.5687,48.1194,0.0,0.4824,0.0,0.0,0.0,GND
7,1166.3116,16.569,48.1193,0.0,16.1558,0.0,0.0,0.0,GND
8,1274.8894,16.5738,48.1173,0.0,25.0,0.0,0.0,0.0,GND
9,1338.2111,16.5742,48.1143,0.0,23.4472,0.0,0.0,0.0,GND
10,1388.7839,16.5729,48.1125,0.0,25.804,0.0,0.0,0.0,GND
11,1446.5779,16.5762,48.111,0.0,22.8844,0.0,0.0,0.0,GND
12,1529.3015,16.5763,48.1102,0.0,0.0,0.0,0.0,0.0,GND
13,1662.6834,16.5763,48.1102,0.0,0.0,0.0,0.0,0.0,GND
14,1865.8492,16.5762,48.1101,0.0,7.4322,0.0,0.0,0.0,GND
15,1947.7487,16.5752,48.1092,0.0,15.0151,0.0,0.0,0.0,GND
16,2024.3518,16.5227,48.1236,1431.9095,171.995,2455.2764,178.0,0.0,CL
17,2065.4824,16.4848,48.1008,2413.3166,222.4824,943.3531,174.0,0.2931,CL
18,2101.9347,16.4565,48.0657,3013.8191,250.4874,661.163,175.1055,0.3426,CL
19,2135.3618,16.4158,48.0344,4268.0905,263.8191,4145.7286,174.9447,0.3831,CL
20,2168.3719,16.3778,48.0054,5873.995,253.4121,2487.4372,175.608,0.3848,CL
21,2194.4673,16.339,47.9935,6994.4724,233.8442,2500.0,174.0,0.392,CL
22,2233.6935,16.2771,48.0044,8273.1156,245.2312,2000.0,269.8492,0.432,CL
23,2255.2261,16.243,48.012,8957.5377,253.0754,1537.6884,288.0,0.44,CL
24,2341.8794,16.0837,48.0474,10838.191,310.7387,1065.3984,338.6332,0.5133,CL
25,2429.9497,15.8905,48.0899,13248.3668,341.995,1951.5075,370.0,0.576,CL
26,2449.7739,15.8461,48.0997,13865.9548,344.9548,2342.3367,374.0,0.58,CL
27,2468.5729,15.8053,48.1086,14462.1859,346.0,1710.3015,377.8291,0.588,CL
28,2502.6231,15.7298,48.1252,15534.2965,349.0,2412.0603,384.0,0.6,CL
29,2522.005,15.681,48.1358,16100.1256,351.8342,2246.2312,386.0,0.604,CL
30,2558.3518,15.599,48.1536,17073.4925,356.794,1859.5477,392.0,0.616,CL
31,2581.2764,15.5407,48.1662,17619.2211,364.2613,1176.9562,397.0151,0.623,CL
32,2606.7085,15.4803,48.1792,18249.8744,367.7136,1509.4221,400.0,0.632,CL
33,2633.3668,15.4163,48.193,18917.3367,371.6734,1297.9899,404.0,0.6387,CL
34,2653.1658,15.3676,48.2035,19369.9749,375.8995,1414.8241,406.0,0.644,CL
35,2672.7789,15.3203,48.2137,19759.2965,380.593,1592.9648,410.0,0.652,CL
36,2692.3166,15.2706,48.2243,20194.0955,383.0,1361.809,410.8945,0.656,CL
37,2716.5377,15.2063,48.238,20713.4422,387.0,1408.6055,415.0251,0.6621,CL
38,2736.3065,15.1576,48.2483,21195.8543,389.0,1398.7796,418.0,0.668,CL
39,2760.0251,15.0963,48.2613,21693.2161,393.8643,654.3431,420.8643,0.672,CL
40,2792.8794,15.0106,48.2794,22322.9899,400.392,1121.608,424.7839,0.6816,CL
41,2878.407,14.7782,48.3282,24017.5879,414.0,1236.1809,438.0,0.708,CL
42,2954.2462,14.5687,48.3716,25490.5779,421.3116,1266.3317,444.0,0.724,CL
43,2980.1709,14.4971,48.3863,25977.1357,424.0,1023.2412,448.0,0.732,CL
44,3002.2312,14.4335,48.3994,26380.7789,426.0,1115.5779,452.0,0.7409,CL
45,3026.5729,14.3669,48.413,26919.0955,425.0,1325.7956,452.0,0.748,CL
46,3051.3015,14.2973,48.4271,27382.5377,426.1508,1181.5327,454.3015,0.752,CL
47,3071.3317,14.2426,48.4382,27708.2915,428.1106,832.9146,458.0,0.756,CL
48,3094.2814,14.1727,48.4524,28053.5176,431.0,1048.8155,462.0,0.764,CL
49,3118.0905,14.102,48.4667,28450.7538,432.0,1712.3116,464.0,0.7681,CL
50,3143.9397,14.0309,48.4809,28973.4925,429.0201,1500.0,467.9799,0.776,CL
51,3160.8492,13.9834,48.4905,29347.4874,423.1005,1025.1256,460.1005,0.764,CL
52,3184.6382,13.9164,48.5039,29768.2161,422.0,1113.6935,462.0,0.768,CL
53,3210.2161,13.8487,48.5173,29975.0,418.1307,65.3266,460.0,0.764,CL
54,3238.4623,13.7664,48.5336,30000.0,419.6583,0.0,459.6583,0.7673,CL
55,3255.5779,13.7168,48.5435,29975.0,423.0,0.0,462.0,0.772,LVL
56,3280.2462,13.6458,48.5575,30000.0,422.0,0.0,462.0,0.769,LVL
57,3306.1256,13.5784,48.5708,30000.0,414.5829,0.0,454.0,0.76,LVL
58,3326.005,13.5218,48.5818,30000.0,408.0,0.0,448.0,0.748,LVL
59,3345.1407,13.4689,48.5939,29984.2965,406.3719,-188.4422,448.0,0.748,LVL
60,3366.5276,13.4128,48.6074,29975.0,407.0,0.0,448.0,0.748,LVL
61,3387.6432,13.3553,48.6213,29988.6935,408.0,273.8693,450.0,0.748,LVL
62,3410.0603,13.2975,48.6352,30050.7538,408.5075,380.6533,450.0,0.75,LVL
63,3433.6734,13.2343,48.6503,30420.1005,408.5327,953.2663,450.0,0.7539,CL
64,3479.8442,13.1097,48.6799,31082.0352,410.4271,643.2161,452.0,0.7577,CL
65,3503.3216,13.0459,48.6968,31354.0201,412.3869,1209.799,454.0,0.7615,CL
66,3526.4271,12.9853,48.7169,31626.005,414.3467,876.1665,456.0,0.7654,CL
67,3551.1457,12.9229,48.7383,31880.6533,417.3065,1302.9433,458.0,0.772,CL
68,3574.598,12.8633,48.7585,32233.2915,416.7337,993.2161,456.0,0.772,CL
69,3599.5829,12.7987,48.7803,32672.6131,415.0,890.3087,458.0,0.772,CL
70,3618.5578,12.7487,48.7973,33063.9447,411.0,2721.1055,456.0,0.772,CL
71,3639.7286,12.6932,48.8161,33432.2864,410.0,941.7085,456.0,0.772,CL
72,3659.6332,12.6474,48.8315,33710.5528,409.0,440.9548,454.0,0.768,CL
73,3678.3266,12.5947,48.8493,33975.0,410.0,701.005,452.0,0.768,CL
74,3701.0503,12.5425,48.8669,34000.0,411.0,243.7186,454.0,0.772,CL
75,3726.8492,12.4709,48.8909,34000.0,411.0,0.0,454.0,0.772,CR
76,3746.6683,12.4187,48.9083,34000.0,411.0,0.0,454.0,0.772,CR
77,3771.2362,12.3583,48.9285,34000.0,411.9045,0.0,454.0,0.772,CR
78,3794.0503,12.297,48.9489,33975.0,412.0,0.0,454.0,0.772,CR
79,3813.6482,12.2499,48.9645,33979.397,412.1759,-530.1508,454.0,0.772,CR
80,3837.9196,12.1884,48.9848,34000.0,412.0,0.0,454.0,0.772,CR
81,3865.6935,12.1136,49.0094,34000.0,413.0,0.0,456.0,0.775,CR
82,3887.6281,12.057,49.0281,34000.0,413.0,0.0,454.593,0.772,CR
83,3911.3266,11.995,49.0485,34000.0,413.0,0.0,456.0,0.7747,CR
84,3933.2462,11.9377,49.0673,34000.0,413.0,0.0,456.0,0.776,CR
85,3956.7487,11.879,49.0866,34025.0,412.4171,0.0,456.0,0.776,CR
86,3980.6281,11.814,49.1079,34000.0,411.0,0.0,454.9146,0.7738,CR
87,4001.0201,11.7648,49.1239,34000.0,410.0,0.0,454.0,0.772,CR
88,4029.7739,11.6865,49.1493,33988.4422,409.0,-115.5779,454.0,0.772,CR
89,4055.2663,11.6212,49.1705,33975.0,409.0,0.0,452.0,0.768,CR
90,4082.2915,11.5528,49.1926,33975.0,408.6181,0.0,452.0,0.768,CR
91,4104.3417,11.4995,49.2098,33975.0,407.0,0.0,452.0,0.768,CR
92,4124.9045,11.4442,49.2276,33950.0,408.0,0.0,452.0,0.768,CR
93,4144.0452,11.3964,49.2429,33950.0,409.0,0.0,452.0,0.768,CR
94,4166.1055,11.3348,49.2627,33975.0,409.0,0.0,452.0,0.768,CR
95,4186.5427,11.2832,49.2792,33975.0,410.0,0.0,452.0,0.768,CR
96,4210.4221,11.2182,49.2999,33975.0,410.0,0.0,452.0,0.768,CR
97,4232.1005,11.1627,49.3176,33975.0,411.0,0.0,452.0,0.768,CR
98,4256.1206,11.1038,49.3363,34000.0,412.0,201.364,452.0,0.768,CR
99,4272.1206,11.057,49.3511,34000.0,413.0,0.0,454.0,0.772,CR
100,4297.8593,10.9901,49.3723,34000.0,413.0,0.0,453.9598,0.772,CR
101,4319.7588,10.9319,49.3906,34000.0,414.0,0.0,453.8794,0.772,CR
102,4365.8894,10.8104,49.4271,34000.0,414.0,-21.5363,454.0,0.772,CR
103,4387.5779,10.7498,49.4453,34000.0,414.0,0.0,454.0,0.772,CR
104,4413.2764,10.6852,49.4646,34000.0,413.0,0.0,454.0,0.772,CR
105,4435.8945,10.6224,49.4834,34000.0,413.0,0.0,454.0,0.772,CR
106,4459.4322,10.5597,49.5021,34000.0,412.2613,0.0,452.5226,0.769,CR
107,4481.397,10.5032,49.5189,33982.5377,412.0,-523.8693,452.0,0.768,CR
108,4504.6583,10.4393,49.5379,33975.0,412.6583,0.0,452.0,0.768,CR
109,4530.3266,10.3716,49.558,33975.0,412.3819,0.0,452.0,0.768,CR
110,4554.6231,10.3074,49.5769,33975.0,412.4221,0.0,452.0,0.768,CR
111,4610.0653,10.1589,49.6207,33988.4422,413.0,53.7688,452.0,0.7702,CR
112,4658.4724,10.0292,49.6586,34000.0,413.0,0.0,452.0,0.768,CR
113,4699.3719,9.9175,49.6911,34000.0,414.0,0.0,452.0,0.768,CR
114,4748.7588,9.7869,49.7289,34000.0,413.0,0.0,454.0,0.772,CR
115,4789.5226,9.6746,49.7612,34000.0,413.3769,0.0,454.0,0.772,CR
116,4833.6834,9.5585,49.7945,34000.0,414.3367,0.0,452.0,0.768,CR
117,4875.4824,9.4442,49.8271,33982.4121,415.0,-6.9895,452.0,0.768,CR
118,4909.0754,9.3518,49.8534,33975.0,415.0,-1115.5779,452.0,0.771,CR
