,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,16.5593,48.1194,0.0,9.0,0.0,0.0,0.0,GND
1,60.5377,16.5591,48.1191,0.0,9.0,0.0,0.0,0.0,GND
2,132.1005,16.559,48.119,0.0,0.0,0.0,0.0,0.0,GND
3,203.4523,16.5582,48.1178,0.0,30.7638,0.0,0.0,0.0,GND
4,264.2513,16.5617,48.1157,0.0,33.0452,0.0,0.0,0.0,GND
5,318.191,16.5661,48.1142,0.0,31.5628,0.0,0.0,0.0,GND
6,366.1508,16.5712,48.1126,0.0,17.3568,0.0,0.0,0.0,GND
7,538.3518,16.5761,48.11,0.0,15.3518,0.0,0.0,0.0,GND
8,574.804,16.5748,48.1093,0.0,13.6935,0.0,0.0,0.0,GND
9,616.6784,16.5725,48.1101,0.0,50.1658,0.0,0.0,0.0,CL
10,657.3769,16.5443,48.1189,1590.7035,121.8744,2718.593,159.7487,0.24,CL
11,710.2764,16.5003,48.0965,3454.7739,190.9146,3207.2864,158.0,0.3266,CL
12,747.206,16.4629,48.0707,4929.1457,249.3568,2395.3697,158.0,0.4104,CL
13,782.9899,16.4212,48.038,7607.6633,256.3266,4420.8543,158.0,0.424,CL
14,825.7035,16.3663,48.0013,9882.1608,285.0553,2093.593,158.0,0.4527,CL
15,871.1307,16.2944,47.9579,12487.6884,321.8844,2467.3367,324.0,0.5148,CL
16,913.603,16.2206,47.9131,14455.1508,351.603,2520.603,324.0,0.556,CL
17,953.1407,16.148,47.8687,16567.7136,363.0,3885.4271,367.4271,0.5829,CL
18,993.5226,16.0723,47.8225,18571.9849,372.7739,2530.402,374.2613,0.6005,CL
19,1101.9095,15.8288,47.738,23022.7387,370.7387,1560.3015,397.4774,0.6529,CL
20,1143.5025,15.7287,47.7136,24375.1256,382.0,1876.8844,398.0,0.68,CL
21,1177.5829,15.6443,47.6929,25627.7638,388.5276,1881.9095,398.0,0.6951,CL
22,1210.1055,15.5622,47.6727,27052.6382,387.0,2223.6181,398.0,0.708,CL
23,1245.1558,15.4743,47.6509,27984.1709,397.7889,1204.1457,428.0,0.7263,CL
24,1285.809,15.3676,47.6245,29260.3015,405.0,2698.4925,432.0,0.748,CL
25,1328.6985,15.2561,47.5967,30597.1106,412.4422,1325.5564,442.0,0.7593,CL
26,1373.9598,15.1338,47.566,31832.1608,423.3266,1581.6583,452.0,0.78,CL
