,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,16.5634,48.1152,0.0,32.0,0.0,80.0,0.124,GND
1,7.0402,16.564,48.1149,0.0,33.6734,0.0,80.0,0.124,GND
2,15.0402,16.5646,48.1148,0.0,15.3467,0.0,80.0,0.124,GND
3,20.0402,16.5652,48.1146,0.0,17.0,0.0,80.0,0.124,GND
4,30.3216,16.5664,48.1142,0.0,17.0,0.0,80.0,0.124,GND
5,37.1005,16.5671,48.1139,0.0,17.0,0.0,80.0,0.124,GND
6,46.0804,16.5681,48.1136,0.0,17.0,0.0,80.0,0.124,GND
7,50.8543,16.5687,48.1134,0.0,17.7136,0.0,80.0,0.124,GND
8,58.7739,16.5695,48.1131,0.0,18.3869,0.0,80.0,0.124,GND
9,61.3618,16.57,48.113,0.0,19.0,0.0,80.0,0.124,GND
10,71.402,16.5711,48.1126,0.0,19.0,0.0,80.0,0.124,GND
11,85.2563,16.5726,48.1121,0.0,17.407,0.0,80.0,0.124,GND
12,103.3668,16.5747,48.1114,0.0,33.0352,0.0,80.0,0.124,GND
13,124.2764,16.5752,48.1107,0.0,24.2613,0.0,80.0,0.124,GND
14,139.2814,16.5748,48.1101,0.0,25.0,0.0,80.0,0.124,GND
15,154.804,16.5742,48.1096,0.0,23.6985,0.0,80.0,0.124,GND
16,162.7739,16.5737,48.1097,0.0,21.0,0.0,80.0,0.124,GND
17,175.3417,16.5722,48.1102,0.0,34.4724,0.0,80.0,0.124,GND
18,183.7236,16.5689,48.1112,0.0,76.6533,0.0,80.0,0.1,CL
19,191.3819,16.5643,48.1128,0.0,107.1156,0.0,80.0,0.1,CL
20,224.402,16.5351,48.1214,1233.4171,143.4673,2379.7212,162.0,0.2461,CL
21,258.4221,16.4989,48.113,2235.5528,178.5628,1701.3976,162.0,0.2897,CL
22,263.4422,16.4931,48.1109,2340.7035,186.8844,1092.9648,162.0,0.3033,CL
23,285.1106,16.466,48.1006,2987.4372,216.9598,1712.271,162.0,0.3552,CL
24,307.3216,16.4365,48.0881,3774.1206,248.1608,2821.608,162.0,0.3966,CL
25,337.3618,16.3935,48.0666,5526.6332,255.6734,3616.7603,162.0,0.42,CL
26,371.0302,16.346,48.0431,7463.4422,261.0151,2713.133,162.0,0.426,CL
27,435.1809,16.2321,48.0348,10193.0905,281.3618,3186.0107,162.0,0.4607,CL
