,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,8.5581,47.4523,0.0,5.0,0.0,0.0,0.0,GND
1,75.707,8.5559,47.4525,0.0,0.0,0.0,0.0,0.0,GND
2,147.8812,8.5559,47.4521,0.0,0.0,0.0,0.0,0.0,GND
3,339.2023,8.5559,47.4521,0.0,0.0,0.0,0.0,0.0,GND
4,469.9749,8.5534,47.4562,0.0,14.6834,0.0,0.0,0.0,GND
5,512.8593,8.5525,47.4579,0.0,12.2864,0.0,0.0,0.0,GND
6,553.6841,8.5538,47.4588,0.0,3.0754,0.0,0.0,0.0,GND
7,609.2174,8.5587,47.4585,0.0,0.0,0.0,0.0,0.0,GND
8,684.5529,8.5615,47.4601,0.0,0.0,0.0,0.0,0.0,GND
9,764.5779,8.5615,47.4601,0.0,0.0,0.0,0.0,0.0,GND
10,810.0741,8.5615,47.4601,0.0,0.0,0.0,0.0,0.0,GND
11,874.1508,8.5615,47.4601,0.0,0.0,0.0,0.0,0.0,GND
12,937.4741,8.5615,47.4601,0.0,0.0,0.0,0.0,0.0,GND
13,1003.7236,8.5615,47.4601,0.0,0.0,0.0,0.0,0.0,GND
14,1102.18,8.5615,47.4601,0.0,0.0,0.0,0.0,0.0,GND
15,1155.8154,8.5625,47.46,0.0,6.0151,0.0,0.0,0.0,GND
16,1236.981,8.5662,47.4579,0.0,0.0,0.0,0.0,0.0,GND
17,1290.0955,8.5692,47.4577,0.0,1.7739,0.0,0.0,0.0,GND
18,1328.114,8.5697,47.4577,0.0,0.9246,0.0,0.0,0.0,GND
19,1357.2308,8.5704,47.4572,0.0,4.1307,0.0,0.0,0.0,GND
20,1387.6965,8.57,47.4566,0.0,0.1457,0.0,0.0,0.0,GND
21,1424.3815,8.57,47.4566,0.0,0.0,0.0,0.0,0.0,GND
22,1475.1564,8.5444,47.4585,2153.0151,156.0534,3745.2226,0.0,0.2293,CL
23,1556.6231,8.4683,47.4564,6153.5176,154.7286,1691.3137,158.0,0.2782,CL
24,1631.799,8.5407,47.4143,8392.4623,303.598,2231.1558,275.598,0.4383,CL
25,1700.7632,8.6836,47.441,12071.608,324.5128,2930.4188,166.9447,0.2657,CL
26,1743.0113,8.7738,47.4584,14369.598,331.3234,3321.8444,0.0,0.0,CL
27,1786.5933,8.8361,47.507,16558.6683,324.3383,1937.1404,203.8191,0.3292,CL
28,1819.4121,8.8617,47.5582,17285.3015,361.4121,1206.0302,355.2161,0.5784,CL
29,1897.465,8.9284,47.6907,19994.8492,402.9524,3649.2364,285.1357,0.4669,CL
30,1953.1276,8.9779,47.7891,21857.7889,422.4856,1341.7711,0.0,0.0,CL
31,2009.1433,9.0321,47.8964,23170.3518,452.3385,1179.1819,74.9246,0.1252,CL
32,2085.2615,9.1071,48.0439,26108.2915,448.9014,-899.4351,0.0,0.0,DE
33,2149.2664,9.1728,48.1727,27884.0452,462.9671,1284.4867,39.4372,0.0669,CL
34,2211.5729,9.2399,48.3033,29544.0955,468.9045,2336.1357,443.0955,0.7582,CL
35,2273.9704,9.3036,48.4268,31175.8794,465.384,1248.311,2.2613,0.0039,CL
36,2320.766,9.3536,48.5231,32496.2312,462.1409,2570.3496,240.8844,0.4172,CL
37,2367.9316,9.4021,48.6164,33489.9497,460.8803,1070.6598,0.0,0.0,CL
38,2440.1697,9.468,48.7625,34953.2663,451.675,409.5581,0.0,0.0,CL
39,2504.9199,9.5003,48.8962,35966.7085,452.3478,746.0886,71.6382,0.1254,CL
40,2564.6371,9.5305,49.0219,36539.5729,452.5058,864.208,311.7588,0.5442,CL
41,2633.4925,9.5645,49.163,37481.1558,445.0,806.447,438.0,0.764,CL
42,2771.2362,9.6335,49.4471,38000.0,455.0,0.0,442.0,0.772,CR
43,2882.7971,9.6896,49.676,38000.0,459.3721,-25.6111,0.0,0.0,CR
44,2940.1441,9.7199,49.7992,38025.0,460.0925,0.0,0.0,0.0,CR
45,3003.3724,9.7527,49.9296,38293.3417,457.8693,623.7817,254.2714,0.4415,CL
46,3067.028,9.7865,50.0648,38750.0,462.0262,359.6958,424.5226,0.741,CR
47,3117.2399,9.8262,50.1668,39000.0,472.8151,0.0,0.0,0.0,CR
48,3175.6985,9.92,50.2827,39000.0,471.0503,0.0,444.1005,0.7722,CR
49,3240.0895,10.0219,50.406,39000.0,473.1185,0.0,262.0905,0.4554,CR
50,3316.6474,10.1442,50.5527,39025.0,475.0422,0.0,60.5126,0.1053,CR
51,3410.3724,10.2956,50.7331,39000.0,473.291,0.0,0.0,0.0,CR
52,3459.3349,10.3757,50.8278,38994.4724,471.9787,2717.0733,97.2864,0.1698,CL
53,3500.1034,10.4463,50.9066,38950.0,474.1439,0.0,337.608,0.5866,CR
54,3546.4209,10.5332,50.9895,38975.0,474.9815,-68.5142,0.0,0.0,CR
55,3583.3015,10.5936,51.0646,39000.0,474.0,0.0,444.0,0.772,CR
56,3632.4384,10.6665,51.1605,39000.0,473.9805,-97.7293,268.7538,0.467,CR
57,3694.9761,10.7597,51.2824,39000.0,476.5486,0.0,29.1357,0.0507,CR
58,3731.3152,10.8159,51.3556,39025.0,476.3067,0.0,212.9146,0.3705,CR
59,3777.9677,10.8888,51.4504,39025.0,476.0118,0.0,431.1558,0.7526,CR
60,3815.2833,10.9441,51.5221,38975.0,477.0115,0.0,247.6382,0.43,CR
61,3873.667,11.0354,51.6398,39000.0,477.0492,0.0,398.9347,0.6941,CR
62,3928.1731,11.1189,51.7466,39000.0,478.9241,-194.4724,289.1156,0.503,CR
63,3969.5234,11.1821,51.827,39025.0,477.0213,0.0,84.7839,0.1482,CR
64,4006.5244,11.2414,51.9025,39000.0,477.007,0.0,324.2814,0.5664,CR
65,4038.4754,11.2912,51.9655,38993.0905,477.1287,571.8794,322.7337,0.5615,CL
66,4084.1986,11.3613,52.054,39000.0,477.5625,0.0,79.9598,0.1389,CR
67,4126.9378,11.4297,52.1397,39000.0,477.9657,0.0,282.0804,0.4901,CR
68,4168.8342,11.4949,52.2215,39000.0,477.9143,0.0,42.392,0.0737,CR
69,4220.949,11.5791,52.3261,39013.8191,477.9576,180.7993,246.5327,0.4289,CR
70,4261.4008,11.6422,52.4042,39025.0,477.4511,0.0,4.4824,0.0078,CR
71,4299.9457,11.7049,52.4816,39000.0,476.0785,0.0,207.4975,0.3608,CR
72,4334.8563,11.7623,52.5524,39000.0,475.0202,0.0,410.5327,0.7138,CR
73,4372.1457,11.8212,52.6243,39000.0,474.6181,0.0,442.0,0.7695,CR
74,4408.5601,11.8783,52.6938,38975.0,474.327,0.0,70.7538,0.1229,CR
75,4441.697,11.9319,52.7593,38975.0,474.2741,0.0,131.0452,0.2277,CR
76,4475.9432,11.9871,52.8261,38993.8442,474.2937,438.5777,108.8342,0.1891,CR
77,4515.8227,12.0531,52.9063,39000.0,475.8456,0.0,348.7136,0.6059,CR
78,4563.5275,12.129,52.9975,39000.0,476.8806,0.0,0.0,0.0,CL
79,4598.527,12.1884,53.0682,39025.0,477.9881,5083.5594,386.4724,0.675,CL
80,4637.4006,12.2529,53.1449,39025.0,478.91,0.0,258.8141,0.45,CR
81,4674.3661,12.3126,53.2159,39000.0,480.5202,0.0,17.8492,0.031,CR
82,4717.1107,12.3839,53.3004,39025.0,480.8732,0.0,0.0,0.0,CR
83,4748.9968,12.4398,53.3663,39000.0,481.0091,0.0,423.9196,0.7371,CR
84,4787.9819,12.5053,53.443,39010.3015,480.3139,259.3749,261.0452,0.4539,CR
85,4831.5845,12.579,53.5291,39000.0,480.0995,0.0,385.9899,0.6711,CR
86,4864.2754,12.6324,53.5914,39000.0,480.7617,0.0,0.0,0.0,CR
87,4904.4413,12.7012,53.6713,39000.0,481.1577,0.0,95.5075,0.1659,CR
88,4946.9007,12.7755,53.7569,39000.0,481.0485,0.0,335.3869,0.5828,CR
89,4980.397,12.8329,53.8228,38975.0,481.0,0.0,442.0,0.768,CR
90,5012.6231,12.8891,53.8873,39000.0,482.0,316.5829,442.0,0.768,CR
91,5049.4523,12.9527,53.96,39000.0,483.0,0.0,444.0,0.772,CR
92,5096.0478,13.0345,54.053,39000.0,485.011,0.0,412.7638,0.7177,CR
93,5128.0496,13.0887,54.1145,39000.0,485.3143,0.0,209.7286,0.3647,CR
94,5167.2826,13.157,54.1914,39025.0,486.9141,0.0,0.0,0.0,CR
95,5206.0725,13.2271,54.27,39025.0,487.1563,0.0,248.7739,0.4328,CR
96,5241.0972,13.2886,54.3387,39050.0,486.0316,0.0,44.8241,0.078,CR
97,5283.5687,13.3659,54.4248,39025.0,484.2557,0.0,285.5879,0.4966,CR
98,5321.4757,13.4342,54.5005,39000.0,483.1558,0.0,359.8191,0.6252,CR
99,5352.9452,13.4888,54.5607,38975.0,483.8819,0.0,119.9397,0.2084,CR
100,5387.3888,13.5506,54.6285,38975.0,482.0583,0.0,119.9397,0.2084,CR
101,5421.2747,13.6111,54.695,38975.0,482.4229,0.0,82.1809,0.1428,CR
102,5453.8523,13.6711,54.7608,39000.0,481.2286,0.0,284.3015,0.494,CR
103,5484.194,13.7269,54.8214,39000.0,482.008,0.0,395.7789,0.6908,CR
104,5511.926,13.7756,54.874,39000.0,482.2898,0.0,195.4573,0.3396,CR
105,5544.0587,13.8343,54.9375,39000.0,481.0229,0.0,433.3668,0.7564,CR
106,5579.4355,13.8988,55.0069,39000.0,482.9806,0.0,232.1608,0.4052,CR
107,5613.8516,13.9613,55.0741,39000.0,482.9971,0.0,409.0452,0.714,CR
108,5645.5831,14.0189,55.1357,39000.0,482.9749,0.0,170.2513,0.2987,CR
109,5681.2029,14.0861,55.2074,39000.0,482.1152,0.0,371.4573,0.6517,CR
110,5717.146,14.1509,55.2761,38992.4623,484.0402,-110.6856,132.0603,0.2316,DE
111,5749.0352,14.2124,55.3408,38975.0,484.0,-964.8241,439.5176,0.768,DE
112,5782.4753,14.2728,55.4043,39019.598,485.2947,405.5611,95.0754,0.1659,CR
113,5813.0888,14.3306,55.4648,39000.0,485.5491,0.0,145.0251,0.2535,CR
114,5841.5472,14.3862,55.5231,39025.0,485.1065,0.0,384.2513,0.6711,CR
115,5880.812,14.4595,55.5992,39025.0,485.336,0.0,259.8693,0.4539,CR
116,5912.165,14.5192,55.6613,39025.0,486.0016,0.0,423.9196,0.7409,CR
117,5941.8884,14.5747,55.7187,39000.0,485.4098,0.0,219.8894,0.3841,CR
118,5974.1623,14.6353,55.7812,39000.0,485.15,0.0,17.7688,0.031,CR
119,6012.262,14.7091,55.8565,39000.0,485.3472,0.0,184.3518,0.322,CR
120,6047.5946,14.7785,55.9274,39000.0,484.9368,0.0,384.7236,0.6715,CR
121,6077.3031,14.834,55.9838,39000.0,485.1044,0.0,145.9296,0.256,CR
122,6107.8292,14.8929,56.0437,38980.2764,485.47,-330.0103,92.4422,0.1629,CR
123,6141.9636,14.959,56.1106,39000.0,485.449,0.0,108.3417,0.1891,CR
124,6174.6896,15.0247,56.1767,39000.0,485.0463,0.0,310.9548,0.5431,CR
125,6214.2263,15.0997,56.2517,39000.0,485.1311,-256.5825,71.0754,0.1241,CR
126,6246.7166,15.1651,56.3168,39009.5477,484.2738,-1114.9705,271.9598,0.4747,DE
127,6275.2261,15.2216,56.3729,38998.1156,484.0,-37.6884,438.0,0.768,DE
128,6306.6639,15.2823,56.433,38975.0,485.2784,0.0,233.3065,0.407,CR
129,6335.9958,15.3423,56.4922,38975.0,486.0004,0.0,435.5779,0.7603,CR
130,6370.1641,15.4086,56.5572,39000.0,487.0598,0.0,244.3216,0.4267,CR
131,6404.1955,15.4751,56.6225,39000.0,487.5732,0.0,0.0,0.0,CR
132,6432.0681,15.5312,56.677,39000.0,487.8537,0.0,0.0,0.0,CR
133,6461.4573,15.5937,56.7376,39020.4774,488.0,409.5477,444.0,0.776,CR
134,6489.4956,15.6477,56.79,39043.0905,487.0968,-119.7841,122.7136,0.2145,CR
135,6517.6912,15.7062,56.8466,39025.0,487.1527,0.0,327.2161,0.5723,CR
136,6545.7152,15.7613,56.8996,39050.0,486.5618,0.0,85.1658,0.1489,CR
137,6575.7803,15.823,56.9589,39025.0,485.5286,0.0,156.8844,0.2744,CR
138,6607.4221,15.8901,57.0228,39000.0,483.0,0.0,441.7889,0.772,CR
139,6636.6022,15.9467,57.0767,38975.0,483.1006,0.0,192.3618,0.3358,CR
140,6668.0882,16.0098,57.1365,38975.0,483.1751,0.0,8.804,0.0154,CR
141,6696.9548,16.0718,57.1952,38975.0,482.0,0.0,440.0,0.768,CR
142,6731.8821,16.1436,57.2627,38453.2663,483.9894,-1614.8132,409.3869,0.7178,DE
143,6766.5542,16.2145,57.3291,37884.799,486.186,-496.2614,266.3216,0.467,DE
144,6795.4645,16.2726,57.3832,37471.2312,487.451,2109.1248,66.0302,0.1158,CL
