,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,8.554,47.4617,0.0,0.0,0.0,0.0,0.0,GND
1,47.3518,8.5543,47.4626,0.0,3.0,0.0,0.0,0.0,GND
2,105.8392,8.5546,47.4626,0.0,0.0,0.0,0.0,0.0,GND
3,235.0352,8.5546,47.4626,0.0,0.0,0.0,0.0,0.0,GND
4,318.8492,8.5541,47.4626,0.0,5.8141,0.0,0.0,0.0,GND
5,376.7588,8.5502,47.4629,0.0,12.0,0.0,0.0,0.0,GND
6,420.8141,8.5502,47.4612,0.0,9.2965,0.0,0.0,0.0,GND
7,470.9497,8.552,47.459,0.0,12.0,0.0,0.0,0.0,GND
8,514.0854,8.5553,47.4587,0.0,12.0,0.0,0.0,0.0,GND
9,685.2764,8.5692,47.4578,0.0,1.9447,0.0,0.0,0.0,GND
10,729.196,8.5698,47.4577,0.0,5.0,0.0,0.0,0.0,GND
11,772.1156,8.5701,47.4576,0.0,0.0,0.0,0.0,0.0,GND
12,847.0352,8.5701,47.4576,0.0,0.0,0.0,0.0,0.0,GND
13,897.7638,8.5701,47.4566,0.0,7.6181,0.0,0.0,0.0,GND
14,942.8492,8.5696,47.4567,0.0,0.0,0.0,0.0,0.0,GND
15,1008.4171,8.5273,47.4597,1988.9447,156.7588,2530.8384,0.0,0.054,CL
16,1096.799,8.4477,47.4386,4967.8392,181.4271,1038.7653,158.0,0.2789,CL
17,1148.6533,8.3998,47.403,6507.6633,229.0,2494.9749,182.1709,0.3573,CL
18,1232.6633,8.516,47.3775,9919.3467,273.995,2194.7236,267.3266,0.4182,CL
19,1291.6834,8.6445,47.3846,11244.7236,350.0,1000.0,344.0,0.5364,CL
20,1339.0352,8.7584,47.3905,11966.9598,360.3568,435.6784,348.0,0.5413,CL
21,1394.7739,8.8968,47.3976,12071.2312,363.4623,663.9447,350.0,0.548,CL
22,1482.6935,9.1156,47.4043,16785.0503,373.7236,2901.5075,366.9849,0.59,CL
23,1569.0905,9.3433,47.4047,21027.2613,397.0603,2409.2337,393.9397,0.6399,CL
24,1634.0704,9.5265,47.4047,23478.5176,421.0,2880.4738,400.603,0.6825,CL
25,1720.1859,9.7792,47.4042,26634.5477,442.794,1969.1103,428.392,0.7176,CL
26,1796.0553,10.0116,47.3985,29051.3819,451.0,1685.4271,442.7638,0.7535,CL
27,1852.995,10.1817,47.3713,30345.7286,453.0,1041.4573,452.3317,0.7727,CL
28,1913.6482,10.3655,47.3409,31000.0,456.8995,0.0,460.0,0.788,CR
29,1971.4673,10.54,47.3119,31000.0,458.0,0.0,458.0,0.7851,CR
30,2014.5528,10.6702,47.29,31000.0,458.0,0.0,459.0352,0.788,CR
31,2064.809,10.8205,47.2646,31000.0,458.0,0.0,458.603,0.7852,CR
32,2122.5126,10.9949,47.2347,31000.0,459.8291,0.0,459.8291,0.788,CR
33,2178.0854,11.1634,47.2056,31000.0,458.0,0.0,458.0,0.784,CR
34,2255.9598,11.3972,47.1648,31000.0,459.0,0.0,458.6935,0.788,CR
35,2317.6231,11.5811,47.1322,31000.0,458.0,0.0,458.0,0.784,CR
36,2381.201,11.7741,47.0977,31000.0,460.2211,-97.3618,460.0,0.788,CR
37,2467.0905,12.0199,47.0304,31051.8844,456.0101,503.7688,460.0101,0.788,CL
38,2595.8894,12.378,46.9099,34813.0653,457.0,1184.5477,458.8442,0.8032,CL
39,2754.4673,12.8038,46.7643,35000.0,441.0,0.0,440.2915,0.768,CR
