,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,8.5588,47.4516,0.0,0.0,0.0,0.0,0.0,GND
1,413.6077,8.5588,47.4516,0.0,0.0,0.0,0.0,0.0,GND
2,768.9332,8.5588,47.4516,0.0,0.0,0.0,0.0,0.0,GND
3,987.0503,8.5588,47.4516,0.0,0.0,0.0,0.0,0.0,GND
4,1178.7337,8.5588,47.4516,0.0,0.0,0.0,0.0,0.0,GND
5,1358.0739,8.5588,47.4516,0.0,0.0,0.0,0.0,0.0,GND
6,1558.008,8.5588,47.4517,0.0,3.9598,0.0,0.0,0.0,GND
7,1630.6784,8.5573,47.4526,0.0,5.0,0.0,8.0,0.012,GND
8,1677.2247,8.5561,47.4527,0.0,1.9598,0.0,5.2261,0.0078,GND
9,1714.0537,8.5559,47.4522,0.0,2.9548,0.0,7.8794,0.0118,GND
10,1895.3668,8.5557,47.4526,0.0,8.0,0.0,13.3668,0.02,GND
11,1945.3134,8.555,47.4553,0.0,8.4271,0.0,9.0754,0.0156,GND
12,1974.0426,8.5582,47.455,0.0,0.3618,0.0,0.3618,0.0006,GND
13,2001.7274,8.5615,47.4548,0.0,8.9497,0.0,9.6382,0.0138,GND
14,2034.3568,8.5641,47.4559,0.0,14.0,0.0,18.0,0.024,GND
15,2064.0503,8.5672,47.4558,0.0,16.0,0.0,14.0503,0.024,GND
16,2098.3869,8.5702,47.4562,0.0,12.0,0.0,16.0,0.024,GND
17,2127.7236,8.5674,47.4568,0.0,52.6181,0.0,12.0,0.0858,GND
18,2207.0302,8.4897,47.4623,3501.5075,166.0,1545.2261,164.0,0.248,CL
19,2330.6149,8.5552,47.4246,7467.0854,255.3982,3124.6144,194.1809,0.3017,CL
20,2432.903,8.7471,47.4232,11664.196,309.3641,1977.0729,118.8543,0.1864,CL
21,2619.2268,9.1761,47.4199,19407.0352,350.9033,2681.9532,0.0,0.0,CL
22,2691.4094,9.3517,47.4181,21760.1759,365.3677,1503.0552,265.9296,0.4334,CL
23,2759.7437,9.5273,47.416,23618.593,380.6281,1500.0,390.0,0.644,CL
24,2821.0499,9.6882,47.4138,25050.0,393.9988,1439.6985,382.0,0.6373,CL
25,2878.7085,9.8469,47.4115,26192.7136,409.0,1325.1256,404.0,0.676,CL
26,2942.6302,10.0255,47.4086,27734.4221,413.9867,1272.7874,256.7236,0.4337,CL
27,3013.0452,10.2288,47.405,29026.1307,428.9548,1381.7482,421.8191,0.716,CL
28,3077.7136,10.4192,47.4002,30067.8392,440.0,1328.1407,428.0,0.732,CL
