,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,8.5589,47.4523,0.0,5.0,0.0,0.0,0.0,GND
1,19.6683,8.5584,47.4526,0.0,6.0,0.0,0.0,0.0,GND
2,37.8693,8.5576,47.4526,0.0,6.0,0.0,0.0,0.0,GND
3,56.603,8.5568,47.4527,0.0,7.0,0.0,0.0,0.0,GND
4,87.9548,8.5554,47.4527,0.0,7.0,0.0,0.0,0.0,GND
5,105.005,8.555,47.4523,0.0,7.0,0.0,0.0,0.0,GND
6,262.608,8.5549,47.4523,0.0,10.804,0.0,0.0,0.564,GND
7,285.5427,8.5539,47.4537,0.0,13.593,0.0,0.0,0.564,GND
8,304.3467,8.5533,47.4546,0.0,12.0,0.0,0.0,0.564,GND
9,323.4121,8.5525,47.4558,0.0,13.794,0.0,0.0,0.564,GND
10,342.3467,8.5521,47.4563,0.0,3.6633,0.0,0.0,0.564,GND
11,361.2814,8.5519,47.4566,0.0,4.9296,0.0,0.0,0.564,GND
12,380.2161,8.5518,47.4568,0.0,1.804,0.0,0.0,0.564,GND
13,398.6884,8.5517,47.4569,0.0,2.0754,0.0,0.0,0.644,GND
14,418.0854,8.5513,47.4575,0.0,10.8141,0.0,0.0,0.644,GND
15,437.0201,8.5504,47.4587,0.0,16.0,0.0,0.0,0.644,GND
16,454.9548,8.5495,47.4601,0.0,19.7387,0.0,0.0,0.644,GND
17,473.8894,8.5484,47.4617,0.0,19.5276,0.0,0.0,0.644,GND
18,492.8241,8.5472,47.4634,0.0,21.206,0.0,0.0,0.644,GND
19,511.7588,8.5461,47.4651,0.0,18.0,0.0,0.0,0.0,GND
20,544.7136,8.5442,47.4679,0.0,22.6734,0.0,0.0,0.0,GND
21,589.6281,8.5415,47.4719,0.0,19.0,0.0,0.0,0.644,GND
22,608.7035,8.5404,47.4735,0.0,20.0,0.0,0.0,0.644,GND
23,624.8744,8.5394,47.4749,0.0,19.0,0.0,0.0,0.644,GND
24,661.2965,8.5367,47.4759,0.0,14.0,0.0,0.0,0.0,GND
25,694.392,8.5362,47.4754,0.0,0.0,0.0,0.0,0.0,GND
26,739.4322,8.5378,47.473,0.0,60.4824,0.0,0.0,0.7138,GND
27,787.8543,8.5591,47.4427,2787.9397,162.5729,3202.2613,167.1457,0.2535,CL
28,808.4271,8.5762,47.4342,3522.1106,171.799,1647.2362,168.7437,0.2557,CL
29,835.8291,8.6012,47.4463,4045.7286,182.1709,1228.6432,168.8945,0.2578,CL
30,862.0905,8.5865,47.4626,4526.7588,160.9899,754.1876,170.0,0.26,CL
31,902.4623,8.5402,47.4564,5105.7789,183.4623,750.0,170.0,0.3039,CL
32,931.4322,8.5013,47.4493,5523.8693,211.4322,1000.0,170.0,0.344,CL
