,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,8.5575,47.4518,0.0,0.0,0.0,100.0,0.152,GND
1,1421.6382,8.5568,47.4526,0.0,13.2261,0.0,100.0,0.152,GND
2,1462.6432,8.5558,47.4525,0.0,11.0,0.0,100.0,0.152,GND
3,1517.0704,8.5559,47.4521,0.0,10.6784,0.0,100.0,0.152,GND
4,1691.2864,8.5557,47.4527,0.0,24.7387,0.0,100.0,0.152,GND
5,1726.5427,8.5543,47.4549,0.0,31.8894,0.0,100.0,0.152,GND
6,1745.6432,8.5535,47.4561,0.0,29.7136,0.0,100.0,0.152,GND
7,1764.5025,8.5539,47.4567,0.0,24.2915,0.0,100.0,0.152,GND
8,1786.5729,8.5552,47.4566,0.0,21.9045,0.0,100.0,0.152,GND
9,1805.9296,8.5564,47.4566,0.0,24.4824,0.0,100.0,0.152,GND
10,1821.2161,8.5576,47.4565,0.0,27.8693,0.0,100.0,0.152,GND
11,1843.7688,8.5595,47.4564,0.0,31.0,0.0,100.0,0.152,GND
12,1863.0754,8.5614,47.4562,0.0,22.4221,0.0,100.0,0.152,GND
13,1883.1809,8.5637,47.456,0.0,18.0302,0.0,100.0,0.152,GND
14,1904.8342,8.5662,47.4559,0.0,33.0,0.0,100.0,0.152,GND
15,1922.2362,8.5678,47.4557,0.0,29.5879,0.0,100.0,0.152,GND
16,1939.5729,8.5691,47.4557,0.0,25.0,0.0,100.0,0.152,GND
17,1952.7337,8.5699,47.4558,0.0,22.0,0.0,100.0,0.152,GND
18,1977.8241,8.5702,47.4566,0.0,18.0352,0.0,100.0,0.152,GND
19,1993.1658,8.5699,47.4567,0.0,7.1307,0.0,100.0,0.152,GND
20,2016.6482,8.5699,47.4567,0.0,0.0,0.0,100.0,0.152,GND
21,2038.8794,8.5696,47.4567,0.0,16.3869,0.0,100.0,0.152,GND
22,2063.6131,8.5596,47.4574,0.0,107.9397,0.0,100.0,0.1766,CL
23,2085.799,8.5378,47.4588,1364.9497,159.598,3289.9111,100.0,0.2284,CL
24,2103.7186,8.5188,47.4598,2085.9296,164.7136,2197.2362,100.0,0.24,CL
25,2121.0201,8.4981,47.4611,2909.1709,167.6734,2554.4389,100.0,0.2507,CL
26,2134.3618,8.4837,47.4621,3469.598,168.0603,3015.0754,100.0,0.2482,CL
