,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,8.5584,47.4487,0.0,0.0,0.0,0.0,0.0,GND
1,247.8794,8.5584,47.4487,0.0,0.0,0.0,0.0,0.0,GND
2,511.9196,8.5584,47.4487,0.0,0.0,0.0,0.0,0.0,GND
3,717.8794,8.5584,47.4487,0.0,0.0,0.0,0.0,0.0,GND
4,809.8392,8.5584,47.4487,0.0,0.0,0.0,0.0,0.0,GND
5,931.799,8.5584,47.4487,0.0,0.0,0.0,0.0,0.0,GND
6,1048.7588,8.5584,47.4487,0.0,0.0,0.0,0.0,0.0,GND
7,1146.7186,8.5584,47.4487,0.0,0.0,0.0,0.0,0.0,GND
8,1268.6784,8.5584,47.4487,0.0,0.0,0.0,0.0,0.0,GND
9,1395.6382,8.5584,47.4487,0.0,0.0,0.0,0.0,0.0,GND
10,1626.392,8.5584,47.4487,0.0,0.0,0.0,0.0,0.0,GND
11,1796.1156,8.5584,47.4487,0.0,0.0,0.0,0.0,0.0,GND
12,1952.9246,8.5582,47.4487,0.0,3.5176,0.0,0.0,0.0,GND
13,2005.6417,8.5565,47.45,0.0,9.9497,0.0,0.0,0.0,GND
14,2100.9749,8.5548,47.4553,0.0,12.0,0.0,0.0,0.0,GND
15,2167.5784,8.5614,47.4548,0.0,0.0,0.0,0.0,0.0,GND
16,2282.2029,8.5702,47.4566,0.0,1.0854,0.0,3.2563,0.0065,GND
17,2315.3266,8.5675,47.4568,0.0,55.2965,0.0,10.0,0.024,GND
18,2387.3869,8.4983,47.462,3919.3467,159.9447,3000.0,154.0,0.2476,CL
19,2445.9468,8.4671,47.4403,6144.7236,172.7084,2096.7022,101.7085,0.1592,CL
20,2516.3568,8.5779,47.4447,8546.8593,274.0352,2685.3015,245.6784,0.3794,CL
21,2590.6181,8.7266,47.4585,11707.7889,324.3869,2340.5599,269.3869,0.4197,CL
22,2675.9849,8.8671,47.5478,14743.0905,371.2462,2577.8894,335.0151,0.526,CL
23,2734.1357,8.9489,47.6341,17180.2764,390.0603,1881.9095,354.0603,0.5641,CL
24,2800.2211,9.048,47.7382,19715.7035,408.3719,2000.0,369.1859,0.5904,CL
25,2865.995,9.1502,47.8449,22164.8241,421.0,2431.6583,384.0,0.624,CL
26,2919.3819,9.2363,47.9343,23784.5477,433.0,286.4322,396.0,0.648,CL
27,2961.7487,9.3006,48.0065,25143.7186,436.0,874.3719,400.8342,0.6577,CL
28,3007.9635,9.3157,48.0988,26225.6281,443.0047,-969.4227,397.7487,0.659,CL
29,3059.8456,9.3225,48.2083,27527.5126,453.3387,1665.9109,262.1307,0.4356,CL
30,3097.2764,9.3275,48.2863,28281.9095,463.0,61.3782,418.0,0.699,CR
31,3151.603,9.335,48.4042,29740.0754,465.0,1924.6231,420.0,0.708,CL
32,3228.6281,9.3456,48.5696,31377.1357,471.0,1000.0,416.0,0.708,CL
33,3315.3467,9.3578,48.7585,33136.9347,472.0,1195.1005,412.0,0.712,CL
34,3388.6332,9.3682,48.9184,34025.0,477.3266,3311.6394,412.6533,0.7173,CL
35,3428.3907,9.3742,49.0098,34000.0,474.637,0.0,0.0,0.0,CR
36,3464.8653,9.3794,49.0894,34000.0,474.3896,0.0,0.0,0.0,CR
37,3509.6811,9.3858,49.186,34000.0,475.1336,0.0,206.0302,0.3578,CR
38,3570.3823,9.4034,49.3208,34000.0,476.1475,0.0,0.0,0.0,CR
39,3637.2864,9.4239,49.464,34000.0,476.0,0.0,410.0,0.712,CR
40,3695.4848,9.4425,49.592,34375.0,475.0157,804.6907,276.7839,0.483,CL
41,3796.3518,9.4747,49.81,35878.5176,472.0704,507.0352,404.0,0.7083,CL
42,3858.3869,9.4949,49.9461,36000.0,475.0,0.0,406.0,0.712,CR
43,3919.6203,9.5153,50.0824,36717.7136,472.0047,1035.9566,0.0,0.0,CL
44,3952.4774,9.5255,50.1504,37118.4673,469.7538,-3262.4395,402.0,0.712,CL
45,3988.6057,9.5375,50.2301,37556.9095,468.0112,760.959,144.7236,0.2576,CL
46,4029.0148,9.5564,50.3173,38000.0,466.465,901.7722,12.1809,0.0216,CL
47,4070.709,9.597,50.4015,38000.0,464.2901,0.0,169.6884,0.3005,CL
48,4105.5899,9.6325,50.4734,38000.0,460.2663,0.0,73.6281,0.1309,CR
49,4145.9297,9.6731,50.5554,38000.0,464.3985,0.0,82.4121,0.1467,CR
50,4199.392,9.726,50.6613,38000.0,464.0,0.0,398.0,0.7096,CR
51,4263.9397,9.7929,50.7948,38000.0,466.9899,0.0,398.0,0.708,CR
52,4316.6441,9.8484,50.9049,38000.0,468.8233,0.0,247.2362,0.4401,CR
53,4371.3216,9.9048,51.016,38000.0,466.2261,0.0,401.5477,0.712,CR
54,4423.995,9.9594,51.1231,38000.0,465.0,0.0,398.0,0.708,CR
55,4473.2671,10.012,51.2259,38000.0,466.1149,0.0,222.0,0.3949,CR
56,4507.9929,10.0483,51.2966,38000.0,466.0131,0.0,379.8995,0.6762,CR
57,4543.1409,10.086,51.3695,38000.0,466.4603,0.0,136.6834,0.2433,CR
58,4576.4215,10.1208,51.4367,38000.0,466.1862,0.0,292.0,0.5224,CR
59,4615.6577,10.1637,51.5194,38000.0,466.6992,0.0,0.0,0.0,CR
60,4661.441,10.2117,51.6115,38000.0,464.8559,0.0,192.0,0.3415,CR
61,4717.4573,10.271,51.7248,38000.0,462.9095,0.0,398.1809,0.7084,CR
62,4778.0151,10.3359,51.848,38000.0,466.0,0.0,396.603,0.7052,CR
63,4838.7739,10.4015,51.9718,38000.0,467.0,0.0,398.0,0.708,CR
64,4923.2876,10.4938,52.1448,38000.0,464.2869,0.0,364.0,0.6475,CR
65,4985.9095,10.5617,52.2713,38000.0,464.0,0.0,396.0,0.7059,CR
66,5038.608,10.6205,52.3801,38000.0,467.0,0.0,402.0,0.716,CR
67,5073.67,10.6602,52.4533,38000.0,465.4437,0.0,104.5226,0.1861,CR
68,5108.3065,10.6971,52.521,38000.0,464.0,0.0,399.3065,0.7106,CR
69,5143.0802,10.7361,52.5923,38000.0,464.0326,0.0,378.0905,0.676,CR
70,5178.6088,10.7765,52.6662,38000.0,467.3488,0.0,225.1256,0.4007,CR
71,5214.4874,10.8159,52.7376,38000.0,467.0,0.0,402.0,0.716,CR
72,5253.107,10.8599,52.8174,38000.0,465.0356,0.0,310.0,0.5515,CR
73,5313.2261,10.9273,52.9389,38000.0,464.0,0.0,398.0,0.708,CR
74,5369.0201,10.9906,53.0523,38000.0,465.0,0.0,401.9899,0.712,CR
75,5419.1723,11.0489,53.1563,38000.0,464.6997,0.0,158.0,0.2827,CR
76,5483.3668,11.1216,53.285,38000.0,464.0,0.0,394.0,0.704,CR
77,5536.0854,11.1819,53.3914,38000.0,467.0,0.0,398.3618,0.716,CR
78,5583.9723,11.2385,53.4905,38000.0,464.2144,0.0,226.8543,0.4033,CR
79,5615.4978,11.2764,53.5567,38000.0,466.9218,0.0,14.0704,0.025,CR
80,5653.0052,11.3197,53.632,38000.0,466.9479,0.0,142.7136,0.2555,CR
81,5694.5739,11.3689,53.7173,38000.0,466.03,0.0,100.0,0.1789,CR
82,5730.7695,11.4109,53.7898,38000.0,465.0227,0.0,342.0,0.6084,CR
83,5778.6633,11.4668,53.886,38000.0,463.0,0.0,396.0,0.7059,CR
84,5826.6985,11.5231,53.9821,38000.0,465.9246,0.0,397.8492,0.708,CR
85,5881.6332,11.5894,54.095,38000.0,469.0,0.0,399.3668,0.712,CR
86,5929.5063,11.6478,54.1937,38000.0,469.226,0.0,283.4171,0.5045,CR
87,5977.351,11.7071,54.2935,38000.0,468.9069,0.0,40.0,0.0712,CR
88,6018.2663,11.7561,54.3757,38000.0,468.4415,0.0,202.0,0.3593,CR
89,6055.9829,11.8054,54.4512,38000.0,468.0782,0.0,350.2312,0.6226,CR
90,6096.3835,11.8844,54.5275,38000.0,472.2982,0.0,110.0,0.1957,CR
91,6130.1018,11.9514,54.5899,38000.0,475.7669,0.0,132.0,0.2361,CR
92,6163.2907,12.0159,54.6498,38000.0,477.9413,0.0,377.7588,0.6728,CR
93,6196.3781,12.0846,54.7132,38000.0,474.4541,0.0,181.809,0.3238,CR
94,6231.4176,12.1564,54.7793,38000.0,472.6318,0.0,0.0,0.0,CR
95,6268.0406,12.2278,54.8447,38000.0,468.2636,0.0,304.0,0.5408,CR
96,6306.4277,12.3043,54.9144,38000.0,467.1333,0.0,248.7437,0.4422,CR
97,6355.1206,12.4008,55.0021,38000.0,469.0,0.0,400.0,0.7081,CR
98,6409.6482,12.5118,55.1022,38000.0,465.5879,0.0,402.0,0.7136,CR
99,6457.8006,12.6103,55.1906,38000.0,459.0071,0.0,78.7839,0.1395,CR
100,6497.7148,12.6901,55.2619,38000.0,457.3978,0.0,78.0,0.138,CR
101,6532.7673,12.7598,55.3239,38000.0,460.5799,123.6181,164.8241,0.2934,CR
102,6569.5923,12.835,55.3905,38000.0,461.4172,0.0,8.0402,0.0143,CR
103,6604.2094,12.9036,55.4511,38000.0,459.4935,0.0,251.2563,0.4447,CR
104,6636.1899,12.9732,55.5051,38000.0,460.7892,0.0,305.5276,0.5408,CR
105,6666.6649,13.0443,55.5587,37996.1055,462.0717,-84.4788,62.0,0.1103,CR
106,6698.7387,13.1132,55.6109,38000.0,463.0,0.0,400.9045,0.7138,CR
107,6732.9571,13.1922,55.6704,38000.0,462.0449,0.0,377.7588,0.6691,CR
108,6766.9768,13.2708,55.7294,38000.0,459.4464,0.0,132.0,0.2348,CR
109,6802.2168,13.348,55.7871,38000.0,458.0966,0.0,286.5528,0.5094,CR
110,6842.862,13.4433,55.8578,38000.0,460.1738,0.0,46.0,0.0814,CR
111,6886.0452,13.5389,55.9285,38000.0,463.0,0.0,400.0,0.71,CR
112,6932.598,13.6469,56.0078,38000.0,464.0,0.0,398.402,0.708,CR
113,6974.1658,13.7438,56.0787,38000.0,464.7085,0.0,402.0,0.712,CR
114,7013.584,13.8377,56.1471,38000.0,461.9079,0.0,127.2663,0.2267,CR
115,7051.3893,13.9269,56.2117,38000.0,459.6176,0.0,29.8492,0.0531,CR
116,7085.1138,14.0037,56.2671,38000.0,459.3122,0.0,213.0653,0.3793,CR
117,7122.8264,14.093,56.3313,38000.0,460.2811,0.0,56.0,0.0996,CR
118,7156.8872,14.17,56.3864,38000.0,460.9966,0.0,298.0,0.5301,CR
119,7187.9525,14.2447,56.4397,38000.0,462.1087,0.0,257.2864,0.458,CR
120,7219.0992,14.3158,56.4902,38000.0,462.0107,0.0,385.9296,0.687,CR
121,7249.4271,14.389,56.542,38000.0,463.0,0.0,400.0,0.712,CR
122,7281.3203,14.468,56.5978,38000.0,463.5103,0.0,72.3618,0.1288,CR
123,7312.071,14.5414,56.6493,38000.0,463.4916,0.0,84.4221,0.1503,CR
124,7346.2814,14.6226,56.7062,38000.0,463.2432,0.0,158.794,0.2827,CR
125,7383.9999,14.7123,56.7688,38000.0,463.002,0.0,396.0,0.7044,CR
126,7424.1908,14.8107,56.8371,38000.0,464.0383,0.0,153.2261,0.2724,CR
127,7463.8945,14.9051,56.9024,38000.0,465.7789,0.0,398.0,0.7111,CR
128,7504.7769,15.0062,56.9718,38000.0,466.0068,0.0,328.3417,0.5904,CR
129,7545.4615,15.1069,57.0407,38000.0,466.3935,0.0,174.8744,0.3113,CR
130,7575.9877,15.1796,57.0903,38000.0,466.0217,0.0,381.9095,0.6798,CR
131,7609.3107,15.2651,57.1484,38000.0,466.3132,0.0,137.3065,0.2455,CR
132,7643.2207,15.3509,57.2063,38000.0,467.3683,0.0,0.0,0.0,CR
133,7676.9861,15.4347,57.2628,38000.0,467.6936,0.0,52.0,0.0925,CR
134,7706.6686,15.508,57.3119,38000.0,467.3809,0.0,209.0452,0.3721,CR
135,7736.2005,15.5832,57.3622,38000.0,468.3326,0.0,34.0,0.0601,CR
136,7767.6672,15.6612,57.4141,38000.0,469.5377,0.0,122.0,0.217,CR
137,7796.8571,15.7358,57.4636,38000.0,472.4413,0.0,120.0,0.2135,CR
138,7829.183,15.816,57.5166,38000.0,474.0551,0.0,363.8191,0.6476,CR
139,7860.7008,15.8993,57.5715,38000.0,473.9742,0.0,193.9296,0.3435,CR
140,7892.8921,15.9812,57.6252,38000.0,473.009,0.0,349.7487,0.6226,CR
141,7928.5785,16.0731,57.6851,38000.0,470.9664,0.0,289.0653,0.5136,CR
