,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,8.5586,47.4535,0.0,0.0,0.0,180.0,0.152,GND
1,28.9397,8.5586,47.4535,0.0,0.0,0.0,180.0,0.152,GND
2,43.6985,8.5586,47.4535,0.0,0.0,0.0,180.0,0.152,GND
3,63.3668,8.5586,47.4535,0.0,0.0,0.0,180.0,0.152,GND
4,79.6382,8.5586,47.4535,0.0,0.0,0.0,180.0,0.152,GND
5,98.2462,8.5586,47.4535,0.0,0.0,0.0,180.0,0.152,GND
6,114.4573,8.5586,47.4535,0.0,0.0,0.0,180.0,0.152,GND
7,152.4171,8.5586,47.4535,0.0,0.0,0.0,180.0,0.152,GND
8,172.3116,8.5586,47.4535,0.0,0.0,0.0,180.0,0.152,GND
9,197.9648,8.5586,47.4535,0.0,0.0,0.0,180.0,0.152,GND
10,217.1357,8.5586,47.4535,0.0,0.0,0.0,180.0,0.152,GND
11,253.5126,8.5586,47.4535,0.0,0.0,0.0,180.0,0.152,GND
12,271.8191,8.5586,47.4534,0.0,10.8191,0.0,180.0,0.152,GND
13,299.8241,8.5585,47.4528,0.0,14.0,0.0,180.0,0.152,GND
14,447.8543,8.5581,47.4526,0.0,23.0452,0.0,180.0,0.152,GND
15,493.0955,8.5572,47.4527,0.0,32.5477,0.0,180.0,0.152,GND
16,503.2764,8.5561,47.4528,0.0,15.7588,0.0,180.0,0.152,GND
17,524.4121,8.5549,47.4541,0.0,17.4874,0.0,180.0,0.152,GND
18,538.5578,8.5546,47.455,0.0,30.2714,0.0,180.0,0.152,GND
19,549.2814,8.5553,47.4553,0.0,30.0,0.0,180.0,0.152,GND
20,568.0955,8.5569,47.4551,0.0,32.397,0.0,180.0,0.152,GND
21,579.4171,8.5581,47.4551,0.0,34.0,0.0,180.0,0.152,GND
22,589.005,8.5591,47.455,0.0,16.3367,0.0,180.0,0.152,GND
23,599.2261,8.5605,47.4549,0.0,20.9598,0.0,180.0,0.152,GND
24,621.4673,8.5625,47.4551,0.0,22.2563,0.0,180.0,0.152,GND
25,631.2312,8.5625,47.4553,0.0,13.6382,0.0,180.0,0.152,GND
26,645.0402,8.5625,47.4555,0.0,6.2563,0.0,180.0,0.152,GND
27,652.3719,8.5625,47.4556,0.0,9.0,0.0,180.0,0.152,GND
28,668.4673,8.5626,47.4558,0.0,11.5779,0.0,180.0,0.152,GND
29,682.0653,8.5626,47.4561,0.0,12.3116,0.0,180.0,0.152,GND
30,694.9296,8.5626,47.4562,0.0,4.0704,0.0,180.0,0.152,GND
31,714.3266,8.5626,47.4562,0.0,0.0,0.0,180.0,0.152,GND
32,729.1407,8.5626,47.4562,0.0,5.6935,0.0,180.0,0.152,GND
33,745.005,8.5627,47.4567,0.0,27.5126,0.0,180.0,0.152,GND
34,763.9246,8.5629,47.4582,0.0,16.4874,0.0,180.0,0.152,GND
35,774.7236,8.5631,47.459,0.0,18.0,0.0,180.0,0.152,GND
36,800.201,8.5633,47.4603,0.0,10.6281,0.0,180.0,0.152,GND
37,814.8643,8.5634,47.4607,0.0,20.7487,0.0,180.0,0.152,GND
38,826.8543,8.564,47.4612,0.0,30.0,0.0,180.0,0.152,GND
39,840.4171,8.5642,47.4615,0.0,16.6432,0.0,180.0,0.152,GND
40,915.1307,8.5602,47.4645,0.0,56.6834,0.0,180.0,0.1695,CL
41,934.2915,8.5508,47.4713,0.0,142.6382,0.0,180.0,0.1836,CL
42,952.5678,8.5374,47.4812,1791.7085,163.0,2052.4049,180.0,0.2461,CL
43,970.2211,8.5247,47.4912,2492.0854,162.3518,2456.0302,180.0,0.252,CL
44,983.3668,8.5162,47.4998,3042.8392,163.3367,3194.4724,180.0,0.2533,CL
45,1002.6432,8.5054,47.5122,3732.1608,163.0,2406.407,168.6432,0.256,CL
46,1019.1457,8.4963,47.5228,4268.9698,165.0,1871.4175,170.0,0.26,CL
47,1027.9146,8.4913,47.5286,4572.8643,165.1658,3625.6281,172.0,0.2635,CL
48,1040.4874,8.4826,47.5369,4866.4573,172.9347,1361.809,178.0,0.2782,CL
49,1052.0905,8.4711,47.5417,5070.7286,181.8744,1081.6583,182.7035,0.2903,CL
50,1064.4623,8.455,47.5415,5293.0905,196.9548,823.8693,196.0,0.3119,CL
51,1076.7739,8.438,47.5365,5503.8945,217.3166,1297.7387,196.0,0.3434,CL
52,1090.9447,8.419,47.5278,5707.4121,245.2412,1391.9598,196.0,0.3883,CL
53,1103.809,8.4021,47.5195,5990.3266,260.809,1634.0034,196.0,0.4072,CL
54,1114.6734,8.3858,47.5116,6444.7236,270.7437,3517.5879,196.0,0.4077,CL
55,1131.5126,8.3584,47.4983,7008.5427,274.1709,1552.7638,196.0,0.424,CL
56,1147.4673,8.3359,47.4874,7361.6834,276.0,1402.5899,196.0,0.428,CL
57,1155.7035,8.3211,47.4803,7656.6583,276.1407,2442.2111,196.0,0.4326,CL
58,1170.3769,8.2987,47.4696,8321.9849,278.8744,2800.5025,196.0,0.4435,CL
59,1182.3317,8.2795,47.4604,8988.8191,279.0,3241.206,196.0,0.4404,CL
60,1194.8593,8.2597,47.4509,9590.5779,281.191,2984.0871,196.0,0.448,CL
61,1206.2412,8.2425,47.4426,10110.0503,283.0804,2500.0,196.0,0.4523,CL
62,1221.4573,8.2177,47.4306,10581.5327,294.4573,1691.6726,196.0,0.4723,CL
63,1230.603,8.2018,47.4229,10735.0503,306.7035,1474.8744,202.2312,0.481,CL
64,1245.4221,8.1759,47.4104,10982.9146,324.5276,1004.397,326.4925,0.5087,CL
65,1263.0804,8.142,47.394,11326.005,346.0402,1239.9497,342.0402,0.5362,CL
66,1269.0452,8.131,47.3886,11425.7538,350.0553,1497.4874,348.0603,0.5481,CL
67,1289.8794,8.0896,47.3685,11673.995,371.8894,505.0251,369.8995,0.5798,CL
68,1302.7739,8.0634,47.3558,11797.4874,375.9497,659.3384,373.9497,0.5839,CL
69,1317.4774,8.0328,47.3409,12161.9347,379.8392,1500.0,379.8392,0.5955,CL
70,1328.7236,8.0091,47.3292,12733.4171,381.0,3553.0151,382.0,0.596,CL
71,1340.6482,7.9815,47.3157,13303.8945,381.0,3512.5628,383.8593,0.6037,CL
72,1358.1457,7.9448,47.2978,14015.8291,383.8291,2403.2035,385.8291,0.6077,CL
73,1365.598,7.9311,47.2911,14259.9246,384.8995,2174.6231,386.0,0.6116,CL
74,1374.191,7.9121,47.2818,14551.8844,387.7688,1862.8859,388.0,0.612,CL
75,1397.6935,7.8609,47.2567,15357.5377,394.608,1975.1974,392.0,0.6235,CL
