,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,8.5588,47.452,0.0,13.0,0.0038,78.0,0.12,GND
1,64.8241,8.5577,47.4526,0.0,14.0,0.0,78.0,0.12,GND
2,76.6985,8.5573,47.4526,0.0,14.0,0.0,78.0,0.12,GND
3,87.5477,8.557,47.4527,0.0,14.0,0.0,78.0,0.12,GND
4,97.6985,8.5567,47.4527,0.0,14.0,0.0,78.0,0.12,GND
5,114.6181,8.5562,47.4527,0.0,14.0,0.0,78.0,0.12,GND
6,127.0955,8.556,47.4525,0.0,13.8492,0.0,78.0,0.12,GND
7,137.1206,8.5558,47.4524,0.0,13.0,0.0,78.0,0.12,GND
8,280.593,8.5559,47.4522,0.0,15.794,0.0,78.0,0.12,GND
9,294.6432,8.5557,47.4528,0.0,28.0955,0.0,78.0,0.12,GND
10,304.4925,8.5553,47.4534,0.0,32.2462,0.0,78.0,0.12,GND
11,322.1709,8.5545,47.4546,0.0,18.7236,0.0,78.0,0.12,GND
12,337.0955,8.5537,47.4557,0.0,19.603,0.0,78.0,0.12,GND
13,349.0201,8.5534,47.4565,0.0,33.3467,0.0,78.0,0.12,GND
14,360.9447,8.5543,47.4567,0.0,31.6482,0.0,78.0,0.12,GND
15,373.1156,8.5555,47.4566,0.0,21.7839,0.0,78.0,0.12,GND
16,388.3819,8.5572,47.4565,0.0,17.598,0.0,78.0,0.12,GND
17,401.4372,8.5588,47.4564,0.0,19.5729,0.0,78.0,0.12,GND
18,413.2864,8.5604,47.4563,0.0,21.5477,0.0,78.0,0.12,GND
19,425.1357,8.5623,47.4561,0.0,23.5226,0.0,78.0,0.12,GND
20,436.9849,8.5642,47.456,0.0,25.0,0.0,78.0,0.12,GND
21,448.8342,8.5659,47.4559,0.0,20.5276,0.0,78.0,0.12,GND
22,460.6834,8.5676,47.4558,0.0,21.4472,0.0,78.0,0.12,GND
23,472.5327,8.5692,47.4557,0.0,17.3116,0.0,78.0,0.12,GND
24,484.7789,8.5701,47.4559,0.0,30.397,0.0,78.0,0.12,GND
25,496.2312,8.5701,47.4565,0.0,28.0,0.0,78.0,0.12,GND
26,508.0804,8.5688,47.4567,0.0,28.4422,0.0,78.0,0.12,GND
27,520.608,8.5635,47.4571,0.0,92.6131,0.0,78.0,0.1462,GND
28,531.4824,8.5542,47.4578,0.0,142.9648,0.0,78.0,0.2151,GND
29,552.5427,8.533,47.4591,2154.2714,157.2714,3085.4271,78.0,0.2531,CL
30,563.9849,8.5204,47.4599,2799.2462,159.2462,3376.8844,78.0,0.272,CL
31,576.6633,8.5067,47.461,3569.2211,156.5578,3513.191,78.0,0.28,CL
32,588.5879,8.4946,47.4622,4334.2965,149.608,3701.005,78.0,0.272,CL
33,603.1005,8.4797,47.4615,5048.2412,150.3216,3230.5276,174.0,0.2755,CL
34,630.7286,8.4593,47.4476,5725.5025,189.5829,1587.4372,174.0,0.3229,CL
35,648.3618,8.4443,47.4361,6259.0452,206.4824,1793.1323,174.0,0.3664,CL
36,660.2864,8.4292,47.4298,6557.1608,223.7638,1500.0,174.0,0.408,CL
37,670.9698,8.4144,47.423,6799.2462,238.4221,1035.1759,174.0,0.4246,CL
38,707.2714,8.3654,47.3994,7705.6533,242.0,1846.7337,174.0,0.4324,CL
39,723.1005,8.3448,47.3894,8102.5126,240.0603,1500.0,174.0,0.432,CL
40,737.9698,8.3238,47.3805,8573.8693,247.9899,2248.1156,174.0,0.432,CL
41,751.8492,8.3011,47.3729,9169.7236,259.8492,2127.1357,174.0,0.4399,CL
42,766.7789,8.2762,47.3646,9812.5628,271.8342,3354.2714,174.0,0.456,CL
43,782.6784,8.2513,47.3561,10558.9196,277.598,2965.542,174.0,0.464,CL
44,797.4724,8.2253,47.347,10964.4472,296.2613,1231.6583,174.0,0.48,CL
45,811.4774,8.1973,47.3372,11215.201,318.2161,1134.799,330.1709,0.5214,CL
46,827.0653,8.1678,47.3267,11664.9497,334.0653,2191.5829,339.3769,0.5354,CL
47,841.5528,8.1378,47.316,12302.6382,340.6382,2864.3216,344.0,0.552,CL
48,855.3819,8.1089,47.3057,13133.794,340.0,4103.0151,344.0,0.5552,CL
49,871.0754,8.0762,47.294,13992.2111,343.5377,3518.8442,344.0,0.5631,CL
50,887.7186,8.0423,47.2853,14667.3367,344.2563,2557.2146,344.0,0.571,CL
51,902.0302,8.0084,47.2846,15318.7186,343.0,2498.2053,344.0,0.5709,CL
52,921.4673,7.9616,47.2883,16098.3668,351.0804,2724.1206,344.0,0.5855,CL
53,936.0101,7.9269,47.2913,16725.5025,355.3367,3000.0,369.3367,0.596,CL
54,961.5729,7.865,47.2968,17976.8844,357.7136,3723.6181,367.5678,0.612,CL
55,975.0905,7.8327,47.2997,18744.9749,353.3819,3567.3367,364.0,0.616,CL
56,991.5578,7.7937,47.303,19438.9447,356.1859,1957.9146,364.0,0.616,CL
57,1014.9246,7.7368,47.3081,20336.0553,363.1357,2497.3439,364.0,0.6308,CL
58,1037.2563,7.683,47.3127,21092.8392,371.6281,1478.6432,364.0,0.644,CL
59,1069.3518,7.6006,47.3198,22313.191,377.5176,2370.603,364.0,0.6601,CL
60,1104.2513,7.5102,47.3275,23604.397,382.9397,2294.8264,364.0,0.6759,CL
61,1142.804,7.4091,47.336,24955.1508,389.0,2250.0,364.0,0.6939,CL
62,1162.2111,7.357,47.3404,25652.3869,391.4422,2288.2538,418.0,0.7,CL
63,1177.6683,7.3184,47.3436,26127.1357,393.0,1656.407,418.0,0.712,CL
64,1191.9598,7.2778,47.347,26668.593,393.392,2100.0,418.0,0.716,CL
65,1207.8342,7.2372,47.3503,27130.0251,395.3668,1800.0,418.0,0.7255,CL
66,1239.3668,7.1528,47.3572,28368.3417,392.3166,2506.2814,418.0,0.7306,CL
67,1250.5327,7.123,47.3597,28862.0603,389.0,1678.0779,418.0,0.728,CL
68,1269.4573,7.0743,47.3651,29421.8593,388.5829,1590.8291,418.0,0.728,CL
69,1283.799,7.0356,47.3698,29606.6583,395.799,683.4171,426.0,0.7392,CL
70,1312.9648,6.9619,47.3788,29943.0905,408.4824,759.1529,426.0,0.765,CL
71,1332.8643,6.9043,47.3858,30210.804,416.0,704.7739,428.0,0.78,CL
72,1344.3819,6.873,47.3896,30439.3216,417.0,1643.2161,428.0,0.784,CL
73,1357.1558,6.8351,47.3942,30779.0201,416.8342,1072.3811,428.0,0.7833,CL
74,1379.4221,6.7712,47.4018,30975.0,413.8593,429.6482,428.0,0.78,CL
75,1390.5779,6.7386,47.4057,30977.8894,412.0,34.6734,428.0,0.776,CR
76,1414.4523,6.6737,47.4135,30975.0,412.0,0.0,428.0,0.7764,CR
77,1428.2613,6.6396,47.4175,30975.0,412.0,0.0,428.0,0.78,CR
78,1439.1608,6.6058,47.4215,30975.0,412.9598,0.0,428.0,0.776,CR
79,1450.1809,6.5766,47.4259,30975.0,412.9548,0.0,428.0,0.78,CR
80,1474.9799,6.5115,47.4424,30975.0,409.0101,0.0,453.7387,0.78,CR
81,1488.7538,6.4828,47.4533,30975.0,409.0,0.0,454.0,0.78,CR
82,1514.6985,6.4182,47.4799,30975.0,410.0,0.0,452.0,0.78,CR
83,1525.8291,6.3891,47.4919,30975.0,410.0854,0.0,452.0,0.78,CR
84,1539.2261,6.3609,47.5036,30975.0,410.8894,0.0,452.0,0.78,CR
85,1549.7286,6.3354,47.5142,30975.0,410.1357,0.0,452.0,0.7835,CR
86,1568.7136,6.289,47.5333,31000.0,411.0,0.0,452.0,0.7874,CR
87,1585.6281,6.2465,47.5507,30945.3518,415.0,517.5879,456.8844,0.792,CR
88,1609.3568,6.192,47.5731,30969.7236,411.4221,53.7917,454.8442,0.7808,CR
89,1626.0553,6.1488,47.5908,30975.0,410.0,0.0,454.0,0.78,CR
90,1706.6935,5.9542,47.6705,30975.0,412.0,0.0,454.0,0.78,CR
91,1721.8543,5.918,47.6852,30975.0,413.0,0.0,454.0,0.7829,CR
92,1737.4422,5.8823,47.6997,30992.2111,413.0,206.5327,454.0,0.7828,CR
93,1756.6533,5.8339,47.7194,31000.0,413.0,0.0,454.0,0.788,CR
94,1772.191,5.7976,47.7341,31025.0,411.0,77.5305,454.0,0.788,CR
95,1792.5829,5.7477,47.7542,31025.0,411.0,0.0,454.0,0.784,CR
96,1814.9397,5.6941,47.7759,31000.0,410.0,0.0,454.0,0.784,CR
97,1844.8191,5.6264,47.8031,30985.9296,411.2513,-40.201,457.1256,0.7885,CR
98,1896.1508,5.4957,47.8557,30975.0,415.0,18.2491,462.0,0.796,CR
99,1913.5126,5.4546,47.8721,30975.0,414.0,-66.4687,462.0,0.796,CR
100,1929.9749,5.4159,47.8875,30975.0,413.0,0.0,462.0,0.796,CR
101,1939.9246,5.3887,47.8983,30975.0,412.0,0.0,462.0,0.796,CR
102,1955.7487,5.3531,47.9125,30975.0,412.0,0.0,462.0,0.796,CR
103,1976.8241,5.2986,47.9342,30975.0,412.0,0.0,462.0,0.796,CR
104,1991.5477,5.267,47.9468,30920.9799,412.0,-566.6726,461.2261,0.7945,DE
105,2016.809,5.2041,47.9717,30506.9095,412.0,-1174.3719,458.7236,0.788,DE
106,2027.3467,5.1767,47.9826,30341.5829,414.0,-1121.2312,460.6734,0.792,DE
107,2038.9347,5.1465,47.9945,30126.6332,415.0,-1155.7789,459.8693,0.796,DE
