,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,8.5598,47.4504,0.0,0.0,0.0,0.0,0.0,GND
1,98.995,8.5596,47.4498,0.0,6.0,0.0,0.0,0.0,GND
2,166.9899,8.5598,47.4488,0.0,0.0,0.0,0.0,0.0,GND
3,270.6171,8.5597,47.4489,0.0,0.9849,0.0,0.0,0.0,GND
4,325.775,8.5561,47.4505,0.0,0.0854,0.0,0.0,0.0,GND
5,394.2896,8.5523,47.4562,0.0,3.8442,0.0,0.0,0.0,GND
6,444.5798,8.5577,47.4564,0.0,8.8643,0.0,0.0,0.0,GND
7,493.7236,8.5646,47.456,0.0,17.4523,0.0,0.0,0.0,GND
8,544.9636,8.5702,47.4561,0.0,10.8894,0.0,0.0,0.0,GND
9,602.6935,8.568,47.4568,0.0,43.4221,0.0,0.0,0.0857,GND
10,704.4372,8.4725,47.4605,4710.9296,147.4623,1243.7186,148.0,0.2339,CL
11,815.0498,8.5349,47.3797,7417.7136,249.679,1098.3998,197.0653,0.3086,CL
12,944.0641,8.7968,47.3888,12346.2312,335.9453,2940.3473,0.0,0.0,CL
13,1024.1674,8.9864,47.3913,15760.0503,353.1602,1376.4885,0.0,0.0,CL
14,1123.3065,9.2327,47.3941,19392.9648,374.4824,2215.6892,375.8593,0.6077,CL
15,1227.0804,9.5043,47.3966,22688.5678,393.2312,2031.1254,398.4623,0.6529,CL
16,1377.9598,9.9209,47.399,26773.995,415.0,1507.5377,422.0,0.708,CL
17,1454.4573,10.1414,47.3997,28361.4322,430.0,1638.5883,432.0,0.732,CL
18,1505.7796,10.2891,47.4,29511.9347,434.9231,1201.6306,227.8593,0.3888,CL
19,1560.0389,10.4505,47.4057,30550.0,444.9382,773.8693,342.0503,0.585,CL
20,1630.894,10.6628,47.439,31997.4874,451.0466,1413.51,434.794,0.7526,CL
21,1697.8156,10.86,47.4729,33665.4523,443.2954,1360.8894,122.1608,0.2123,CL
22,1849.2546,11.3049,47.5482,34000.0,444.9746,0.0,0.0,0.0,CR
23,1932.4422,11.5546,47.5896,34236.0553,445.0,915.8291,440.0,0.768,CL
24,2009.9398,11.7815,47.6267,35000.0,442.0871,0.0,13.0854,0.0229,CR
25,2068.028,11.951,47.6542,35000.0,444.0484,0.0,123.2563,0.215,CR
26,2128.0659,12.129,47.6826,35000.0,443.3961,0.0,232.2412,0.407,CR
27,2180.8643,12.2851,47.7074,35000.0,444.2161,0.0,436.0,0.764,CR
28,2245.2992,12.4782,47.7377,35000.0,449.5408,0.0,15.4774,0.027,CR
29,2326.4271,12.7183,47.7749,35000.0,444.0,0.0,437.4271,0.764,CR
30,2418.8492,12.9932,47.8166,35509.6734,447.0,520.1005,436.9246,0.7662,CL
31,2493.6266,13.216,47.8499,36855.2764,444.7562,951.9274,342.402,0.6028,CL
32,2553.9196,13.398,47.8768,37000.0,441.9598,0.0,428.0,0.756,CR
