,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,8.5602,47.4462,0.0,0.0,0.0,36.0,0.004,GND
1,73.0101,8.5602,47.4462,0.0,0.0,0.0,36.0,0.004,GND
2,148.0101,8.5602,47.4462,0.0,0.0,0.0,36.0,0.004,GND
3,263.0302,8.5602,47.4462,0.0,0.0,0.0,36.0,0.0064,GND
4,324.0402,8.5602,47.4462,0.0,0.0,0.0,36.0,0.008,GND
5,417.0151,8.5602,47.4462,0.0,0.0,0.0,36.0,0.008,GND
6,476.206,8.5602,47.4462,0.0,0.0,0.0,36.0,0.008,GND
7,529.6633,8.5602,47.4462,0.0,0.0,0.0,36.0,0.0064,GND
8,580.1206,8.5602,47.4462,0.0,0.0,0.0,36.0,0.0056,GND
9,671.4171,8.5602,47.4462,0.0,0.0,0.0,36.0,0.008,GND
10,721.1005,8.5602,47.4462,0.0,0.0,0.0,36.0,0.008,GND
11,783.8995,8.5602,47.4462,0.0,0.0,0.0,36.0,0.008,GND
12,840.7085,8.5602,47.4462,0.0,0.0,0.0,36.0,0.004,GND
13,904.8392,8.5602,47.4462,0.0,0.0,0.0,36.0,0.008,GND
14,964.7688,8.5602,47.4462,0.0,0.0,0.0,36.0,0.0073,GND
15,1016.1508,8.5602,47.4462,0.0,0.0,0.0,36.0,0.0079,GND
16,1088.9447,8.5602,47.4462,0.0,0.0,0.0,36.0,0.008,GND
17,1151.6683,8.5602,47.4462,0.0,0.0,0.0,36.0,0.008,GND
18,1198.0905,8.5602,47.4462,0.0,0.0,0.0,36.0,0.008,GND
19,1242.3719,8.5602,47.4462,0.0,0.0,0.0,36.0,0.008,GND
20,1315.0804,8.5602,47.4462,0.0,0.0,0.0,36.0,0.008,GND
21,1376.3166,8.5602,47.4462,0.0,0.0,0.0,36.0,0.008,GND
22,1438.4221,8.5602,47.4462,0.0,0.0,0.0,36.0,0.008,GND
23,1499.2312,8.5602,47.4462,0.0,0.0,0.0,36.0,0.0065,GND
24,1591.5377,8.5602,47.4462,0.0,0.0,0.0,36.0,0.008,GND
25,1643.2513,8.5602,47.4462,0.0,0.2261,0.0,36.0,0.008,GND
26,1686.0352,8.559,47.4463,0.0,24.3568,0.0,36.0,0.012,GND
27,1736.6985,8.5568,47.4495,0.0,17.0,0.0,36.0,0.012,GND
28,1797.397,8.5539,47.4538,0.0,29.603,0.0,36.0,0.028,GND
29,1839.4874,8.5554,47.4552,0.0,27.0,0.0,36.0,0.028,GND
30,1888.2714,8.5594,47.4549,0.0,29.0603,0.0,36.0,0.0279,GND
31,1938.0804,8.5627,47.4551,0.0,18.5377,0.0,36.0,0.028,GND
32,1983.2965,8.5639,47.4558,0.0,13.0,0.0,36.0,0.028,GND
33,2026.799,8.5649,47.4559,0.0,0.7337,0.0,36.0,0.02,GND
34,2076.1709,8.5653,47.4559,0.0,11.8342,0.0,36.0,0.0153,GND
35,2113.1407,8.5656,47.4559,0.0,0.0704,0.0,36.0,0.012,GND
36,2166.8342,8.5669,47.4558,0.0,16.4724,0.0,36.0,0.012,GND
37,2218.1859,8.5692,47.4556,0.0,16.4372,0.0,36.0,0.0263,GND
38,2260.3819,8.57,47.4558,0.0,0.0,0.0,36.0,0.016,GND
39,2309.2312,8.5702,47.4566,0.0,11.7688,0.0,36.0,0.0133,GND
40,2354.2412,8.5699,47.4566,0.0,0.0,0.0,36.0,0.008,GND
41,2409.4121,8.5444,47.4585,1238.6935,156.8291,3108.5427,36.0,0.2461,CL
42,2457.3266,8.4944,47.4617,3294.2211,160.8844,1721.1055,36.0,0.244,CL
43,2510.1457,8.4464,47.4412,4869.7236,194.1457,1620.603,36.0,0.2877,CL
44,2553.9095,8.3965,47.4137,5997.7387,234.2211,1616.8342,36.0,0.3548,CL
45,2600.1357,8.3328,47.3838,7882.9146,252.0452,3022.6131,36.0,0.384,CL
46,2651.9397,8.2482,47.355,9847.7387,278.0,3380.6533,36.0,0.418,CL
47,2712.2362,8.1319,47.3476,11419.7236,314.3417,1257.6797,302.2613,0.4956,CL
48,2758.593,8.027,47.3577,12464.8241,348.6482,1587.9397,340.0,0.544,CL
49,2803.2462,7.9183,47.368,13969.8492,359.6985,2264.3216,351.6985,0.5634,CL
50,2843.4523,7.8201,47.3772,15490.0754,362.1005,2949.7487,356.201,0.5762,CL
51,2894.2613,7.6972,47.3887,16900.3769,374.2513,1251.2563,370.5025,0.597,CL
52,2939.809,7.5787,47.3996,18256.5327,380.4523,1833.9196,375.0955,0.6098,CL
53,2995.2663,7.4432,47.4276,19864.3216,383.0,1978.6432,382.6935,0.6254,CL
54,3045.1256,7.3186,47.4562,21156.7839,387.8543,1242.7136,390.0,0.6354,CL
55,3095.5528,7.1894,47.4856,22034.6734,401.0553,830.9959,398.0,0.656,CL
56,3142.5126,7.0657,47.5136,22856.407,410.2563,878.7205,402.0,0.664,CL
57,3187.6583,6.9455,47.5406,23668.593,416.4573,979.6303,408.0,0.6797,CL
58,3233.8995,6.8199,47.5687,24614.5729,418.0,1164.5729,414.0,0.6906,CL
59,3268.7186,6.7231,47.5903,25242.9648,419.0,1429.6482,419.4372,0.7,CL
60,3324.1809,6.5738,47.6233,26429.5226,416.0,1218.0905,426.0,0.7122,CL
61,3377.6131,6.4301,47.6549,27508.794,416.7387,1313.0653,434.5226,0.7301,CL
62,3427.6231,6.2923,47.685,28569.3467,417.4623,2029.1457,440.0,0.7418,CL
63,3476.3065,6.1644,47.7128,29466.0804,419.0,1231.3352,448.0,0.76,CL
64,3536.9146,5.9963,47.749,30454.6482,427.0,1074.1206,454.0,0.7749,CL
65,3594.0653,5.8392,47.7825,30976.6332,422.0,-2.1536,452.0,0.772,LVL
66,3653.8593,5.6788,47.8258,31501.5075,397.603,1360.869,451.4673,0.772,CL
67,3730.5427,5.5166,47.9082,33213.5678,383.5327,1500.0,450.0,0.7701,CL
68,3781.3518,5.4128,47.9611,34484.1709,372.9899,2270.4888,450.0,0.776,CL
69,3837.6482,5.3004,48.0182,35764.0704,351.7839,953.6851,445.0452,0.768,CL
70,3895.2814,5.1888,48.0747,35975.0,344.9296,0.0,441.7186,0.7597,CR
71,3955.8141,5.0679,48.1208,36000.0,345.0,121.4405,428.5427,0.744,CR
72,4008.3065,4.9515,48.1564,36000.0,349.0,87.9397,432.9447,0.748,CR
73,4057.3668,4.8445,48.1893,36000.0,352.0,0.0,432.0,0.748,CR
74,4103.7487,4.7439,48.2204,35996.8593,353.0,640.0754,432.0,0.748,CL
75,4155.5276,4.6261,48.257,35976.8844,348.0,16.1522,422.1508,0.7357,CR
76,4216.4874,4.4913,48.2991,35993.0905,352.0,-46.0637,427.4472,0.7429,CR
77,4293.1608,4.322,48.3524,36000.0,355.4774,0.0,425.9095,0.7419,CR
78,4356.5327,4.1805,48.3974,36000.0,357.0,0.0,427.3568,0.7427,CR
79,4425.2764,4.0253,48.4472,35978.0151,357.2412,-219.8492,426.0,0.744,CR
80,4482.7236,3.9101,48.4988,36000.0,344.8392,0.0,430.0,0.748,CR
81,4530.0955,3.8457,48.5612,35982.0352,343.7186,-177.2042,432.0,0.752,CR
82,4587.3417,3.7711,48.6385,36000.0,350.4824,0.0,434.9648,0.76,CR
83,4644.8342,3.6949,48.7173,36000.0,352.0,0.0,438.6332,0.764,CR
84,4691.5377,3.6329,48.7811,36000.0,352.0,0.0,438.0,0.764,CR
85,4745.8543,3.5618,48.8543,35975.0,350.9146,-274.3719,436.0,0.7603,CR
86,4801.2915,3.4875,48.9303,36000.0,350.0,178.392,436.0,0.76,CR
87,4859.8744,3.4099,49.0096,36000.0,348.5126,0.0,434.0,0.756,CR
88,4912.7538,3.3391,49.0815,35982.7889,349.0,-211.4322,433.3769,0.756,CR
89,4965.2261,3.2691,49.1524,35977.7638,350.8894,-190.5958,434.0,0.76,CR
90,5026.1759,3.1859,49.2364,35997.7387,349.9095,-10.4368,431.8191,0.7556,CR
91,5097.7487,3.0906,49.3323,36000.0,347.7085,177.1357,428.0,0.748,CR
92,5159.9548,3.0074,49.4155,36000.0,348.0,76.1307,429.0151,0.75,CR
93,5219.0804,2.9263,49.4964,36000.0,350.0,114.9497,430.0,0.752,CR
94,5266.4724,2.8614,49.5609,35977.6382,351.0,-268.3417,430.2111,0.756,CR
95,5315.3819,2.7951,49.6264,35997.6131,350.0,416.4573,430.0,0.752,CR
96,5377.1859,2.7113,49.7091,35992.5879,350.0,-111.1809,430.0,0.7492,CR
97,5423.9799,2.646,49.7734,36000.0,350.0,0.0,428.0,0.748,CR
98,5479.0955,2.5703,49.8476,35992.4623,350.0,349.2462,426.0,0.7468,CR
99,5527.598,2.5037,49.9126,36000.0,352.0,0.0,429.799,0.748,CR
100,5580.402,2.4307,49.9836,35977.5126,354.0,37.6884,430.0,0.752,CR
101,5644.9196,2.3378,50.0735,35982.5377,356.0,-227.1453,431.397,0.7532,CR
102,5697.0302,2.2652,50.1429,36000.0,356.005,0.0,430.0,0.752,CR
103,5773.0352,2.1442,50.2434,36000.0,356.2965,0.0,428.0,0.7492,CR
104,5823.2362,2.0669,50.3073,36000.0,355.0,0.0,427.809,0.748,CR
105,5896.3719,1.9491,50.4038,35997.3618,359.2111,99.6328,430.0,0.752,CR
106,5954.7588,1.8541,50.4812,36000.0,371.3065,0.0,440.6131,0.772,CR
107,6008.0754,1.7658,50.5527,36000.0,374.0,123.1156,442.0,0.776,CR
108,6058.9196,1.6804,50.6217,35992.7136,374.0,27.3391,442.5829,0.7732,CR
109,6195.4573,1.3497,50.7453,35975.0,393.0,0.0,438.1809,0.768,CR
110,6250.5528,1.2082,50.7886,36000.0,394.0,0.0,440.0,0.768,CR
111,6327.608,0.9667,50.8659,36000.0,395.3116,0.0,442.0,0.772,CR
112,6399.5628,0.8171,50.9067,36000.0,397.0,146.2312,442.0,0.772,CR
113,6454.2764,0.6761,50.9489,36000.0,396.2864,61.3783,442.0,0.7749,CR
114,6495.2312,0.5667,50.9814,36000.0,397.0,0.0,442.0,0.772,CR
115,6552.5779,0.4133,51.0267,35997.1106,398.0,-34.6734,442.0,0.772,CR
116,6601.2663,0.2856,51.0642,35992.0854,398.0,-118.7186,442.0,0.772,CR
117,6657.1407,0.1375,51.1075,36000.0,397.0,0.0,442.0,0.772,CR
