,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,8.5557,47.4544,0.0,0.0,-0.7024,38.0,0.004,GND
1,24.2864,8.5557,47.4544,0.0,0.0,0.0,38.0,0.004,GND
2,47.8643,8.5557,47.4545,0.0,10.5729,0.0,38.0,0.004,GND
3,66.1558,8.5558,47.4548,0.0,12.0,0.0,38.0,0.004,GND
4,81.5829,8.5559,47.4551,0.0,11.8543,0.0,38.0,0.004,GND
5,100.1608,8.5558,47.4552,0.0,2.0,0.0,38.0,0.004,GND
6,117.4372,8.5557,47.4552,0.0,0.0,0.0,38.0,0.004,GND
7,133.0251,8.5557,47.4552,0.0,0.0,0.0,38.0,0.004,GND
8,155.6231,8.5557,47.4552,0.0,0.0,0.0,38.0,0.004,GND
9,180.8894,8.5557,47.4552,0.0,0.0,0.0,38.0,0.004,GND
10,203.3216,8.5557,47.4552,0.0,0.0,0.0,38.0,0.004,GND
11,228.9045,8.5557,47.4552,0.0,0.0,0.0,38.0,0.004,GND
12,253.3719,8.5557,47.4552,0.0,0.0,0.0,38.0,0.004,GND
13,278.3417,8.5557,47.4552,0.0,0.0,0.0,38.0,0.004,GND
14,299.0503,8.5557,47.4552,0.0,0.0201,0.0,38.0,0.004,GND
15,320.593,8.5564,47.4552,0.0,25.2965,0.0,38.0,0.0052,GND
16,336.3317,8.5576,47.4551,0.0,27.0,0.0,38.0,0.004,GND
17,354.2161,8.5591,47.455,0.0,27.0,0.0,38.0,0.008,GND
18,370.6231,8.5604,47.4549,0.0,31.1558,0.0,38.0,0.0086,GND
19,388.6533,8.562,47.4548,0.0,32.0,0.0,38.0,0.016,GND
20,405.1859,8.5634,47.4555,0.0,29.2714,0.0,38.0,0.0131,GND
21,421.0905,8.5644,47.4559,0.0,26.0151,0.0,38.0,0.004,GND
22,439.9045,8.5658,47.4559,0.0,28.0,0.0,38.0,0.0068,GND
23,455.7638,8.5666,47.4558,0.0,3.7085,0.0,38.0,0.004,GND
24,475.2462,8.5667,47.4558,0.0,0.0,0.0,38.0,0.004,GND
25,491.804,8.5667,47.4558,0.0,0.0,0.0,38.0,0.004,GND
26,513.6834,8.5667,47.4558,0.0,0.0,0.0,38.0,0.004,GND
27,540.402,8.5667,47.4558,0.0,0.0,0.0,38.0,0.004,GND
28,562.0804,8.5667,47.4558,0.0,0.0,0.0,38.0,0.004,GND
29,586.3065,8.5667,47.4558,0.0,0.0,0.0,38.0,0.004,GND
30,604.9648,8.5667,47.4558,0.0,0.0,0.0,38.0,0.004,GND
31,626.2764,8.5667,47.4558,0.0,0.0,0.0,38.0,0.004,GND
32,649.6633,8.567,47.4558,0.0,15.3317,0.0,38.0,0.004,GND
33,667.7136,8.5678,47.4557,0.0,18.4523,0.0,38.0,0.004,GND
34,685.9548,8.5687,47.4557,0.0,20.7387,0.0,38.0,0.004,GND
35,701.1759,8.5696,47.4556,0.0,22.0,0.0,37.0955,0.004,GND
36,719.9347,8.5702,47.4562,0.0,21.6884,0.0,2.0,0.012,GND
37,736.196,8.5702,47.4566,0.0,14.598,0.0,2.0,0.012,GND
38,754.4221,8.5699,47.4566,0.0,0.0,0.0,2.0,0.012,GND
39,771.3417,8.5699,47.4566,0.0,0.0,0.0,2.0,0.012,GND
40,791.2864,8.5699,47.4566,0.0,0.0,0.0,2.0,0.012,GND
41,814.206,8.5687,47.4567,0.0,38.799,0.0,2.0,0.012,GND
42,845.1809,8.5438,47.4585,1384.0452,162.8492,2272.6131,2.0,0.2479,CL
43,864.6332,8.524,47.46,2306.6583,156.3166,2658.2915,2.0,0.2373,CL
44,880.206,8.5072,47.4611,3000.3769,158.603,3452.2613,2.0,0.24,CL
45,926.0201,8.4573,47.4559,4792.4623,173.7839,2319.7236,2.0,0.2622,CL
46,955.0553,8.4332,47.4373,5530.7789,210.2312,1543.9698,2.0,0.3181,CL
47,986.7085,8.3994,47.4136,6912.3116,226.5477,3202.7997,2.0,0.3532,CL
48,1023.7437,8.3827,47.3777,8318.4673,261.4925,2492.7136,260.995,0.406,CL
49,1056.0704,8.4067,47.3416,9754.397,278.0352,2785.1759,278.0704,0.4321,CL
50,1070.9648,8.4186,47.3227,10424.1206,287.6432,2178.392,285.2864,0.4453,CL
51,1087.4322,8.4308,47.3023,10820.603,305.8241,1565.9548,302.4322,0.4729,CL
52,1105.4724,8.4459,47.2773,11426.2563,319.6834,2573.3668,317.7889,0.4996,CL
53,1121.7236,8.4596,47.2548,12181.6583,323.1809,3546.4824,324.3618,0.508,CL
54,1139.804,8.4741,47.2307,12978.5176,326.4673,2883.1658,327.8693,0.5139,CL
55,1157.2613,8.4889,47.2061,13763.0653,328.7538,2841.7085,332.0,0.523,CL
56,1173.2412,8.5025,47.1834,14460.0503,332.0804,2500.0,332.0804,0.528,CL
57,1191.6533,8.5139,47.1558,15224.4975,336.0,2586.6834,340.0,0.5373,CL
58,1207.2261,8.5188,47.1312,15951.6332,336.0,3314.6985,344.0,0.548,CL
59,1226.4975,8.5229,47.1024,16799.8744,337.0,3000.0,347.799,0.552,CL
60,1242.7437,8.5267,47.0771,17498.2412,339.0,3401.3819,348.0,0.5567,CL
61,1258.9447,8.5304,47.0512,18085.4271,343.4724,2118.0905,352.0,0.5659,CL
62,1277.794,8.5346,47.0221,18751.7588,347.7588,2303.5176,356.0,0.575,CL
63,1294.1357,8.5386,46.9945,19404.5226,351.0,2477.3869,360.0,0.5802,CL
64,1311.3216,8.5426,46.967,20041.3317,353.6633,2573.5822,362.6633,0.5853,CL
65,1328.8543,8.5467,46.9379,20636.809,358.0,2095.4774,366.0,0.592,CL
66,1343.7136,8.5504,46.912,21115.4523,362.9045,2238.6935,368.0,0.5996,CL
67,1363.3819,8.555,46.8803,21694.0955,368.0,1988.6935,374.0,0.608,CL
68,1379.9095,8.559,46.8522,22235.804,370.4774,1582.2864,376.0,0.612,CL
69,1397.3467,8.5634,46.8216,22821.8593,372.7638,1945.4415,379.5276,0.6231,CL
70,1414.1005,8.5675,46.7932,23353.7688,375.0,2012.5628,382.0,0.6242,CL
71,1431.0201,8.5717,46.7637,23858.9196,377.3367,1584.1709,384.0,0.6333,CL
72,1449.2462,8.5761,46.7325,24387.3116,380.0,2434.6734,387.2462,0.6375,CL
73,1487.5477,8.5859,46.6642,25488.6935,384.9095,1527.1357,394.0,0.6447,CL
74,1509.9799,8.5915,46.6253,26044.598,388.196,1240.201,342.0,0.656,CL
75,1530.9296,8.5969,46.587,26448.2412,393.9648,1111.809,342.0,0.6659,CL
76,1551.8442,8.6026,46.5473,26965.3266,397.0,1817.3367,389.6683,0.672,CL
77,1584.7136,8.6108,46.4895,27815.0754,397.1658,1327.9347,402.0,0.6722,CL
78,1631.0503,8.623,46.4031,28926.2563,399.6583,1746.8593,403.3668,0.68,CL
79,1652.1407,8.6286,46.3642,29528.5176,397.6281,1639.4472,402.0,0.684,CL
80,1673.5729,8.6403,46.3255,29845.7286,404.8291,625.6281,407.8291,0.688,CL
81,1695.804,8.6646,46.2875,30135.0503,412.201,750.0,410.0,0.6976,CL
82,1716.9497,8.6923,46.2521,30436.5578,416.0,932.7889,414.9749,0.7059,CL
83,1754.4171,8.7421,46.1879,30977.3869,421.7739,866.8342,402.0,0.7182,CL
84,1777.1809,8.772,46.1497,31278.0151,425.0,941.2688,422.6734,0.724,CL
85,1799.0804,8.8031,46.1094,31576.005,427.6935,750.0,371.1256,0.728,CL
86,1824.1658,8.8365,46.0664,31906.6583,431.0,792.5879,428.0,0.736,CL
87,1845.6784,8.8663,46.028,32193.9698,433.0,1074.7487,424.4824,0.7363,CL
88,1868.0302,8.8956,45.99,32485.3015,434.0,917.5879,432.0,0.744,CL
89,1888.9698,8.9242,45.9528,32749.6231,435.0,750.0,432.0,0.744,CL
90,2065.6734,9.1734,45.6275,33000.0,456.7789,0.0,452.0,0.78,CR
91,2086.392,9.2027,45.5889,33000.0,456.0653,0.0,452.0,0.78,CR
92,2108.7588,9.2348,45.5466,33000.0,456.0,0.0,452.0,0.78,CR
93,2130.8291,9.2661,45.5053,33000.0,457.6382,0.0,452.0,0.78,CR
94,2152.5477,9.2954,45.4665,33000.0,458.0,0.0,448.2312,0.78,CR
95,2188.4221,9.3469,45.3982,33000.0,460.0,0.0,412.9749,0.78,CR
96,2203.995,9.3695,45.3683,33000.0,460.5025,0.0,428.1307,0.78,CR
97,2221.1357,9.3939,45.3361,33000.0,460.7839,0.0,402.0,0.78,CR
98,2238.2111,9.4187,45.3031,33000.0,460.9296,0.0,448.4824,0.78,CR
99,2254.8543,9.4414,45.2729,33000.0,460.6432,0.0,402.0,0.78,CR
100,2272.2161,9.4653,45.2411,33000.0,460.0,0.0,435.4472,0.78,CR
101,2288.7186,9.4901,45.2081,33000.0,461.0,0.0,405.6583,0.78,CR
102,2305.8643,9.5129,45.1776,33000.0,461.2161,0.0,413.2362,0.78,CR
103,2324.5126,9.5392,45.1423,33000.0,461.4975,0.0,427.8693,0.78,CR
104,2339.1558,9.5614,45.1125,33000.0,462.0,0.0,402.0,0.78,CR
105,2356.7337,9.5858,45.0797,33000.0,462.0,0.0,448.2312,0.78,CR
106,2392.3618,9.634,45.0148,33000.0,462.0,0.0,420.8141,0.78,CR
107,2492.5126,9.6963,44.8131,33000.0,457.4623,0.0,452.7035,0.78,CR
