,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,8.56,47.454,0.0,0.0,0.0,102.0,0.744,GND
1,32.0402,8.56,47.454,0.0,0.0,0.0,102.0,0.744,GND
2,62.9246,8.56,47.454,0.0,0.0,0.0,102.0,0.744,GND
3,77.0804,8.56,47.454,0.0,0.0,0.0,102.0,0.744,GND
4,141.3869,8.5601,47.4543,0.0,12.4623,0.0,102.0,0.744,GND
5,154.7337,8.5601,47.4545,0.0,13.0,0.0,102.0,0.744,GND
6,167.0804,8.5602,47.4547,0.0,12.0,0.0,102.0,0.744,GND
7,180.4271,8.5602,47.4548,0.0,11.0,0.0,102.0,0.744,GND
8,190.8492,8.5602,47.4549,0.0,0.1508,0.0,102.0,0.744,GND
9,204.1206,8.5602,47.4549,0.0,0.0,0.0,102.0,0.744,GND
10,217.402,8.5602,47.4549,0.0,0.0,0.0,102.0,0.744,GND
11,237.0854,8.5602,47.4549,0.0,0.0,0.0,102.0,0.744,GND
12,250.3869,8.5602,47.4549,0.0,0.0,0.0,102.0,0.744,GND
13,268.5126,8.5602,47.4549,0.0,0.0,0.0,102.0,0.744,GND
14,287.0905,8.5602,47.4549,0.0,0.0,0.0,102.0,0.744,GND
15,303.9347,8.5602,47.4549,0.0,0.0,0.0,102.0,0.744,GND
16,325.0955,8.5602,47.4549,0.0,1.6985,0.0,102.0,0.744,GND
17,339.8241,8.5608,47.4549,0.0,21.9648,0.0,102.0,0.744,GND
18,352.4824,8.5617,47.4548,0.0,27.1608,0.0,102.0,0.744,GND
19,364.9799,8.5625,47.455,0.0,31.0,0.0,102.0,0.744,GND
20,376.8693,8.5635,47.4555,0.0,32.0,0.0,102.0,0.744,GND
21,389.4171,8.5644,47.4559,0.0,33.0,0.0,102.0,0.744,GND
22,402.799,8.5657,47.4559,0.0,24.2312,0.0,102.0,0.744,GND
23,415.2663,8.5668,47.4558,0.0,32.0251,0.0,102.0,0.744,GND
24,427.8693,8.568,47.4557,0.0,32.0,0.0,102.0,0.744,GND
25,440.3367,8.5692,47.4556,0.0,32.8894,0.0,102.0,0.744,GND
26,452.0151,8.57,47.4558,0.0,26.995,0.0,102.0,0.744,GND
27,466.2412,8.5703,47.4564,0.0,24.8794,0.0,102.0,0.744,GND
28,478.4724,8.5701,47.4567,0.0,15.0,0.0,102.0,0.744,GND
29,490.0553,8.5699,47.4567,0.0,1.2965,0.0,102.0,0.744,GND
30,502.402,8.5699,47.4567,0.0,0.0,0.0,102.0,0.744,GND
31,514.9146,8.5699,47.4567,0.0,0.0,0.0,102.0,0.744,GND
32,528.4925,8.5699,47.4566,0.0,6.8894,0.0,102.0,0.744,GND
33,544.8844,8.5664,47.4569,0.0,65.3065,0.0,102.0,0.2263,CL
34,559.6482,8.5544,47.4577,0.0,143.2412,0.0,102.0,0.2335,CL
35,576.1357,8.5371,47.4589,1882.9146,161.0,3738.6935,102.0,0.2478,CL
36,588.4824,8.5239,47.4598,2524.1206,160.0,2370.603,102.0,0.2394,CL
37,602.4874,8.5086,47.4607,3153.6432,160.5528,1861.809,102.0,0.2371,CL
38,618.1357,8.4918,47.4619,3713.191,164.392,1877.5126,102.0,0.24,CL
39,629.5377,8.4784,47.4618,4151.8844,165.9849,2507.5377,102.0,0.246,CL
40,646.8693,8.4627,47.4545,4731.1558,160.6231,1592.2469,102.0,0.249,CL
41,660.2161,8.4555,47.4469,4980.402,172.2161,1369.3467,102.0,0.2739,CL
42,672.5628,8.447,47.4374,5335.4271,183.8543,1927.1357,102.0,0.284,CL
43,684.8794,8.4474,47.4278,5746.9849,183.9698,1518.0905,102.0,0.288,CL
44,697.1709,8.4579,47.4195,6156.407,189.0854,2250.0,102.0,0.296,CL
45,709.603,8.4733,47.4178,6565.0754,195.603,2219.0955,102.0,0.3008,CL
