,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,8.5512,47.4618,0.0,0.0,0.0,0.0,0.0,GND
1,106.4623,8.5504,47.4627,0.0,5.1156,0.0,0.0,0.0,GND
2,169.6935,8.5487,47.4635,0.0,3.0,0.0,0.0,0.0,GND
3,384.7337,8.5485,47.4636,0.0,0.0,0.0,0.0,0.0,GND
4,480.3116,8.5486,47.4636,0.0,0.0,0.0,0.0,0.0,GND
5,660.8894,8.5486,47.4636,0.0,0.0,0.0,0.0,0.0,GND
6,788.7739,8.5491,47.463,0.0,6.6935,0.0,0.0,0.0,GND
7,849.2362,8.552,47.4626,0.0,8.191,0.0,0.0,0.0,GND
8,909.7739,8.5519,47.4619,0.0,0.0,0.0,0.0,0.0,GND
9,1062.201,8.5519,47.4619,0.0,0.0,0.0,0.0,0.0,GND
10,1197.7789,8.5519,47.4619,0.0,0.0,0.0,0.0,0.0,GND
11,1274.3568,8.5519,47.4619,0.0,0.0,0.0,0.0,0.0,GND
12,1386.8693,8.5519,47.4619,0.0,0.0,0.0,0.0,0.0,GND
13,1493.0251,8.5519,47.4619,0.0,0.0,0.0,0.0,0.0,GND
14,1676.0905,8.5519,47.4619,0.0,0.0,0.0,0.0,0.0,GND
15,1824.005,8.5519,47.4619,0.0,0.0,0.0,0.0,0.0,GND
16,1987.6281,8.5519,47.4619,0.0,0.0,0.0,0.0,0.0,GND
17,2087.6181,8.5519,47.4619,0.0,0.0,0.0,0.0,0.0,GND
18,2189.804,8.5519,47.4619,0.0,0.0,0.0,0.0,0.0,GND
19,2334.7839,8.5519,47.4619,0.0,0.0,0.0,0.0,0.0,GND
20,2413.3618,8.5519,47.4619,0.0,0.3116,0.0,0.0,0.0,GND
21,2528.4758,8.5518,47.4618,0.0,0.0,0.0,0.0,0.0,GND
22,2953.7136,8.5519,47.4619,0.0,0.0,0.0,0.0,0.0,GND
23,3100.2915,8.5519,47.4619,0.0,0.0,0.0,0.0,0.0,GND
24,3210.8693,8.5519,47.4619,0.0,0.0,0.0,0.0,0.0,GND
25,3276.4472,8.5519,47.4619,0.0,0.0,0.0,0.0,0.0,GND
26,3344.0079,8.552,47.4623,0.0,3.9799,0.0,0.0,0.0,GND
27,3381.4975,8.5515,47.4628,0.0,3.5176,0.0,0.0,0.0,GND
28,3418.7085,8.5504,47.4629,0.0,4.0,0.0,0.0,0.0,GND
29,3463.4881,8.5492,47.463,0.0,1.407,0.0,0.0,0.0,GND
30,3528.8693,8.5485,47.4636,0.0,1.0,0.0,0.0,0.0,GND
31,3610.9146,8.5485,47.4636,0.0,0.0,0.0,0.0,0.0,GND
32,3723.8795,8.5485,47.4636,0.0,0.0,0.0,0.0,0.0,GND
33,3772.6985,8.5492,47.4626,0.0,7.8141,0.0,0.0,0.0,GND
34,3808.845,8.5503,47.4611,0.0,13.9447,0.0,0.0,0.0,GND
35,3846.153,8.5514,47.4594,0.0,10.5025,0.0,0.0,0.0,GND
36,3886.5997,8.5537,47.4588,0.0,1.608,0.0,0.0,0.0,GND
37,3921.2814,8.5564,47.4586,0.0,3.593,0.0,0.0,0.0,GND
38,3955.7284,8.5598,47.4584,0.0,0.0,0.0,0.0,0.0,GND
39,3999.5157,8.565,47.458,0.0,9.3568,0.0,0.0,0.0,GND
40,4053.1156,8.5692,47.4577,0.0,1.3769,0.0,0.0,0.0,GND
41,4106.6935,8.5692,47.4577,0.0,0.0,0.0,0.0,0.0,GND
42,4190.2714,8.5703,47.4574,0.0,9.8543,0.0,0.0,0.0,GND
43,4238.8825,8.5694,47.4567,0.0,0.0,0.0,0.0,0.0,GND
44,4318.578,8.5121,47.4611,2657.0352,153.6482,3027.8023,153.6482,0.2305,CL
45,4377.9485,8.4508,47.4527,4655.1508,168.9457,1581.846,131.0352,0.195,CL
46,4425.9786,8.3963,47.4282,5487.0603,230.5283,1393.8342,112.0804,0.1996,CL
47,4467.0126,8.3743,47.388,7564.8241,239.7841,3950.4666,103.7186,0.159,CL
48,4527.8342,8.4539,47.3636,10145.8543,245.0955,1500.0,243.2864,0.3764,CL
49,4588.3266,8.5719,47.3673,11499.7487,325.6633,1997.4874,307.407,0.4815,CL
50,4649.1156,8.7091,47.3473,13802.8894,367.3367,1500.0,373.1156,0.5778,CL
51,4709.5779,8.8649,47.3242,16278.8945,395.8945,2881.2814,388.8442,0.628,CL
52,4770.0302,9.0251,47.2997,18926.2563,410.0,2252.5126,412.0,0.66,CL
53,4831.2513,9.1981,47.2732,21234.4221,429.0,2577.8894,425.7487,0.687,CL
54,4892.6884,9.3754,47.2457,23448.2412,442.4824,1551.687,440.4824,0.716,CL
55,4951.3568,9.5489,47.2184,25283.9196,455.0,-981.3639,452.5729,0.7411,CL
56,5004.3618,9.71,47.1928,26995.8543,460.4724,1800.0,462.0,0.764,CL
57,5057.3518,9.8711,47.1671,28469.0955,464.8241,1155.9045,470.8241,0.7856,CL
58,5117.2211,10.057,47.1371,29837.9397,474.0,1324.1206,482.2211,0.812,CL
59,5189.3719,10.2775,47.0885,31588.8191,476.1809,1363.4841,487.6382,0.8273,CL
60,5278.7387,10.54,47.0122,33338.5678,457.196,2529.732,476.1307,0.816,CL
61,5342.1005,10.7151,46.9598,35152.5126,446.0,1500.0,465.8995,0.804,CL
62,5410.4975,10.9047,46.9025,36400.0,444.3317,500.5025,460.0,0.7967,CL
63,5482.1256,11.1043,46.8432,36914.0704,455.0,480.5276,470.0,0.816,CL
64,5596.5863,11.43,46.7454,37000.0,459.2652,0.0,282.2111,0.4872,CR
65,5676.0503,11.6545,46.6772,37000.0,462.9749,146.2312,467.9497,0.8059,CR
66,5793.2814,11.9818,46.5767,37000.0,457.0,0.0,460.0,0.796,CR
67,5998.8995,12.5597,46.3959,37529.5226,466.2563,911.1181,460.0,0.795,CL
68,6132.0151,12.9371,46.2756,39210.9296,466.0,826.9921,454.5628,0.7811,CL
69,6227.8995,13.207,46.1885,40098.7437,469.0,731.1558,450.0,0.776,CL
70,6311.9045,13.4452,46.1109,40806.7839,469.0,722.8643,450.0,0.776,CL
71,6398.0302,13.6886,46.0324,41000.0,481.206,0.0,458.8241,0.7936,CR
72,6549.9648,14.1422,45.898,41000.0,490.0,0.0,470.0,0.8107,CR
73,6700.281,14.5922,45.7608,41000.0,491.4095,0.0,264.5226,0.4548,CR
74,6790.1859,14.8587,45.6784,41000.0,495.0,0.0,468.0,0.808,CR
75,6854.0465,15.0505,45.6205,41000.0,495.7558,0.0,314.1206,0.5427,CR
76,6945.9196,15.3254,45.5398,41000.0,495.0,0.0,470.0,0.812,CR
77,7010.3193,15.5202,45.4818,41000.0,495.0044,0.0,420.9648,0.7268,CR
78,7132.1357,15.8829,45.3724,41000.0,497.0,0.0,464.0,0.808,CR
79,7212.5226,16.1259,45.2983,41000.0,502.0,0.0,464.2613,0.808,CR
80,7295.2312,16.3751,45.2216,41000.0,505.0,0.0,468.0,0.812,CR
81,7351.7236,16.5456,45.1686,41000.0,505.0,0.0,468.0,0.812,CR
82,7398.8643,16.6883,45.124,41000.0,505.0,0.0,470.0,0.812,CR
83,7455.9648,16.8596,45.0702,41000.0,506.0,0.0,470.0,0.812,CR
84,7521.1256,17.0572,45.0075,41000.0,507.0,0.0,468.0,0.808,CR
85,7593.4724,17.274,44.9384,41000.0,505.0,0.0,463.0553,0.8,CR
86,7632.8968,17.3931,44.9001,41000.0,503.0502,0.0,432.2613,0.748,CR
87,7690.1576,17.5634,44.8452,41000.0,502.0042,0.0,434.5729,0.752,CR
88,7767.5126,17.7917,44.7708,41000.0,502.8291,0.0,460.0,0.796,CR
89,7818.6556,17.9453,44.7203,41000.0,504.141,0.0,328.2412,0.568,CR
90,7863.964,18.0795,44.6761,41000.0,505.3258,0.0,275.0754,0.476,CR
91,7905.8543,18.2045,44.6347,41000.0,507.0622,0.0,239.1256,0.4141,CR
92,7949.5327,18.3315,44.5924,41000.0,508.0,0.0,461.2663,0.8,CR
93,7997.4759,18.4767,44.5438,41000.0,510.0515,0.0,342.9246,0.596,CR
94,8038.8993,18.6,44.5024,41000.0,513.1276,0.0,394.1307,0.6845,CR
95,8075.1822,18.7137,44.464,41000.0,518.7588,0.0,9.2462,0.0162,CR
96,8109.9077,18.8188,44.4283,41000.0,522.1669,0.0,44.1106,0.0768,CR
97,8152.3577,18.9452,44.3853,41000.0,525.959,0.0,366.0704,0.6375,CR
98,8199.3065,19.0874,44.3366,41000.0,527.0,0.0,467.3467,0.812,CR
99,8251.0955,19.2456,44.2821,41000.0,527.0,0.0,468.0,0.8142,CR
100,8320.7889,19.4597,44.2078,41000.0,528.5578,0.0,462.0,0.804,CR
101,8389.6935,19.6712,44.1339,41000.0,532.0,0.0,462.0,0.8053,CR
102,8448.1049,19.8542,44.0696,41000.0,534.2959,0.0,97.9296,0.1714,CR
103,8488.9366,19.98,44.025,41000.0,536.0246,0.0,44.4925,0.0775,CR
104,8523.0784,20.0805,43.9893,41000.0,535.0051,0.0,456.6332,0.7957,CR
105,8559.9481,20.198,43.9473,41000.0,535.5993,0.0,62.9548,0.1096,CR
106,8600.1753,20.3207,43.9034,41000.0,535.5191,0.0,116.5829,0.203,CR
107,8651.229,20.4772,43.847,41000.0,535.1608,0.0,170.9447,0.2964,CR
108,8690.4824,20.5942,43.8046,41000.0,533.0,0.0,466.0,0.808,CR
109,8736.4505,20.7345,43.7535,41000.0,532.8461,0.0,278.6633,0.4832,CR
110,8788.2793,20.8916,43.6961,41000.0,530.1832,0.0,331.0955,0.5737,CR
111,8835.8291,21.0343,43.6436,41000.0,531.1709,0.0,464.0,0.8073,CR
112,8895.1918,21.2172,43.5761,41000.0,533.0535,0.0,25.6482,0.0444,CR
113,8950.2412,21.3796,43.5155,41000.0,534.0,0.0,464.0,0.808,CR
114,8995.5276,21.5169,43.4642,41000.0,534.0,0.0,465.6482,0.808,CR
115,9043.4372,21.6632,43.4092,41000.0,533.3515,0.0,135.2362,0.2355,CR
116,9085.6575,21.7909,43.3609,41000.0,532.6172,0.0,0.0,0.0,CR
117,9121.9107,21.8966,43.3207,41000.0,532.0848,0.0,242.4925,0.4223,CR
118,9158.6382,22.0022,43.2805,41000.0,532.0,0.0,464.0,0.808,CR
119,9191.8633,22.1044,43.2415,41000.0,533.0139,0.0,349.7487,0.609,CR
120,9230.6927,22.2191,43.1974,41000.0,532.0806,0.0,403.3769,0.7024,CR
121,9268.9413,22.3337,43.1533,41000.0,532.0027,0.0,457.005,0.7919,CR
122,9305.1664,22.4418,43.1114,41000.0,532.062,0.0,417.3668,0.7268,CR
123,9353.0812,22.5871,43.055,41000.0,533.3889,0.0,100.2613,0.1746,CR
