,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,8.5513,47.4614,0.0,0.0,0.0,0.0,0.0,GND
1,69.0201,8.5502,47.4611,0.0,1.0,0.0,0.0,0.0,GND
2,149.0503,8.5502,47.4611,0.0,0.0,0.0,0.0,0.0,GND
3,254.0452,8.5511,47.4598,0.0,14.0151,0.0,0.0,0.0,GND
4,310.0804,8.5577,47.4586,0.0,19.0,0.0,0.0,0.0,GND
5,366.1005,8.5651,47.458,0.0,19.0,0.0,0.0,0.76,GND
6,413.1213,8.5693,47.4577,0.0,0.1206,0.0,0.0,0.0229,GND
7,446.0352,8.5695,47.4577,0.0,1.0,0.0,0.0,0.76,GND
8,512.402,8.5695,47.4577,0.0,1.0,0.0,0.0,0.0,GND
9,586.1809,8.5697,47.4577,0.0,2.0452,0.0,0.0,0.76,GND
10,633.201,8.5703,47.4573,0.0,3.0503,0.0,0.0,0.74,GND
11,678.1181,8.57,47.4566,0.0,0.0553,0.0,0.0,0.0409,GND
12,727.3618,8.57,47.4566,0.0,1.0,0.0,0.0,0.6954,GND
13,819.392,8.5138,47.4607,2921.2312,156.9347,3109.799,10.7136,0.0159,CL
14,893.2814,8.4504,47.4403,5330.2764,166.1407,1318.6767,158.0,0.2648,CL
15,948.2261,8.4852,47.3993,6607.5377,225.9246,3618.0905,214.7538,0.3292,CL
16,1012.3216,8.5968,47.3962,8214.0704,291.1608,2280.1508,282.1608,0.4363,CL
17,1065.3417,8.7035,47.3992,10589.9497,305.0854,6321.3987,298.1709,0.464,CL
18,1121.4523,8.8223,47.4006,12679.5226,328.3618,1627.8834,323.6382,0.5044,CL
19,1178.3819,8.9593,47.4013,14241.7085,366.0,2285.804,360.0,0.564,CL
20,1233.5025,9.0976,47.402,16292.5879,377.201,2459.799,370.0,0.584,CL
21,1278.4221,9.2172,47.4025,17763.191,389.0,3426.2293,378.2111,0.604,CL
22,1328.1641,9.3498,47.4028,19375.0,396.9808,2001.2563,345.1055,0.5515,CL
23,1390.2312,9.5209,47.4032,21158.6683,412.0,2028.8945,397.7688,0.6395,CL
24,1446.3618,9.6814,47.4023,22834.0452,419.0,1994.6608,410.0,0.664,CL
25,1499.8794,9.8322,47.3997,24171.9849,428.2513,1500.0,416.0,0.6805,CL
26,1560.392,10.0142,47.3967,25656.5327,437.0,1434.6734,424.0,0.696,CL
27,1610.5427,10.1636,47.394,26638.5678,446.1357,1175.8794,432.0,0.716,CL
28,1669.4221,10.3406,47.3906,27932.0352,452.1407,1000.0,437.7186,0.732,CL
29,1732.0201,10.5381,47.3864,29143.2161,460.0,156.1378,446.0,0.7486,CR
30,1810.3568,10.7842,47.3807,30805.1508,461.0,1333.3333,446.0,0.76,CL
31,1877.8653,10.9906,47.3756,32313.9447,457.0798,826.0082,0.0,0.0,CL
32,1922.4824,11.1327,47.3719,33237.0603,455.0,1080.402,438.3216,0.756,CL
33,1971.3011,11.2802,47.3678,34274.8744,454.3989,264.9498,72.9648,0.126,CL
34,2059.6834,11.552,47.377,35000.0,447.0,0.0,434.0,0.756,CR
35,2149.3518,11.8215,47.3998,35000.0,446.0,0.0,436.0,0.76,CR
36,2271.7236,12.1889,47.4299,35029.5226,444.0,682.1608,434.0,0.756,CL
37,2383.0127,12.5269,47.4564,36193.593,455.3944,1041.8323,81.809,0.1428,CL
38,2427.8115,12.6645,47.467,36859.5477,453.404,1161.6314,83.6382,0.1467,CL
39,2468.5502,12.7886,47.4764,37000.0,451.4133,0.0,86.2312,0.1513,CR
40,2508.9637,12.9102,47.4853,37000.0,447.2903,0.0,87.6382,0.1536,CR
41,2570.6181,13.1031,47.4994,37000.0,450.0,0.0,436.0,0.764,CR
42,2651.909,13.3485,47.5169,37025.0,449.2086,0.0,92.8643,0.1629,CR
43,2750.8239,13.6507,47.5375,37025.0,446.437,0.0,343.3568,0.6021,CR
44,2832.8844,13.9011,47.5541,36975.0,445.0,0.0,434.0,0.76,CR
45,2901.3399,14.1038,47.5671,36975.0,446.9238,0.0,0.0,0.0,CR
