,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,8.5518,47.4608,0.0,0.0,0.0,0.0,0.0,GND
1,43.799,8.5517,47.4607,0.0,2.0,0.0,0.0,0.0,GND
2,57.598,8.5515,47.4606,0.0,3.0,0.0,0.0,0.0,GND
3,71.397,8.5512,47.4606,0.0,3.0,0.0,0.0,0.0,GND
4,83.196,8.551,47.4606,0.0,3.0,0.0,0.0,0.0,GND
5,95.995,8.5507,47.4606,0.0,3.0,0.0,0.0,0.0,GND
6,108.794,8.5506,47.4606,0.0,2.0,0.0,0.0,0.0,GND
7,121.593,8.5505,47.4607,0.0,0.0,0.0,0.0,0.0,GND
8,134.392,8.5505,47.4607,0.0,0.0,0.0,0.0,0.0,GND
9,168.9677,8.5505,47.4607,0.0,0.0,0.0,0.0,0.0,GND
10,232.9497,8.5505,47.4607,0.0,0.0,0.0,0.0,0.0,GND
11,302.7029,8.5505,47.4607,0.0,0.0,0.0,0.0,0.0,GND
12,350.5879,8.5506,47.4606,0.0,3.0,0.0,0.0,0.0,GND
13,363.3869,8.5508,47.4603,0.0,5.0,0.0,0.0,0.0,GND
14,378.1859,8.5511,47.4599,0.0,7.0,0.0,0.0,0.0,GND
15,391.9849,8.5514,47.4594,0.0,8.0,0.0,0.0,0.0,GND
16,405.7839,8.5518,47.459,0.0,8.0,0.0,0.0,0.0,GND
17,418.6838,8.5524,47.459,0.0,4.6633,0.0,0.0,0.0,GND
18,432.3819,8.5533,47.4589,0.0,10.0,0.0,0.0,0.0,GND
19,446.1809,8.5543,47.4588,0.0,11.0,0.0,0.0,0.0,GND
20,459.9799,8.5553,47.4588,0.0,12.0,0.0,0.0,0.0,GND
21,472.7789,8.5564,47.4587,0.0,13.0,0.0,0.0,0.0,GND
22,485.7265,8.5576,47.4586,0.0,8.0905,0.0,0.0,0.0,GND
23,500.3769,8.559,47.4585,0.0,15.0,0.0,0.0,0.0,GND
24,515.1759,8.5607,47.4584,0.0,16.0,0.0,0.0,0.0,GND
25,529.9749,8.5624,47.4582,0.0,17.0,0.0,0.0,0.0,GND
26,544.7739,8.5643,47.4581,0.0,18.0,0.0,0.0,0.0,GND
27,559.5729,8.5662,47.458,0.0,19.0,0.0,0.0,0.0,GND
28,572.3719,8.5675,47.4579,0.0,12.0,0.0,0.0,0.0,GND
29,586.1709,8.5686,47.4578,0.0,11.0,0.0,0.0,0.0,GND
