,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,8.5621,47.4478,0.0,0.0,0.0,0.0,0.0,GND
1,382.6633,8.562,47.4478,0.0,0.0,0.0,0.0,0.0,GND
2,548.3266,8.562,47.4478,0.0,0.0,0.0,0.0,0.0,GND
3,674.9899,8.562,47.4478,0.0,0.0,0.0,0.0,0.0,GND
4,722.6533,8.562,47.4478,0.0,0.0,0.0,0.0,0.0,GND
5,780.3166,8.5621,47.4478,0.0,0.0,0.0,0.0,0.0,GND
6,826.5879,8.5619,47.4478,0.0,9.0,0.0,0.0,0.0,GND
7,891.2864,8.561,47.4474,0.0,9.0,0.0,0.0,0.0,GND
8,1046.3065,8.5608,47.4473,0.0,15.7839,0.0,0.0,0.0,GND
9,1134.4975,8.5574,47.4501,0.0,26.4121,0.0,0.0,0.0,GND
10,1216.6533,8.5545,47.455,0.0,29.3467,0.0,0.0,0.0,GND
11,1258.1558,8.5579,47.4551,0.0,31.1407,0.0,0.0,0.0,GND
12,1292.5678,8.5611,47.4548,0.0,15.0,0.0,0.0,0.0,GND
13,1325.6985,8.5642,47.4559,0.0,31.1508,0.0,0.0,0.0,GND
14,1359.9146,8.5666,47.4558,0.0,19.0,0.0,0.0,0.0,GND
15,1398.9598,8.5675,47.4558,0.0,0.0,0.0,0.0,0.0,GND
16,1440.0905,8.5675,47.4558,0.0,0.0,0.0,0.0,0.0,GND
17,1487.2764,8.5675,47.4558,0.0,0.0,0.0,0.0,0.0,GND
18,1533.5276,8.5678,47.4557,0.0,16.5276,0.0,0.0,0.0,GND
19,1566.8442,8.5699,47.4558,0.0,28.0,0.0,0.0,0.0,GND
20,1605.6131,8.5697,47.4567,0.0,0.0,0.0,0.0,0.0,GND
21,1645.5578,8.5597,47.4574,0.0,111.8593,0.0,0.0,0.1845,LVL
22,1682.0302,8.5228,47.4604,1854.6482,161.7186,2384.0632,0.0,0.236,CL
23,1715.7588,8.4846,47.4631,3175.2513,170.005,1553.8406,154.0,0.245,CL
24,1770.1357,8.4382,47.4328,4639.196,211.9196,993.0905,154.0,0.3131,CL
25,1807.9497,8.388,47.4066,5572.4874,269.9497,2231.1558,154.0,0.4011,CL
26,1841.5477,8.3331,47.3836,7269.8492,287.8492,3886.9347,154.0,0.4274,CL
27,1876.1457,8.271,47.3616,9182.2864,293.0,3618.0905,154.0,0.448,CL
28,1910.4874,8.2073,47.3407,10828.6432,304.8291,2500.0,154.0,0.4597,CL
29,1944.1307,8.1438,47.3185,12055.9045,328.2362,1031.9454,227.3467,0.4956,CL
30,1976.9397,8.0751,47.2941,12947.9899,357.9799,2030.1508,341.9598,0.54,CL
31,2012.0251,8.0001,47.2655,14514.0704,366.5126,2945.7286,349.0251,0.5561,CL
32,2046.1357,7.9245,47.2341,16029.5226,375.0,2954.7739,356.0905,0.5722,CL
33,2081.3116,7.8511,47.2036,17486.6834,380.0,2250.0,365.1558,0.588,CL
34,2114.5528,7.7739,47.1718,18766.5829,386.1106,2533.794,372.2211,0.6044,CL
35,2149.1457,7.6971,47.1402,20117.9648,390.6432,2160.804,379.2864,0.62,CL
36,2191.5276,7.6007,47.1004,21513.191,401.0,1500.0,388.0,0.636,CL
37,2224.9598,7.5215,47.0676,22423.995,403.4171,1645.7286,392.0,0.6468,CL
38,2258.4472,7.4434,47.0353,23486.1809,409.2412,1879.397,398.0,0.66,CL
39,2292.3216,7.3635,47.001,24527.3869,415.7739,1971.7337,404.0,0.6751,CL
40,2326.2261,7.2829,46.9635,25522.9899,421.3065,1905.1508,408.6131,0.6852,CL
41,2360.6784,7.2004,46.9251,26362.9397,429.0,2177.6382,416.0,0.7,CL
42,2396.3719,7.1174,46.8869,27159.2965,436.7437,1146.6709,420.0,0.7095,CL
43,2430.3317,7.0317,46.8475,27930.9045,444.0,1646.0876,428.0,0.724,CL
44,2463.6231,6.9495,46.8094,28901.5075,443.0,1609.2965,428.8744,0.732,CL
45,2496.9095,6.8669,46.7711,30022.7387,438.0,1500.0,419.9397,0.716,CL
46,2532.5075,6.7837,46.7324,31050.1256,437.0,1062.1859,415.005,0.716,CL
47,2569.1759,6.6908,46.6892,31927.6382,433.9648,996.4824,413.9296,0.712,CL
48,2603.5678,6.6085,46.6508,32514.196,435.5678,1175.8794,417.1357,0.724,CL
49,2638.1005,6.5233,46.611,32952.5126,442.0,150.7538,422.0,0.732,CL
50,2672.5327,6.44,46.5718,33000.0,443.0,0.0,421.4673,0.736,CR
