,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,8.5594,47.4518,0.0,15.0,0.0,0.0,0.0,GND
1,7.8241,8.5594,47.452,0.0,15.6683,0.0,0.0,0.0,GND
2,312.6432,8.5586,47.4526,0.0,19.6482,0.0,0.0,0.0,GND
3,326.4925,8.5575,47.4526,0.0,30.995,0.0,0.0,0.0,GND
4,335.6533,8.5566,47.4527,0.0,21.397,0.0,0.0,0.0,GND
5,348.6583,8.5555,47.4531,0.0,32.8291,0.0,0.0,0.0,GND
6,354.9749,8.5554,47.4534,0.0,33.0,0.0,0.0,0.0,GND
7,364.9648,8.5549,47.454,0.0,15.1608,0.0,0.0,0.0,GND
8,375.6332,8.5545,47.4547,0.0,31.3668,0.0,0.0,0.0,GND
9,386.4774,8.5547,47.4553,0.0,29.0,0.0,0.0,0.0,GND
10,396.6332,8.5555,47.4552,0.0,28.3417,0.0,0.0,0.0,GND
11,405.1206,8.5561,47.4552,0.0,28.0,0.0,0.0,0.0,GND
12,411.9799,8.5568,47.4552,0.0,28.0,0.0,0.0,0.0,GND
13,422.4673,8.5575,47.4551,0.0,28.0,0.0,0.0,0.0,GND
14,431.2864,8.5583,47.455,0.0,28.0,0.0,0.0,0.0,GND
15,438.4623,8.5588,47.455,0.0,28.0,0.0,0.0,0.0,GND
16,452.9196,8.5599,47.4549,0.0,27.0,0.0,0.0,0.0,GND
17,459.6382,8.5605,47.4549,0.0,29.8191,0.0,0.0,0.0,GND
18,468.9095,8.5614,47.4548,0.0,31.9849,0.0,0.0,0.0,GND
19,476.9045,8.5618,47.4548,0.0,23.5477,0.0,0.0,0.0,GND
20,489.2161,8.5624,47.455,0.0,19.3668,0.0,0.0,0.0,GND
21,497.9648,8.5625,47.4552,0.0,16.0,0.0,0.0,0.0,GND
22,507.9447,8.5625,47.4554,0.0,4.8141,0.0,0.0,0.0,GND
23,515.2563,8.5625,47.4554,0.0,0.0,0.0,0.0,0.0,GND
24,525.8794,8.5625,47.4554,0.0,0.0,0.0,0.0,0.0,GND
25,542.4372,8.5625,47.4555,0.0,9.4372,0.0,0.0,0.0,GND
26,549.1809,8.5625,47.4556,0.0,16.2462,0.0,0.0,0.0,GND
27,558.9548,8.5626,47.4559,0.0,19.5226,0.0,0.0,0.0,GND
28,567.9296,8.5626,47.4562,0.0,11.4271,0.0,0.0,0.0,GND
29,575.2362,8.5626,47.4562,0.0,0.0,0.0,0.0,0.0,GND
30,580.8995,8.5626,47.4562,0.0,0.0,0.0,0.0,0.0,GND
31,593.2663,8.5626,47.4562,0.0,0.0,0.0,0.0,0.0,GND
32,607.5327,8.5626,47.4562,0.0,0.0,0.0,0.0,0.0,GND
33,621.7236,8.5626,47.4562,0.0,0.0,0.0,0.0,0.0,GND
34,635.191,8.5626,47.4562,0.0,0.0,0.0,0.0,0.0,GND
35,645.8241,8.5626,47.4562,0.0,0.0,0.0,0.0,0.0,GND
36,655.8492,8.5626,47.4562,0.0,0.0,0.0,0.0,0.0,GND
37,668.3568,8.5626,47.4562,0.0,0.0,0.0,0.0,0.0,GND
38,687.206,8.5626,47.4562,0.0,11.5075,0.0,0.0,0.0,GND
39,694.804,8.5627,47.4566,0.0,23.6734,0.0,0.0,0.0,GND
40,702.8995,8.5628,47.4571,0.0,33.0,0.0,0.0,0.0,GND
41,713.196,8.5629,47.4577,0.0,32.201,0.0,0.0,0.0,GND
42,721.7889,8.5629,47.4582,0.0,32.0,0.0,0.0,0.0,GND
43,728.5226,8.563,47.4587,0.0,15.0,0.0,0.0,0.0,GND
44,737.8894,8.5631,47.4594,0.0,19.7437,0.0,0.0,0.0,GND
45,745.3869,8.5632,47.4597,0.0,24.6131,0.0,0.0,0.0,GND
