CD1, CD2, CD3, CD4, CD5, CD6, CD7, CD8, CD9, CD10
CD1, 0, 6831, 4849, 4053, 14477, 11039, 9807, 11002, 6484, 3294
CD2, 6831, 0, 3878, 4088, 12653, 11581, 14725, 4849, 12993, 8140
CD3, 4849, 3878, 0, 4351, 10879, 8798, 11114, 8103, 10633, 5083
CD4, 4053, 4088, 4351, 0, 14859, 12616, 13183, 7753, 9845, 6302
CD5, 14477, 12653, 10879, 14859, 0, 5136, 13562, 14783, 18376, 12616
CD6, 11039, 11581, 8798, 12616, 5136, 0, 8724, 15128, 13961, 8798
CD7, 9807, 14725, 11114, 13183, 13562, 8724, 0, 19476, 8029, 5643
CD8, 11002, 4849, 8103, 7753, 14783, 15128, 19476, 0, 17310, 12616
CD9, 6484, 12993, 10633, 9845, 18376, 13961, 8029, 17310, 0, 6320
CD10, 3294, 8140, 5083, 6302, 12616, 8798, 5643, 12616, 6320, 0
